fac_id,m1saq1,m1saq2,m1saq3,m1saq5,m1saq7,m1saq10_1b,m1saq10_2b,m1saq11,m1saq11_hr,m1saq11_mn,m1saq12,m1saq12_hr,m1saq12_mn,m1saq14a,m1saq14a_hr,m1saq14a_mn,m1saq14b,m1saq14b_hr,m1saq14b_mn,m1saq15_1b,m1saq15_2b,m1saq16a,m1saq16c,m1sa1q1,m1sa1q2,m1sbq4,m1sbq8,m1sbq14,m1sbq15,m1scq14a,m1scq14b,m1scq15a,m1scq15b,m1scq16a,m1scq16b,m1scq17a,m1scq17b,m1scq18a,m1scq18b,m1scq19a,m1scq19b,m1scq25a,m1scq25b,m1scq25c,m1scq25d,m1scq25e,m1scq25f,m1scq25g,m1scq25h,m1scq25i,m1scq25j,m1scq25k,m1scq25l,m1scq25m,m1scq25m_oth,m1scq25n,m1scq26,m1scq27a,m1scq27b,m1scq27c,m1scq27d,m1scq27e,m1scq27f,m1scq27g,m1scq27h,m1scq27i,m1scq27j,m1scq27k,m1scq27l,m1scq27m,m1scq27m_oth,m1scq27n,m1scq28,m1scq29,m1scq30,m1scq31,m1scq32,m1sdq1a,m1sdq1b,m1sdq2a,m1sdq2b,m1sdq3a,m1sdq3b,m1sdq4a,m1sdq4b,m1sdq5a,m1sdq5b,m1sdq6a,m1sdq6b,m1sdq7a,m1sdq7b,m1sdq8a,m1sdq8b,m1sdq9a,m1sdq9b,m1sdq10a,m1sdq10b,m1sdq11a,m1sdq11b,m1seq1,m1seq2,m1seq3,m1seq4,m1seq5,m1seq6,m1seq7,m1seq8,m1seq9,m1seq10,m1seq11,m1seq12,m1seq13,m1seq14,m1seq15,m1seq16,m1seq17,m1seq18,m1seq19,m1seq20,m1seq21,m1seq22,m1seq23,m1seq24,m1seq25,m1seq26,m1seq27,m1seq28,m1seq29,m1seq30,m1seq31,m1seq32,m1seq33,m1seq34,m1seq35,m1seq36,m1seq37,m1seq38,m1seq39,m1seq40,m1seq41,m1seq42,m1seq43,m1seq44,m1seq45,m1seq46,m1seq47,m1seq48,m1seq49,m1seq50,m1seq51,m1seq52,m1seq53,m1seq54,m1seq55,m1seq56,m1seq57,m1seq58
607015,Bayelsa,7.0,860.0,607015,Rural,62003,62004.0,930,9,30,1701,17.0,1.0,1055,10.0,55.0,1500,15.0,0.0,62003.0,62004.0,Questionnaire Completed,620.0,Yes,,Public,Health Center,50 or less,0-500,No,,Yes(Not Observed),No,No,,No,,No,,No,,No,No,No,No,No,No,No,No,Yes,No,No,No,No,,No,WASTE VISIBLE BUT PROTECTED AREA,No,No,No,No,No,No,No,No,Yes,No,No,No,No,,No,WASTE VISIBLE BUT PROTECTED AREA,,,No,No,Yes (observed),Yes,Yes (observed),Yes,No,,Yes (observed),Yes,Yes (observed),Yes,Yes (observed),Yes,No,,No,,No,,Yes (observed),Yes,No,,Never available,Never available,Not available today,Never available,Never available,Never available,Never available,Never available,Not available today,Never available,At least one observed (AND non-expired),Never available,At least one observed (AND non-expired),Not available today,At least one observed (AND non-expired),At least one observed (BUT expired),At least one observed (AND non-expired),Not available today,Not available today,Not available today,At least one observed (AND non-expired),Never available,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,At least one observed (AND non-expired),Not available today,At least one observed (AND non-expired),At least one observed (BUT expired),At least one observed (AND non-expired),Never available,Yes but not observed,Yes,,No,Yes,,,,,,,,,Available,Available,Never available,Available,Never available,Available,Available,Available,Yes and observed,Yes and observed,Yes and observed,Yes and observed,Yes and observed
607018,Bayelsa,7.0,713.0,607018,Rural,61007,61008.0,1015,10,15,1500,15.0,0.0,900,9.0,0.0,1130,11.0,30.0,61008.0,61008.0,Questionnaire Completed,620.0,Yes,,Public,Health Center,50 or less,0-500,No,,Yes(Observed),Yes,No,,No,,No,,No,,No,No,No,No,No,No,No,No,Yes,No,No,No,No,,No,WASTE VISIBLE BUT PROTECTED AREA,No,No,No,No,No,No,Yes,No,No,No,No,No,No,,No,"WASTE VISIBLE, NOT PROTECTED",,,No,No,Yes (observed),Yes,Yes (observed),Yes,No,,Yes (observed),Yes,Yes (observed),No,Yes (observed),Yes,No,,No,,No,,Yes (observed),Yes,No,,At least one observed (AND non-expired),Never available,At least one observed (AND non-expired),Never available,Never available,At least one observed (AND non-expired),At least one observed (AND non-expired),Not available today,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Not available today,Not available today,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Not available today,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),No,Yes,,No,Yes,,,,,,,,,Available,Available,Never available,Available,Never available,Available,Available,Available,Yes and observed,Yes and observed,Yes and observed,Yes and observed,Yes and observed
607020,Bayelsa,7.0,709.0,607020,Rural,62006,62005.0,1225,12,25,1441,14.0,41.0,1215,12.0,15.0,1410,14.0,10.0,62006.0,62006.0,Questionnaire Completed,620.0,Yes,,Public,Health Center,50 or less,0-500,No,,Yes(Observed),Yes,No,,No,,No,,No,,No,No,No,Yes,No,No,No,No,No,No,No,No,No,,No,NO WASTE VISIBLE,No,No,No,Yes,No,No,No,No,No,No,No,No,No,,No,NO WASTE VISIBLE,,,No,No,Yes (observed),Yes,Yes (observed),Yes,No,,Yes (observed),Yes,Yes (observed),Yes,Yes (observed),Yes,No,,Yes (observed),No,No,,No,,No,,Not available today,Never available,At least one observed (AND non-expired),Never available,Not available today,At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,Not available today,Never available,Not available today,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Not available today,At least one observed (AND non-expired),Never available,At least one observed (AND non-expired),Not available today,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Not available today,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Yes and observed,Yes,,No,Yes,,,,,,,,,Available,Available,Never available,Available,Never available,Available,Available,Available,Yes and observed,Yes and observed,Yes and observed,Yes and observed,Yes and observed
607021,Bayelsa,7.0,709.0,607021,Rural,62005,62006.0,943,9,43,1206,12.0,6.0,1452,14.0,52.0,1648,16.0,48.0,62006.0,62005.0,Questionnaire Completed,620.0,Yes,,Public,Health Center,50 or less,0-500,No,,Yes(Observed),Yes,No,,No,,No,,No,,No,No,No,Yes,No,No,No,No,No,No,No,No,No,,No,NO WASTE VISIBLE,No,No,No,Yes,No,No,No,No,No,No,No,No,No,,No,NO WASTE VISIBLE,,,No,No,Yes (observed),Yes,Yes (observed),Yes,No,,Yes (observed),Yes,Yes (observed),Yes,Yes (observed),Yes,No,,No,,No,,No,,No,,At least one observed (AND non-expired),Not available today,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Not available today,At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Not available today,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),No,Yes,,No,Yes,,,,,,,,,Available,Available,Never available,Available,Never available,Available,Available,Available,Yes and observed,Yes and observed,Yes and observed,Yes and observed,Yes and observed
607024,Bayelsa,7.0,710.0,607024,Rural,61003,61004.0,1030,10,30,1543,15.0,43.0,920,9.0,20.0,1300,13.0,0.0,62003.0,62003.0,Questionnaire Completed,620.0,Yes,,Public,Health Center,50 or less,0-500,No,,Yes(Observed),Yes,No,,No,,No,,No,,No,No,No,No,No,No,No,Yes,No,No,No,No,No,,No,WASTE SITE NOT INSPECTED,No,No,No,No,No,No,No,Yes,No,No,No,No,No,,No,WASTE SITE NOT INSPECTED,,,No,No,Yes (observed),Yes,Yes (observed),Yes,No,,Yes (observed),Yes,Yes (observed),No,Yes (observed),Yes,Yes (observed),Yes,Yes (observed),Yes,No,,Yes (observed),Yes,No,,At least one observed (BUT expired),Not available today,At least one observed (AND non-expired),Not available today,Not available today,Not available today,Not available today,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Not available today,At least one observed (AND non-expired),At least one observed (AND non-expired),Not available today,At least one observed (AND non-expired),Not available today,At least one observed (AND non-expired),At least one observed (AND non-expired),Not available today,At least one observed (AND non-expired),At least one observed (AND non-expired),Not available today,Never available,Not available today,Never available,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Not available today,No,Yes,,No,Yes,,,,,,,,,Available,Available,Never available,Available,Never available,Available,Available,Available,Yes and observed,Yes and observed,Yes and observed,Yes and observed,Yes and observed
607025,Bayelsa,7.0,710.0,607025,Rural,61007,61008.0,1325,13,25,1625,16.0,25.0,1015,10.0,15.0,1230,12.0,30.0,61007.0,61008.0,Questionnaire Completed,620.0,Yes,,Private,Health Center,50 or less,0-500,No,,Yes(Observed),Yes,No,,No,,No,,No,,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,SHARPS STORED IN SAFETY BOXES,No,WASTE VISIBLE BUT PROTECTED AREA,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,WASTE STORED IN PLASTIC BAGS,No,WASTE VISIBLE BUT PROTECTED AREA,,,No,No,Yes (observed),Yes,Yes (observed),Yes,No,,Yes (observed),Yes,Yes (observed),Yes,Yes (observed),Yes,No,,No,,No,,Yes (observed),Yes,No,,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Not available today,Never available,At least one observed (AND non-expired),Never available,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Not available today,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,Yes and observed,Yes,,Yes,,At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,At least one observed (AND non-expired),,,,,,,,,Yes and observed,Yes and observed,Yes and observed,Yes and observed,Yes and observed
607028,Bayelsa,7.0,711.0,607028,Rural,63003,61008.0,915,9,15,1200,12.0,0.0,915,9.0,15.0,1200,12.0,0.0,62004.0,62004.0,Questionnaire Completed,620.0,Yes,,Public,Health Center,50 or less,,No,,Yes(Observed),No,No,,No,,No,,No,,No,No,Yes,No,No,No,No,No,No,No,No,No,No,,No,"WASTE VISIBLE, NOT PROTECTED",No,No,Yes,No,No,No,No,No,No,No,No,No,No,,No,"WASTE VISIBLE, NOT PROTECTED",,,No,No,Yes (observed),No,Yes (observed),Yes,Yes (observed),No,No,,Yes (observed),No,No,,No,,No,,No,,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,,No,Yes,,,,,,,,,Available,Available,Never available,Available,Never available,Available,Available,Not available on the day,Yes and observed,Yes but not observed,Yes and observed,Yes but not observed,Yes but not observed
607029,Bayelsa,7.0,711.0,607029,Rural,62003,62004.0,1340,13,40,1750,17.0,50.0,1245,12.0,45.0,1500,15.0,0.0,61008.0,61008.0,Questionnaire Completed,620.0,Yes,,Public,Health Center,50 or less,0-500,No,,Yes(Observed),Yes,No,,No,,No,,No,,No,No,Yes,No,No,No,No,No,No,No,No,No,No,,No,"WASTE VISIBLE, NOT PROTECTED",No,No,Yes,No,No,No,No,No,No,No,No,No,No,,No,"WASTE VISIBLE, NOT PROTECTED",,,No,No,Yes (observed),Yes,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Not available today,Not available today,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Not available today,At least one observed (AND non-expired),Not available today,Never available,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Not available today,Not available today,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Yes but not observed,Yes,,No,Yes,,,,,,,,,Available,Available,Never available,Available,Never available,Available,Available,Available,Yes and observed,Yes and observed,Yes and observed,Yes and observed,Yes and observed
607031,Bayelsa,7.0,712.0,607031,Rural,62005,62006.0,845,8,45,1107,11.0,7.0,1315,13.0,15.0,1746,17.0,46.0,62005.0,62006.0,Questionnaire Completed,620.0,Yes,,Public,Health Center,50 or less,0-500,No,,Yes(Observed),Yes,No,,No,,No,,No,,No,No,No,Yes,No,No,No,No,No,No,No,No,No,,No,NO WASTE VISIBLE,No,No,No,Yes,No,No,No,No,No,No,No,No,No,,No,NO WASTE VISIBLE,,,No,No,Yes (observed),No,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,Not available today,Never available,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Not available today,Never available,Not available today,At least one observed (AND non-expired),Never available,Not available today,Never available,Not available today,Not available today,At least one observed (AND non-expired),At least one observed (AND non-expired),Not available today,Not available today,At least one observed (AND non-expired),At least one observed (AND non-expired),Not available today,Never available,Not available today,Not available today,Not available today,At least one observed (AND non-expired),At least one observed (AND non-expired),Not available today,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Not available today,No,Yes,,No,Yes,,,,,,,,,Available,Available,Never available,Available,Never available,Available,Available,Available,Yes and observed,Yes and observed,Yes and observed,Yes and observed,Yes and observed
607032,Bayelsa,7.0,712.0,607032,Rural,62005,62006.0,946,9,46,1703,17.0,3.0,1330,13.0,30.0,1502,15.0,2.0,62006.0,62005.0,Questionnaire Completed,620.0,Yes,,Public,Health Center,50 or less,0-500,No,,Yes(Observed),Yes,No,,No,,No,,No,,No,No,No,Yes,No,No,No,No,No,No,No,No,No,,No,NO WASTE VISIBLE,No,No,No,Yes,No,No,No,No,No,No,No,No,No,,No,NO WASTE VISIBLE,,,No,No,Yes (observed),Yes,Yes (observed),Yes,No,,Yes (observed),Yes,Yes (observed),Yes,Yes (observed),Yes,No,,No,,No,,Yes (observed),Yes,No,,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Not available today,Not available today,Not available today,Not available today,Not available today,At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,Not available today,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Not available today,At least one observed (AND non-expired),Not available today,Not available today,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Not available today,At least one observed (AND non-expired),Not available today,At least one observed (AND non-expired),Not available today,At least one observed (AND non-expired),At least one observed (AND non-expired),Yes and observed,Yes,,Yes,,At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,At least one observed (AND non-expired),,,,,,,,,Yes and observed,Yes and observed,Yes and observed,Yes and observed,Yes and observed
607034,Bayelsa,7.0,713.0,607034,Rural,62001,62002.0,10 1,10,1,1515,15.0,15.0,1255,12.0,55.0,1600,16.0,0.0,62002.0,62001.0,Questionnaire Completed,620.0,Yes,,Public,Health Center,50 or less,0-500,No,,Yes(Observed),Yes,No,,No,,No,,No,,No,No,Yes,No,No,No,No,No,No,No,No,No,No,,No,"WASTE VISIBLE, NOT PROTECTED",No,No,Yes,No,No,No,No,No,No,No,No,No,No,,No,"WASTE VISIBLE, NOT PROTECTED",,,No,No,Yes (observed),Yes,Yes (observed),No,No,,Yes (observed),Yes,Yes (observed),Yes,Yes (observed),Yes,Yes (observed),No,No,,Yes (observed),No,No,,No,,Not available today,At least one observed (AND non-expired),At least one observed (AND non-expired),Not available today,Not available today,Not available today,Not available today,Not available today,Not available today,At least one observed (AND non-expired),Not available today,At least one observed (AND non-expired),Not available today,Not available today,Not available today,At least one observed (AND non-expired),Not available today,Not available today,Not available today,Not available today,At least one observed (AND non-expired),Not available today,At least one observed (AND non-expired),Not available today,At least one observed (AND non-expired),Not available today,Not available today,Not available today,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Yes and observed,Yes,,No,Yes,,,,,,,,,Available,Available,Never available,Available,Never available,Available,Available,Available,Yes and observed,Yes and observed,Yes and observed,Yes and observed,Yes and observed
607035,Bayelsa,7.0,715.0,607035,Rural,62001,62002.0,1257,12,57,1655,16.0,55.0,1326,13.0,26.0,1405,14.0,5.0,62001.0,62002.0,Questionnaire Completed,620.0,Yes,,Public,Health Center,50 or less,2001-3000,No,,Yes(Observed),Yes,No,,No,,No,,No,,No,No,Yes,No,No,No,No,No,No,No,No,No,No,,No,"WASTE VISIBLE, NOT PROTECTED",No,No,Yes,No,No,No,No,No,No,No,No,No,No,,No,"WASTE VISIBLE, NOT PROTECTED",,,No,No,Yes (observed),Yes,Yes (observed),Yes,Yes (observed),Yes,Yes (observed),Yes,Yes (observed),No,Yes (observed),Yes,Yes (observed),Yes,No,,No,,No,,No,,At least one observed (AND non-expired),Never available,At least one observed (AND non-expired),Never available,Not available today,At least one observed (AND non-expired),Never available,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Not available today,At least one observed (AND non-expired),Not available today,Not available today,Not available today,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Yes and observed,Yes,,Yes,,At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,At least one observed (AND non-expired),,,,,,,,,Yes and observed,Yes and observed,Yes and observed,Yes and observed,Yes and observed
607037,Bayelsa,7.0,717.0,607037,Rural,62005,62006.0,1245,12,45,1523,15.0,23.0,1015,10.0,15.0,1523,15.0,23.0,62005.0,62006.0,Questionnaire Completed,620.0,Yes,,Public,Hospital,50 or less,0-500,No,,Yes(Observed),Yes,No,,No,,No,,No,,No,No,Yes,No,No,No,No,No,No,No,No,No,No,,No,"WASTE VISIBLE, NOT PROTECTED",No,No,Yes,No,No,No,No,No,No,No,No,No,No,,No,"WASTE VISIBLE, NOT PROTECTED",,,No,No,Yes (observed),Yes,Yes (observed),No,No,,Yes (observed),No,Yes (observed),Yes,Yes (observed),No,No,,No,,No,,No,,No,,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Not available today,Never available,At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Not available today,Never available,Not available today,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Not available today,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Not available today,No,Yes,,No,Yes,,,,,,,,,Available,Available,Never available,Available,Never available,Available,Available,Available,Yes and observed,Yes and observed,Yes and observed,Yes and observed,Yes and observed
607039,Bayelsa,7.0,717.0,607039,Rural,61007,61008.0,1315,13,15,1530,15.0,30.0,1045,10.0,45.0,1215,12.0,15.0,61008.0,,Questionnaire Completed,620.0,Yes,,Private,Health Center,50 or less,0-500,No,,Yes(Observed),Yes,No,,No,,No,,No,,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,,No,WASTE VISIBLE BUT PROTECTED AREA,No,No,No,Yes,No,No,No,No,No,No,No,No,No,,No,NO WASTE VISIBLE,,,No,No,Yes (observed),Yes,Yes (observed),Yes,No,,No,,Yes (observed),No,No,,No,,No,,No,,Yes (observed),Yes,No,,At least one observed (AND non-expired),Never available,At least one observed (AND non-expired),Not available today,Never available,Not available today,Never available,Not available today,Not available today,Never available,Not available today,Never available,At least one observed (AND non-expired),Not available today,Not available today,At least one observed (AND non-expired),Never available,Not available today,At least one observed (AND non-expired),Not available today,Never available,Never available,Not available today,Not available today,Never available,Never available,Not available today,Not available today,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,No,Yes,,No,Yes,,,,,,,,,Available,Available,Never available,Available,Never available,Available,Available,Available,Yes and observed,Yes and observed,No,Yes and observed,Yes and observed
607041,Bayelsa,7.0,717.0,607041,Rural,62005,62006.0,15 3,15,3,1926,19.0,26.0,941,9.0,41.0,1546,15.0,46.0,63006.0,63006.0,Questionnaire Completed,620.0,Yes,,Public,Health Center,50 or less,0-500,No,,Yes(Observed),Yes,No,,No,,No,,No,,No,No,Yes,No,No,No,No,No,No,No,No,No,No,,No,"WASTE VISIBLE, NOT PROTECTED",No,No,Yes,No,No,No,No,No,No,No,No,No,No,,No,"WASTE VISIBLE, NOT PROTECTED",,,No,No,Yes (observed),Yes,Yes (observed),Yes,No,,Yes (observed),Yes,Yes (observed),No,Yes (observed),Yes,No,,No,,No,,No,,No,,Never available,Never available,At least one observed (AND non-expired),Never available,Never available,At least one observed (AND non-expired),Never available,Not available today,Not available today,At least one observed (AND non-expired),At least one observed (AND non-expired),Not available today,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,Not available today,At least one observed (AND non-expired),Not available today,Not available today,Never available,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Not available today,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,No,Yes,,No,Yes,,,,,,,,,Available,Available,Never available,Available,Never available,Available,Available,Available,Yes and observed,Yes and observed,Yes and observed,Yes and observed,Yes and observed
608007,Bayelsa,8.0,801.0,608007,Rural,63005,63006.0,845,8,45,1532,15.0,32.0,1040,10.0,40.0,1440,14.0,40.0,63005.0,63006.0,Questionnaire Completed,630.0,Yes,,Public,Health Center,50 or less,-99.0,No,,Yes(Observed),Yes,No,,No,,No,,No,,No,No,No,Yes,No,No,No,No,No,No,No,No,No,,No,NO WASTE VISIBLE,No,No,No,Yes,No,No,No,No,No,No,No,No,No,,No,NO WASTE VISIBLE,,,No,Yes,Yes (observed),Yes,Yes (observed),Yes,Yes (observed),Yes,Yes (observed),Yes,Yes (observed),Yes,Yes (observed),Yes,No,,No,,No,,No,,No,,Never available,Never available,Never available,Never available,Never available,Never available,Never available,Never available,Never available,Never available,Never available,Never available,Never available,Never available,Never available,Never available,Never available,Never available,Not available today,Never available,Not available today,Never available,Never available,Never available,Never available,Never available,Never available,Never available,At least one observed (AND non-expired),Never available,Not available today,Never available,Yes and observed,Yes,,No,Yes,,,,,,,,,Available,Available,Never available,Available,Never available,Available,Never available,Available,Yes and observed,Yes and observed,No,Yes and observed,Yes and observed
608012,Bayelsa,8.0,802.0,608012,Rural,63003,63004.0,10 0,10,0,1400,14.0,0.0,850,8.0,50.0,1101,11.0,1.0,63003.0,63004.0,Questionnaire Completed,630.0,Yes,,Public,Health Center,50 or less,0-500,No,,Yes(Observed),Yes,No,,No,,No,,No,,No,No,No,Yes,No,No,No,No,No,No,No,No,No,,No,WASTE VISIBLE BUT PROTECTED AREA,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,RIVER,No,WASTE VISIBLE BUT PROTECTED AREA,,,Yes - guidelines not observed,No,Yes (observed),Yes,Yes (observed),Yes,Yes (observed),Yes,Yes (observed),Yes,Yes (observed),Yes,Yes (observed),Yes,No,,Yes (observed),Yes,Yes (observed),Yes,No,,No,,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,At least one observed (AND non-expired),Not available today,Not available today,At least one observed (AND non-expired),Never available,At least one observed (AND non-expired),At least one observed (AND non-expired),Not available today,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Not available today,Not available today,Never available,At least one observed (AND non-expired),At least one observed (AND non-expired),Not available today,Never available,At least one observed (AND non-expired),Not available today,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),No,Yes,,No,Yes,,,,,,,,,Available,Available,Never available,Available,Never available,Available,Available,Available,Yes and observed,Yes and observed,Yes and observed,Yes and observed,Yes and observed
608014,Bayelsa,8.0,802.0,608014,Rural,63003,63004.0,817,8,17,1412,14.0,12.0,1045,10.0,45.0,1400,14.0,0.0,63003.0,63004.0,Questionnaire Completed,630.0,Yes,,Public,Health Center,50 or less,0-500,No,,Yes(Observed),Yes,No,,No,,No,,No,,No,No,No,Yes,No,No,No,No,No,No,No,No,No,,No,NO WASTE VISIBLE,No,No,Yes,No,No,No,No,No,No,No,No,No,No,,No,"WASTE VISIBLE, NOT PROTECTED",,,No,Yes,Yes (observed),Yes,Yes (observed),Yes,No,,Yes (observed),No,No,,Yes (observed),Yes,No,,No,,Yes (observed),No,Yes (observed),No,No,,Not available today,Not available today,Available BUT not observed,Not available today,Not available today,Not available today,Not available today,Not available today,Not available today,Not available today,Not available today,Not available today,Never available,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Not available today,At least one observed (AND non-expired),At least one observed (AND non-expired),Not available today,At least one observed (AND non-expired),Never available,At least one observed (AND non-expired),Not available today,At least one observed (AND non-expired),Never available,At least one observed (AND non-expired),Never available,At least one observed (AND non-expired),Not available today,At least one observed (AND non-expired),Never available,No,Yes,,No,Yes,,,,,,,,,Available,Available,Available,Available,Not available on the day,Available,Available,Available,Yes and observed,Yes and observed,Yes and observed,Yes and observed,Yes and observed
