fac_id,staff_id,m2saq1a,m2saq1b,m2saq3,m2saq4,m2saq5,m2saq6,m2saq7,m2saq8,m2saq9,m2saq10,m2saq10_oth,m2sbq2,m2sbq3,m2sbq4,m2sbq5,m2sbq6,m2sbq7,m2sbq8,m2sbq9,m2sbq9_oth,m2sbq10,m2sbq10_oth,m2sbq11,m2sbq12
601005,6,11-50,5 or less,Other,Secondary,,Male,25-34,No,No,Approved absence,,6.0,Other,Male,25-34,,,No,Approved absence,,,,,
601005,7,11-50,5 or less,Other,Secondary,,Female,35-44,Yes,No,Not his/her shift,,7.0,Other,Female,35-44,,,No,Other (to specify),HAS NOT RESUMMED DUTY,,,,
601005,8,11-50,5 or less,Other,Secondary,Certificate,Female,25-34,Yes,No,Not his/her shift,,8.0,Other,Female,25-34,Certificate,After 2000,Yes,,,Other (specify),CHATTING,Yes,Late release
601005,9,11-50,5 or less,Other,Secondary,Advanced,Female,25-34,Yes,No,Not his/her shift,,9.0,Other,Female,25-34,Advanced,,No,Approved absence,,,,,
601005,10,11-50,5 or less,Other,Secondary,Diploma,Female,Younger than 25,Yes,No,Approved absence,,,,,,,,,,,,,,
601005,11,11-50,5 or less,Other,Secondary,Advanced,Female,Younger than 25,Yes,No,Not his/her shift,,,,,,,,,,,,,,
601005,12,11-50,5 or less,Other,Secondary,Certificate,Male,25-34,Yes,No,Not his/her shift,,,,,,,,,,,,,,
601005,13,11-50,5 or less,Other,Secondary,Certificate,Female,25-34,Yes,No,Not his/her shift,,13.0,Other,Female,25-34,Certificate,,No,Sick/maternity,,,,,
601006,1,6-10,5 or less,Nurse,Secondary,Advanced,Female,35-44,Yes,No,Approved absence,,1.0,Nurse,Female,35-44,Advanced,After 2000,Yes,,,Other (specify),TAKING DELIVERY,No,
601006,2,6-10,5 or less,Other,Secondary,Advanced,Female,,Yes,No,Not his/her shift,,2.0,Other,Female,,Advanced,,No,Not his/her shift,,,,,
601006,3,6-10,5 or less,Other,Secondary,Advanced,Female,35-44,No,Yes,,,3.0,Other,Female,35-44,Advanced,,No,Not his/her shift,,,,,
601006,4,6-10,5 or less,Other,Secondary,Advanced,Female,25-34,No,Yes,,,4.0,Other,Female,25-34,Advanced,After 2000,Yes,,,Reviewing or writing in chart,,No,
601006,5,6-10,5 or less,Nurse,Secondary,Diploma,Female,,Yes,No,Not his/her shift,,5.0,Nurse,Female,,Diploma,,No,Not his/her shift,,,,,
601006,6,6-10,5 or less,Nurse,Secondary,Diploma,Female,,Yes,No,Not his/her shift,,6.0,Nurse,Female,,Diploma,,No,Not his/her shift,,,,,
601006,7,6-10,5 or less,Other,Secondary,Advanced,Female,25-34,Yes,No,Not his/her shift,,7.0,Other,Female,25-34,Advanced,After 2000,No,Not his/her shift,,,,,
601006,8,6-10,5 or less,Doctor,Post-Secondary,Advanced,Male,,Yes,No,Approved absence,,8.0,Doctor,Male,,Advanced,,No,Approved absence,,,,,
601008,1,11-50,Over 5,Other,Secondary,Certificate,Female,,Yes,No,Not approved Absence,,1.0,Other,Female,,Certificate,,No,Approved absence,,,,,
601008,2,11-50,Over 5,Other,Secondary,Certificate,Female,,Yes,No,Not approved Absence,,,,,,,,,,,,,,
601008,3,11-50,Over 5,Other,Secondary,Certificate,Female,,Yes,No,Not approved Absence,,3.0,Other,Female,,Certificate,,No,Not his/her shift,,,,,
601008,4,11-50,Over 5,Other,Secondary,Certificate,Male,35-44,Yes,Yes,,,4.0,Other,Male,35-44,Certificate,After 2000,No,Not his/her shift,,,,,
601008,5,11-50,Over 5,Other,Secondary,,Male,35-44,No,No,Sick/maternity,,,,,,,,,,,,,,
601008,6,11-50,Over 5,Other,Secondary,,Male,35-44,No,No,Not approved Absence,,6.0,Other,Male,,,,No,Not his/her shift,,,,,
601008,7,11-50,Over 5,Other,Secondary,Certificate,Female,,Yes,No,Not approved Absence,,7.0,Other,Female,,Certificate,,No,Sick/maternity,,,,,
601008,8,11-50,Over 5,Other,Secondary,Certificate,Female,45 or older,No,No,Not approved Absence,,,,,,,,,,,,,,
601008,9,11-50,Over 5,Other,Secondary,Certificate,Female,,Yes,No,Not approved Absence,,9.0,Other,Female,,Certificate,,No,Official mission,,,,,
601008,10,11-50,Over 5,Other,Secondary,Advanced,Female,,Yes,No,Not approved Absence,,,,,,,,,,,,,,
601008,11,11-50,Over 5,Other,Secondary,Advanced,Female,,Yes,No,Not approved Absence,,11.0,Other,Female,,Advanced,,No,Not his/her shift,,,,,
601008,12,11-50,Over 5,Other,Secondary,Advanced,Female,,Yes,No,Not approved Absence,,,,,,,,,,,,,,
601008,13,11-50,Over 5,Other,Secondary,Certificate,Female,,Yes,No,Not approved Absence,,13.0,Other,Female,,Certificate,,No,Not his/her shift,,,,,
601008,14,11-50,Over 5,Doctor,Post-Secondary,Advanced,Male,25-34,Yes,Yes,,,14.0,Doctor,Male,25-34,Advanced,After 2000,No,Not his/her shift,,,,,
601008,15,11-50,Over 5,Doctor,Post-Secondary,Advanced,Male,35-44,Yes,No,Not his/her shift,,15.0,Doctor,Male,,,,No,Approved absence,,,,,
601008,16,11-50,Over 5,Other,Secondary,Diploma,Female,Younger than 25,Yes,No,Not his/her shift,,,,,,,,,,,,,,
601009,1,6-10,5 or less,Other,Secondary,Diploma,Female,Younger than 25,Yes,Yes,,,1.0,Other,Female,Younger than 25,Diploma,After 2000,Yes,,,Providing Consultation (face-to face patient care),,No,
601009,2,6-10,5 or less,Other,Secondary,Certificate,Male,45 or older,Yes,No,Approved absence,,2.0,Other,Male,45 or older,Certificate,Before 1990,Yes,,,Writing a prescription,,Yes,Late release
601009,3,6-10,5 or less,Other,Secondary,Certificate,Female,25-34,Yes,No,Not his/her shift,,3.0,Other,Female,25-34,Certificate,After 2000,No,Approved absence,,,,,
601009,4,6-10,5 or less,Other,Secondary,Certificate,Female,25-34,Yes,No,Approved absence,,4.0,Other,Female,25-34,Certificate,After 2000,Yes,,,Checking schedule,,Yes,Late release
601009,5,6-10,5 or less,Other,Secondary,Certificate,Female,25-34,Yes,No,Not his/her shift,,5.0,Other,Female,25-34,Certificate,After 2000,No,Not his/her shift,,,,,
601009,6,6-10,5 or less,Other,Secondary,Certificate,Female,25-34,Yes,No,Not his/her shift,,6.0,Other,Female,25-34,Certificate,After 2000,No,Not his/her shift,,,,,
601009,7,6-10,5 or less,Other,Secondary,Certificate,Female,25-34,Yes,No,Not his/her shift,,7.0,Other,Female,25-34,Certificate,After 2000,No,Not his/her shift,,,,,
601010,1,5 or less,5 or less,Other,Secondary,Certificate,Male,35-44,Yes,Yes,,,1.0,Other,Male,35-44,Certificate,In the 1990s,Yes,,,Checking schedule,,No,
601010,2,5 or less,5 or less,Other,Secondary,Certificate,Male,,Yes,No,Approved absence,,2.0,Other,Male,,Certificate,,No,Other (to specify),NO EQUIPMENT IN THE FACILITY,,,,
601010,3,5 or less,5 or less,Other,Secondary,Certificate,Male,35-44,Yes,No,Approved absence,,3.0,Other,Male,35-44,Certificate,In the 1990s,No,Other (to specify),NO EQUIPMENT IN THE FACILITY,,,,
601011,1,11-50,5 or less,Other,Secondary,Certificate,Male,45 or older,Yes,Yes,,,1.0,Other,Male,45 or older,Certificate,Before 1990,Yes,,,Completing forms,,No,
601011,2,11-50,5 or less,Other,Secondary,Certificate,Female,,Yes,No,Approved absence,,2.0,Other,Female,,Certificate,,No,Sick/maternity,,,,,
601011,3,11-50,5 or less,Other,Secondary,Certificate,Female,45 or older,No,Yes,,,3.0,Other,Female,45 or older,Certificate,,No,Approved absence,,,,,
601011,4,11-50,5 or less,Other,Secondary,Certificate,Female,,No,No,Approved absence,,,,,,,,,,,,,,
601011,5,11-50,5 or less,Other,Secondary,,Female,,No,No,Approved absence,,5.0,Other,Female,,,,No,Other (to specify),,,,,
601011,6,11-50,5 or less,Other,Secondary,,Female,,No,No,Approved absence,,,,,,,,,,,,,,
601011,7,11-50,5 or less,Other,Secondary,,Female,,No,No,Approved absence,,7.0,Other,Female,,,,No,Not approved Absence,,,,,
601011,8,11-50,5 or less,Other,Secondary,,Female,,No,No,Approved absence,,8.0,Other,Female,,,,No,Not approved Absence,,,,,
601011,9,11-50,5 or less,Other,Secondary,Certificate,Female,,No,No,Approved absence,,9.0,Other,Female,,Certificate,,No,Sick/maternity,,,,,
601011,10,11-50,5 or less,Other,Secondary,Certificate,Female,,No,No,Approved absence,,10.0,Other,Female,,Certificate,,No,Not approved Absence,,,,,
601011,11,11-50,5 or less,Other,Secondary,Certificate,Male,,No,No,Approved absence,,11.0,Other,Male,,Certificate,,No,Not approved Absence,,,,,
601011,12,11-50,5 or less,Other,Secondary,Certificate,Male,,No,No,Approved absence,,12.0,Other,Male,,Certificate,,No,Not approved Absence,,,,,
601013,1,5 or less,Over 5,Other,Secondary,Certificate,Female,45 or older,Yes,Yes,,,1.0,Other,Female,45 or older,Certificate,Before 1990,No,Approved absence,,,,,
601013,2,5 or less,Over 5,Other,Secondary,Certificate,Female,35-44,Yes,No,Not his/her shift,,2.0,Other,Female,35-44,Certificate,After 2000,Yes,,,Providing Consultation (face-to face patient care),,No,
601013,3,5 or less,Over 5,Other,Secondary,Certificate,Female,,No,No,Approved absence,,3.0,Other,Female,,Certificate,,No,Approved absence,,,,,
601013,4,5 or less,Over 5,Other,Secondary,Certificate,Female,,No,No,Approved absence,,4.0,Other,Female,,Certificate,,No,Approved absence,,,,,
601013,5,5 or less,Over 5,Other,Secondary,Diploma,Female,,No,No,Approved absence,,5.0,Other,Female,,Diploma,,No,Approved absence,,,,,
601014,1,5 or less,5 or less,Other,Secondary,None,Female,35-44,Yes,Yes,,,1.0,Other,Female,35-44,None,After 2000,No,Other (to specify),UNDER LOCK AND KEY,,,,
602001,1,5 or less,5 or less,Other,Secondary,Diploma,Female,45 or older,Yes,Yes,,,1.0,Other,Female,45 or older,Diploma,Before 1990,No,Other (to specify),LOCKED UP,,,,
602001,2,5 or less,5 or less,Other,Secondary,Certificate,Female,35-44,No,No,Not approved Absence,,2.0,Other,Female,35-44,Certificate,After 2000,No,Other (to specify),LOCKED UP,,,,
602001,3,5 or less,5 or less,Other,Secondary,,Female,25-34,No,Yes,,,3.0,Other,Female,25-34,,After 2000,No,Other (to specify),LOCKED UP,,,,
602002,1,6-10,Over 5,Doctor,Post-Secondary,Advanced,Male,45 or older,Yes,Yes,,,1.0,Doctor,Male,45 or older,Advanced,After 2000,Yes,,,Providing Consultation (face-to face patient care),,No,
602002,2,6-10,Over 5,Other,Secondary,Certificate,Female,35-44,No,Yes,,,2.0,Other,Female,35-44,Certificate,After 2000,No,Approved absence,,,,,
602002,3,6-10,Over 5,Other,Secondary,Certificate,Female,25-34,No,Yes,,,3.0,Other,Female,25-34,Certificate,After 2000,No,Not his/her shift,,,,,
602002,4,6-10,Over 5,Other,Secondary,Certificate,Male,45 or older,No,No,Official mission,,4.0,Other,Male,45 or older,Certificate,,No,Not his/her shift,,,,,
602002,5,6-10,Over 5,Other,Secondary,,Male,25-34,No,Yes,,,5.0,Other,Male,25-34,,,No,Not approved Absence,,,,,
602002,6,6-10,Over 5,Nurse,Secondary,Advanced,Female,45 or older,Yes,Yes,,,6.0,Nurse,Female,45 or older,Advanced,After 2000,No,Approved absence,,,,,
602002,7,6-10,Over 5,Nurse,Secondary,Advanced,Female,45 or older,Yes,Yes,,,7.0,Nurse,Female,45 or older,Advanced,After 2000,No,Not his/her shift,,,,,
602002,8,6-10,Over 5,Nurse,Secondary,Advanced,Female,45 or older,Yes,No,Not his/her shift,,8.0,Nurse,Female,45 or older,Advanced,,No,Sick/maternity,,,,,
602002,9,6-10,Over 5,Nurse,Secondary,Advanced,Female,35-44,Yes,No,Not his/her shift,,9.0,Nurse,Female,35-44,Advanced,,No,Not his/her shift,,,,,
602002,10,6-10,Over 5,Nurse,Secondary,Advanced,Male,25-34,Yes,No,Not his/her shift,,10.0,Nurse,Male,25-34,Advanced,,No,Approved absence,,,,,
602003,1,5 or less,5 or less,Other,Secondary,Certificate,Female,25-34,Yes,Yes,,,1.0,Other,Female,25-34,Certificate,After 2000,No,Other (to specify),LOCKED UP,,,,
602003,2,5 or less,5 or less,Other,Post-Secondary,Certificate,Female,,Yes,No,Gone to retrieve salary,,2.0,Other,Female,,Certificate,,No,Other (to specify),LOCKED UP,,,,
602003,3,5 or less,5 or less,Other,Secondary,Certificate,Female,25-34,Yes,Yes,,,3.0,Other,Female,25-34,Certificate,After 2000,No,Other (to specify),LOCKED UP,,,,
602004,1,5 or less,Over 5,Other,Secondary,Certificate,Female,45 or older,Yes,Yes,,,1.0,Other,Female,45 or older,Certificate,Before 1990,Yes,,,Providing Consultation (face-to face patient care),,No,
602004,2,5 or less,Over 5,Other,Secondary,Certificate,Female,35-44,Yes,No,Not his/her shift,,2.0,Other,Female,35-44,Certificate,,No,Approved absence,,,,,
602004,3,5 or less,Over 5,Other,Secondary,Certificate,Female,,Yes,No,Sick/maternity,,3.0,Other,Female,,Certificate,,No,Not his/her shift,,,,,
602004,4,5 or less,Over 5,Other,Secondary,,Male,,No,No,Approved absence,,4.0,Other,Male,,,,No,Not approved Absence,,,,,
602005,1,11-50,Over 5,Doctor,Post-Secondary,Advanced,Male,45 or older,Yes,Yes,,,1.0,Doctor,Male,45 or older,Advanced,Before 1990,Yes,,,Providing Consultation (face-to face patient care),,No,
602005,2,11-50,Over 5,Other,Secondary,Certificate,Male,45 or older,No,No,Not his/her shift,,2.0,Other,Male,45 or older,Certificate,Before 1990,No,Not approved Absence,,,,,
602005,3,11-50,Over 5,Other,Secondary,,Male,35-44,No,No,Approved absence,,3.0,Other,Male,35-44,,After 2000,No,Official mission,,,,,
602005,4,11-50,Over 5,Other,Post-Secondary,Advanced,Female,35-44,No,No,Not his/her shift,,4.0,Other,Female,35-44,Advanced,After 2000,Yes,,,Waiting for patient to undress,,Yes,Bank proccessing delays
602005,5,11-50,Over 5,Other,Secondary,Advanced,Female,25-34,No,No,Not his/her shift,,5.0,Other,Female,25-34,Advanced,After 2000,Yes,,,Looking up medical information,,No,
602005,6,11-50,Over 5,Other,Secondary,None,Female,35-44,No,Yes,,,6.0,Other,Female,35-44,None,After 2000,No,Not his/her shift,,,,,
602005,7,11-50,Over 5,Other,Secondary,None,Male,35-44,No,No,Not his/her shift,,,,,,,,,,,,,,
602005,8,11-50,Over 5,Other,Secondary,None,Male,35-44,No,No,Not his/her shift,,8.0,Other,Male,35-44,,After 2000,Yes,,,Checking schedule,,No,
602005,9,11-50,Over 5,Other,Secondary,None,Female,35-44,No,Yes,,,9.0,Other,Female,35-44,None,After 2000,No,Not his/her shift,,,,,
602005,10,11-50,Over 5,Nurse,Secondary,Diploma,Male,35-44,No,No,Not his/her shift,,10.0,Nurse,Male,35-44,Diploma,After 2000,Yes,,,Reviewing or writing in chart,,No,
602005,11,11-50,Over 5,Nurse,Secondary,Diploma,Male,25-34,No,Yes,,,11.0,Nurse,Male,25-34,Diploma,After 2000,No,Not his/her shift,,,,,
602006,1,6-10,5 or less,Other,Secondary,Advanced,Female,25-34,Yes,Yes,,,1.0,Other,Female,25-34,Advanced,After 2000,Yes,,,Waiting for patient to undress,,No,
602006,2,6-10,5 or less,Other,Secondary,Advanced,Female,25-34,Yes,No,Not his/her shift,,2.0,Other,Female,25-34,Advanced,,No,Approved absence,,,,,
602006,3,6-10,5 or less,Other,Secondary,Advanced,Female,25-34,Yes,No,Not his/her shift,,3.0,Other,Female,25-34,Advanced,,No,Not his/her shift,,,,,
602006,4,6-10,5 or less,Other,Secondary,Certificate,Male,35-44,Yes,No,Sick/maternity,,4.0,Other,Male,35-44,Certificate,,No,Sick/maternity,,,,,
602006,5,6-10,5 or less,Other,Secondary,Certificate,Male,35-44,Yes,No,Not approved Absence,,5.0,Other,Male,35-44,Certificate,,No,Approved absence,,,,,
602006,6,6-10,5 or less,Other,Secondary,Certificate,Male,35-44,Yes,No,Not his/her shift,,6.0,Other,Male,35-44,Certificate,,No,Not his/her shift,,,,,
602006,7,6-10,5 or less,Other,Secondary,Certificate,Female,25-34,Yes,No,Not his/her shift,,7.0,Other,Female,25-34,Certificate,,No,Not approved Absence,,,,,
602006,8,6-10,5 or less,Other,Secondary,Certificate,Female,35-44,Yes,No,Not his/her shift,,8.0,Other,Female,35-44,Certificate,,No,Not his/her shift,,,,,
602007,1,5 or less,5 or less,Other,Secondary,Certificate,Female,35-44,Yes,Yes,,,1.0,Other,Female,35-44,Certificate,After 2000,No,Not approved Absence,,,,,
602007,2,5 or less,5 or less,Other,Secondary,Certificate,Male,45 or older,Yes,No,Official mission,,2.0,Doctor,Male,45 or older,Certificate,,No,Not approved Absence,,,,,
602008,1,5 or less,5 or less,Other,Secondary,Certificate,Female,35-44,Yes,Yes,,,1.0,Other,Female,35-44,Certificate,In the 1990s,Yes,,,Telephone call from/to patient or family members,,Yes,Late release
602009,1,5 or less,Over 5,Other,Secondary,Certificate,Female,35-44,Yes,Yes,,,1.0,Other,Female,35-44,Certificate,In the 1990s,No,Other (to specify),FACILITY LOCKED UP,,,,
602011,1,5 or less,5 or less,Other,Secondary,Certificate,Female,45 or older,Yes,Yes,,,1.0,Other,Female,45 or older,Certificate,Before 1990,No,Gone to retrieve salary,,,,,
602011,2,5 or less,5 or less,Other,Secondary,Certificate,Male,45 or older,Yes,No,Not approved Absence,,2.0,Other,Male,45 or older,Certificate,,No,Not approved Absence,,,,,
602011,3,5 or less,5 or less,Other,Secondary,Certificate,Male,45 or older,Yes,No,Official mission,,3.0,Other,Male,45 or older,Certificate,,No,Not approved Absence,,,,,
602011,4,5 or less,5 or less,Other,Secondary,,Male,25-34,No,Yes,,,4.0,Other,Male,25-34,,After 2000,Yes,,,"Finding missing or pending laboratory information, radiographs or charts",,Yes,Late release
602012,1,11-50,5 or less,Nurse,Post-Secondary,Advanced,Female,45 or older,Yes,No,Approved absence,,,,,,,,,,,,,,
602012,2,11-50,5 or less,Nurse,Secondary,,Female,45 or older,Yes,No,Not his/her shift,,,,,,,,,,,,,,
602012,3,11-50,5 or less,Nurse,Post-Secondary,,Female,35-44,Yes,No,Not his/her shift,,3.0,Nurse,Female,35-44,Advanced,,No,Not his/her shift,,,,,
602012,4,11-50,5 or less,Nurse,Secondary,,Female,Younger than 25,Yes,Yes,,,4.0,Nurse,Female,25-34,Advanced,After 2000,Yes,,,Looking up medical information,,No,
