unique_id,fac_id,staff_id,m2sfq1,m2sfq3,m2sfq4,m2sfq7,m2sfq8,m2sfq9,m2sfq10,m2sfq11,m2sfq12,m2sfq13,m2sfq14,m2sfq14aut,m2sfq15,m2sfq16,m2sgq1,m2sgq3,m2sgq5,m2sgq6,m2sgq7,m2sgq8,m2sgq8aut,m2sgq9,m2sgq10,has_roster,has_absentee,country,absence_rate
1_1,1,1,Over 50,Over 5,1,Doctor,Post-Secondary,Advanced,Homme,35-44,Oui,0,Formation/séminaire/réunion,,Non,Non,,,,,,,,,,1,,Togo-2013,0.5
1_4,1,4,Over 50,Over 5,4,Clinical Officer,Post-Secondary,Advanced,Homme,35-44,0,Oui,,,Oui,Non,3.0,4.0,Clinical Officer,Homme,Oui,,,Consultation/visite de malade,0.0,1,1.0,Togo-2013,0.5
1_5,1,5,Over 50,Over 5,5,Other,Post-Secondary,Advanced,0,35-44,0,Oui,,,Non,Non,,,,,,,,,,1,,Togo-2013,0.5
1_2,1,2,Over 50,Over 5,2,Clinical Officer,Post-Secondary,Advanced,Homme,35-44,Oui,Oui,,,Oui,Oui,1.0,2.0,Clinical Officer,Homme,Oui,,,Traitement de dossiers/élaboration de rapports,0.0,1,1.0,Togo-2013,0.5
1_21,1,21,Over 50,Over 5,21,Nurse,Post-Secondary,Advanced,0,25-34,Oui,Oui,,,Oui,Oui,10.0,21.0,Nurse,0.0,Oui,,,Consultation/visite de malade,0.0,1,1.0,Togo-2013,0.5
1_18,1,18,Over 50,Over 5,18,Clinical Officer,Post-Secondary,Advanced,Homme,25-34,Oui,Oui,,,Non,Oui,,,,,,,,,,1,,Togo-2013,0.5
1_6,1,6,Over 50,Over 5,6,Nurse,Secondary,Diploma,Homme,45 or older,0,0,Absence autorisée (permission/congé),,Non,Non,,,,,,,,,,1,,Togo-2013,0.5
1_17,1,17,Over 50,Over 5,17,Other,Primary,Certificate,0,35-44,Oui,0,Absence autorisée (permission/congé),,Non,Non,,,,,,,,,,1,,Togo-2013,0.5
1_3,1,3,Over 50,Over 5,3,Nurse,Secondary,Diploma,0,45 or older,Oui,0,Formation/séminaire/réunion,,Oui,Non,2.0,3.0,Nurse,0.0,0.0,Formation/séminaire/réunion,,,,1,1.0,Togo-2013,0.5
1_19,1,19,Over 50,Over 5,19,Clinical Officer,Post-Secondary,Advanced,Homme,25-34,Oui,0,"Repos de garde (pré-garde, sortie de garde)",,Non,Non,,,,,,,,,,1,,Togo-2013,0.5
10_6,10,6,6-10,5 or less,6,Other,Primary,None,Homme,45 or older,0,Oui,,,Oui,Non,6.0,6.0,Other,Homme,Oui,,,Traitement de dossiers/élaboration de rapports,0.0,1,1.0,Togo-2013,0.16666667
10_2,10,2,6-10,5 or less,2,Nurse,Post-Secondary,Advanced,0,25-34,Oui,0,Formation/séminaire/réunion,,Oui,Non,2.0,2.0,Nurse,0.0,Oui,,,Discussion avec collègues/réunion/Staff,0.0,1,1.0,Togo-2013,0.16666667
10_4,10,4,6-10,5 or less,4,Other,Secondary,Diploma,0,25-34,Oui,Oui,,,Oui,Oui,4.0,4.0,Other,0.0,Oui,,,Traitement de dossiers/élaboration de rapports,0.0,1,1.0,Togo-2013,0.16666667
10_5,10,5,6-10,5 or less,5,Other,Primary,None,Homme,45 or older,0,Oui,,,Oui,Non,5.0,5.0,Other,Homme,Oui,,,Traitement de dossiers/élaboration de rapports,0.0,1,1.0,Togo-2013,0.16666667
10_1,10,1,6-10,5 or less,1,Nurse,Post-Secondary,Advanced,Homme,25-34,Oui,Oui,,,Oui,Oui,1.0,1.0,Nurse,Homme,Oui,,,Discussion avec collègues/réunion/Staff,0.0,1,1.0,Togo-2013,0.16666667
10_3,10,3,6-10,5 or less,3,Other,Primary,Certificate,0,45 or older,Oui,0,Absence autorisée (permission/congé),,Oui,,3.0,3.0,Other,0.0,0.0,Absence autorisée (permission/congé),,,,1,1.0,Togo-2013,0.16666667
100_2,100,2,6-10,5 or less,2,Other,Secondary,Certificate,0,25-34,Oui,Oui,,,Oui,Oui,2.0,2.0,Other,0.0,Oui,,,Consultation/visite de malade,0.0,1,1.0,Togo-2013,0.0
100_1,100,1,6-10,5 or less,1,Nurse,Post-Secondary,Advanced,Homme,35-44,Oui,Oui,,,Oui,Oui,1.0,1.0,Nurse,Homme,Oui,,,Consultation/visite de malade,0.0,1,1.0,Togo-2013,0.0
100_4,100,4,6-10,5 or less,4,Other,Secondary,Diploma,Homme,25-34,0,Oui,,,Oui,Non,4.0,4.0,Other,Homme,Oui,,,Laboratoires/examens/radios,0.0,1,1.0,Togo-2013,0.0
100_5,100,5,6-10,5 or less,5,Other,Secondary,Diploma,0,25-34,0,Oui,,,Oui,Non,5.0,5.0,Other,0.0,Oui,,,Consultation/visite de malade,0.0,1,1.0,Togo-2013,0.0
100_3,100,3,6-10,5 or less,3,Other,Secondary,Diploma,0,25-34,Oui,Oui,,,Oui,Oui,3.0,3.0,Other,0.0,Oui,,,Consultation/visite de malade,0.0,1,1.0,Togo-2013,0.0
101_4,101,4,5 or less,5 or less,4,Other,Secondary,None,Homme,35-44,0,Oui,,,Oui,Non,4.0,4.0,Other,Homme,0.0,Absence autorisée (permission/congé),,,,1,1.0,Togo-2013,0.75
101_2,101,2,5 or less,5 or less,2,Nurse,Secondary,None,Homme,35-44,Oui,Oui,,,Oui,Oui,2.0,2.0,Nurse,Homme,0.0,Formation/séminaire/réunion,,,,1,1.0,Togo-2013,0.75
101_3,101,3,5 or less,5 or less,3,Other,Primary,None,0,35-44,Oui,Oui,,,Oui,Oui,3.0,3.0,Other,0.0,Oui,,,Consultation/visite de malade,0.0,1,1.0,Togo-2013,0.75
101_1,101,1,5 or less,5 or less,1,Nurse,Post-Secondary,Advanced,Homme,25-34,Oui,0,Formation/séminaire/réunion,,Oui,Non,1.0,1.0,Nurse,Homme,0.0,Formation/séminaire/réunion,,,,1,1.0,Togo-2013,0.75
102_1,102,1,5 or less,5 or less,1,Nurse,Post-Secondary,Diploma,Homme,25-34,Oui,Oui,,,Oui,Oui,1.0,1.0,Nurse,Homme,0.0,Mission officielle,,,,1,1.0,Togo-2013,0.6666667
102_3,102,3,5 or less,5 or less,3,Other,Secondary,None,0,25-34,0,Oui,,,Oui,Non,3.0,3.0,Other,0.0,Oui,,,Autres,0.0,1,1.0,Togo-2013,0.6666667
102_2,102,2,5 or less,5 or less,2,Other,Secondary,None,0,25-34,Oui,Oui,,,Oui,Oui,2.0,2.0,Other,0.0,0.0,Autres (à préciser),,,,1,1.0,Togo-2013,0.6666667
103_1,103,1,5 or less,5 or less,1,Other,Primary,Certificate,0,35-44,Oui,Oui,,,Oui,Oui,1.0,1.0,Other,0.0,Oui,,,Traitement de dossiers/élaboration de rapports,0.0,1,1.0,Togo-2013,0.0
104_2,104,2,5 or less,5 or less,2,Other,Primary,None,0,35-44,Oui,Oui,,,Oui,Oui,2.0,2.0,Other,0.0,0.0,Absence non autorisée,,,,1,1.0,Togo-2013,1.0
104_1,104,1,5 or less,5 or less,1,Nurse,Secondary,Diploma,Homme,45 or older,Oui,Oui,,,Oui,Oui,1.0,1.0,Nurse,Homme,0.0,Formation/séminaire/réunion,,,,1,1.0,Togo-2013,1.0
104_3,104,3,5 or less,5 or less,3,Other,Primary,None,Homme,45 or older,0,0,Absence autorisée (permission/congé),,Oui,,3.0,3.0,Other,Homme,0.0,Absence non autorisée,,,,1,1.0,Togo-2013,1.0
105_2,105,2,5 or less,5 or less,2,Nurse,Secondary,Diploma,0,35-44,Oui,Oui,,,Oui,Oui,2.0,2.0,Nurse,0.0,0.0,Mission officielle,,,,1,1.0,Togo-2013,0.75
105_1,105,1,5 or less,5 or less,1,Nurse,Post-Secondary,Advanced,Homme,35-44,Oui,Oui,,,Oui,Oui,1.0,1.0,Nurse,Homme,0.0,Mission officielle,,,,1,1.0,Togo-2013,0.75
105_4,105,4,5 or less,5 or less,4,Nurse,Primary,None,0,35-44,Oui,Oui,,,Oui,Oui,4.0,4.0,Nurse,0.0,Oui,,,Autres,0.0,1,1.0,Togo-2013,0.75
105_3,105,3,5 or less,5 or less,3,Other,Secondary,None,0,25-34,Oui,0,Absence autorisée (permission/congé),,Oui,Non,3.0,3.0,Other,0.0,0.0,Absence autorisée (permission/congé),,,,1,1.0,Togo-2013,0.75
106_2,106,2,5 or less,5 or less,2,Other,Secondary,None,0,25-34,Oui,Oui,,,Oui,Oui,2.0,2.0,Other,0.0,Oui,,,Consultation/visite de malade,0.0,1,1.0,Togo-2013,0.33333334
106_1,106,1,5 or less,5 or less,1,Nurse,Secondary,Diploma,Homme,25-34,Oui,Oui,,,Oui,Oui,1.0,1.0,Nurse,Homme,0.0,Formation/séminaire/réunion,,,,1,1.0,Togo-2013,0.33333334
106_3,106,3,5 or less,5 or less,3,Other,Post-Secondary,None,Homme,25-34,0,Oui,,,Oui,Non,3.0,3.0,Other,Homme,Oui,,,Consultation/visite de malade,0.0,1,1.0,Togo-2013,0.33333334
107_2,107,2,5 or less,5 or less,2,Other,Secondary,None,0,25-34,Oui,Oui,,,Oui,Oui,2.0,2.0,Other,0.0,Oui,,,Consultation/visite de malade,0.0,1,1.0,Togo-2013,0.0
107_3,107,3,5 or less,5 or less,3,Other,Secondary,None,0,25-34,0,0,Maladie/maternité,,Oui,Non,3.0,3.0,Other,0.0,Oui,,,Traitement de dossiers/élaboration de rapports,0.0,1,1.0,Togo-2013,0.0
107_1,107,1,5 or less,5 or less,1,Nurse,Post-Secondary,None,Homme,35-44,Oui,Oui,,,Oui,Oui,1.0,1.0,Nurse,Homme,Oui,,,Consultation/visite de malade,0.0,1,1.0,Togo-2013,0.0
108_10,108,10,11-50,5 or less,10,Other,Primary,None,0,25-34,Oui,Oui,,,Oui,Oui,10.0,10.0,Other,0.0,Oui,,,Discussion avec collègues/réunion/Staff,0.0,1,1.0,Togo-2013,0.5
108_3,108,3,11-50,5 or less,3,Nurse,Secondary,Diploma,0,25-34,Oui,Oui,,,Oui,Oui,3.0,3.0,Nurse,0.0,Oui,,,Consultation/visite de malade,0.0,1,1.0,Togo-2013,0.5
108_5,108,5,11-50,5 or less,5,Nurse,Primary,None,0,35-44,Oui,0,"Repos de garde (pré-garde, sortie de garde)",,Oui,,5.0,5.0,Nurse,0.0,0.0,"Repos de garde (pré-garde, sortie de garde)",,,,1,1.0,Togo-2013,0.5
108_7,108,7,11-50,5 or less,7,Other,Primary,None,0,45 or older,0,Oui,,,Oui,Non,7.0,7.0,Other,0.0,Oui,,,Discussion avec collègues/réunion/Staff,0.0,1,1.0,Togo-2013,0.5
108_9,108,9,11-50,5 or less,9,Other,Primary,None,0,35-44,Oui,Oui,,,Oui,Oui,9.0,9.0,Other,0.0,0.0,"Repos de garde (pré-garde, sortie de garde)",,,,1,1.0,Togo-2013,0.5
108_2,108,2,11-50,5 or less,2,Nurse,Post-Secondary,Advanced,0,25-34,Oui,0,Formation/séminaire/réunion,,Oui,,2.0,2.0,Nurse,0.0,0.0,Formation/séminaire/réunion,,,,1,1.0,Togo-2013,0.5
108_6,108,6,11-50,5 or less,6,Other,Primary,None,Homme,35-44,0,Oui,,,Oui,Non,6.0,6.0,Other,Homme,Oui,,,Discussion avec collègues/réunion/Staff,0.0,1,1.0,Togo-2013,0.5
108_11,108,11,11-50,5 or less,11,Other,Primary,None,Homme,45 or older,0,Oui,,,Non,Non,,,,,,,,,,1,,Togo-2013,0.5
108_1,108,1,11-50,5 or less,1,Clinical Officer,Post-Secondary,Advanced,Homme,45 or older,Oui,Oui,,,Oui,Oui,1.0,1.0,Clinical Officer,Homme,0.0,Absence non autorisée,,,,1,1.0,Togo-2013,0.5
108_4,108,4,11-50,5 or less,4,Other,Post-Secondary,Advanced,Homme,25-34,0,Oui,,,Oui,Non,4.0,4.0,Other,Homme,0.0,Absence autorisée (permission/congé),,,,1,1.0,Togo-2013,0.5
108_8,108,8,11-50,5 or less,8,Other,Primary,None,0,35-44,Oui,Oui,,,Oui,Oui,8.0,8.0,Other,0.0,Oui,,,Discussion avec collègues/réunion/Staff,0.0,1,1.0,Togo-2013,0.5
109_2,109,2,5 or less,5 or less,2,Other,Secondary,None,0,35-44,Oui,Oui,,,Oui,Oui,2.0,2.0,Other,0.0,Oui,,,Consultation/visite de malade,0.0,1,1.0,Togo-2013,0.0
109_1,109,1,5 or less,5 or less,1,Nurse,Secondary,Diploma,Homme,35-44,Oui,Oui,,,Oui,Oui,1.0,1.0,Nurse,Homme,Oui,,,Traitement de dossiers/élaboration de rapports,0.0,1,1.0,Togo-2013,0.0
11_2,11,2,6-10,5 or less,2,Other,Post-Secondary,Diploma,0,35-44,Oui,Oui,,,Oui,Oui,2.0,2.0,Other,0.0,Oui,,,Discussion avec collègues/réunion/Staff,0.0,1,1.0,Togo-2013,0.25
11_8,11,8,6-10,5 or less,8,Other,Secondary,None,Homme,45 or older,0,0,Maladie/maternité,,Oui,Non,8.0,8.0,Other,Homme,0.0,Absence autorisée (permission/congé),,,,1,1.0,Togo-2013,0.25
11_6,11,6,6-10,5 or less,6,Other,Secondary,None,0,45 or older,Oui,Oui,,,Oui,Oui,6.0,6.0,Other,0.0,Oui,,,Discussion avec collègues/réunion/Staff,0.0,1,1.0,Togo-2013,0.25
11_4,11,4,6-10,5 or less,4,Other,Secondary,None,0,35-44,Oui,Oui,,,Oui,Oui,4.0,4.0,Other,0.0,Oui,,,Discussion avec collègues/réunion/Staff,0.0,1,1.0,Togo-2013,0.25
11_1,11,1,6-10,5 or less,1,Nurse,Post-Secondary,Diploma,Homme,45 or older,Oui,Oui,,,Oui,Oui,1.0,1.0,Nurse,Homme,Oui,,,Discussion avec collègues/réunion/Staff,0.0,1,1.0,Togo-2013,0.25
11_7,11,7,6-10,5 or less,7,Other,Secondary,None,Homme,45 or older,0,Oui,,,Oui,Non,7.0,7.0,Other,Homme,Oui,,,Discussion avec collègues/réunion/Staff,0.0,1,1.0,Togo-2013,0.25
11_3,11,3,6-10,5 or less,3,Other,Post-Secondary,Advanced,Homme,35-44,0,Oui,,,Oui,Non,3.0,3.0,Other,Homme,0.0,Absence autorisée (permission/congé),,,,1,1.0,Togo-2013,0.25
11_5,11,5,6-10,5 or less,5,Other,Post-Secondary,None,0,35-44,0,Oui,,,Oui,Non,5.0,5.0,Other,0.0,Oui,,,Discussion avec collègues/réunion/Staff,0.0,1,1.0,Togo-2013,0.25
110_1,110,1,5 or less,5 or less,1,Nurse,Primary,Certificate,Homme,45 or older,Oui,0,Absence non autorisée,,Oui,,1.0,1.0,Nurse,Homme,0.0,Absence non autorisée,,,,1,1.0,Togo-2013,0.33333334
110_2,110,2,5 or less,5 or less,2,Nurse,Post-Secondary,Diploma,Homme,25-34,Oui,0,Formation/séminaire/réunion,,Oui,,2.0,2.0,Nurse,Homme,Oui,,,Consultation/visite de malade,0.0,1,1.0,Togo-2013,0.33333334
110_3,110,3,5 or less,5 or less,3,Other,Secondary,None,0,25-34,Oui,Oui,,,Oui,Oui,3.0,3.0,Other,0.0,Oui,,,Consultation/visite de malade,0.0,1,1.0,Togo-2013,0.33333334
111_5,111,5,11-50,Over 5,5,Nurse,Secondary,Diploma,Homme,45 or older,Oui,Oui,,,Oui,Oui,3.0,5.0,Nurse,Homme,Oui,,,Consultation/visite de malade,0.0,1,1.0,Togo-2013,0.6
111_7,111,7,11-50,Over 5,7,Other,Primary,None,0,45 or older,0,Oui,,,Non,Non,,,,,,,,,,1,,Togo-2013,0.6
111_22,111,22,11-50,Over 5,22,Other,Secondary,Diploma,Homme,45 or older,0,Oui,,,Non,Non,,,,,,,,,,1,,Togo-2013,0.6
111_16,111,16,11-50,Over 5,16,Other,Post-Secondary,Advanced,Homme,45 or older,0,Oui,,,Non,Non,,,,,,,,,,1,,Togo-2013,0.6
111_15,111,15,11-50,Over 5,15,Clinical Officer,Post-Secondary,Advanced,Homme,25-34,Oui,0,Absence autorisée (permission/congé),,Non,,,,,,,,,,,1,,Togo-2013,0.6
111_25,111,25,11-50,Over 5,25,Other,Post-Secondary,Advanced,Homme,25-34,0,Oui,,,Non,Non,,,,,,,,,,1,,Togo-2013,0.6
111_3,111,3,11-50,Over 5,3,Nurse,Post-Secondary,Advanced,Homme,25-34,Oui,Oui,,,Oui,Oui,1.0,3.0,Nurse,Homme,0.0,"Repos de garde (pré-garde, sortie de garde)",,,,1,1.0,Togo-2013,0.6
111_1,111,1,11-50,Over 5,1,Doctor,Post-Secondary,Advanced,Homme,25-34,Oui,Oui,,,Non,Oui,,,,,,,,,,1,,Togo-2013,0.6
111_14,111,14,11-50,Over 5,14,Other,Secondary,None,0,25-34,Oui,Oui,,,Oui,Oui,6.0,14.0,Other,0.0,0.0,"Repos de garde (pré-garde, sortie de garde)",,,,1,1.0,Togo-2013,0.6
111_21,111,21,11-50,Over 5,21,Other,Secondary,None,0,25-34,0,Oui,,,Oui,Non,9.0,21.0,Other,0.0,Oui,,,Autres,Oui,1,1.0,Togo-2013,0.6
111_12,111,12,11-50,Over 5,12,Other,Secondary,None,0,35-44,0,Oui,,,Non,Non,,,,,,,,,,1,,Togo-2013,0.6
111_20,111,20,11-50,Over 5,20,Other,Post-Secondary,None,Homme,35-44,0,Oui,,,Oui,Non,8.0,20.0,Other,Homme,Oui,,,Autres,0.0,1,1.0,Togo-2013,0.6
111_6,111,6,11-50,Over 5,6,Nurse,Secondary,Diploma,0,45 or older,Oui,Oui,,,Non,Oui,,,,,,,,,,1,,Togo-2013,0.6
111_11,111,11,11-50,Over 5,11,Other,Primary,None,0,45 or older,Oui,Oui,,,Non,Oui,,,,,,,,,,1,,Togo-2013,0.6
111_9,111,9,11-50,Over 5,9,Other,Secondary,Diploma,0,Younger than 25,Oui,Oui,,,Oui,Oui,4.0,9.0,Other,0.0,0.0,"Repos de garde (pré-garde, sortie de garde)",,,,1,1.0,Togo-2013,0.6
111_4,111,4,11-50,Over 5,4,Nurse,Post-Secondary,Advanced,Homme,45 or older,0,Oui,,,Oui,Non,2.0,4.0,Nurse,Homme,Oui,,,Traitement de dossiers/élaboration de rapports,0.0,1,1.0,Togo-2013,0.6
111_13,111,13,11-50,Over 5,13,Other,Primary,None,Homme,25-34,Oui,0,Mission officielle,,Non,,,,,,,,,,,1,,Togo-2013,0.6
111_8,111,8,11-50,Over 5,8,Other,Primary,None,0,45 or older,Oui,0,"Repos de garde (pré-garde, sortie de garde)",,Non,,,,,,,,,,,1,,Togo-2013,0.6
111_19,111,19,11-50,Over 5,19,Other,Primary,None,0,45 or older,0,0,"Repos de garde (pré-garde, sortie de garde)",,Non,,,,,,,,,,,1,,Togo-2013,0.6
111_18,111,18,11-50,Over 5,18,Other,Secondary,None,0,25-34,0,Oui,,,Oui,Non,7.0,18.0,Other,0.0,0.0,Absence autorisée (permission/congé),,,,1,1.0,Togo-2013,0.6
111_24,111,24,11-50,Over 5,24,Other,Post-Secondary,Advanced,Homme,35-44,0,Oui,,,Oui,Non,10.0,24.0,Other,Homme,0.0,Formation/séminaire/réunion,,,,1,1.0,Togo-2013,0.6
111_2,111,2,11-50,Over 5,2,Clinical Officer,Post-Secondary,Advanced,Homme,45 or older,Oui,0,Mission officielle,,Non,,,,,,,,,,,1,,Togo-2013,0.6
111_23,111,23,11-50,Over 5,23,Other,Secondary,Diploma,Homme,45 or older,0,Oui,,,Non,Non,,,,,,,,,,1,,Togo-2013,0.6
111_17,111,17,11-50,Over 5,17,Other,Secondary,Diploma,Homme,45 or older,0,Oui,,,Non,Non,,,,,,,,,,1,,Togo-2013,0.6
111_10,111,10,11-50,Over 5,10,Other,Secondary,Diploma,0,35-44,Oui,0,Maladie/maternité,,Oui,,5.0,10.0,Other,0.0,0.0,Maladie/maternité,,,,1,1.0,Togo-2013,0.6
112_2,112,2,5 or less,5 or less,2,Other,Primary,None,0,35-44,Oui,0,Formation/séminaire/réunion,,Oui,,2.0,2.0,Other,0.0,0.0,Formation/séminaire/réunion,,,,1,1.0,Togo-2013,0.6666667
112_3,112,3,5 or less,5 or less,3,Other,Secondary,None,0,Younger than 25,Oui,Oui,,,Oui,Oui,3.0,3.0,Other,0.0,Oui,,,Consultation/visite de malade,0.0,1,1.0,Togo-2013,0.6666667
112_1,112,1,5 or less,5 or less,1,Nurse,Post-Secondary,Advanced,Homme,35-44,Oui,0,Formation/séminaire/réunion,,Oui,,1.0,1.0,Nurse,Homme,0.0,Formation/séminaire/réunion,,,,1,1.0,Togo-2013,0.6666667
113_2,113,2,5 or less,5 or less,2,Other,Secondary,None,0,25-34,Oui,Oui,,,Oui,Oui,2.0,2.0,Other,0.0,Oui,,,Discussion avec collègues/réunion/Staff,0.0,1,1.0,Togo-2013,0.25
113_4,113,4,5 or less,5 or less,4,Other,Secondary,None,Homme,25-34,0,Oui,,,Oui,Non,4.0,4.0,Other,Homme,Oui,,,Laboratoires/examens/radios,0.0,1,1.0,Togo-2013,0.25
113_1,113,1,5 or less,5 or less,1,Nurse,Post-Secondary,Advanced,Homme,25-34,Oui,Oui,,,Oui,Oui,1.0,1.0,Nurse,Homme,Oui,,,Consultation/visite de malade,0.0,1,1.0,Togo-2013,0.25
113_3,113,3,5 or less,5 or less,3,Other,Secondary,None,0,25-34,Oui,0,Absence autorisée (permission/congé),,Oui,,3.0,3.0,Other,0.0,0.0,Absence autorisée (permission/congé),,,,1,1.0,Togo-2013,0.25
114_5,114,5,11-50,5 or less,5,Other,Secondary,None,0,25-34,Oui,Oui,,,Oui,Oui,5.0,5.0,Other,0.0,0.0,Formation/séminaire/réunion,,,,1,1.0,Togo-2013,0.6666667
114_9,114,9,11-50,5 or less,9,Other,Secondary,None,Homme,25-34,0,Oui,,,Oui,Non,9.0,9.0,Other,Homme,Oui,,,Laboratoires/examens/radios,0.0,1,1.0,Togo-2013,0.6666667
114_6,114,6,11-50,5 or less,6,Other,Secondary,None,0,35-44,Oui,Oui,,,Oui,Oui,6.0,6.0,Other,0.0,0.0,"Repos de garde (pré-garde, sortie de garde)",,,,1,1.0,Togo-2013,0.6666667
114_2,114,2,11-50,5 or less,2,Nurse,Secondary,Diploma,0,35-44,Oui,Oui,,,Oui,Oui,2.0,2.0,Nurse,0.0,0.0,Absence autorisée (permission/congé),,,,1,1.0,Togo-2013,0.6666667
114_1,114,1,11-50,5 or less,1,Clinical Officer,Post-Secondary,Advanced,0,35-44,Oui,Oui,,,Oui,Oui,,1.0,Clinical Officer,0.0,0.0,En stage,,,,1,1.0,Togo-2013,0.6666667
114_3,114,3,11-50,5 or less,3,Other,Primary,Certificate,0,45 or older,Oui,Oui,,,Oui,Oui,3.0,3.0,Other,0.0,Oui,,,Consultation/visite de malade,0.0,1,1.0,Togo-2013,0.6666667
114_8,114,8,11-50,5 or less,8,Other,Post-Secondary,Advanced,Homme,25-34,0,Oui,,,Oui,Non,8.0,8.0,Other,Homme,0.0,Absence non autorisée,,,,1,1.0,Togo-2013,0.6666667
114_7,114,7,11-50,5 or less,7,Other,Primary,None,Homme,45 or older,0,Oui,,,Oui,Non,7.0,7.0,Other,Homme,Oui,,,Autres,0.0,1,1.0,Togo-2013,0.6666667
114_4,114,4,11-50,5 or less,4,Nurse,Secondary,Certificate,Homme,45 or older,Oui,Oui,,,Oui,Oui,4.0,4.0,Nurse,Homme,0.0,Est allé retirer son salaire,,,,1,1.0,Togo-2013,0.6666667
115_1,115,1,5 or less,5 or less,1,Other,Secondary,None,0,35-44,Oui,Oui,,,Oui,Oui,1.0,1.0,Other,0.0,0.0,Formation/séminaire/réunion,,,,1,1.0,Togo-2013,0.5
115_2,115,2,5 or less,5 or less,2,Other,Primary,None,0,35-44,0,Oui,,,Oui,Non,2.0,2.0,Other,0.0,Oui,,,Autres,0.0,1,1.0,Togo-2013,0.5
116_3,116,3,5 or less,5 or less,3,Other,Primary,None,0,35-44,0,Oui,,,Oui,Non,3.0,3.0,Other,0.0,0.0,Absence autorisée (permission/congé),,,,1,1.0,Togo-2013,0.6666667
116_1,116,1,5 or less,5 or less,1,Nurse,Post-Secondary,Advanced,Homme,25-34,Oui,Oui,,,Oui,Oui,,1.0,Nurse,Homme,Oui,,,Autres,Oui,1,1.0,Togo-2013,0.6666667
116_2,116,2,5 or less,5 or less,2,Other,Primary,None,0,45 or older,Oui,Oui,,,Oui,Oui,2.0,2.0,Other,0.0,0.0,Formation/séminaire/réunion,,,,1,1.0,Togo-2013,0.6666667
