unique_id,fac_id,staff_id,m2saq1,m2saq2,m2saq3,m2q5_c,m2q6_hr,m2q6_mn,m2q7_hr,m2q7_mn,m2saq4,m2saq7,m2saq8,m2saq9,m2saq10,m2saq11,m2saq12,m2saq13,m2saq14,m2saq15,m2saq16,m2sbq1,m2sbq3,m2sbq5,m2sbq6,m2sbq7,m2sbq8,m2sbq9,m2sbq10,m2sbq11,m2sbq12,m2sbq13,m2sbq14,has_roster,has_absentee,country,absence_rate
100_9,100,9,11-50,11-50,5 or less,403,12,11,11,30,9,Other,Secondary,Certificate,0,Younger than 25,0,0,"On call (pre on call, post on call)",Yes,,8.0,9.0,Other,Secondary,Certificate,After 2000,0.0,Younger than 25,Yes,,Consultation/visiting patient,Yes,1,1.0,Tanzania-2014,0.4
100_3,100,3,11-50,11-50,5 or less,403,12,11,11,30,3,Nurse,Secondary,Diploma,0,45 or older,0,0,"On call (pre on call, post on call)",Yes,,3.0,3.0,Nurse,Secondary,Diploma,Before 1990,0.0,45 or older,Yes,,Consultation/visiting patient,0.0,1,1.0,Tanzania-2014,0.4
100_1,100,1,11-50,11-50,5 or less,403,12,11,11,30,1,Doctor,Secondary,Diploma,Male,45 or older,Yes,0,"On call (pre on call, post on call)",Yes,,1.0,1.0,Doctor,Secondary,Diploma,Before 1990,Male,45 or older,0.0,"On call (pre on call, post on call)",,,1,1.0,Tanzania-2014,0.4
101_7,101,7,6-10,6-10,5 or less,403,15,23,16,0,7,Other,Primary,Certificate,0,45 or older,0,0,"On call (pre on call, post on call)",Yes,,7.0,7.0,Other,Primary,Certificate,After 2000,0.0,45 or older,Yes,,Consultation/visiting patient,0.0,1,1.0,Tanzania-2014,0.0
101_4,101,4,6-10,6-10,5 or less,403,15,23,16,0,4,Other,Secondary,Certificate,0,Younger than 25,0,Yes,,Yes,,4.0,4.0,Other,Secondary,Certificate,After 2000,0.0,Younger than 25,Yes,,Consultation/visiting patient,0.0,1,1.0,Tanzania-2014,0.0
101_3,101,3,6-10,6-10,5 or less,403,15,23,16,0,3,Other,Primary,Certificate,0,45 or older,0,Yes,,Yes,,3.0,3.0,Other,Primary,Certificate,After 2000,0.0,45 or older,Yes,,Consultation/visiting patient,0.0,1,1.0,Tanzania-2014,0.0
101_2,101,2,6-10,6-10,5 or less,403,15,23,16,0,2,Clinical Officer,Secondary,Diploma,Male,45 or older,Yes,0,"On call (pre on call, post on call)",Yes,,2.0,2.0,Clinical Officer,Secondary,Diploma,After 2000,Male,45 or older,Yes,,Consultation/visiting patient,0.0,1,1.0,Tanzania-2014,0.0
101_5,101,5,6-10,6-10,5 or less,403,15,23,16,0,5,Other,Secondary,Certificate,0,25-34,0,Yes,,Yes,,5.0,5.0,Other,Secondary,Certificate,After 2000,0.0,25-34,Yes,,Consultation/visiting patient,0.0,1,1.0,Tanzania-2014,0.0
101_1,101,1,6-10,6-10,5 or less,403,15,23,16,0,1,Nurse,Secondary,Certificate,0,35-44,Yes,Yes,,Yes,Yes,1.0,1.0,Nurse,Secondary,Certificate,After 2000,0.0,35-44,Yes,,Consultation/visiting patient,0.0,1,1.0,Tanzania-2014,0.0
101_8,101,8,6-10,6-10,5 or less,403,15,23,16,0,8,Other,Primary,Certificate,0,45 or older,0,0,Official mission,Yes,,8.0,8.0,Other,Primary,Certificate,After 2000,0.0,45 or older,Yes,,Consultation/visiting patient,0.0,1,1.0,Tanzania-2014,0.0
101_6,101,6,6-10,6-10,5 or less,403,15,23,16,0,6,Other,Primary,Certificate,0,25-34,0,0,"On call (pre on call, post on call)",Yes,,6.0,6.0,Other,Primary,Certificate,After 2000,0.0,25-34,Yes,,Consultation/visiting patient,0.0,1,1.0,Tanzania-2014,0.0
102_11,102,11,11-50,11-50,Over 5,403,10,31,11,0,11,Other,Primary,Certificate,0,35-44,0,0,"On call (pre on call, post on call)",Yes,,8.0,11.0,Other,Primary,Certificate,In the 1990s,0.0,35-44,0.0,"On call (pre on call, post on call)",,,1,1.0,Tanzania-2014,0.5
102_10,102,10,11-50,11-50,Over 5,403,10,31,11,0,10,Nurse,Primary,Certificate,0,35-44,0,0,"On call (pre on call, post on call)",Yes,,7.0,10.0,Nurse,Primary,Certificate,Before 1990,0.0,35-44,Yes,,Consultation/visiting patient,Yes,1,1.0,Tanzania-2014,0.5
102_5,102,5,11-50,11-50,Over 5,403,10,31,11,0,5,Other,Primary,Certificate,0,45 or older,0,0,Sickness/maternity,Yes,,4.0,5.0,Other,Primary,Certificate,Before 1990,0.0,45 or older,0.0,"On call (pre on call, post on call)",,,1,1.0,Tanzania-2014,0.5
102_3,102,3,11-50,11-50,Over 5,403,10,31,11,0,3,Clinical Officer,Secondary,Diploma,Male,45 or older,Yes,0,"On call (pre on call, post on call)",Yes,,2.0,3.0,Clinical Officer,Secondary,Diploma,Before 1990,Male,45 or older,Yes,,Consultation/visiting patient,Yes,1,1.0,Tanzania-2014,0.5
102_1,102,1,11-50,11-50,Over 5,403,10,31,11,0,1,Doctor,Secondary,Diploma,Male,45 or older,Yes,0,Official mission,No,,,,,,,,,,,,,,1,,Tanzania-2014,0.5
102_2,102,2,11-50,11-50,Over 5,403,10,31,11,0,2,Clinical Officer,Secondary,Diploma,Male,45 or older,Yes,Yes,,Yes,Yes,1.0,2.0,Clinical Officer,Secondary,Diploma,Before 1990,Male,45 or older,Yes,,Consultation/visiting patient,Yes,1,1.0,Tanzania-2014,0.5
102_13,102,13,11-50,11-50,Over 5,403,10,31,11,0,13,Other,Secondary,Certificate,0,25-34,0,Yes,,Yes,,10.0,13.0,Other,Secondary,Certificate,After 2000,0.0,25-34,0.0,"On call (pre on call, post on call)",,,1,1.0,Tanzania-2014,0.5
102_4,102,4,11-50,11-50,Over 5,403,10,31,11,0,4,Nurse,Primary,Certificate,0,45 or older,0,Yes,,Yes,,3.0,4.0,Nurse,Primary,Certificate,Before 1990,0.0,45 or older,0.0,"On call (pre on call, post on call)",,,1,1.0,Tanzania-2014,0.5
102_12,102,12,11-50,11-50,Over 5,403,10,31,11,0,12,Other,Secondary,Certificate,0,35-44,0,Yes,,Yes,,9.0,12.0,Other,Secondary,Certificate,In the 1990s,0.0,35-44,Yes,,Consultation/visiting patient,Yes,1,1.0,Tanzania-2014,0.5
102_7,102,7,11-50,11-50,Over 5,403,10,31,11,0,7,Nurse,Secondary,Certificate,0,45 or older,0,Yes,,No,,,,,,,,,,,,,,1,,Tanzania-2014,0.5
102_8,102,8,11-50,11-50,Over 5,403,10,31,11,0,8,Other,Primary,Certificate,0,45 or older,0,Yes,,Yes,,6.0,8.0,Other,Primary,Certificate,Before 1990,0.0,45 or older,0.0,"On call (pre on call, post on call)",,,1,1.0,Tanzania-2014,0.5
102_6,102,6,11-50,11-50,Over 5,403,10,31,11,0,6,Nurse,Secondary,Certificate,0,35-44,0,Yes,,Yes,,5.0,6.0,Nurse,Secondary,Certificate,In the 1990s,0.0,35-44,Yes,,Consultation/visiting patient,0.0,1,1.0,Tanzania-2014,0.5
102_9,102,9,11-50,11-50,Over 5,403,10,31,11,0,9,Nurse,Primary,Certificate,0,35-44,0,0,"On call (pre on call, post on call)",No,,,,,,,,,,,,,,1,,Tanzania-2014,0.5
103_1,103,1,5 or less,5 or less,5 or less,403,11,29,11,58,1,Clinical Officer,Secondary,Diploma,Male,25-34,Yes,Yes,,Yes,Yes,1.0,1.0,Doctor,Secondary,Diploma,After 2000,Male,25-34,Yes,,Consultation/visiting patient,Yes,1,1.0,Tanzania-2014,0.0
103_2,103,2,5 or less,5 or less,5 or less,403,11,29,11,58,2,Other,Secondary,Certificate,0,25-34,0,Yes,,Yes,,2.0,2.0,Doctor,Secondary,Certificate,After 2000,0.0,25-34,Yes,,Consultation/visiting patient,Yes,1,1.0,Tanzania-2014,0.0
103_3,103,3,5 or less,5 or less,5 or less,403,11,29,11,58,3,Other,Secondary,Certificate,0,45 or older,0,Yes,,Yes,,3.0,3.0,Doctor,Secondary,Certificate,After 2000,0.0,45 or older,Yes,,Consultation/visiting patient,Yes,1,1.0,Tanzania-2014,0.0
104_2,104,2,5 or less,5 or less,5 or less,403,8,34,9,10,2,Nurse,Primary,Certificate,0,45 or older,Yes,Yes,,Yes,Yes,2.0,2.0,Nurse,Primary,Certificate,Before 1990,0.0,45 or older,Yes,,Consultation/visiting patient,Yes,1,1.0,Tanzania-2014,0.2
104_3,104,3,5 or less,5 or less,5 or less,403,8,34,9,10,3,Other,Primary,Certificate,Male,45 or older,0,0,"On call (pre on call, post on call)",Yes,,3.0,3.0,Other,Primary,Certificate,In the 1990s,Male,45 or older,0.0,"On call (pre on call, post on call)",,,1,1.0,Tanzania-2014,0.2
104_1,104,1,5 or less,5 or less,5 or less,403,8,34,9,10,1,Clinical Officer,Secondary,Diploma,Male,45 or older,Yes,0,Official mission,Yes,,1.0,1.0,Clinical Officer,Secondary,Diploma,Before 1990,Male,45 or older,Yes,,Consultation/visiting patient,Yes,1,1.0,Tanzania-2014,0.2
104_5,104,5,5 or less,5 or less,5 or less,403,8,34,9,10,5,Other,Primary,Certificate,0,45 or older,0,Yes,,Yes,,5.0,5.0,Other,Primary,Certificate,Before 1990,0.0,45 or older,Yes,,Consultation/visiting patient,0.0,1,1.0,Tanzania-2014,0.2
104_4,104,4,5 or less,5 or less,5 or less,403,8,34,9,10,4,Other,Primary,Certificate,0,35-44,0,Yes,,Yes,,4.0,4.0,Other,Primary,Certificate,In the 1990s,0.0,35-44,Yes,,Consultation/visiting patient,0.0,1,1.0,Tanzania-2014,0.2
105_5,105,5,6-10,5 or less,5 or less,403,7,40,8,21,5,Other,Secondary,Certificate,Male,45 or older,0,Yes,,Yes,,5.0,5.0,Other,Secondary,Certificate,Before 1990,Male,45 or older,Yes,,Laboratory/investigations/X-ray,Yes,1,1.0,Tanzania-2014,0.0
105_3,105,3,6-10,5 or less,5 or less,403,7,40,8,21,3,Other,Primary,Certificate,0,45 or older,0,Yes,,Yes,,3.0,3.0,Other,Primary,Certificate,Before 1990,0.0,45 or older,Yes,,Consultation/visiting patient,Yes,1,1.0,Tanzania-2014,0.0
105_1,105,1,6-10,5 or less,5 or less,403,7,40,8,21,1,Doctor,Secondary,Diploma,Male,45 or older,Yes,Yes,,Yes,Yes,1.0,1.0,Doctor,Secondary,Diploma,In the 1990s,Male,45 or older,Yes,,Consultation/visiting patient,Yes,1,1.0,Tanzania-2014,0.0
105_4,105,4,6-10,5 or less,5 or less,403,7,40,8,21,4,Other,Secondary,Certificate,0,45 or older,0,Yes,,Yes,,4.0,4.0,Other,Secondary,Certificate,Before 1990,0.0,45 or older,Yes,,Consultation/visiting patient,Yes,1,1.0,Tanzania-2014,0.0
105_2,105,2,6-10,5 or less,5 or less,403,7,40,8,21,2,Other,Secondary,Certificate,0,45 or older,0,Yes,,Yes,,2.0,2.0,Other,Secondary,Certificate,Before 1990,0.0,45 or older,Yes,,Consultation/visiting patient,Yes,1,1.0,Tanzania-2014,0.0
106_20,106,20,11-50,11-50,5 or less,403,9,50,11,0,20,Other,Primary,Certificate,0,45 or older,0,Yes,,No,,,,,,,,,,,,,,1,,Tanzania-2014,0.4
106_2,106,2,11-50,11-50,5 or less,403,9,50,11,0,2,Doctor,Secondary,Diploma,Male,35-44,Yes,0,"On call (pre on call, post on call)",Yes,,2.0,2.0,Doctor,Secondary,Diploma,After 2000,Male,35-44,Yes,,Consultation/visiting patient,Yes,1,1.0,Tanzania-2014,0.4
106_10,106,10,11-50,11-50,5 or less,403,9,50,11,0,10,Nurse,Secondary,Certificate,0,35-44,0,Yes,,Yes,,6.0,10.0,Nurse,Secondary,Certificate,Before 1990,0.0,45 or older,Yes,,Consultation/visiting patient,0.0,1,1.0,Tanzania-2014,0.4
106_3,106,3,11-50,11-50,5 or less,403,9,50,11,0,3,Clinical Officer,Secondary,Diploma,Male,35-44,Yes,Yes,,No,Yes,,,,,,,,,,,,,1,,Tanzania-2014,0.4
106_7,106,7,11-50,11-50,5 or less,403,9,50,11,0,7,Clinical Officer,Secondary,Diploma,0,25-34,Yes,0,"On call (pre on call, post on call)",Yes,,4.0,7.0,Clinical Officer,Post-Secondary,Diploma,After 2000,0.0,25-34,0.0,"On call (pre on call, post on call)",,,1,1.0,Tanzania-2014,0.4
106_18,106,18,11-50,11-50,5 or less,403,9,50,11,0,18,Other,Secondary,Certificate,0,25-34,0,Yes,,No,,,,,,,,,,,,,,1,,Tanzania-2014,0.4
106_27,106,27,11-50,11-50,5 or less,403,9,50,11,0,27,Other,Primary,Certificate,0,45 or older,0,Yes,,No,,,,,,,,,,,,,,1,,Tanzania-2014,0.4
106_12,106,12,11-50,11-50,5 or less,403,9,50,11,0,12,Other,Primary,Certificate,0,45 or older,0,0,"On call (pre on call, post on call)",No,,,,,,,,,,,,,,1,,Tanzania-2014,0.4
106_14,106,14,11-50,11-50,5 or less,403,9,50,11,0,14,Other,Secondary,Certificate,0,25-34,0,Yes,,Yes,,7.0,14.0,Other,Secondary,Certificate,After 2000,0.0,25-34,0.0,"On call (pre on call, post on call)",,,1,1.0,Tanzania-2014,0.4
106_1,106,1,11-50,11-50,5 or less,403,9,50,11,0,1,Doctor,Secondary,Diploma,Male,35-44,Yes,0,"On call (pre on call, post on call)",Yes,,1.0,1.0,Doctor,Secondary,Diploma,After 2000,Male,35-44,Yes,,Consultation/visiting patient,Yes,1,1.0,Tanzania-2014,0.4
106_24,106,24,11-50,11-50,5 or less,403,9,50,11,0,24,Other,Secondary,Certificate,0,45 or older,0,0,"On call (pre on call, post on call)",No,,,,,,,,,,,,,,1,,Tanzania-2014,0.4
106_13,106,13,11-50,11-50,5 or less,403,9,50,11,0,13,Other,Secondary,Certificate,0,45 or older,0,Yes,,No,,,,,,,,,,,,,,1,,Tanzania-2014,0.4
106_5,106,5,11-50,11-50,5 or less,403,9,50,11,0,5,Clinical Officer,Secondary,Diploma,0,35-44,Yes,0,"On call (pre on call, post on call)",Yes,,3.0,5.0,Clinical Officer,Post-Secondary,Diploma,After 2000,Male,35-44,0.0,"On call (pre on call, post on call)",,,1,1.0,Tanzania-2014,0.4
106_25,106,25,11-50,11-50,5 or less,403,9,50,11,0,25,Other,Primary,Certificate,0,45 or older,0,Yes,,Yes,,10.0,25.0,Other,Primary,Certificate,In the 1990s,0.0,45 or older,0.0,"On call (pre on call, post on call)",,,1,1.0,Tanzania-2014,0.4
106_8,106,8,11-50,11-50,5 or less,403,9,50,11,0,8,Clinical Officer,Secondary,Certificate,0,25-34,Yes,Yes,,Yes,Yes,5.0,8.0,Clinical Officer,Post-Secondary,Certificate,After 2000,0.0,25-34,Yes,,Consultation/visiting patient,Yes,1,1.0,Tanzania-2014,0.4
106_17,106,17,11-50,11-50,5 or less,403,9,50,11,0,17,Other,Secondary,Certificate,0,35-44,0,Yes,,No,,,,,,,,,,,,,,1,,Tanzania-2014,0.4
106_21,106,21,11-50,11-50,5 or less,403,9,50,11,0,21,Other,Primary,Certificate,0,45 or older,0,Yes,,Yes,,8.0,21.0,Other,Primary,Certificate,Before 1990,0.0,45 or older,Yes,,Consultation/visiting patient,0.0,1,1.0,Tanzania-2014,0.4
106_6,106,6,11-50,11-50,5 or less,403,9,50,11,0,6,Clinical Officer,Secondary,Diploma,0,45 or older,Yes,0,"On call (pre on call, post on call)",No,,,,,,,,,,,,,,1,,Tanzania-2014,0.4
106_26,106,26,11-50,11-50,5 or less,403,9,50,11,0,26,Other,Primary,Certificate,Male,45 or older,0,Yes,,No,,,,,,,,,,,,,,1,,Tanzania-2014,0.4
106_9,106,9,11-50,11-50,5 or less,403,9,50,11,0,9,Nurse,Secondary,Certificate,0,25-34,0,Yes,,No,,,,,,,,,,,,,,1,,Tanzania-2014,0.4
106_19,106,19,11-50,11-50,5 or less,403,9,50,11,0,19,Other,Primary,Certificate,0,45 or older,0,Yes,,No,,,,,,,,,,,,,,1,,Tanzania-2014,0.4
106_22,106,22,11-50,11-50,5 or less,403,9,50,11,0,22,Other,Primary,Certificate,0,35-44,0,0,"On call (pre on call, post on call)",No,,,,,,,,,,,,,,1,,Tanzania-2014,0.4
106_11,106,11,11-50,11-50,5 or less,403,9,50,11,0,11,Other,Primary,Certificate,0,45 or older,0,0,Sickness/maternity,No,,,,,,,,,,,,,,1,,Tanzania-2014,0.4
106_4,106,4,11-50,11-50,5 or less,403,9,50,11,0,4,Clinical Officer,Secondary,Diploma,Male,25-34,Yes,0,"On call (pre on call, post on call)",No,,,,,,,,,,,,,,1,,Tanzania-2014,0.4
106_16,106,16,11-50,11-50,5 or less,403,9,50,11,0,16,Other,Primary,Certificate,0,45 or older,0,0,"On call (pre on call, post on call)",No,,,,,,,,,,,,,,1,,Tanzania-2014,0.4
106_15,106,15,11-50,11-50,5 or less,403,9,50,11,0,15,Other,Secondary,Certificate,0,45 or older,0,0,"On call (pre on call, post on call)",No,,,,,,,,,,,,,,1,,Tanzania-2014,0.4
106_23,106,23,11-50,11-50,5 or less,403,9,50,11,0,23,Other,Primary,Certificate,0,45 or older,0,0,"On call (pre on call, post on call)",Yes,,9.0,23.0,Other,Primary,Certificate,In the 1990s,0.0,45 or older,Yes,,Consultation/visiting patient,Yes,1,1.0,Tanzania-2014,0.4
107_3,107,3,5 or less,5 or less,5 or less,403,16,40,17,0,3,Other,Secondary,Certificate,0,45 or older,0,Yes,,Yes,,3.0,3.0,Other,Secondary,Certificate,In the 1990s,0.0,45 or older,0.0,"On call (pre on call, post on call)",,,1,1.0,Tanzania-2014,0.25
107_2,107,2,5 or less,5 or less,5 or less,403,16,40,17,0,2,Other,Secondary,Certificate,0,25-34,Yes,Yes,,Yes,Yes,2.0,2.0,Other,Secondary,Certificate,After 2000,0.0,25-34,Yes,,Consultation/visiting patient,0.0,1,1.0,Tanzania-2014,0.25
107_4,107,4,5 or less,5 or less,5 or less,403,16,40,17,0,4,Other,Primary,Certificate,0,35-44,0,Yes,,Yes,,4.0,4.0,Other,Primary,Certificate,After 2000,0.0,35-44,Yes,,Consultation/visiting patient,Yes,1,1.0,Tanzania-2014,0.25
107_1,107,1,5 or less,5 or less,5 or less,403,16,40,17,0,1,Doctor,Secondary,Diploma,Male,35-44,Yes,0,Authorised absence (permision/leave),Yes,,1.0,1.0,Doctor,Secondary,Diploma,In the 1990s,Male,35-44,Yes,,Consultation/visiting patient,Yes,1,1.0,Tanzania-2014,0.25
108_5,108,5,11-50,11-50,Over 5,403,8,30,9,44,5,Doctor,Secondary,Diploma,0,25-34,0,0,Authorised absence (permision/leave),Yes,,,,,,,,,,,,,,1,,Tanzania-2014,0.4
108_3,108,3,11-50,11-50,Over 5,403,8,30,9,44,3,Clinical Officer,Secondary,Diploma,Male,45 or older,Yes,0,"On call (pre on call, post on call)",Yes,,1.0,3.0,Clinical Officer,Secondary,Diploma,After 2000,Male,45 or older,Yes,,Consultation/visiting patient,Yes,1,1.0,Tanzania-2014,0.4
108_9,108,9,11-50,11-50,Over 5,403,8,30,9,44,9,Nurse,Secondary,Certificate,0,45 or older,0,0,"On call (pre on call, post on call)",Yes,,3.0,9.0,Nurse,Secondary,Certificate,Before 1990,0.0,45 or older,0.0,Authorised absence (permision/leave),,,1,1.0,Tanzania-2014,0.4
108_15,108,15,11-50,11-50,Over 5,403,8,30,9,44,15,Nurse,Secondary,Diploma,0,35-44,0,Yes,,No,,,,,,,,,,,,,,1,,Tanzania-2014,0.4
108_16,108,16,11-50,11-50,Over 5,403,8,30,9,44,16,Other,Secondary,Diploma,0,45 or older,0,0,"On call (pre on call, post on call)",No,,,,,,,,,,,,,,1,,Tanzania-2014,0.4
108_13,108,13,11-50,11-50,Over 5,403,8,30,9,44,13,Nurse,Secondary,Diploma,0,45 or older,0,0,"On call (pre on call, post on call)",No,,,,,,,,,,,,,,1,,Tanzania-2014,0.4
108_1,108,1,11-50,11-50,Over 5,403,8,30,9,44,1,Doctor,Secondary,Diploma,Male,35-44,Yes,Yes,,No,Yes,,,,,,,,,,,,,1,,Tanzania-2014,0.4
108_14,108,14,11-50,11-50,Over 5,403,8,30,9,44,14,Nurse,Secondary,Diploma,0,35-44,0,0,Authorised absence (permision/leave),No,,,,,,,,,,,,,,1,,Tanzania-2014,0.4
108_22,108,22,11-50,11-50,Over 5,403,8,30,9,44,22,Other,Primary,Diploma,0,Younger than 25,0,Yes,,Yes,,8.0,22.0,Other,Primary,Diploma,After 2000,0.0,Younger than 25,Yes,,Consultation/visiting patient,0.0,1,1.0,Tanzania-2014,0.4
108_12,108,12,11-50,11-50,Over 5,403,8,30,9,44,12,Nurse,Secondary,Diploma,0,45 or older,0,0,"On call (pre on call, post on call)",Yes,,5.0,12.0,Nurse,Secondary,Diploma,Before 1990,0.0,45 or older,Yes,,Consultation/visiting patient,Yes,1,1.0,Tanzania-2014,0.4
108_8,108,8,11-50,11-50,Over 5,403,8,30,9,44,8,Nurse,Secondary,Diploma,0,25-34,0,0,Sickness/maternity,No,,,,,,,,,,,,,,1,,Tanzania-2014,0.4
108_25,108,25,11-50,11-50,Over 5,403,8,30,9,44,25,Other,Secondary,Diploma,0,25-34,0,0,Authorised absence (permision/leave),No,,,,,,,,,,,,,,1,,Tanzania-2014,0.4
