country,facility_id,abs_prob,abs_wt,act_a,admin1,admin3,admin4,admin5,admin6,adultscale_a,adultscale_b,amoxicillin3_a,ampicillin2_a,ampicillin_a,artesunate_a,autoclave_a,autoclave_b,azithromycin_a,bcg_vac,benzathine_a,benzylpenicillin_a,calgluc_a,cefixime_a,ceftriaxone2_a,childscale_a,childscale_b,contraceptive_a,cotrimoxazole3_a,depo_a,dryheat_a,dryheat_b,expired_drugs,faccomputer_b,facility_level,facmobile_b,fansidar_a,final_wt,folic_a,fridge_tempmon,gentamycin_a,glucometer_a,glucometer_b,has_antibiotics,has_anticonvuls,has_autosyringe,has_delivery,has_dispsyringe,has_facility,has_fcondoms,has_fridge,has_gloves,has_icepacks,has_implants,has_iuds,has_mcondoms,has_ocytocics,has_placenta,has_poc,has_sharps,has_vaccarrier,has_weights,hivtest_a,hivtest_b,incinerator_a,incinerator_b,indmobile1_b,infantscale_a,infantscale_b,internet_b,ipw,irona_a,magsulf_a,measles_vac,methasone_a,metronidazole_a,microscope_a,microscope_b,misoprostol_a,nacl_a,nifedipine2_a,nonelectric_a,nonelectric_b,num_births,num_med,num_nonmed,num_outpatient,ors_a,oxytocin_a,pentavalent_vac,phone_b,pneumococ_vac,polio_vac,publicprivate,radio_b,rdt_a,rdt_b,ruralurban,sphgmeter_a,sphgmeter_b,steamer_a,steamer_b,stethoscope_a,stethoscope_b,tbtest_a,tbtest_b,thermometer_a,thermometer_b,urinetest_a,urinetest_b,vaccine_store1,vaccine_store2,vign_prob,vign_wt,vitamina_a,zinctabs_a
Uganda-2013,109,1.0,12.758341,At least one observed (not expired),2,212,3,7,325.0,Yes (Observed),Yes (Observed),Never available,Not recommended at given facility level,Not recommended at given facility level,Never available,No,,Not recommended at given facility level,,Not recommended at given facility level,Not available today,Not recommended at given facility level,Not recommended at given facility level,Not recommended at given facility level,No,,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),No,,Yes,No,Health Post,No,At least one observed (not expired),12.758341,At least one observed (not expired),,Not recommended at given facility level,No,,No,No,Yes (Observed),No,No,1,Yes,,Yes,No,Yes,Yes,Yes,No,No,No,Yes (Observed),No,1,No,,No,,No,No,,No,12.758341,At least one observed (not expired),Not recommended at given facility level,,Not recommended at given facility level,Not recommended at given facility level,No,,Not recommended at given facility level,Not recommended at given facility level,Not recommended at given facility level,No,,Over 50,5 or less,5 or less,2001-3000,At least one observed (not expired),Not recommended at given facility level,,No,,,Public,No,Yes,Yes,Rural,No,,No,,No,,No,,Yes (Observed),Yes (Observed),No,,No,,1.0,12.758341,At least one observed (not expired),Not available today
Uganda-2013,11,0.71428573,16.869186,At least one observed (not expired),1,108,1,6,275.0,Yes (Observed),Yes (Observed),Not available today,Not recommended at given facility level,Not recommended at given facility level,Never available,Yes (Observed),No,Not recommended at given facility level,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Not recommended at given facility level,Never available,Not recommended at given facility level,Yes (Observed),Yes (Observed),Available but not observed (not expired),At least one observed (not expired),Never available,No,,Yes,Yes (Observed),Health Post,No,At least one observed (not expired),12.049419,At least one observed (not expired),Yes,Not recommended at given facility level,Yes,Yes,Yes,Yes,Yes (Observed),No,Yes (Observed),1,Yes,Yes (Observed),Yes,Yes (Observed),Yes,Yes,Yes,Yes,Yes,Yes,Yes (Observed),Yes (Observed),1,Yes,Yes,Yes (Observed),Yes (Observed),No,No,,Yes (Observed),12.049419,Not available today,Not recommended at given facility level,At least one observed (not expired),At least one observed (not expired),Not recommended at given facility level,Yes (Observed),Yes (Observed),Not recommended at given facility level,At least one observed (not expired),At least one observed (not expired),Yes (Observed),Yes (Observed),Over 50,6-10,5 or less,2001-3000,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),No,Never available,At least one observed (not expired),Private,No,Yes,Yes,Rural,Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),Yes,Yes,Yes (Observed),Yes (Observed),Yes,Yes,Yes,No,0.2857143,42.172966,At least one observed (not expired),At least one observed (not expired)
Uganda-2013,110,0.7692308,9.384307,At least one observed (not expired),2,212,3,11,168.0,No,,Never available,At least one observed (not expired),At least one observed (not expired),Never available,No,,Not recommended at given facility level,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Not recommended at given facility level,Not recommended at given facility level,Not recommended at given facility level,No,,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),No,,Yes,No,Health Center,No,At least one observed (not expired),7.2186975,Not available today,Yes,Not available today,No,,No,No,Yes (Observed),No,Yes (Observed),1,Yes,Yes (Observed),Yes,Yes (Observed),Yes,Yes,Yes,Yes,Yes,No,Yes (Observed),Yes (Observed),1,Yes,Yes,No,,No,Yes (Observed),Yes (Observed),No,7.2186975,Not available today,Never available,At least one observed (not expired),Not recommended at given facility level,Not recommended at given facility level,No,,Not available today,At least one observed (not expired),Not recommended at given facility level,No,,50 or less,11-50,Over 5,Over 3000,At least one observed (not expired),Never available,At least one observed (not expired),No,Never available,At least one observed (not expired),Public,No,No,,Rural,Yes (Observed),Yes (Observed),No,,Yes (Observed),Yes (Observed),No,,No,,No,,Yes,No,0.30769232,23.460766,At least one observed (not expired),At least one observed (not expired)
Uganda-2013,111,1.0,7.2186975,At least one observed (not expired),2,212,3,11,315.0,Yes (Observed),Yes (Observed),Not recommended at given facility level,Not recommended at given facility level,Not recommended at given facility level,Never available,No,,Not recommended at given facility level,At least one observed (not expired),Not recommended at given facility level,Not available today,Not recommended at given facility level,Not recommended at given facility level,Not recommended at given facility level,Yes (Observed),Yes (Observed),At least one observed (not expired),Not available today,At least one observed (not expired),No,,Yes,No,Health Post,No,At least one observed (not expired),7.2186975,At least one observed (not expired),Yes,Not recommended at given facility level,No,,No,No,Yes (Observed),No,No,1,Yes,Yes (Observed),Yes,Yes (Observed),Yes,Yes,Yes,No,No,No,Yes (Observed),Yes (Observed),1,No,,No,,No,No,,No,7.2186975,At least one observed (not expired),Not recommended at given facility level,At least one observed (not expired),Not recommended at given facility level,Not recommended at given facility level,No,,Not recommended at given facility level,Not recommended at given facility level,Not recommended at given facility level,Yes (Observed),Yes (Observed),Over 50,5 or less,5 or less,2001-3000,Not available today,Not recommended at given facility level,At least one observed (not expired),No,Never available,At least one observed (not expired),Public,No,No,,Rural,No,,No,,Yes (Observed),Yes (Observed),No,,Yes (Observed),No,No,,Yes,No,0.6666667,10.828047,At least one observed (not expired),At least one observed (not expired)
Uganda-2013,112,1.0,5.8932223,At least one observed (not expired),2,212,3,12,342.0,No,,Never available,Not recommended at given facility level,Not recommended at given facility level,Never available,No,,Not recommended at given facility level,,Not recommended at given facility level,Not available today,Not recommended at given facility level,Not recommended at given facility level,Not recommended at given facility level,Yes (Observed),Yes (Observed),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),No,,Yes,No,Health Post,No,At least one observed (not expired),5.8932223,At least one observed (not expired),,Not recommended at given facility level,No,,No,No,Yes (Observed),No,No,1,Yes,,Yes,Yes (Observed),Yes,Yes,Yes,No,No,No,Yes (Observed),Yes (Observed),1,No,,No,,No,No,,No,5.8932223,At least one observed (not expired),Not recommended at given facility level,,Not recommended at given facility level,Not recommended at given facility level,No,,Not recommended at given facility level,Not recommended at given facility level,Not recommended at given facility level,No,,Over 50,5 or less,5 or less,1001-2000,At least one observed (not expired),Not recommended at given facility level,,No,,,Public,No,Yes,Yes,Rural,No,,No,,No,,No,,Yes (Observed),Yes (Observed),No,,No,,1.0,5.8932223,At least one observed (not expired),Not available today
Uganda-2013,113,1.0,3.9677873,At least one observed (not expired),2,214,1,1,252.0,Yes (Observed),No,Not available today,Never available,Never available,Never available,No,,Never available,Not available today,Not available today,Not available today,Never available,Never available,Never available,Yes (Observed),Yes (Observed),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),No,,Yes,No,Health Post,No,At least one observed (not expired),3.9677873,At least one observed (not expired),,Never available,No,,No,No,Yes (Observed),No,Yes (Observed),1,Yes,,Yes,Yes (Observed),Yes,Yes,Yes,No,No,No,Yes (Observed),Yes (Observed),1,No,,No,,No,No,,No,3.9677873,Not available today,Never available,Not available today,Never available,Never available,No,,Never available,Never available,Never available,Yes (Observed),Yes (Observed),Over 50,5 or less,5 or less,501-1000,Not available today,Never available,Not available today,No,Never available,Not available today,Public,No,Yes,Yes,Rural,Yes (Observed),Yes (Observed),No,,Yes (Observed),Yes (Observed),No,,Yes (Observed),Yes (Observed),No,,No,,1.3333334,2.9758406,At least one observed (not expired),Not available today
Uganda-2013,114,1.0,5.650223,At least one observed (not expired),2,214,1,2,38.0,Yes (Observed),Yes (Observed),Never available,Never available,Never available,Never available,No,,Never available,Not available today,Never available,At least one observed (not expired),Never available,Never available,Never available,Yes (Observed),Yes (Observed),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),No,,,No,Health Post,Yes (Observed),At least one observed (not expired),5.650223,At least one observed (not expired),,Never available,No,,Yes,No,Yes (Observed),No,Yes (Observed),1,Yes,,Yes,No,Yes,Yes,Yes,No,No,No,Yes (Observed),Yes (Observed),1,No,,No,,Yes (Observed),Yes (Observed),Yes (Observed),No,5.650223,Never available,Never available,Not available today,Never available,Never available,No,,Never available,Never available,Never available,Yes (Observed),Yes (Observed),50 or less,5 or less,5 or less,1001-2000,At least one observed (not expired),Never available,Not available today,No,Never available,Not available today,Public,No,Yes,Yes,Rural,Yes (Observed),Yes (Observed),No,,Yes (Observed),Yes (Observed),No,,Yes (Observed),Yes (Observed),No,,No,,0.5,11.300446,At least one observed (not expired),Not available today
Uganda-2013,115,1.0,3.29529,At least one observed (not expired),2,214,1,4,128.0,Yes (Observed),No,Never available,Never available,Never available,Never available,No,,Never available,At least one observed (not expired),Not available today,Not available today,Never available,Not available today,At least one observed (not expired),Yes (Observed),Yes (Observed),Available but not observed (not expired),At least one observed (not expired),Not available today,No,,No,No,Health Post,Yes (Observed),At least one observed (not expired),3.29529,Not available today,Yes,At least one observed (not expired),No,,Yes,No,Yes (Observed),No,Yes (Observed),1,Yes,Yes (Observed),Yes,Yes (Observed),Yes,Yes,Yes,Yes,No,Yes,Yes (Observed),Yes (Observed),1,No,,No,,Yes (Observed),Yes (Observed),No,No,3.29529,Not available today,Never available,At least one observed (not expired),Never available,Never available,Yes (Observed),Yes (Observed),Never available,At least one observed (not expired),Never available,Yes (Observed),Yes (Observed),Over 50,5 or less,5 or less,1001-2000,Not available today,At least one observed (not expired),At least one observed (not expired),No,Never available,At least one observed (not expired),Private,No,Yes,Yes,Rural,Yes (Observed),Yes (Observed),No,,Yes (Observed),Yes (Observed),No,,Yes (Observed),Yes (Observed),No,,Yes,Yes,0.33333334,9.88587,At least one observed (not expired),Never available
Uganda-2013,116,0.75,5.893041,At least one observed (not expired),2,214,1,5,70.0,Yes (Observed),Yes (Observed),Never available,Not available today,Not available today,Never available,Yes (Observed),No,Never available,At least one observed (not expired),At least one observed (not expired),Not available today,Never available,Never available,Never available,Yes (Observed),Yes (Observed),At least one observed (not expired),At least one observed (not expired),Not available today,No,,Yes,No,Health Center,No,At least one observed (not expired),4.4197807,Not available today,Yes,Not available today,No,,Yes,Yes,Yes (Observed),No,Yes (Observed),1,Yes,Yes (Observed),Yes,Yes (Observed),Yes,Yes,Yes,Yes,No,Yes,Yes (Observed),Yes (Observed),1,Yes,Yes,No,,No,Yes (Observed),Yes (Observed),No,4.4197807,Not available today,Not available today,At least one observed (not expired),Not available today,Not available today,Yes (Observed),Yes (Observed),Not available today,At least one observed (not expired),Never available,Yes (Observed),Yes (Observed),Over 50,11-50,5 or less,Over 3000,Not available today,At least one observed (not expired),At least one observed (not expired),No,Never available,At least one observed (not expired),Public,No,Yes,Yes,Rural,Yes (Observed),Yes (Observed),No,,Yes (Observed),Yes (Observed),Yes,Yes,Yes (Observed),Yes (Observed),Yes,Yes,Yes,No,0.25,17.679123,At least one observed (not expired),Not available today
Uganda-2013,117,1.0,5.0098705,At least one observed (not expired),2,214,1,8,105.0,Yes (Observed),No,Never available,Never available,Never available,Never available,No,,Never available,At least one observed (not expired),Never available,At least one observed (not expired),Never available,Never available,Never available,Yes (Observed),Yes (Observed),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),No,,Yes,No,Health Post,No,At least one observed (not expired),5.0098705,At least one observed (not expired),Yes,Never available,No,,No,No,Yes (Observed),No,Yes (Observed),1,Yes,Yes (Observed),Yes,Yes (Observed),Yes,Yes,Yes,No,No,No,Yes (Observed),Yes (Observed),1,No,,No,,No,Yes (Observed),Yes (Observed),No,5.0098705,At least one observed (not expired),Never available,At least one observed (not expired),Never available,At least one observed (not expired),No,,At least one observed (not expired),Never available,Never available,Yes (Observed),Yes (Observed),50 or less,5 or less,5 or less,1001-2000,At least one observed (not expired),Never available,At least one observed (not expired),No,At least one observed (not expired),At least one observed (not expired),Public,No,No,,Rural,Yes (Observed),Yes (Observed),No,,Yes (Observed),Yes (Observed),No,,Yes (Observed),Yes (Observed),No,,Yes,No,1.0,5.0098705,At least one observed (not expired),At least one observed (not expired)
Uganda-2013,118,1.0,2.2845623,At least one observed (not expired),2,214,1,9,202.0,Yes (Observed),No,Never available,Never available,Never available,Never available,No,,Never available,At least one observed (not expired),Never available,Not available today,Never available,Never available,Never available,Yes (Observed),Yes (Observed),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),No,,Yes,No,Health Post,No,At least one observed (not expired),2.2845623,Never available,Yes,Never available,No,,Yes,No,Yes (Observed),No,Yes (Observed),1,Yes,Yes (Observed),Yes,Yes (Observed),Yes,Yes,Yes,Yes,No,No,Yes (Observed),Yes (Observed),1,No,,No,,No,Yes (Observed),Yes (Observed),No,2.2845623,Never available,Never available,At least one observed (not expired),Never available,Never available,No,,Never available,At least one observed (not expired),Never available,No,,50 or less,5 or less,5 or less,1001-2000,Not available today,At least one observed (not expired),At least one observed (not expired),No,Never available,Not available today,Public,No,Yes,Yes,Rural,Yes (Observed),Yes (Observed),No,,Yes (Observed),Yes (Observed),No,,Yes (Observed),Yes (Observed),No,,Yes,Yes,1.0,2.2845623,At least one observed (not expired),At least one observed (not expired)
Uganda-2013,119,1.0,2.2845623,At least one observed (not expired),2,214,1,9,346.0,Yes (Observed),No,Never available,At least one observed (not expired),Never available,Never available,No,,Never available,Never available,Never available,Not available today,Never available,Never available,Never available,Yes (Observed),Yes (Observed),Available but not observed (not expired),At least one observed (not expired),At least one observed (not expired),No,,Yes,No,Health Post,No,At least one observed (not expired),2.2845623,Never available,,Never available,No,,Yes,No,Yes (Observed),No,Yes (Observed),1,Yes,,Yes,Yes (Observed),Yes,Yes,Yes,No,No,No,Yes (Observed),Yes (Observed),1,No,,No,,No,No,,No,2.2845623,Never available,Never available,Never available,Never available,Never available,No,,Never available,Never available,Never available,No,,Over 50,5 or less,5 or less,1001-2000,Not available today,Never available,Never available,No,Never available,Never available,Public,No,Yes,Yes,Rural,Yes (Observed),Yes (Observed),No,,Yes (Observed),Yes (Observed),No,,Yes (Observed),Yes (Observed),No,,No,,0.5,4.5691247,At least one observed (not expired),At least one observed (not expired)
