survey_id,country,unique_id,facility_id,provider_id,absence_rate,absent_other1,absent_other2,absent_reason1,absent_reason2,has_absentee,has_roster,is_outpatient,num_nonmed,num_staff,provider_activity,provider_age1,provider_cadre1,provider_cadre2,provider_educ1,provider_male1,provider_male2,provider_mededuc1,provider_present1,provider_present2,salary_delay
Togo-2013_100_2,Togo-2013,100_2,100,2,0.0,,,,,1.0,1,Yes,5 or less,6-10,With patient,25-34,Other,Other,Secondary,Female,Female,Certificate,Yes,Yes,No
Togo-2013_100_1,Togo-2013,100_1,100,1,0.0,,,,,1.0,1,Yes,5 or less,6-10,With patient,35-44,Nurse,Nurse,Post-Secondary,Male,Male,Advanced,Yes,Yes,No
Togo-2013_100_4,Togo-2013,100_4,100,4,0.0,,,,,1.0,1,No,5 or less,6-10,"Laboratory, investigations, or x-ray",25-34,Other,Other,Secondary,Male,Male,Diploma,Yes,Yes,No
Togo-2013_100_5,Togo-2013,100_5,100,5,0.0,,,,,1.0,1,No,5 or less,6-10,With patient,25-34,Other,Other,Secondary,Female,Female,Diploma,Yes,Yes,No
Togo-2013_100_3,Togo-2013,100_3,100,3,0.0,,,,,1.0,1,Yes,5 or less,6-10,With patient,25-34,Other,Other,Secondary,Female,Female,Diploma,Yes,Yes,No
Togo-2013_101_4,Togo-2013,101_4,101,4,0.75,,,,Authorized absence,1.0,1,No,5 or less,5 or less,,35-44,Other,Other,Secondary,Male,Male,None,Yes,No,
Togo-2013_101_2,Togo-2013,101_2,101,2,0.75,,,,"Training, seminar or meeting",1.0,1,Yes,5 or less,5 or less,,35-44,Nurse,Nurse,Secondary,Male,Male,None,Yes,No,
Togo-2013_101_3,Togo-2013,101_3,101,3,0.75,,,,,1.0,1,Yes,5 or less,5 or less,With patient,35-44,Other,Other,Primary,Female,Female,None,Yes,Yes,No
Togo-2013_101_1,Togo-2013,101_1,101,1,0.75,,,"Training, seminar or meeting","Training, seminar or meeting",1.0,1,Yes,5 or less,5 or less,,25-34,Nurse,Nurse,Post-Secondary,Male,Male,Advanced,No,No,
Togo-2013_102_1,Togo-2013,102_1,102,1,0.6666667,,,,Official mission,1.0,1,Yes,5 or less,5 or less,,25-34,Nurse,Nurse,Post-Secondary,Male,Male,Diploma,Yes,No,
Togo-2013_102_3,Togo-2013,102_3,102,3,0.6666667,,,,,1.0,1,No,5 or less,5 or less,6.0,25-34,Other,Other,Secondary,Female,Female,None,Yes,Yes,No
Togo-2013_102_2,Togo-2013,102_2,102,2,0.6666667,,,,Internal organization for day,1.0,1,Yes,5 or less,5 or less,,25-34,Other,Other,Secondary,Female,Female,None,Yes,No,
Togo-2013_103_1,Togo-2013,103_1,103,1,0.0,,,,,1.0,1,Yes,5 or less,5 or less,Paperwork,35-44,Other,Other,Primary,Female,Female,Certificate,Yes,Yes,No
Togo-2013_104_2,Togo-2013,104_2,104,2,1.0,,,,Unauthorized absence,1.0,1,Yes,5 or less,5 or less,,35-44,Other,Other,Primary,Female,Female,None,Yes,No,
Togo-2013_104_1,Togo-2013,104_1,104,1,1.0,,,,"Training, seminar or meeting",1.0,1,Yes,5 or less,5 or less,,45 or older,Nurse,Nurse,Secondary,Male,Male,Diploma,Yes,No,
Togo-2013_104_3,Togo-2013,104_3,104,3,1.0,,,Authorized absence,Unauthorized absence,1.0,1,No,5 or less,5 or less,,45 or older,Other,Other,Primary,Male,Male,None,No,No,
Togo-2013_105_2,Togo-2013,105_2,105,2,0.75,,,,Official mission,1.0,1,Yes,5 or less,5 or less,,35-44,Nurse,Nurse,Secondary,Female,Female,Diploma,Yes,No,
Togo-2013_105_1,Togo-2013,105_1,105,1,0.75,,,,Official mission,1.0,1,Yes,5 or less,5 or less,,35-44,Nurse,Nurse,Post-Secondary,Male,Male,Advanced,Yes,No,
Togo-2013_105_4,Togo-2013,105_4,105,4,0.75,,,,,1.0,1,Yes,5 or less,5 or less,6.0,35-44,Nurse,Nurse,Primary,Female,Female,None,Yes,Yes,No
Togo-2013_105_3,Togo-2013,105_3,105,3,0.75,,,Authorized absence,Authorized absence,1.0,1,Yes,5 or less,5 or less,,25-34,Other,Other,Secondary,Female,Female,None,No,No,
Togo-2013_106_2,Togo-2013,106_2,106,2,0.33333334,,,,,1.0,1,Yes,5 or less,5 or less,With patient,25-34,Other,Other,Secondary,Female,Female,None,Yes,Yes,No
Togo-2013_106_1,Togo-2013,106_1,106,1,0.33333334,,,,"Training, seminar or meeting",1.0,1,Yes,5 or less,5 or less,,25-34,Nurse,Nurse,Secondary,Male,Male,Diploma,Yes,No,
Togo-2013_106_3,Togo-2013,106_3,106,3,0.33333334,,,,,1.0,1,No,5 or less,5 or less,With patient,25-34,Other,Other,Post-Secondary,Male,Male,None,Yes,Yes,No
Togo-2013_107_2,Togo-2013,107_2,107,2,0.0,,,,,1.0,1,Yes,5 or less,5 or less,With patient,25-34,Other,Other,Secondary,Female,Female,None,Yes,Yes,No
Togo-2013_107_3,Togo-2013,107_3,107,3,0.0,,,Sick or on maternity leave,,1.0,1,No,5 or less,5 or less,Paperwork,25-34,Other,Other,Secondary,Female,Female,None,No,Yes,No
Togo-2013_107_1,Togo-2013,107_1,107,1,0.0,,,,,1.0,1,Yes,5 or less,5 or less,With patient,35-44,Nurse,Nurse,Post-Secondary,Male,Male,None,Yes,Yes,No
Togo-2013_108_10,Togo-2013,108_10,108,10,0.5,,,,,1.0,1,Yes,5 or less,11-50,Discussion with colleagues or staff meeting,25-34,Other,Other,Primary,Female,Female,None,Yes,Yes,No
Togo-2013_108_3,Togo-2013,108_3,108,3,0.5,,,,,1.0,1,Yes,5 or less,11-50,With patient,25-34,Nurse,Nurse,Secondary,Female,Female,Diploma,Yes,Yes,No
Togo-2013_108_5,Togo-2013,108_5,108,5,0.5,,,On-call,On-call,1.0,1,Yes,5 or less,11-50,,35-44,Nurse,Nurse,Primary,Female,Female,None,No,No,
Togo-2013_108_7,Togo-2013,108_7,108,7,0.5,,,,,1.0,1,No,5 or less,11-50,Discussion with colleagues or staff meeting,45 or older,Other,Other,Primary,Female,Female,None,Yes,Yes,No
Togo-2013_108_9,Togo-2013,108_9,108,9,0.5,,,,On-call,1.0,1,Yes,5 or less,11-50,,35-44,Other,Other,Primary,Female,Female,None,Yes,No,
Togo-2013_108_2,Togo-2013,108_2,108,2,0.5,,,"Training, seminar or meeting","Training, seminar or meeting",1.0,1,Yes,5 or less,11-50,,25-34,Nurse,Nurse,Post-Secondary,Female,Female,Advanced,No,No,
Togo-2013_108_6,Togo-2013,108_6,108,6,0.5,,,,,1.0,1,No,5 or less,11-50,Discussion with colleagues or staff meeting,35-44,Other,Other,Primary,Male,Male,None,Yes,Yes,No
Togo-2013_108_11,Togo-2013,108_11,108,11,0.5,,,,,,1,No,5 or less,11-50,,45 or older,Other,,Primary,Male,,None,Yes,,
Togo-2013_108_1,Togo-2013,108_1,108,1,0.5,,,,Unauthorized absence,1.0,1,Yes,5 or less,11-50,,45 or older,Clinical Officer,Clinical Officer,Post-Secondary,Male,Male,Advanced,Yes,No,
Togo-2013_108_4,Togo-2013,108_4,108,4,0.5,,,,Authorized absence,1.0,1,No,5 or less,11-50,,25-34,Other,Other,Post-Secondary,Male,Male,Advanced,Yes,No,
Togo-2013_108_8,Togo-2013,108_8,108,8,0.5,,,,,1.0,1,Yes,5 or less,11-50,Discussion with colleagues or staff meeting,35-44,Other,Other,Primary,Female,Female,None,Yes,Yes,No
Togo-2013_109_2,Togo-2013,109_2,109,2,0.0,,,,,1.0,1,Yes,5 or less,5 or less,With patient,35-44,Other,Other,Secondary,Female,Female,None,Yes,Yes,No
Togo-2013_109_1,Togo-2013,109_1,109,1,0.0,,,,,1.0,1,Yes,5 or less,5 or less,Paperwork,35-44,Nurse,Nurse,Secondary,Male,Male,Diploma,Yes,Yes,No
Togo-2013_11_2,Togo-2013,11_2,11,2,0.25,,,,,1.0,1,Yes,5 or less,6-10,Discussion with colleagues or staff meeting,35-44,Other,Other,Post-Secondary,Female,Female,Diploma,Yes,Yes,No
Togo-2013_11_8,Togo-2013,11_8,11,8,0.25,,,Sick or on maternity leave,Authorized absence,1.0,1,No,5 or less,6-10,,45 or older,Other,Other,Secondary,Male,Male,None,No,No,
Togo-2013_11_6,Togo-2013,11_6,11,6,0.25,,,,,1.0,1,Yes,5 or less,6-10,Discussion with colleagues or staff meeting,45 or older,Other,Other,Secondary,Female,Female,None,Yes,Yes,No
Togo-2013_11_4,Togo-2013,11_4,11,4,0.25,,,,,1.0,1,Yes,5 or less,6-10,Discussion with colleagues or staff meeting,35-44,Other,Other,Secondary,Female,Female,None,Yes,Yes,No
Togo-2013_11_1,Togo-2013,11_1,11,1,0.25,,,,,1.0,1,Yes,5 or less,6-10,Discussion with colleagues or staff meeting,45 or older,Nurse,Nurse,Post-Secondary,Male,Male,Diploma,Yes,Yes,No
Togo-2013_11_7,Togo-2013,11_7,11,7,0.25,,,,,1.0,1,No,5 or less,6-10,Discussion with colleagues or staff meeting,45 or older,Other,Other,Secondary,Male,Male,None,Yes,Yes,No
Togo-2013_11_3,Togo-2013,11_3,11,3,0.25,,,,Authorized absence,1.0,1,No,5 or less,6-10,,35-44,Other,Other,Post-Secondary,Male,Male,Advanced,Yes,No,
Togo-2013_11_5,Togo-2013,11_5,11,5,0.25,,,,,1.0,1,No,5 or less,6-10,Discussion with colleagues or staff meeting,35-44,Other,Other,Post-Secondary,Female,Female,None,Yes,Yes,No
Togo-2013_110_1,Togo-2013,110_1,110,1,0.33333334,,,Unauthorized absence,Unauthorized absence,1.0,1,Yes,5 or less,5 or less,,45 or older,Nurse,Nurse,Primary,Male,Male,Certificate,No,No,
Togo-2013_110_2,Togo-2013,110_2,110,2,0.33333334,,,"Training, seminar or meeting",,1.0,1,Yes,5 or less,5 or less,With patient,25-34,Nurse,Nurse,Post-Secondary,Male,Male,Diploma,No,Yes,No
Togo-2013_110_3,Togo-2013,110_3,110,3,0.33333334,,,,,1.0,1,Yes,5 or less,5 or less,With patient,25-34,Other,Other,Secondary,Female,Female,None,Yes,Yes,No
Togo-2013_111_5,Togo-2013,111_5,111,5,0.6,,,,,1.0,1,Yes,Over 5,11-50,With patient,45 or older,Nurse,Nurse,Secondary,Male,Male,Diploma,Yes,Yes,No
Togo-2013_111_7,Togo-2013,111_7,111,7,0.6,,,,,,1,No,Over 5,11-50,,45 or older,Other,,Primary,Female,,None,Yes,,
Togo-2013_111_22,Togo-2013,111_22,111,22,0.6,,,,,,1,No,Over 5,11-50,,45 or older,Other,,Secondary,Male,,Diploma,Yes,,
Togo-2013_111_16,Togo-2013,111_16,111,16,0.6,,,,,,1,No,Over 5,11-50,,45 or older,Other,,Post-Secondary,Male,,Advanced,Yes,,
Togo-2013_111_15,Togo-2013,111_15,111,15,0.6,,,Authorized absence,,,1,Yes,Over 5,11-50,,25-34,Clinical Officer,,Post-Secondary,Male,,Advanced,No,,
Togo-2013_111_25,Togo-2013,111_25,111,25,0.6,,,,,,1,No,Over 5,11-50,,25-34,Other,,Post-Secondary,Male,,Advanced,Yes,,
Togo-2013_111_3,Togo-2013,111_3,111,3,0.6,,,,On-call,1.0,1,Yes,Over 5,11-50,,25-34,Nurse,Nurse,Post-Secondary,Male,Male,Advanced,Yes,No,
Togo-2013_111_1,Togo-2013,111_1,111,1,0.6,,,,,,1,Yes,Over 5,11-50,,25-34,Doctor,,Post-Secondary,Male,,Advanced,Yes,,
Togo-2013_111_14,Togo-2013,111_14,111,14,0.6,,,,On-call,1.0,1,Yes,Over 5,11-50,,25-34,Other,Other,Secondary,Female,Female,None,Yes,No,
Togo-2013_111_21,Togo-2013,111_21,111,21,0.6,,,,,1.0,1,No,Over 5,11-50,6.0,25-34,Other,Other,Secondary,Female,Female,None,Yes,Yes,Yes
Togo-2013_111_12,Togo-2013,111_12,111,12,0.6,,,,,,1,No,Over 5,11-50,,35-44,Other,,Secondary,Female,,None,Yes,,
Togo-2013_111_20,Togo-2013,111_20,111,20,0.6,,,,,1.0,1,No,Over 5,11-50,6.0,35-44,Other,Other,Post-Secondary,Male,Male,None,Yes,Yes,No
Togo-2013_111_6,Togo-2013,111_6,111,6,0.6,,,,,,1,Yes,Over 5,11-50,,45 or older,Nurse,,Secondary,Female,,Diploma,Yes,,
Togo-2013_111_11,Togo-2013,111_11,111,11,0.6,,,,,,1,Yes,Over 5,11-50,,45 or older,Other,,Primary,Female,,None,Yes,,
Togo-2013_111_9,Togo-2013,111_9,111,9,0.6,,,,On-call,1.0,1,Yes,Over 5,11-50,,Younger than 25,Other,Other,Secondary,Female,Female,Diploma,Yes,No,
Togo-2013_111_4,Togo-2013,111_4,111,4,0.6,,,,,1.0,1,No,Over 5,11-50,Paperwork,45 or older,Nurse,Nurse,Post-Secondary,Male,Male,Advanced,Yes,Yes,No
Togo-2013_111_13,Togo-2013,111_13,111,13,0.6,,,Official mission,,,1,Yes,Over 5,11-50,,25-34,Other,,Primary,Male,,None,No,,
Togo-2013_111_8,Togo-2013,111_8,111,8,0.6,,,On-call,,,1,Yes,Over 5,11-50,,45 or older,Other,,Primary,Female,,None,No,,
Togo-2013_111_19,Togo-2013,111_19,111,19,0.6,,,On-call,,,1,No,Over 5,11-50,,45 or older,Other,,Primary,Female,,None,No,,
Togo-2013_111_18,Togo-2013,111_18,111,18,0.6,,,,Authorized absence,1.0,1,No,Over 5,11-50,,25-34,Other,Other,Secondary,Female,Female,None,Yes,No,
Togo-2013_111_24,Togo-2013,111_24,111,24,0.6,,,,"Training, seminar or meeting",1.0,1,No,Over 5,11-50,,35-44,Other,Other,Post-Secondary,Male,Male,Advanced,Yes,No,
Togo-2013_111_2,Togo-2013,111_2,111,2,0.6,,,Official mission,,,1,Yes,Over 5,11-50,,45 or older,Clinical Officer,,Post-Secondary,Male,,Advanced,No,,
Togo-2013_111_23,Togo-2013,111_23,111,23,0.6,,,,,,1,No,Over 5,11-50,,45 or older,Other,,Secondary,Male,,Diploma,Yes,,
Togo-2013_111_17,Togo-2013,111_17,111,17,0.6,,,,,,1,No,Over 5,11-50,,45 or older,Other,,Secondary,Male,,Diploma,Yes,,
Togo-2013_111_10,Togo-2013,111_10,111,10,0.6,,,Sick or on maternity leave,Sick or on maternity leave,1.0,1,Yes,Over 5,11-50,,35-44,Other,Other,Secondary,Female,Female,Diploma,No,No,
Togo-2013_112_2,Togo-2013,112_2,112,2,0.6666667,,,"Training, seminar or meeting","Training, seminar or meeting",1.0,1,Yes,5 or less,5 or less,,35-44,Other,Other,Primary,Female,Female,None,No,No,
Togo-2013_112_3,Togo-2013,112_3,112,3,0.6666667,,,,,1.0,1,Yes,5 or less,5 or less,With patient,Younger than 25,Other,Other,Secondary,Female,Female,None,Yes,Yes,No
Togo-2013_112_1,Togo-2013,112_1,112,1,0.6666667,,,"Training, seminar or meeting","Training, seminar or meeting",1.0,1,Yes,5 or less,5 or less,,35-44,Nurse,Nurse,Post-Secondary,Male,Male,Advanced,No,No,
Togo-2013_113_2,Togo-2013,113_2,113,2,0.25,,,,,1.0,1,Yes,5 or less,5 or less,Discussion with colleagues or staff meeting,25-34,Other,Other,Secondary,Female,Female,None,Yes,Yes,No
Togo-2013_113_4,Togo-2013,113_4,113,4,0.25,,,,,1.0,1,No,5 or less,5 or less,"Laboratory, investigations, or x-ray",25-34,Other,Other,Secondary,Male,Male,None,Yes,Yes,No
Togo-2013_113_1,Togo-2013,113_1,113,1,0.25,,,,,1.0,1,Yes,5 or less,5 or less,With patient,25-34,Nurse,Nurse,Post-Secondary,Male,Male,Advanced,Yes,Yes,No
Togo-2013_113_3,Togo-2013,113_3,113,3,0.25,,,Authorized absence,Authorized absence,1.0,1,Yes,5 or less,5 or less,,25-34,Other,Other,Secondary,Female,Female,None,No,No,
Togo-2013_114_5,Togo-2013,114_5,114,5,0.6666667,,,,"Training, seminar or meeting",1.0,1,Yes,5 or less,11-50,,25-34,Other,Other,Secondary,Female,Female,None,Yes,No,
Togo-2013_114_9,Togo-2013,114_9,114,9,0.6666667,,,,,1.0,1,No,5 or less,11-50,"Laboratory, investigations, or x-ray",25-34,Other,Other,Secondary,Male,Male,None,Yes,Yes,No
Togo-2013_114_6,Togo-2013,114_6,114,6,0.6666667,,,,On-call,1.0,1,Yes,5 or less,11-50,,35-44,Other,Other,Secondary,Female,Female,None,Yes,No,
Togo-2013_114_2,Togo-2013,114_2,114,2,0.6666667,,,,Authorized absence,1.0,1,Yes,5 or less,11-50,,35-44,Nurse,Nurse,Secondary,Female,Female,Diploma,Yes,No,
Togo-2013_114_1,Togo-2013,114_1,114,1,0.6666667,,,,Internship,1.0,1,Yes,5 or less,11-50,,35-44,Clinical Officer,Clinical Officer,Post-Secondary,Female,Female,Advanced,Yes,No,
Togo-2013_114_3,Togo-2013,114_3,114,3,0.6666667,,,,,1.0,1,Yes,5 or less,11-50,With patient,45 or older,Other,Other,Primary,Female,Female,Certificate,Yes,Yes,No
Togo-2013_114_8,Togo-2013,114_8,114,8,0.6666667,,,,Unauthorized absence,1.0,1,No,5 or less,11-50,,25-34,Other,Other,Post-Secondary,Male,Male,Advanced,Yes,No,
Togo-2013_114_7,Togo-2013,114_7,114,7,0.6666667,,,,,1.0,1,No,5 or less,11-50,6.0,45 or older,Other,Other,Primary,Male,Male,None,Yes,Yes,No
Togo-2013_114_4,Togo-2013,114_4,114,4,0.6666667,,,,Collecting salary,1.0,1,Yes,5 or less,11-50,,45 or older,Nurse,Nurse,Secondary,Male,Male,Certificate,Yes,No,
Togo-2013_115_1,Togo-2013,115_1,115,1,0.5,,,,"Training, seminar or meeting",1.0,1,Yes,5 or less,5 or less,,35-44,Other,Other,Secondary,Female,Female,None,Yes,No,
Togo-2013_115_2,Togo-2013,115_2,115,2,0.5,,,,,1.0,1,No,5 or less,5 or less,6.0,35-44,Other,Other,Primary,Female,Female,None,Yes,Yes,No
Togo-2013_116_3,Togo-2013,116_3,116,3,0.6666667,,,,Authorized absence,1.0,1,No,5 or less,5 or less,,35-44,Other,Other,Primary,Female,Female,None,Yes,No,
Togo-2013_116_1,Togo-2013,116_1,116,1,0.6666667,,,,,1.0,1,Yes,5 or less,5 or less,6.0,25-34,Nurse,Nurse,Post-Secondary,Male,Male,Advanced,Yes,Yes,Yes
Togo-2013_116_2,Togo-2013,116_2,116,2,0.6666667,,,,"Training, seminar or meeting",1.0,1,Yes,5 or less,5 or less,,45 or older,Other,Other,Primary,Female,Female,None,Yes,No,
Togo-2013_117_4,Togo-2013,117_4,117,4,0.25,,,,,1.0,1,Yes,5 or less,6-10,Paperwork,25-34,Other,Other,Primary,Female,Female,Certificate,Yes,Yes,No
Togo-2013_117_2,Togo-2013,117_2,117,2,0.25,,,,,1.0,1,Yes,5 or less,6-10,With patient,35-44,Nurse,Nurse,Secondary,Male,Male,Diploma,Yes,Yes,No
Togo-2013_117_3,Togo-2013,117_3,117,3,0.25,,,Sick or on maternity leave,Sick or on maternity leave,1.0,1,Yes,5 or less,6-10,,25-34,Other,Other,Secondary,Female,Female,Diploma,No,No,
Togo-2013_117_1,Togo-2013,117_1,117,1,0.25,,,,,1.0,1,Yes,5 or less,6-10,Discussion with colleagues or staff meeting,45 or older,Nurse,Nurse,Secondary,Male,Male,Diploma,Yes,Yes,No
Togo-2013_118_1,Togo-2013,118_1,118,1,0.5,,,"Training, seminar or meeting",Official mission,1.0,1,Yes,Over 5,Over 50,,25-34,Doctor,Doctor,Post-Secondary,Male,Male,Advanced,No,No,
Togo-2013_118_12,Togo-2013,118_12,118,12,0.5,,,,,1.0,1,Yes,Over 5,Over 50,Discussion with colleagues or staff meeting,45 or older,Nurse,Nurse,Post-Secondary,Male,Male,Diploma,Yes,Yes,No
Togo-2013_118_20,Togo-2013,118_20,118,20,0.5,,,Authorized absence,Official mission,1.0,1,Yes,Over 5,Over 50,,35-44,Other,Other,Secondary,Female,Female,Diploma,No,No,
Togo-2013_118_16,Togo-2013,118_16,118,16,0.5,,,,,,1,Yes,Over 5,Over 50,,45 or older,Nurse,,Secondary,Female,,Diploma,Yes,,
Togo-2013_118_5,Togo-2013,118_5,118,5,0.5,,,On-call,,,1,Yes,Over 5,Over 50,,35-44,Nurse,,Post-Secondary,Male,,Advanced,No,,
Togo-2013_118_3,Togo-2013,118_3,118,3,0.5,,,,,,1,Yes,Over 5,Over 50,,45 or older,Clinical Officer,,Post-Secondary,Female,,Certificate,Yes,,
Togo-2013_118_10,Togo-2013,118_10,118,10,0.5,,,Authorized absence,,,1,No,Over 5,Over 50,,45 or older,Nurse,,Primary,Female,,Certificate,No,,
Togo-2013_118_6,Togo-2013,118_6,118,6,0.5,,,,,1.0,1,Yes,Over 5,Over 50,With patient,45 or older,Nurse,Nurse,Post-Secondary,Female,Female,Diploma,Yes,Yes,No
Togo-2013_118_25,Togo-2013,118_25,118,25,0.5,,,,,1.0,1,No,Over 5,Over 50,"Laboratory, investigations, or x-ray",35-44,Other,Other,Secondary,Male,Male,Certificate,Yes,Yes,No
Togo-2013_118_14,Togo-2013,118_14,118,14,0.5,,,,,,1,Yes,Over 5,Over 50,,25-34,Nurse,,Post-Secondary,Female,,Advanced,Yes,,
Togo-2013_118_7,Togo-2013,118_7,118,7,0.5,,,,On-call,1.0,1,Yes,Over 5,Over 50,,45 or older,Nurse,Nurse,Primary,Female,Female,Certificate,Yes,No,
Togo-2013_118_11,Togo-2013,118_11,118,11,0.5,,,Official mission,,,1,Yes,Over 5,Over 50,,45 or older,Nurse,,Post-Secondary,Male,,Diploma,No,,
Togo-2013_118_9,Togo-2013,118_9,118,9,0.5,,,Authorized absence,,,1,Yes,Over 5,Over 50,,45 or older,Nurse,,Primary,Male,,Certificate,No,,
