survey_id,country,unique_id,facility_id,provider_id,absence_rate,absent_reason1,absent_reason2,has_absentee,has_roster,is_outpatient,num_med,num_nonmed,num_staff,provider_activity,provider_age1,provider_age2,provider_cadre1,provider_cadre2,provider_educ1,provider_educ2,provider_male1,provider_male2,provider_mededuc1,provider_mededuc2,provider_present1,provider_present2,salary_delay,year_started
Tanzania-2014_100_11,Tanzania-2014,100_11,100,11,0.4,On-call,,1.0,1,No,11-50,5 or less,11-50,With patient,45 or older,45 or older,Other,Other,Secondary,Secondary,Female,Female,Certificate,Certificate,No,Yes,Yes,Before 1990
Tanzania-2014_100_7,Tanzania-2014,100_7,100,7,0.4,On-call,,1.0,1,No,11-50,5 or less,11-50,With patient,35-44,35-44,Other,Other,Primary,Secondary,Female,Female,Certificate,Certificate,No,Yes,Yes,In the 1990s
Tanzania-2014_100_9,Tanzania-2014,100_9,100,9,0.4,On-call,,1.0,1,No,11-50,5 or less,11-50,With patient,Younger than 25,Younger than 25,Other,Other,Secondary,Secondary,Female,Female,Certificate,Certificate,No,Yes,Yes,After 2000
Tanzania-2014_100_3,Tanzania-2014,100_3,100,3,0.4,On-call,,1.0,1,No,11-50,5 or less,11-50,With patient,45 or older,45 or older,Nurse,Nurse,Secondary,Secondary,Female,Female,Diploma,Diploma,No,Yes,No,Before 1990
Tanzania-2014_100_1,Tanzania-2014,100_1,100,1,0.4,On-call,On-call,1.0,1,Yes,11-50,5 or less,11-50,,45 or older,45 or older,Doctor,Doctor,Secondary,Secondary,Male,Male,Diploma,Diploma,No,No,,Before 1990
Tanzania-2014_101_7,Tanzania-2014,101_7,101,7,0.0,On-call,,1.0,1,No,6-10,5 or less,6-10,With patient,45 or older,45 or older,Other,Other,Primary,Primary,Female,Female,Certificate,Certificate,No,Yes,No,After 2000
Tanzania-2014_101_4,Tanzania-2014,101_4,101,4,0.0,,,1.0,1,No,6-10,5 or less,6-10,With patient,Younger than 25,Younger than 25,Other,Other,Secondary,Secondary,Female,Female,Certificate,Certificate,Yes,Yes,No,After 2000
Tanzania-2014_101_3,Tanzania-2014,101_3,101,3,0.0,,,1.0,1,No,6-10,5 or less,6-10,With patient,45 or older,45 or older,Other,Other,Primary,Primary,Female,Female,Certificate,Certificate,Yes,Yes,No,After 2000
Tanzania-2014_101_2,Tanzania-2014,101_2,101,2,0.0,On-call,,1.0,1,Yes,6-10,5 or less,6-10,With patient,45 or older,45 or older,Clinical Officer,Clinical Officer,Secondary,Secondary,Male,Male,Diploma,Diploma,No,Yes,No,After 2000
Tanzania-2014_101_5,Tanzania-2014,101_5,101,5,0.0,,,1.0,1,No,6-10,5 or less,6-10,With patient,25-34,25-34,Other,Other,Secondary,Secondary,Female,Female,Certificate,Certificate,Yes,Yes,No,After 2000
Tanzania-2014_101_1,Tanzania-2014,101_1,101,1,0.0,,,1.0,1,Yes,6-10,5 or less,6-10,With patient,35-44,35-44,Nurse,Nurse,Secondary,Secondary,Female,Female,Certificate,Certificate,Yes,Yes,No,After 2000
Tanzania-2014_101_8,Tanzania-2014,101_8,101,8,0.0,Official mission,,1.0,1,No,6-10,5 or less,6-10,With patient,45 or older,45 or older,Other,Other,Primary,Primary,Female,Female,Certificate,Certificate,No,Yes,No,After 2000
Tanzania-2014_101_6,Tanzania-2014,101_6,101,6,0.0,On-call,,1.0,1,No,6-10,5 or less,6-10,With patient,25-34,25-34,Other,Other,Primary,Primary,Female,Female,Certificate,Certificate,No,Yes,No,After 2000
Tanzania-2014_102_11,Tanzania-2014,102_11,102,11,0.5,On-call,On-call,1.0,1,No,11-50,Over 5,11-50,,35-44,35-44,Other,Other,Primary,Primary,Female,Female,Certificate,Certificate,No,No,,In the 1990s
Tanzania-2014_102_10,Tanzania-2014,102_10,102,10,0.5,On-call,,1.0,1,No,11-50,Over 5,11-50,With patient,35-44,35-44,Nurse,Nurse,Primary,Primary,Female,Female,Certificate,Certificate,No,Yes,Yes,Before 1990
Tanzania-2014_102_5,Tanzania-2014,102_5,102,5,0.5,Sick or on maternity leave,On-call,1.0,1,No,11-50,Over 5,11-50,,45 or older,45 or older,Other,Other,Primary,Primary,Female,Female,Certificate,Certificate,No,No,,Before 1990
Tanzania-2014_102_3,Tanzania-2014,102_3,102,3,0.5,On-call,,1.0,1,Yes,11-50,Over 5,11-50,With patient,45 or older,45 or older,Clinical Officer,Clinical Officer,Secondary,Secondary,Male,Male,Diploma,Diploma,No,Yes,Yes,Before 1990
Tanzania-2014_102_1,Tanzania-2014,102_1,102,1,0.5,Official mission,,,1,Yes,11-50,Over 5,11-50,,45 or older,,Doctor,,Secondary,,Male,,Diploma,,No,,,
Tanzania-2014_102_2,Tanzania-2014,102_2,102,2,0.5,,,1.0,1,Yes,11-50,Over 5,11-50,With patient,45 or older,45 or older,Clinical Officer,Clinical Officer,Secondary,Secondary,Male,Male,Diploma,Diploma,Yes,Yes,Yes,Before 1990
Tanzania-2014_102_13,Tanzania-2014,102_13,102,13,0.5,,On-call,1.0,1,No,11-50,Over 5,11-50,,25-34,25-34,Other,Other,Secondary,Secondary,Female,Female,Certificate,Certificate,Yes,No,,After 2000
Tanzania-2014_102_4,Tanzania-2014,102_4,102,4,0.5,,On-call,1.0,1,No,11-50,Over 5,11-50,,45 or older,45 or older,Nurse,Nurse,Primary,Primary,Female,Female,Certificate,Certificate,Yes,No,,Before 1990
Tanzania-2014_102_12,Tanzania-2014,102_12,102,12,0.5,,,1.0,1,No,11-50,Over 5,11-50,With patient,35-44,35-44,Other,Other,Secondary,Secondary,Female,Female,Certificate,Certificate,Yes,Yes,Yes,In the 1990s
Tanzania-2014_102_7,Tanzania-2014,102_7,102,7,0.5,,,,1,No,11-50,Over 5,11-50,,45 or older,,Nurse,,Secondary,,Female,,Certificate,,Yes,,,
Tanzania-2014_102_8,Tanzania-2014,102_8,102,8,0.5,,On-call,1.0,1,No,11-50,Over 5,11-50,,45 or older,45 or older,Other,Other,Primary,Primary,Female,Female,Certificate,Certificate,Yes,No,,Before 1990
Tanzania-2014_102_6,Tanzania-2014,102_6,102,6,0.5,,,1.0,1,No,11-50,Over 5,11-50,With patient,35-44,35-44,Nurse,Nurse,Secondary,Secondary,Female,Female,Certificate,Certificate,Yes,Yes,No,In the 1990s
Tanzania-2014_102_9,Tanzania-2014,102_9,102,9,0.5,On-call,,,1,No,11-50,Over 5,11-50,,35-44,,Nurse,,Primary,,Female,,Certificate,,No,,,
Tanzania-2014_103_1,Tanzania-2014,103_1,103,1,0.0,,,1.0,1,Yes,5 or less,5 or less,5 or less,With patient,25-34,25-34,Clinical Officer,Doctor,Secondary,Secondary,Male,Male,Diploma,Diploma,Yes,Yes,Yes,After 2000
Tanzania-2014_103_2,Tanzania-2014,103_2,103,2,0.0,,,1.0,1,No,5 or less,5 or less,5 or less,With patient,25-34,25-34,Other,Doctor,Secondary,Secondary,Female,Female,Certificate,Certificate,Yes,Yes,Yes,After 2000
Tanzania-2014_103_3,Tanzania-2014,103_3,103,3,0.0,,,1.0,1,No,5 or less,5 or less,5 or less,With patient,45 or older,45 or older,Other,Doctor,Secondary,Secondary,Female,Female,Certificate,Certificate,Yes,Yes,Yes,After 2000
Tanzania-2014_104_2,Tanzania-2014,104_2,104,2,0.2,,,1.0,1,Yes,5 or less,5 or less,5 or less,With patient,45 or older,45 or older,Nurse,Nurse,Primary,Primary,Female,Female,Certificate,Certificate,Yes,Yes,Yes,Before 1990
Tanzania-2014_104_3,Tanzania-2014,104_3,104,3,0.2,On-call,On-call,1.0,1,No,5 or less,5 or less,5 or less,,45 or older,45 or older,Other,Other,Primary,Primary,Male,Male,Certificate,Certificate,No,No,,In the 1990s
Tanzania-2014_104_1,Tanzania-2014,104_1,104,1,0.2,Official mission,,1.0,1,Yes,5 or less,5 or less,5 or less,With patient,45 or older,45 or older,Clinical Officer,Clinical Officer,Secondary,Secondary,Male,Male,Diploma,Diploma,No,Yes,Yes,Before 1990
Tanzania-2014_104_5,Tanzania-2014,104_5,104,5,0.2,,,1.0,1,No,5 or less,5 or less,5 or less,With patient,45 or older,45 or older,Other,Other,Primary,Primary,Female,Female,Certificate,Certificate,Yes,Yes,No,Before 1990
Tanzania-2014_104_4,Tanzania-2014,104_4,104,4,0.2,,,1.0,1,No,5 or less,5 or less,5 or less,With patient,35-44,35-44,Other,Other,Primary,Primary,Female,Female,Certificate,Certificate,Yes,Yes,No,In the 1990s
Tanzania-2014_105_5,Tanzania-2014,105_5,105,5,0.0,,,1.0,1,No,5 or less,5 or less,6-10,"Laboratory, investigations, or x-ray",45 or older,45 or older,Other,Other,Secondary,Secondary,Male,Male,Certificate,Certificate,Yes,Yes,Yes,Before 1990
Tanzania-2014_105_3,Tanzania-2014,105_3,105,3,0.0,,,1.0,1,No,5 or less,5 or less,6-10,With patient,45 or older,45 or older,Other,Other,Primary,Primary,Female,Female,Certificate,Certificate,Yes,Yes,Yes,Before 1990
Tanzania-2014_105_1,Tanzania-2014,105_1,105,1,0.0,,,1.0,1,Yes,5 or less,5 or less,6-10,With patient,45 or older,45 or older,Doctor,Doctor,Secondary,Secondary,Male,Male,Diploma,Diploma,Yes,Yes,Yes,In the 1990s
Tanzania-2014_105_4,Tanzania-2014,105_4,105,4,0.0,,,1.0,1,No,5 or less,5 or less,6-10,With patient,45 or older,45 or older,Other,Other,Secondary,Secondary,Female,Female,Certificate,Certificate,Yes,Yes,Yes,Before 1990
Tanzania-2014_105_2,Tanzania-2014,105_2,105,2,0.0,,,1.0,1,No,5 or less,5 or less,6-10,With patient,45 or older,45 or older,Other,Other,Secondary,Secondary,Female,Female,Certificate,Certificate,Yes,Yes,Yes,Before 1990
Tanzania-2014_106_20,Tanzania-2014,106_20,106,20,0.4,,,,1,No,11-50,5 or less,11-50,,45 or older,,Other,,Primary,,Female,,Certificate,,Yes,,,
Tanzania-2014_106_2,Tanzania-2014,106_2,106,2,0.4,On-call,,1.0,1,Yes,11-50,5 or less,11-50,With patient,35-44,35-44,Doctor,Doctor,Secondary,Secondary,Male,Male,Diploma,Diploma,No,Yes,Yes,After 2000
Tanzania-2014_106_10,Tanzania-2014,106_10,106,10,0.4,,,1.0,1,No,11-50,5 or less,11-50,With patient,35-44,45 or older,Nurse,Nurse,Secondary,Secondary,Female,Female,Certificate,Certificate,Yes,Yes,No,Before 1990
Tanzania-2014_106_3,Tanzania-2014,106_3,106,3,0.4,,,,1,Yes,11-50,5 or less,11-50,,35-44,,Clinical Officer,,Secondary,,Male,,Diploma,,Yes,,,
Tanzania-2014_106_7,Tanzania-2014,106_7,106,7,0.4,On-call,On-call,1.0,1,Yes,11-50,5 or less,11-50,,25-34,25-34,Clinical Officer,Clinical Officer,Secondary,Post-Secondary,Female,Female,Diploma,Diploma,No,No,,After 2000
Tanzania-2014_106_18,Tanzania-2014,106_18,106,18,0.4,,,,1,No,11-50,5 or less,11-50,,25-34,,Other,,Secondary,,Female,,Certificate,,Yes,,,
Tanzania-2014_106_27,Tanzania-2014,106_27,106,27,0.4,,,,1,No,11-50,5 or less,11-50,,45 or older,,Other,,Primary,,Female,,Certificate,,Yes,,,
Tanzania-2014_106_12,Tanzania-2014,106_12,106,12,0.4,On-call,,,1,No,11-50,5 or less,11-50,,45 or older,,Other,,Primary,,Female,,Certificate,,No,,,
Tanzania-2014_106_14,Tanzania-2014,106_14,106,14,0.4,,On-call,1.0,1,No,11-50,5 or less,11-50,,25-34,25-34,Other,Other,Secondary,Secondary,Female,Female,Certificate,Certificate,Yes,No,,After 2000
Tanzania-2014_106_1,Tanzania-2014,106_1,106,1,0.4,On-call,,1.0,1,Yes,11-50,5 or less,11-50,With patient,35-44,35-44,Doctor,Doctor,Secondary,Secondary,Male,Male,Diploma,Diploma,No,Yes,Yes,After 2000
Tanzania-2014_106_24,Tanzania-2014,106_24,106,24,0.4,On-call,,,1,No,11-50,5 or less,11-50,,45 or older,,Other,,Secondary,,Female,,Certificate,,No,,,
Tanzania-2014_106_13,Tanzania-2014,106_13,106,13,0.4,,,,1,No,11-50,5 or less,11-50,,45 or older,,Other,,Secondary,,Female,,Certificate,,Yes,,,
Tanzania-2014_106_5,Tanzania-2014,106_5,106,5,0.4,On-call,On-call,1.0,1,Yes,11-50,5 or less,11-50,,35-44,35-44,Clinical Officer,Clinical Officer,Secondary,Post-Secondary,Female,Male,Diploma,Diploma,No,No,,After 2000
Tanzania-2014_106_25,Tanzania-2014,106_25,106,25,0.4,,On-call,1.0,1,No,11-50,5 or less,11-50,,45 or older,45 or older,Other,Other,Primary,Primary,Female,Female,Certificate,Certificate,Yes,No,,In the 1990s
Tanzania-2014_106_8,Tanzania-2014,106_8,106,8,0.4,,,1.0,1,Yes,11-50,5 or less,11-50,With patient,25-34,25-34,Clinical Officer,Clinical Officer,Secondary,Post-Secondary,Female,Female,Certificate,Certificate,Yes,Yes,Yes,After 2000
Tanzania-2014_106_17,Tanzania-2014,106_17,106,17,0.4,,,,1,No,11-50,5 or less,11-50,,35-44,,Other,,Secondary,,Female,,Certificate,,Yes,,,
Tanzania-2014_106_21,Tanzania-2014,106_21,106,21,0.4,,,1.0,1,No,11-50,5 or less,11-50,With patient,45 or older,45 or older,Other,Other,Primary,Primary,Female,Female,Certificate,Certificate,Yes,Yes,No,Before 1990
Tanzania-2014_106_6,Tanzania-2014,106_6,106,6,0.4,On-call,,,1,Yes,11-50,5 or less,11-50,,45 or older,,Clinical Officer,,Secondary,,Female,,Diploma,,No,,,
Tanzania-2014_106_26,Tanzania-2014,106_26,106,26,0.4,,,,1,No,11-50,5 or less,11-50,,45 or older,,Other,,Primary,,Male,,Certificate,,Yes,,,
Tanzania-2014_106_9,Tanzania-2014,106_9,106,9,0.4,,,,1,No,11-50,5 or less,11-50,,25-34,,Nurse,,Secondary,,Female,,Certificate,,Yes,,,
Tanzania-2014_106_19,Tanzania-2014,106_19,106,19,0.4,,,,1,No,11-50,5 or less,11-50,,45 or older,,Other,,Primary,,Female,,Certificate,,Yes,,,
Tanzania-2014_106_22,Tanzania-2014,106_22,106,22,0.4,On-call,,,1,No,11-50,5 or less,11-50,,35-44,,Other,,Primary,,Female,,Certificate,,No,,,
Tanzania-2014_106_11,Tanzania-2014,106_11,106,11,0.4,Sick or on maternity leave,,,1,No,11-50,5 or less,11-50,,45 or older,,Other,,Primary,,Female,,Certificate,,No,,,
Tanzania-2014_106_4,Tanzania-2014,106_4,106,4,0.4,On-call,,,1,Yes,11-50,5 or less,11-50,,25-34,,Clinical Officer,,Secondary,,Male,,Diploma,,No,,,
Tanzania-2014_106_16,Tanzania-2014,106_16,106,16,0.4,On-call,,,1,No,11-50,5 or less,11-50,,45 or older,,Other,,Primary,,Female,,Certificate,,No,,,
Tanzania-2014_106_15,Tanzania-2014,106_15,106,15,0.4,On-call,,,1,No,11-50,5 or less,11-50,,45 or older,,Other,,Secondary,,Female,,Certificate,,No,,,
Tanzania-2014_106_23,Tanzania-2014,106_23,106,23,0.4,On-call,,1.0,1,No,11-50,5 or less,11-50,With patient,45 or older,45 or older,Other,Other,Primary,Primary,Female,Female,Certificate,Certificate,No,Yes,Yes,In the 1990s
Tanzania-2014_107_3,Tanzania-2014,107_3,107,3,0.25,,On-call,1.0,1,No,5 or less,5 or less,5 or less,,45 or older,45 or older,Other,Other,Secondary,Secondary,Female,Female,Certificate,Certificate,Yes,No,,In the 1990s
Tanzania-2014_107_2,Tanzania-2014,107_2,107,2,0.25,,,1.0,1,Yes,5 or less,5 or less,5 or less,With patient,25-34,25-34,Other,Other,Secondary,Secondary,Female,Female,Certificate,Certificate,Yes,Yes,No,After 2000
Tanzania-2014_107_4,Tanzania-2014,107_4,107,4,0.25,,,1.0,1,No,5 or less,5 or less,5 or less,With patient,35-44,35-44,Other,Other,Primary,Primary,Female,Female,Certificate,Certificate,Yes,Yes,Yes,After 2000
Tanzania-2014_107_1,Tanzania-2014,107_1,107,1,0.25,Authorized absence,,1.0,1,Yes,5 or less,5 or less,5 or less,With patient,35-44,35-44,Doctor,Doctor,Secondary,Secondary,Male,Male,Diploma,Diploma,No,Yes,Yes,In the 1990s
Tanzania-2014_108_5,Tanzania-2014,108_5,108,5,0.4,Authorized absence,,,1,No,11-50,Over 5,11-50,,25-34,,Doctor,,Secondary,,Female,,Diploma,,No,,,
Tanzania-2014_108_3,Tanzania-2014,108_3,108,3,0.4,On-call,,1.0,1,Yes,11-50,Over 5,11-50,With patient,45 or older,45 or older,Clinical Officer,Clinical Officer,Secondary,Secondary,Male,Male,Diploma,Diploma,No,Yes,Yes,After 2000
Tanzania-2014_108_9,Tanzania-2014,108_9,108,9,0.4,On-call,Authorized absence,1.0,1,No,11-50,Over 5,11-50,,45 or older,45 or older,Nurse,Nurse,Secondary,Secondary,Female,Female,Certificate,Certificate,No,No,,Before 1990
Tanzania-2014_108_15,Tanzania-2014,108_15,108,15,0.4,,,,1,No,11-50,Over 5,11-50,,35-44,,Nurse,,Secondary,,Female,,Diploma,,Yes,,,
Tanzania-2014_108_16,Tanzania-2014,108_16,108,16,0.4,On-call,,,1,No,11-50,Over 5,11-50,,45 or older,,Other,,Secondary,,Female,,Diploma,,No,,,
Tanzania-2014_108_13,Tanzania-2014,108_13,108,13,0.4,On-call,,,1,No,11-50,Over 5,11-50,,45 or older,,Nurse,,Secondary,,Female,,Diploma,,No,,,
Tanzania-2014_108_1,Tanzania-2014,108_1,108,1,0.4,,,,1,Yes,11-50,Over 5,11-50,,35-44,,Doctor,,Secondary,,Male,,Diploma,,Yes,,,
Tanzania-2014_108_14,Tanzania-2014,108_14,108,14,0.4,Authorized absence,,,1,No,11-50,Over 5,11-50,,35-44,,Nurse,,Secondary,,Female,,Diploma,,No,,,
Tanzania-2014_108_22,Tanzania-2014,108_22,108,22,0.4,,,1.0,1,No,11-50,Over 5,11-50,With patient,Younger than 25,Younger than 25,Other,Other,Primary,Primary,Female,Female,Diploma,Diploma,Yes,Yes,No,After 2000
Tanzania-2014_108_12,Tanzania-2014,108_12,108,12,0.4,On-call,,1.0,1,No,11-50,Over 5,11-50,With patient,45 or older,45 or older,Nurse,Nurse,Secondary,Secondary,Female,Female,Diploma,Diploma,No,Yes,Yes,Before 1990
Tanzania-2014_108_8,Tanzania-2014,108_8,108,8,0.4,Sick or on maternity leave,,,1,No,11-50,Over 5,11-50,,25-34,,Nurse,,Secondary,,Female,,Diploma,,No,,,
Tanzania-2014_108_25,Tanzania-2014,108_25,108,25,0.4,Authorized absence,,,1,No,11-50,Over 5,11-50,,25-34,,Other,,Secondary,,Female,,Diploma,,No,,,
Tanzania-2014_108_20,Tanzania-2014,108_20,108,20,0.4,,,1.0,1,No,11-50,Over 5,11-50,With patient,45 or older,45 or older,Other,Other,Primary,Primary,Female,Female,Diploma,Diploma,Yes,Yes,No,Before 1990
Tanzania-2014_108_31,Tanzania-2014,108_31,108,31,0.4,On-call,,,1,No,11-50,Over 5,11-50,,45 or older,,Other,,Primary,,Male,,Diploma,,No,,,
Tanzania-2014_108_29,Tanzania-2014,108_29,108,29,0.4,,,,1,No,11-50,Over 5,11-50,,35-44,,Other,,Secondary,,Female,,Diploma,,Yes,,,
Tanzania-2014_108_28,Tanzania-2014,108_28,108,28,0.4,,,,1,No,11-50,Over 5,11-50,,35-44,,Other,,Secondary,,Female,,Diploma,,Yes,,,
Tanzania-2014_108_11,Tanzania-2014,108_11,108,11,0.4,On-call,On-call,1.0,1,No,11-50,Over 5,11-50,,45 or older,45 or older,Nurse,Nurse,Secondary,Secondary,Female,Female,Diploma,Diploma,No,No,,Before 1990
Tanzania-2014_108_4,Tanzania-2014,108_4,108,4,0.4,On-call,,,1,Yes,11-50,Over 5,11-50,,45 or older,,Clinical Officer,,Secondary,,Male,,Diploma,,No,,,
Tanzania-2014_108_32,Tanzania-2014,108_32,108,32,0.4,,,,1,No,11-50,Over 5,11-50,,25-34,,Other,,Primary,,Male,,Diploma,,Yes,,,
Tanzania-2014_108_10,Tanzania-2014,108_10,108,10,0.4,,,,1,No,11-50,Over 5,11-50,,45 or older,,Nurse,,Secondary,,Female,,Certificate,,Yes,,,
Tanzania-2014_108_7,Tanzania-2014,108_7,108,7,0.4,,,,1,No,11-50,Over 5,11-50,,35-44,,Nurse,,Secondary,,Female,,Diploma,,Yes,,,
Tanzania-2014_108_17,Tanzania-2014,108_17,108,17,0.4,On-call,,,1,No,11-50,Over 5,11-50,,45 or older,,Other,,Primary,,Female,,Diploma,,No,,,
Tanzania-2014_108_21,Tanzania-2014,108_21,108,21,0.4,,,,1,No,11-50,Over 5,11-50,,45 or older,,Other,,Primary,,Female,,Diploma,,Yes,,,
Tanzania-2014_108_26,Tanzania-2014,108_26,108,26,0.4,,On-call,1.0,1,No,11-50,Over 5,11-50,,35-44,35-44,Other,Other,Secondary,Secondary,Female,Female,Diploma,Diploma,Yes,No,,After 2000
Tanzania-2014_108_27,Tanzania-2014,108_27,108,27,0.4,On-call,On-call,1.0,1,No,11-50,Over 5,11-50,,45 or older,45 or older,Nurse,Nurse,Primary,Primary,Female,Female,Diploma,Diploma,No,No,,Before 1990
Tanzania-2014_108_30,Tanzania-2014,108_30,108,30,0.4,On-call,,,1,No,11-50,Over 5,11-50,,25-34,,Other,,Secondary,,Female,,Diploma,,No,,,
Tanzania-2014_108_2,Tanzania-2014,108_2,108,2,0.4,,,,1,Yes,11-50,Over 5,11-50,,45 or older,,Clinical Officer,,Secondary,,Male,,Diploma,,Yes,,,
Tanzania-2014_108_18,Tanzania-2014,108_18,108,18,0.4,On-call,,1.0,1,No,11-50,Over 5,11-50,With patient,45 or older,45 or older,Other,Nurse,Primary,Primary,Female,Female,Diploma,Diploma,No,Yes,Yes,In the 1990s
Tanzania-2014_108_6,Tanzania-2014,108_6,108,6,0.4,,,1.0,1,No,11-50,Over 5,11-50,With patient,25-34,25-34,Nurse,Nurse,Secondary,Secondary,Female,Female,Diploma,Diploma,Yes,Yes,Yes,After 2000
Tanzania-2014_108_24,Tanzania-2014,108_24,108,24,0.4,,,,1,No,11-50,Over 5,11-50,,25-34,,Other,,Secondary,,Male,,Diploma,,Yes,,,
Tanzania-2014_108_23,Tanzania-2014,108_23,108,23,0.4,,,,1,No,11-50,Over 5,11-50,,25-34,,Other,,Primary,,Female,,Diploma,,Yes,,,
Tanzania-2014_108_19,Tanzania-2014,108_19,108,19,0.4,,,,1,No,11-50,Over 5,11-50,,25-34,,Nurse,,Primary,,Female,,Diploma,,Yes,,,
Tanzania-2014_11_2,Tanzania-2014,11_2,11,2,0.0,,,1.0,1,No,5 or less,5 or less,6-10,With patient,35-44,35-44,Other,Other,Primary,Primary,Female,Female,None,Certificate,Yes,Yes,Yes,In the 1990s
Tanzania-2014_11_1,Tanzania-2014,11_1,11,1,0.0,,,1.0,1,Yes,5 or less,5 or less,6-10,With patient,45 or older,45 or older,Clinical Officer,Clinical Officer,Primary,Primary,Male,Male,Certificate,Certificate,Yes,Yes,Yes,Before 1990
