country,facility_id,act_a,admin1,admin2,adultscale_a,amoxicillin1_a,aspirin_a,bcg_vac,childscale_a,cotrimoxazole3_a,does_vaccines,dpt_vac,extencilline_a,eyescope_a,facility_level,facmobile_a,glucometer_a,glucose_a,has_facility,indmobile1_a,ipw,measles_vac,mebendazole_a,metronidazole_a,microscope_a,num_med,num_nonmed,obstetric_a,ors_a,paracetamol3_a,pentavalent_vac,pharm_records,phone_a,polio_vac,procaine_a,publicprivate,quinine_a,ringers_a,ruralurban,saline_a,sphgmeter_a,stethoscope_a,tetanus_vac,tetracycline_a,thermometer_a,vaccine_store1,yellowfev_vac
Senegal-2010,13,At least one observed (not expired),4,16,No,Not available today,Not available today,,Yes (Observed),Not available today,Yes,,Never available,No,Health Post,No,No,Never available,1,Yes (Observed),11.746859,,Not available today,Never available,No,5 or less,5 or less,No,At least one observed (not expired),Not available today,,4,No,,Never available,Public,Never available,Never available,Rural,Never available,No,No,,Never available,Yes (Observed),No,
Senegal-2010,14,At least one observed (not expired),10,38,No,At least one observed (not expired),At least one observed (not expired),,Yes (Observed),Not available today,Yes,,At least one observed (not expired),No,Health Post,Yes (Observed),Yes,At least one observed (not expired),1,No,15.786184,,At least one observed (not expired),At least one observed (not expired),No,5 or less,5 or less,No,Not available today,At least one observed (not expired),,Yes,No,,Not available today,Public,At least one observed (not expired),At least one observed (not expired),Rural,At least one observed (not expired),Yes (Observed),Yes (Observed),,At least one observed (not expired),No,No,
Senegal-2010,15,At least one observed (not expired),3,11,Yes (Observed),At least one observed (not expired),Never available,,Yes (Observed),At least one observed (not expired),No,,Never available,No,Health Post,No,No,Never available,1,Yes (Observed),5.8988733,,At least one observed (not expired),At least one observed (not expired),No,5 or less,5 or less,No,At least one observed (not expired),At least one observed (not expired),,Yes,No,,Never available,Public,Never available,Never available,Rural,Never available,Yes (Observed),No,,Never available,No,,
Senegal-2010,16,At least one observed (not expired),10,34,Yes (Observed),Never available,Not available today,,Yes (Observed),At least one observed (not expired),Yes,,Never available,No,Health Post,No,No,Never available,1,Yes (Observed),4.866996,,Not available today,Not available today,No,5 or less,5 or less,No,At least one observed (not expired),At least one observed (not expired),,Yes,No,,Never available,Public,Never available,Never available,Rural,Never available,Yes (Observed),No,,Not available today,No,No,
Senegal-2010,17,Never available,2,6,No,Never available,Never available,,No,Never available,No,,Never available,No,Health Post,No,No,Never available,1,Yes (Observed),31.05147,,Never available,Never available,No,5 or less,5 or less,No,Never available,At least one observed (not expired),,4,No,,Never available,Public,Never available,Never available,Rural,Never available,No,No,,Never available,No,,
Senegal-2010,18,Not available today,10,33,Yes (Observed),Not available today,Not available today,,Yes (Observed),Not available today,No,,Not available today,No,Health Post,No,No,Never available,1,Yes (Observed),20.536959,,At least one observed (not expired),Not available today,Yes (Observed),5 or less,5 or less,No,Not available today,At least one observed (not expired),,Yes,No,,Not available today,Public,Not available today,Not available today,Rural,Never available,No,Yes (Observed),,Not available today,Yes (Observed),,
Senegal-2010,19,At least one observed (not expired),3,11,No,Never available,Never available,,Yes (Observed),At least one observed (not expired),No,,Never available,No,Health Post,No,No,Never available,1,Yes (Observed),32.057858,,Not available today,Never available,No,5 or less,5 or less,No,Not available today,At least one observed (not expired),,Yes,No,,Never available,Public,Never available,Never available,Rural,Never available,Yes (Observed),Yes (Observed),,Never available,No,,
Senegal-2010,20,At least one observed (not expired),4,14,Yes (Observed),Not available today,At least one observed (not expired),,Yes (Observed),At least one observed (not expired),Yes,,Not available today,No,Health Post,No,No,Not available today,1,Yes (Observed),70.66384,,At least one observed (not expired),Not available today,No,6-10,5 or less,No,At least one observed (not expired),At least one observed (not expired),,Yes,No,,Not available today,Public,At least one observed (not expired),Not available today,Rural,Not available today,Yes (Observed),No,,At least one observed (not expired),Yes (Observed),No,
Senegal-2010,21,At least one observed (not expired),4,16,No,Never available,Never available,,Yes (Observed),At least one observed (not expired),No,,Never available,No,Health Post,No,No,Never available,1,Yes (Observed),29.367146,,At least one observed (not expired),Never available,No,5 or less,5 or less,No,At least one observed (not expired),At least one observed (not expired),,Yes,No,,Never available,Public,Never available,Never available,Rural,Never available,No,No,,At least one observed (not expired),Yes (Observed),,
Senegal-2010,22,At least one observed (not expired),8,29,No,At least one observed (not expired),At least one observed (not expired),,No,Not available today,No,,At least one observed (not expired),No,Health Post,No,No,At least one observed (not expired),1,Yes (Observed),18.727528,,At least one observed (not expired),At least one observed (not expired),No,5 or less,5 or less,Yes (Observed),Not available today,At least one observed (not expired),,Yes,No,,Not available today,Public,Never available,At least one observed (not expired),Rural,Never available,Yes (Observed),Yes (Observed),,At least one observed (not expired),Yes (Observed),,
Senegal-2010,23,At least one observed (not expired),1,4,Yes (Observed),At least one observed (not expired),Never available,,Yes (Observed),At least one observed (not expired),No,,Never available,No,Health Post,No,No,At least one observed (not expired),1,Yes (Observed),1.0,,At least one observed (not expired),At least one observed (not expired),No,5 or less,5 or less,No,Never available,At least one observed (not expired),,Yes,No,,At least one observed (not expired),Public,At least one observed (not expired),Not available today,Rural,Not available today,Yes (Observed),Yes (Observed),,At least one observed (not expired),Yes (Observed),,
Senegal-2010,24,Never available,7,24,No,Not available today,At least one observed (not expired),,Yes (Observed),At least one observed (not expired),No,,Never available,No,Health Post,No,No,Never available,1,Yes (Observed),15.737882,,At least one observed (not expired),Not available today,No,5 or less,5 or less,Yes (Observed),At least one observed (not expired),At least one observed (not expired),,Yes,No,,Never available,Public,Never available,Never available,Rural,Never available,No,No,,Never available,Yes (Observed),,
Senegal-2010,25,At least one observed (not expired),9,31,No,Not available today,At least one observed (not expired),,Yes (Observed),Not available today,Yes,,Never available,No,Health Post,No,No,Never available,1,Yes (Observed),20.022837,,At least one observed (not expired),At least one observed (not expired),No,5 or less,5 or less,No,At least one observed (not expired),At least one observed (not expired),,Yes,No,,Never available,Public,At least one observed (not expired),Never available,Rural,Never available,No,No,,At least one observed (not expired),Yes (Observed),No,
Senegal-2010,26,At least one observed (not expired),6,23,Yes (Observed),Not available today,Not available today,,Yes (Observed),Not available today,Yes,,Never available,No,Health Post,No,No,Never available,1,Yes (Observed),20.801085,,At least one observed (not expired),Never available,No,5 or less,5 or less,No,At least one observed (not expired),Not available today,,Yes,No,,Never available,Public,At least one observed (not expired),Never available,Rural,Never available,No,No,,Not available today,Yes (Observed),No,
Senegal-2010,27,At least one observed (not expired),5,17,Yes (Observed),Not available today,Never available,,Yes (Observed),Not available today,Yes,,Never available,No,Health Post,No,No,At least one observed (not expired),1,Yes (Observed),28.00644,,Not available today,Not available today,No,5 or less,5 or less,Yes (Observed),Not available today,At least one observed (not expired),,Yes,No,,Never available,Public,Not available today,Never available,Rural,Never available,Yes (Observed),Yes (Observed),,Never available,Yes (Observed),No,
Senegal-2010,28,At least one observed (not expired),2,5,Yes (Observed),At least one observed (not expired),At least one observed (not expired),,Yes (Observed),Not available today,No,,Never available,No,Health Post,No,No,Never available,1,Yes (Observed),12.817449,,At least one observed (not expired),At least one observed (not expired),No,5 or less,5 or less,No,Never available,At least one observed (not expired),,Yes,No,,Not available today,Public,Never available,Never available,Rural,Never available,Yes (Observed),Yes (Observed),,At least one observed (not expired),Yes (Observed),,
Senegal-2010,29,At least one observed (not expired),3,8,No,Never available,Never available,,Yes (Observed),At least one observed (not expired),Yes,,Never available,No,Health Post,No,No,Never available,1,Yes (Observed),5.8988733,,At least one observed (not expired),Never available,No,5 or less,5 or less,Yes (Observed),Never available,At least one observed (not expired),,Yes,No,,Never available,Public,Never available,Never available,Rural,Never available,No,No,,Never available,No,No,
Senegal-2010,30,At least one observed (not expired),10,32,No,At least one observed (not expired),At least one observed (not expired),,Yes (Observed),At least one observed (not expired),Yes,,Never available,No,Health Post,Yes (Observed),No,Never available,1,No,346.93896,,At least one observed (not expired),At least one observed (not expired),No,5 or less,5 or less,No,At least one observed (not expired),At least one observed (not expired),,Yes,No,,Never available,Public,At least one observed (not expired),Never available,Rural,Never available,No,No,,At least one observed (not expired),No,No,
Senegal-2010,31,Not available today,1,4,No,At least one observed (not expired),Not available today,,No,At least one observed (not expired),No,,At least one observed (not expired),No,Health Post,No,No,Not available today,1,Yes (Observed),1.0,,At least one observed (not expired),At least one observed (not expired),No,5 or less,5 or less,No,Not available today,At least one observed (not expired),,Yes,No,,At least one observed (not expired),Public,Never available,Never available,Urban,Not available today,Yes (Observed),Yes (Observed),,At least one observed (not expired),Yes (Observed),,
Senegal-2010,32,At least one observed (not expired),10,34,Yes (Observed),At least one observed (not expired),Not available today,,Yes (Observed),Not available today,No,,At least one observed (not expired),No,Health Post,No,Yes,At least one observed (not expired),1,Yes (Observed),9.733992,,Not available today,At least one observed (not expired),No,5 or less,Over 5,Yes (Observed),Not available today,At least one observed (not expired),,Yes,No,,At least one observed (not expired),Public,At least one observed (not expired),At least one observed (not expired),Urban,At least one observed (not expired),Yes (Observed),Yes (Observed),,Not available today,Yes (Observed),,
Senegal-2010,33,At least one observed (not expired),4,19,No,Never available,Never available,,Yes (Observed),Not available today,Yes,,Never available,No,Health Post,No,No,Never available,1,Yes (Observed),14.28855,,At least one observed (not expired),Never available,No,5 or less,5 or less,No,Not available today,Not available today,,Yes,No,,Never available,Public,Never available,Never available,Rural,Never available,Yes (Observed),No,,Never available,No,No,
Senegal-2010,34,At least one observed (not expired),9,31,Yes (Observed),Never available,At least one observed (not expired),,Yes (Observed),At least one observed (not expired),Yes,,Never available,No,Health Post,,No,Never available,1,,81.14329,,At least one observed (not expired),At least one observed (not expired),No,5 or less,5 or less,No,At least one observed (not expired),At least one observed (not expired),,Yes,,,Never available,Public,Never available,Never available,Rural,Never available,Yes (Observed),No,,At least one observed (not expired),Yes (Observed),No,
Senegal-2010,35,At least one observed (not expired),8,29,No,Not available today,Never available,,Yes (Observed),Not available today,No,,Never available,No,Health Post,No,No,Never available,1,Yes (Observed),37.455055,,Not available today,Never available,No,5 or less,5 or less,No,Not available today,At least one observed (not expired),,Yes,No,,Not available today,Public,Never available,Never available,Rural,Never available,No,No,,Never available,Yes (Observed),,
Senegal-2010,36,Not available today,6,23,Yes (Observed),Never available,Never available,,Yes (Observed),Never available,No,,Never available,No,Health Post,No,No,Never available,1,Yes (Observed),36.4019,,At least one observed (not expired),Never available,No,5 or less,5 or less,No,Not available today,At least one observed (not expired),,Yes,No,,Never available,Public,Never available,Never available,Rural,Never available,No,No,,Never available,Yes (Observed),,
Senegal-2010,37,At least one observed (not expired),2,5,No,Not available today,Not available today,,Yes (Observed),Not available today,Yes,,Never available,No,Health Post,Yes (Observed),No,Never available,1,No,21.362413,,At least one observed (not expired),At least one observed (not expired),No,5 or less,5 or less,No,Never available,At least one observed (not expired),,4,No,,Never available,Public,Never available,Never available,Rural,Never available,Yes (Observed),Yes (Observed),,Never available,Yes (Observed),No,
Senegal-2010,38,Never available,2,5,Yes (Observed),Never available,Never available,,Yes (Observed),Never available,No,,Never available,No,Health Post,Yes (Observed),No,Never available,1,No,17.089931,,Never available,Never available,No,5 or less,5 or less,No,Never available,Never available,,4,No,,Never available,Public,Never available,Never available,Rural,Never available,No,No,,Never available,No,,
Senegal-2010,39,Not available today,3,10,Yes (Observed),Not available today,Not available today,,Yes (Observed),Not available today,No,,Not available today,No,Health Post,Yes (Observed),No,Never available,1,No,102.870544,,Not available today,Not available today,No,5 or less,5 or less,No,Not available today,Not available today,,Yes,No,,Never available,Public,Not available today,Never available,Rural,Never available,Yes (Observed),Yes (Observed),,Not available today,Yes (Observed),,
Senegal-2010,40,At least one observed (not expired),2,6,No,At least one observed (not expired),At least one observed (not expired),,Yes (Observed),At least one observed (not expired),Yes,,Never available,No,Health Post,Yes (Observed),No,Never available,1,No,15.525735,,At least one observed (not expired),At least one observed (not expired),No,5 or less,5 or less,No,Not available today,At least one observed (not expired),,Yes,No,,Never available,Public,Never available,Never available,Rural,Never available,No,Yes (Observed),,Never available,Yes (Observed),No,
Senegal-2010,41,Not available today,1,4,Yes (Observed),Not available today,At least one observed (not expired),,No,Never available,No,,At least one observed (not expired),No,Health Post,No,Yes,At least one observed (not expired),1,Yes (Observed),1.0,,At least one observed (not expired),At least one observed (not expired),No,5 or less,5 or less,No,Not available today,At least one observed (not expired),,Yes,No,,At least one observed (not expired),Public,At least one observed (not expired),At least one observed (not expired),Urban,At least one observed (not expired),Yes (Observed),Yes (Observed),,Never available,Yes (Observed),,
Senegal-2010,42,At least one observed (not expired),10,38,Yes (Observed),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Yes (Observed),At least one observed (not expired),Yes,At least one observed (not expired),At least one observed (not expired),No,Health Center,No,Yes,At least one observed (not expired),1,Yes (Observed),16.570663,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),No,5 or less,5 or less,No,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Yes,No,At least one observed (not expired),Not available today,Public,At least one observed (not expired),Not available today,Urban,At least one observed (not expired),Yes (Observed),Yes (Observed),At least one observed (not expired),At least one observed (not expired),Yes (Observed),Yes,At least one observed (not expired)
Senegal-2010,43,Not available today,7,25,Yes (Observed),At least one observed (not expired),At least one observed (not expired),Not available today,Yes (Observed),At least one observed (not expired),Yes,At least one observed (not expired),At least one observed (not expired),No,Health Center,No,Yes,At least one observed (not expired),1,Yes (Observed),33.1509,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),No,5 or less,5 or less,Yes (Observed),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Yes,No,At least one observed (not expired),At least one observed (not expired),Public,At least one observed (not expired),At least one observed (not expired),Rural,At least one observed (not expired),Yes (Observed),Yes (Observed),At least one observed (not expired),Not available today,Yes (Observed),Yes,At least one observed (not expired)
Senegal-2010,44,At least one observed (not expired),2,5,Yes (Observed),At least one observed (not expired),Not available today,At least one observed (not expired),Yes (Observed),At least one observed (not expired),Yes,At least one observed (not expired),At least one observed (not expired),No,Health Center,Yes (Observed),No,At least one observed (not expired),1,No,4.2759876,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),No,5 or less,5 or less,Yes (Observed),Not available today,At least one observed (not expired),At least one observed (not expired),Yes,No,At least one observed (not expired),At least one observed (not expired),Public,At least one observed (not expired),Not available today,Rural,Not available today,Yes (Observed),Yes (Observed),At least one observed (not expired),At least one observed (not expired),Yes (Observed),Yes,At least one observed (not expired)
Senegal-2010,45,At least one observed (not expired),1,4,Yes (Observed),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Yes (Observed),At least one observed (not expired),Yes,At least one observed (not expired),At least one observed (not expired),No,Health Center,No,No,Never available,1,No,5.420559,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),No,6-10,5 or less,No,Not available today,At least one observed (not expired),At least one observed (not expired),Yes,Yes (Observed),At least one observed (not expired),Never available,Public,At least one observed (not expired),Never available,Urban,Never available,Yes (Observed),Yes (Observed),At least one observed (not expired),At least one observed (not expired),Yes (Observed),Yes,At least one observed (not expired)
Senegal-2010,46,At least one observed (not expired),2,5,Yes (Observed),At least one observed (not expired),At least one observed (not expired),Not available today,Yes (Observed),At least one observed (not expired),Yes,At least one observed (not expired),At least one observed (not expired),No,Health Center,No,Yes,At least one observed (not expired),1,Yes (Observed),4.2759876,Not available today,At least one observed (not expired),At least one observed (not expired),No,5 or less,5 or less,No,Not available today,At least one observed (not expired),At least one observed (not expired),Yes,No,At least one observed (not expired),At least one observed (not expired),Public,At least one observed (not expired),At least one observed (not expired),Rural,At least one observed (not expired),Yes (Observed),Yes (Observed),At least one observed (not expired),At least one observed (not expired),Yes (Observed),Yes,Not available today
Senegal-2010,47,Never available,1,4,Yes (Observed),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Yes (Observed),At least one observed (not expired),Yes,At least one observed (not expired),At least one observed (not expired),No,Health Center,No,No,At least one observed (not expired),1,Yes (Observed),5.420559,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),No,5 or less,5 or less,Yes (Observed),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Yes,No,At least one observed (not expired),Never available,Public,At least one observed (not expired),At least one observed (not expired),Urban,At least one observed (not expired),Yes (Observed),Yes (Observed),At least one observed (not expired),Never available,Yes (Observed),Yes,At least one observed (not expired)
Senegal-2010,48,At least one observed (not expired),10,36,Yes (Observed),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Yes (Observed),Not available today,Yes,At least one observed (not expired),At least one observed (not expired),Yes (Observed),Health Center,Yes (Observed),Yes,At least one observed (not expired),1,No,18.506506,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),No,6-10,5 or less,No,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Yes,No,At least one observed (not expired),At least one observed (not expired),Public,At least one observed (not expired),At least one observed (not expired),Rural,At least one observed (not expired),Yes (Observed),Yes (Observed),At least one observed (not expired),Never available,Yes (Observed),Yes,At least one observed (not expired)
Senegal-2010,49,At least one observed (not expired),9,31,Yes (Observed),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Yes (Observed),At least one observed (not expired),Yes,Not available today,Never available,No,Health Center,No,No,At least one observed (not expired),1,Yes (Observed),5.005709,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),No,6-10,5 or less,Yes (Observed),At least one observed (not expired),At least one observed (not expired),Not available today,Yes,No,At least one observed (not expired),At least one observed (not expired),Public,At least one observed (not expired),At least one observed (not expired),Urban,At least one observed (not expired),Yes (Observed),Yes (Observed),At least one observed (not expired),At least one observed (not expired),Yes (Observed),Yes,At least one observed (not expired)
Senegal-2010,50,At least one observed (not expired),2,6,Yes (Observed),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Yes (Observed),At least one observed (not expired),Yes,At least one observed (not expired),At least one observed (not expired),No,Health Center,No,Yes,At least one observed (not expired),1,No,15.538471,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),No,5 or less,5 or less,Yes (Observed),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Yes,Yes (Observed),At least one observed (not expired),At least one observed (not expired),Public,At least one observed (not expired),At least one observed (not expired),Rural,At least one observed (not expired),Yes (Observed),Yes (Observed),At least one observed (not expired),At least one observed (not expired),Yes (Observed),Yes,At least one observed (not expired)
Senegal-2010,51,At least one observed (not expired),8,28,Yes (Observed),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Yes (Observed),At least one observed (not expired),Yes,At least one observed (not expired),At least one observed (not expired),Yes (Observed),Health Center,No,No,At least one observed (not expired),1,Yes (Observed),7.137516,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),No,5 or less,5 or less,Yes (Observed),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Yes,No,At least one observed (not expired),Never available,Public,At least one observed (not expired),At least one observed (not expired),Rural,At least one observed (not expired),Yes (Observed),Yes (Observed),At least one observed (not expired),At least one observed (not expired),Yes (Observed),Yes,At least one observed (not expired)
Senegal-2010,52,At least one observed (not expired),10,37,Yes (Observed),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Yes (Observed),At least one observed (not expired),Yes,At least one observed (not expired),At least one observed (not expired),No,Health Center,Yes (Observed),Yes,At least one observed (not expired),1,No,4.1722074,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),No,6-10,5 or less,Yes (Observed),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Yes,No,At least one observed (not expired),At least one observed (not expired),Public,At least one observed (not expired),At least one observed (not expired),Urban,At least one observed (not expired),Yes (Observed),Yes (Observed),At least one observed (not expired),At least one observed (not expired),Yes (Observed),Yes,At least one observed (not expired)
Senegal-2010,53,At least one observed (not expired),3,8,Yes (Observed),Not available today,At least one observed (not expired),At least one observed (not expired),Yes (Observed),At least one observed (not expired),Yes,Not available today,At least one observed (not expired),No,Health Center,Yes (Observed),No,At least one observed (not expired),1,No,5.8988733,At least one observed (not expired),At least one observed (not expired),Not available today,No,5 or less,5 or less,Yes (Observed),At least one observed (not expired),At least one observed (not expired),Not available today,Yes,No,At least one observed (not expired),Never available,Public,At least one observed (not expired),At least one observed (not expired),Rural,At least one observed (not expired),Yes (Observed),Yes (Observed),At least one observed (not expired),At least one observed (not expired),Yes (Observed),Yes,At least one observed (not expired)
Senegal-2010,54,At least one observed (not expired),1,1,Yes (Observed),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Yes (Observed),At least one observed (not expired),Yes,At least one observed (not expired),At least one observed (not expired),No,Health Center,Yes (Observed),Yes,Never available,1,No,4.428247,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),No,6-10,5 or less,Yes (Observed),Not available today,At least one observed (not expired),At least one observed (not expired),Yes,No,At least one observed (not expired),At least one observed (not expired),Public,Never available,Never available,Urban,Never available,Yes (Observed),Yes (Observed),At least one observed (not expired),Not available today,Yes (Observed),Yes,At least one observed (not expired)
Senegal-2010,55,At least one observed (not expired),1,1,Yes (Observed),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Yes (Observed),Not available today,Yes,At least one observed (not expired),At least one observed (not expired),No,Health Center,No,No,Never available,1,No,4.428247,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),No,6-10,5 or less,No,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Yes,Yes (Observed),At least one observed (not expired),Never available,Public,Never available,Never available,Urban,Never available,Yes (Observed),Yes (Observed),At least one observed (not expired),Never available,Yes (Observed),Yes,At least one observed (not expired)
Senegal-2010,56,At least one observed (not expired),8,28,Yes (Observed),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Yes (Observed),At least one observed (not expired),Yes,At least one observed (not expired),At least one observed (not expired),No,Health Center,No,No,At least one observed (not expired),1,Yes (Observed),7.137516,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),No,5 or less,5 or less,Yes (Observed),Not available today,At least one observed (not expired),At least one observed (not expired),Yes,No,At least one observed (not expired),At least one observed (not expired),Public,Never available,At least one observed (not expired),Rural,At least one observed (not expired),Yes (Observed),Yes (Observed),At least one observed (not expired),Not available today,Yes (Observed),Yes,At least one observed (not expired)
