survey_id,country,unique_id,facility_id,provider_id,absence_rate,absent_other1,absent_other2,absent_reason1,absent_reason2,has_absentee,has_roster,is_outpatient,provider_activity,provider_activityoth,provider_age1,provider_cadre1,provider_cadre2,provider_male1,provider_male2,provider_present1,provider_present2,salary_delay
Kenya-2012_10049_14,Kenya-2012,10049_14,10049,14,0.7, , ,Official mission,,1.0,1,No,Looking for information or teaching, ,25-34,Other,Other,Male,Male,No,Yes,No
Kenya-2012_10049_15,Kenya-2012,10049_15,10049,15,0.7, , ,,,1.0,1,No,"Laboratory, investigations, or x-ray", ,45 or older,Other,Other,Female,Female,Yes,Yes,No
Kenya-2012_10049_16,Kenya-2012,10049_16,10049,16,0.7, ,,,,,1,No,,,45 or older,Other,,Male,,Yes,,
Kenya-2012_10093_1,Kenya-2012,10093_1,10093,1,0.5, , ,,Authorized absence,1.0,1,Yes,, ,25-34,Clinical Officer,Clinical Officer,Female,Female,Yes,No,
Kenya-2012_10093_2,Kenya-2012,10093_2,10093,2,0.5, , ,,,1.0,1,Yes,With patient, ,25-34,Nurse,Nurse,Male,Male,Yes,Yes,No
Kenya-2012_10093_3,Kenya-2012,10093_3,10093,3,0.5, , ,Official mission,,1.0,1,No,"Laboratory, investigations, or x-ray", ,35-44,Other,Other,Female,Female,No,Yes,No
Kenya-2012_10093_4,Kenya-2012,10093_4,10093,4,0.5, , ,,Authorized absence,1.0,1,No,, ,25-34,Other,Other,Female,Female,Yes,No,
Kenya-2012_10109_1,Kenya-2012,10109_1,10109,1,0.0, , ,,,1.0,1,Yes,With patient, ,Younger than 25,Nurse,Nurse,Female,Female,Yes,Yes,No
Kenya-2012_10109_2,Kenya-2012,10109_2,10109,2,0.0, , ,,,1.0,1,No,With patient, ,25-34,Other,Other,Female,Female,Yes,Yes,No
Kenya-2012_10171_1,Kenya-2012,10171_1,10171,1,0.5, ,,,,,1,No,,,25-34,Doctor,,Female,,Yes,,
Kenya-2012_10171_2,Kenya-2012,10171_2,10171,2,0.5, ,,,,,1,No,,,25-34,Doctor,,Male,,Yes,,
Kenya-2012_10171_3,Kenya-2012,10171_3,10171,3,0.5, ,,,,,1,No,,,45 or older,Other,,Male,,Yes,,
Kenya-2012_10171_4,Kenya-2012,10171_4,10171,4,0.5, , ,,Unauthorized absence,1.0,1,No,, ,25-34,Other,Other,Male,Male,Yes,No,
Kenya-2012_10171_5,Kenya-2012,10171_5,10171,5,0.5, , ,,"Training, seminar or meeting",1.0,1,No,, ,35-44,Other,Other,Male,Male,Yes,No,
Kenya-2012_10171_6,Kenya-2012,10171_6,10171,6,0.5, ,,,,,1,No,,,25-34,Other,,Male,,Yes,,
Kenya-2012_10171_7,Kenya-2012,10171_7,10171,7,0.5, ,,,,,1,No,,,25-34,Other,,Female,,Yes,,
Kenya-2012_10171_8,Kenya-2012,10171_8,10171,8,0.5, ,,,,,1,No,,,35-44,Other,,Male,,Yes,,
Kenya-2012_10171_9,Kenya-2012,10171_9,10171,9,0.5, ,,,,,1,No,,,35-44,Other,,Male,,Yes,,
Kenya-2012_10171_10,Kenya-2012,10171_10,10171,10,0.5, ,,,,,1,Yes,,,25-34,Clinical Officer,,Male,,Yes,,
Kenya-2012_10171_11,Kenya-2012,10171_11,10171,11,0.5, ,,,,,1,No,,,35-44,Nurse,,Female,,Yes,,
Kenya-2012_10171_12,Kenya-2012,10171_12,10171,12,0.5, ,,Not his/her shift,,,1,Yes,,,35-44,Clinical Officer,,Male,,No,,
Kenya-2012_10171_13,Kenya-2012,10171_13,10171,13,0.5, , ,Not his/her shift,,1.0,1,Yes,With patient, ,35-44,Clinical Officer,Clinical Officer,Female,Female,No,Yes,No
Kenya-2012_10171_14,Kenya-2012,10171_14,10171,14,0.5, ,,,,,1,Yes,,,45 or older,Clinical Officer,,Male,,Yes,,
Kenya-2012_10171_15,Kenya-2012,10171_15,10171,15,0.5, , ,,,1.0,1,No,Looking for information or teaching, ,45 or older,Nurse,Nurse,Male,Male,Yes,Yes,No
Kenya-2012_10171_16,Kenya-2012,10171_16,10171,16,0.5, ,,Not his/her shift,,,1,No,,,25-34,Nurse,,Female,,No,,
Kenya-2012_10171_17,Kenya-2012,10171_17,10171,17,0.5, , ,,,1.0,1,No,With patient, ,45 or older,Nurse,Nurse,Male,Male,Yes,Yes,No
Kenya-2012_10171_18,Kenya-2012,10171_18,10171,18,0.5, ,,Authorized absence,,,1,No,,,35-44,Nurse,,Male,,No,,
Kenya-2012_10171_19,Kenya-2012,10171_19,10171,19,0.5, , ,,,1.0,1,No,With patient, ,35-44,Nurse,Nurse,Female,Female,Yes,Yes,No
Kenya-2012_10171_20,Kenya-2012,10171_20,10171,20,0.5, , ,Not his/her shift,,1.0,1,No,Discussion with colleagues or staff meeting, ,25-34,Nurse,Nurse,Male,Male,No,Yes,No
Kenya-2012_10171_21,Kenya-2012,10171_21,10171,21,0.5, ,,Authorized absence,,,1,No,,,25-34,Nurse,,Female,,No,,
Kenya-2012_10171_22,Kenya-2012,10171_22,10171,22,0.5, ,,Not his/her shift,,,1,No,,,25-34,Nurse,,Male,,No,,
Kenya-2012_10171_23,Kenya-2012,10171_23,10171,23,0.5, ,,Authorized absence,,,1,No,,,45 or older,Nurse,,Female,,No,,
Kenya-2012_10171_24,Kenya-2012,10171_24,10171,24,0.5, ,,Authorized absence,,,1,No,,,45 or older,Nurse,,Female,,No,,
Kenya-2012_10171_25,Kenya-2012,10171_25,10171,25,0.5, ,,Authorized absence,,,1,No,,,25-34,Nurse,,Male,,No,,
Kenya-2012_10171_26,Kenya-2012,10171_26,10171,26,0.5, ,,Not his/her shift,,,1,No,,,,Nurse,,Female,,No,,
Kenya-2012_10171_27,Kenya-2012,10171_27,10171,27,0.5, , ,Authorized absence,Authorized absence,1.0,1,No,, ,,Nurse,Nurse,Female,Female,No,No,
Kenya-2012_10171_28,Kenya-2012,10171_28,10171,28,0.5, , ,Not his/her shift,Not his/her shift,1.0,1,No,, ,,Nurse,Nurse,Female,Female,No,No,
Kenya-2012_10171_29,Kenya-2012,10171_29,10171,29,0.5, , ,Not his/her shift,Not his/her shift,1.0,1,No,, ,,Nurse,Nurse,Male,Male,No,No,
Kenya-2012_10185_1,Kenya-2012,10185_1,10185,1,0.2, , ,,,1.0,1,Yes,With patient, ,25-34,Clinical Officer,Clinical Officer,Male,Male,Yes,Yes,No
Kenya-2012_10185_2,Kenya-2012,10185_2,10185,2,0.2, , ,,,1.0,1,No,With patient, ,25-34,Other,Other,Female,Female,Yes,Yes,No
Kenya-2012_10185_3,Kenya-2012,10185_3,10185,3,0.2, , ,,,1.0,1,No,"Laboratory, investigations, or x-ray", ,25-34,Other,Other,Male,Male,Yes,Yes,No
Kenya-2012_10185_4,Kenya-2012,10185_4,10185,4,0.2, , ,,,1.0,1,No,With patient, ,25-34,Other,Other,Male,Male,Yes,Yes,No
Kenya-2012_10185_5,Kenya-2012,10185_5,10185,5,0.2, , ,Authorized absence,Authorized absence,1.0,1,Yes,, ,25-34,Nurse,Nurse,Female,Female,No,No,
Kenya-2012_10213_1,Kenya-2012,10213_1,10213,1,0.4, , ,,,1.0,1,Yes,Other, ,45 or older,Nurse,Nurse,Female,Female,Yes,Yes,No
Kenya-2012_10213_2,Kenya-2012,10213_2,10213,2,0.4, , ,,Authorized absence,1.0,1,Yes,, ,35-44,Nurse,Nurse,Female,Female,Yes,No,
Kenya-2012_10213_3,Kenya-2012,10213_3,10213,3,0.4, , ,,,1.0,1,Yes,With patient, ,25-34,Nurse,Nurse,Female,Female,Yes,Yes,No
Kenya-2012_10213_4,Kenya-2012,10213_4,10213,4,0.4, , ,,,1.0,1,No,"Laboratory, investigations, or x-ray", ,25-34,Other,Other,Male,Male,Yes,Yes,No
Kenya-2012_10213_5,Kenya-2012,10213_5,10213,5,0.4, , ,,Outreach or fieldwork,1.0,1,No,, ,Younger than 25,Other,Other,Female,Female,Yes,No,
Kenya-2012_10223_1,Kenya-2012,10223_1,10223,1,0.5, , ,,,1.0,1,Yes,With patient, ,35-44,Nurse,Nurse,Female,Female,Yes,Yes,Yes
Kenya-2012_10223_2,Kenya-2012,10223_2,10223,2,0.5, , ,Authorized absence,Authorized absence,1.0,1,Yes,, ,,Nurse,Nurse,Male,Male,No,No,
Kenya-2012_10320_1,Kenya-2012,10320_1,10320,1,0.0, , ,,,1.0,1,Yes,With patient, ,45 or older,Nurse,Nurse,Female,Female,Yes,Yes,No
Kenya-2012_10320_2,Kenya-2012,10320_2,10320,2,0.0, , ,,,1.0,1,No,"Laboratory, investigations, or x-ray", ,25-34,Other,Other,Female,Female,Yes,Yes,No
Kenya-2012_10419_1,Kenya-2012,10419_1,10419,1,0.33333334, , ,,,1.0,1,Yes,Discussion with colleagues or staff meeting, ,35-44,Nurse,Nurse,Male,Male,Yes,Yes,No
Kenya-2012_10419_2,Kenya-2012,10419_2,10419,2,0.33333334, , ,Authorized absence,,1.0,1,Yes,Discussion with colleagues or staff meeting, ,35-44,Clinical Officer,Clinical Officer,Male,Male,No,Yes,No
Kenya-2012_10419_3,Kenya-2012,10419_3,10419,3,0.33333334, , ,Authorized absence,,1.0,1,Yes,Paperwork, ,25-34,Nurse,Nurse,Female,Female,No,Yes,No
Kenya-2012_10419_4,Kenya-2012,10419_4,10419,4,0.33333334, , ,,Authorized absence,1.0,1,Yes,, ,35-44,Nurse,Nurse,Female,Female,Yes,No,
Kenya-2012_10419_5,Kenya-2012,10419_5,10419,5,0.33333334, , ,Sick or on maternity leave,Sick or on maternity leave,1.0,1,No,, ,25-34,Other,Other,Female,Female,No,No,
Kenya-2012_10419_6,Kenya-2012,10419_6,10419,6,0.33333334, , ,Outreach or fieldwork,,1.0,1,No,Discussion with colleagues or staff meeting, ,45 or older,Other,Other,Female,Female,No,Yes,No
Kenya-2012_10423_1,Kenya-2012,10423_1,10423,1,0.0, , ,,,1.0,1,Yes,With patient, ,45 or older,Nurse,Nurse,Female,Female,Yes,Yes,No
Kenya-2012_10462_1,Kenya-2012,10462_1,10462,1,0.7, , ,,Authorized absence,1.0,1,Yes,, ,25-34,Clinical Officer,Clinical Officer,Female,Female,Yes,No,
Kenya-2012_10462_2,Kenya-2012,10462_2,10462,2,0.7, , ,"Training, seminar or meeting","Training, seminar or meeting",1.0,1,No,, ,25-34,Nurse,Nurse,Male,Male,No,No,
Kenya-2012_10462_3,Kenya-2012,10462_3,10462,3,0.7, , ,,Not his/her shift,1.0,1,No,, ,45 or older,Nurse,Nurse,Female,Female,Yes,No,
Kenya-2012_10462_4,Kenya-2012,10462_4,10462,4,0.7, , ,Authorized absence,,1.0,1,No,With patient, ,25-34,Nurse,Nurse,Female,Female,No,Yes,No
Kenya-2012_10462_5,Kenya-2012,10462_5,10462,5,0.7, , ,Not his/her shift,Not his/her shift,1.0,1,No,, ,Younger than 25,Nurse,Nurse,Female,Female,No,No,
Kenya-2012_10462_6,Kenya-2012,10462_6,10462,6,0.7, , ,Official mission,Not his/her shift,1.0,1,No,, ,25-34,Nurse,Nurse,Male,Male,No,No,
Kenya-2012_10462_7,Kenya-2012,10462_7,10462,7,0.7, , ,Official mission,Not his/her shift,1.0,1,No,, ,35-44,Nurse,Nurse,Male,Male,No,No,
Kenya-2012_10462_8,Kenya-2012,10462_8,10462,8,0.7, , ,Sick or on maternity leave,Sick or on maternity leave,1.0,1,No,, ,25-34,Nurse,Nurse,Female,Female,No,No,
Kenya-2012_10462_9,Kenya-2012,10462_9,10462,9,0.7, , ,Authorized absence,,1.0,1,No,"Laboratory, investigations, or x-ray", ,25-34,Other,Other,Male,Male,No,Yes,No
Kenya-2012_10462_10,Kenya-2012,10462_10,10462,10,0.7, , ,Authorized absence,,1.0,1,No,Looking for information or teaching, ,25-34,Other,Other,Male,Male,No,Yes,No
Kenya-2012_10509_1,Kenya-2012,10509_1,10509,1,0.7, , ,,Official mission,1.0,1,Yes,, ,45 or older,Clinical Officer,Clinical Officer,Male,Male,Yes,No,
Kenya-2012_10509_2,Kenya-2012,10509_2,10509,2,0.7, , ,,,1.0,1,Yes,With patient, ,25-34,Clinical Officer,Clinical Officer,Male,Male,Yes,Yes,No
Kenya-2012_10509_3,Kenya-2012,10509_3,10509,3,0.7, , ,Authorized absence,Authorized absence,1.0,1,Yes,, ,25-34,Nurse,Nurse,Female,Female,No,No,
Kenya-2012_10509_4,Kenya-2012,10509_4,10509,4,0.7, ,,,,,1,Yes,,,45 or older,Nurse,,Female,,Yes,,
Kenya-2012_10509_5,Kenya-2012,10509_5,10509,5,0.7, , ,Not his/her shift,,1.0,1,Yes,With patient, ,45 or older,Nurse,Nurse,Female,Female,No,Yes,No
Kenya-2012_10509_6,Kenya-2012,10509_6,10509,6,0.7, , ,Not his/her shift,Not his/her shift,1.0,1,Yes,, ,35-44,Nurse,Nurse,Female,Female,No,No,
Kenya-2012_10509_7,Kenya-2012,10509_7,10509,7,0.7, , ,Not his/her shift,Not his/her shift,1.0,1,Yes,, ,45 or older,Nurse,Nurse,Female,Female,No,No,
Kenya-2012_10509_8,Kenya-2012,10509_8,10509,8,0.7, , ,Not his/her shift,Not his/her shift,1.0,1,Yes,, ,25-34,Nurse,Nurse,Female,Female,No,No,
Kenya-2012_10509_9,Kenya-2012,10509_9,10509,9,0.7, , ,,Not his/her shift,1.0,1,Yes,, ,45 or older,Nurse,Nurse,Female,Female,Yes,No,
Kenya-2012_10509_10,Kenya-2012,10509_10,10509,10,0.7, , ,Sick or on maternity leave,Sick or on maternity leave,1.0,1,Yes,, ,35-44,Nurse,Nurse,Female,Female,No,No,
Kenya-2012_10509_11,Kenya-2012,10509_11,10509,11,0.7, ,,Authorized absence,,,1,No,,,25-34,Other,,Male,,No,,
Kenya-2012_10509_12,Kenya-2012,10509_12,10509,12,0.7, , ,,,1.0,1,No,With patient, ,25-34,Other,Other,Male,Male,Yes,Yes,Yes
Kenya-2012_10509_13,Kenya-2012,10509_13,10509,13,0.7, ,,Outreach or fieldwork,,,1,No,,,25-34,Other,,Female,,No,,
Kenya-2012_10509_14,Kenya-2012,10509_14,10509,14,0.7, ,,Outreach or fieldwork,,,1,No,,,35-44,Other,,Male,,No,,
Kenya-2012_10520_1,Kenya-2012,10520_1,10520,1,0.5, ,,,,,1,No,,,35-44,Nurse,,Female,,Yes,,
Kenya-2012_10520_2,Kenya-2012,10520_2,10520,2,0.5, ,,,,,1,Yes,,,,Doctor,,Male,,Yes,,
Kenya-2012_10520_3,Kenya-2012,10520_3,10520,3,0.5, ,,,,,1,Yes,,,,Doctor,,Female,,,,
Kenya-2012_10520_4,Kenya-2012,10520_4,10520,4,0.5, ,,,,,1,Yes,,,,Doctor,,Male,,,,
Kenya-2012_10520_5,Kenya-2012,10520_5,10520,5,0.5, ,,,,,1,Yes,,,,Doctor,,Female,,,,
Kenya-2012_10520_6,Kenya-2012,10520_6,10520,6,0.5, ,,,,,1,Yes,,,,Doctor,,Male,,,,
Kenya-2012_10520_7,Kenya-2012,10520_7,10520,7,0.5, ,,,,,1,Yes,,,,Doctor,,Female,,,,
Kenya-2012_10520_8,Kenya-2012,10520_8,10520,8,0.5, ,,,,,1,Yes,,,,Doctor,,Male,,,,
Kenya-2012_10520_9,Kenya-2012,10520_9,10520,9,0.5, ,,,,,1,Yes,,,,Doctor,,Male,,,,
Kenya-2012_10520_10,Kenya-2012,10520_10,10520,10,0.5, ,,,,,1,Yes,,,,Doctor,,Male,,,,
Kenya-2012_10520_11,Kenya-2012,10520_11,10520,11,0.5, ,,,,,1,Yes,,,,Doctor,,Male,,Yes,,
Kenya-2012_10520_12,Kenya-2012,10520_12,10520,12,0.5, ,,,,,1,Yes,,,,Doctor,,Female,,Yes,,
Kenya-2012_10520_13,Kenya-2012,10520_13,10520,13,0.5, ,,Not his/her shift,,,1,No,,,,Other,,Male,,No,,
Kenya-2012_10520_14,Kenya-2012,10520_14,10520,14,0.5, ,,"Training, seminar or meeting",,,1,No,,,25-34,Other,,Male,,No,,
Kenya-2012_10520_15,Kenya-2012,10520_15,10520,15,0.5, , ,Authorized absence,,1.0,1,No,With patient, ,25-34,Other,Other,Female,Female,No,Yes,No
Kenya-2012_10520_16,Kenya-2012,10520_16,10520,16,0.5, , ,,Not his/her shift,1.0,1,No,, ,,Other,Other,Female,Female,Yes,No,
Kenya-2012_10520_17,Kenya-2012,10520_17,10520,17,0.5, ,,,,,1,No,,,,Other,,Female,,Yes,,
Kenya-2012_10520_18,Kenya-2012,10520_18,10520,18,0.5, ,,Not his/her shift,,,1,Yes,,,,Clinical Officer,,Male,,No,,
Kenya-2012_10520_19,Kenya-2012,10520_19,10520,19,0.5, ,,Not his/her shift,,,1,Yes,,,,Clinical Officer,,Male,,No,,
Kenya-2012_10520_20,Kenya-2012,10520_20,10520,20,0.5, ,,Not his/her shift,,,1,Yes,,,,Clinical Officer,,Female,,No,,
Kenya-2012_10520_21,Kenya-2012,10520_21,10520,21,0.5, ,,,,,1,No,,,,Clinical Officer,,Female,,Yes,,
Kenya-2012_10520_22,Kenya-2012,10520_22,10520,22,0.5, , ,,,1.0,1,No,With patient, ,,Clinical Officer,Clinical Officer,Male,Male,Yes,Yes,No
Kenya-2012_10520_23,Kenya-2012,10520_23,10520,23,0.5, ,,Not his/her shift,,,1,Yes,,,,Clinical Officer,,Male,,No,,
Kenya-2012_10520_24,Kenya-2012,10520_24,10520,24,0.5, ,,,,,1,Yes,,,,Clinical Officer,,Female,,Yes,,
Kenya-2012_10520_25,Kenya-2012,10520_25,10520,25,0.5, ,,Not his/her shift,,,1,Yes,,,,Clinical Officer,,Male,,No,,
Kenya-2012_10520_26,Kenya-2012,10520_26,10520,26,0.5, ,,,,,1,No,,,45 or older,Other,,Male,,Yes,,
Kenya-2012_10520_27,Kenya-2012,10520_27,10520,27,0.5, ,,"Training, seminar or meeting",,,1,No,,,35-44,Other,,Male,,No,,
Kenya-2012_10520_28,Kenya-2012,10520_28,10520,28,0.5, , ,,,1.0,1,No,"Laboratory, investigations, or x-ray", ,25-34,Other,Other,Female,Female,Yes,Yes,No
Kenya-2012_10520_29,Kenya-2012,10520_29,10520,29,0.5, ,,Authorized absence,,,1,No,,,,Other,,Male,,No,,
Kenya-2012_10520_30,Kenya-2012,10520_30,10520,30,0.5, ,,,,,1,No,,,35-44,Other,,Female,,Yes,,
Kenya-2012_10520_31,Kenya-2012,10520_31,10520,31,0.5, ,,Not his/her shift,,,1,No,,,,Nurse,,Male,,No,,
Kenya-2012_10520_32,Kenya-2012,10520_32,10520,32,0.5, , ,Not his/her shift,,1.0,1,No,Discussion with colleagues or staff meeting, ,,Nurse,Nurse,Female,Female,No,Yes,No
Kenya-2012_10520_33,Kenya-2012,10520_33,10520,33,0.5, , ,,,1.0,1,No,Discussion with colleagues or staff meeting, ,45 or older,Nurse,Nurse,Male,Male,Yes,Yes,No
Kenya-2012_10520_34,Kenya-2012,10520_34,10520,34,0.5, , ,Not his/her shift,Authorized absence,1.0,1,No,, ,,Nurse,Nurse,Female,Female,No,No,
Kenya-2012_10520_35,Kenya-2012,10520_35,10520,35,0.5, , ,Not his/her shift,Not his/her shift,1.0,1,No,, ,,Nurse,Nurse,Female,Female,No,No,
Kenya-2012_10520_36,Kenya-2012,10520_36,10520,36,0.5, , ,Authorized absence,Authorized absence,1.0,1,No,, ,,Nurse,Nurse,Female,Female,No,No,
Kenya-2012_10520_37,Kenya-2012,10520_37,10520,37,0.5, ,,Authorized absence,,,1,No,,,,Nurse,,Male,,No,,
Kenya-2012_10520_38,Kenya-2012,10520_38,10520,38,0.5, ,,Not his/her shift,,,1,No,,,,Nurse,,Female,,No,,
Kenya-2012_10520_39,Kenya-2012,10520_39,10520,39,0.5, ,,Not his/her shift,,,1,No,,,,Nurse,,Female,,No,,
Kenya-2012_10520_40,Kenya-2012,10520_40,10520,40,0.5, ,,Not his/her shift,,,1,No,,,,Nurse,,Male,,No,,
Kenya-2012_10520_41,Kenya-2012,10520_41,10520,41,0.5, ,,,,,1,No,,,,Nurse,,Female,,Yes,,
Kenya-2012_10520_42,Kenya-2012,10520_42,10520,42,0.5, ,,,,,1,No,,,,Nurse,,Female,,Yes,,
Kenya-2012_10520_43,Kenya-2012,10520_43,10520,43,0.5, , ,Not his/her shift,Not his/her shift,1.0,1,No,, ,,Nurse,Nurse,Female,Female,No,No,
Kenya-2012_10520_44,Kenya-2012,10520_44,10520,44,0.5, ,,Authorized absence,,,1,No,,,,Nurse,,Female,,No,,
Kenya-2012_10520_45,Kenya-2012,10520_45,10520,45,0.5, ,,,,,1,No,,,,Nurse,,Female,,Yes,,
Kenya-2012_10520_46,Kenya-2012,10520_46,10520,46,0.5, ,,,,,1,No,,,,Nurse,,Male,,Yes,,
Kenya-2012_10520_47,Kenya-2012,10520_47,10520,47,0.5, ,,,,,1,No,,,,Nurse,,Male,,Yes,,
Kenya-2012_10520_48,Kenya-2012,10520_48,10520,48,0.5, ,,,,,1,No,,,,Nurse,,Female,,Yes,,
Kenya-2012_10520_49,Kenya-2012,10520_49,10520,49,0.5, ,,Authorized absence,,,1,No,,,,Nurse,,Female,,No,,
Kenya-2012_10520_50,Kenya-2012,10520_50,10520,50,0.5, ,,Not his/her shift,,,1,No,,,,Nurse,,Female,,No,,
Kenya-2012_10520_51,Kenya-2012,10520_51,10520,51,0.5,"Interns aded since present in SDI file, but uncertain if present at first visit",,Other,,,1,,,,,Other,,,,,,
Kenya-2012_10520_52,Kenya-2012,10520_52,10520,52,0.5,"Interns aded since present in SDI file, but uncertain if present at first visit",,Other,,,1,,,,,Other,,Male,,,,
Kenya-2012_10520_54,Kenya-2012,10520_54,10520,54,0.5,"Interns aded since present in SDI file, but uncertain if present at first visit",,Other,,,1,,,,,Other,,,,,,
Kenya-2012_10520_55,Kenya-2012,10520_55,10520,55,0.5,"Interns aded since present in SDI file, but uncertain if present at first visit",,Other,,,1,,,,,Other,,,,,,
Kenya-2012_10531_1,Kenya-2012,10531_1,10531,1,0.0, , ,,,1.0,1,Yes,With patient, ,25-34,Nurse,Nurse,Female,Female,Yes,Yes,No
Kenya-2012_10531_2,Kenya-2012,10531_2,10531,2,0.0, , ,,,1.0,1,No,"Laboratory, investigations, or x-ray", ,25-34,Other,Other,Female,Female,Yes,Yes,No
Kenya-2012_10562_1,Kenya-2012,10562_1,10562,1,0.5, , ,,,1.0,1,Yes,With patient, ,25-34,Nurse,Nurse,Female,Female,Yes,Yes,No
Kenya-2012_10562_2,Kenya-2012,10562_2,10562,2,0.5, , ,Official mission,Official mission,1.0,1,Yes,, ,45 or older,Nurse,Nurse,Male,Male,No,No,
Kenya-2012_10564_1,Kenya-2012,10564_1,10564,1,0.2, , ,,,1.0,1,No,Other, ,35-44,Other,Other,Female,Female,Yes,Yes,No
Kenya-2012_10564_2,Kenya-2012,10564_2,10564,2,0.2, , ,,,1.0,1,Yes,Paperwork, ,45 or older,Nurse,Nurse,Female,Female,Yes,Yes,No
Kenya-2012_10564_3,Kenya-2012,10564_3,10564,3,0.2, , ,"Training, seminar or meeting","Training, seminar or meeting",1.0,1,No,, ,35-44,Nurse,Nurse,Female,Female,No,No,
Kenya-2012_10564_4,Kenya-2012,10564_4,10564,4,0.2, , ,,,1.0,1,Yes,With patient, ,Younger than 25,Nurse,Nurse,Male,Male,Yes,Yes,No
Kenya-2012_10564_5,Kenya-2012,10564_5,10564,5,0.2, , ,,,1.0,1,No,Paperwork, ,25-34,Other,Other,Female,Female,Yes,Yes,No
Kenya-2012_10609_1,Kenya-2012,10609_1,10609,1,0.6, ,,,,,1,Yes,,,25-34,Doctor,,Female,,Yes,,
Kenya-2012_10609_2,Kenya-2012,10609_2,10609,2,0.6, ,,,,,1,Yes,,,25-34,Doctor,,Male,,Yes,,
Kenya-2012_10609_3,Kenya-2012,10609_3,10609,3,0.6, , ,,,1.0,1,No,With patient, ,25-34,Other,Other,Male,Male,Yes,Yes,No
Kenya-2012_10609_4,Kenya-2012,10609_4,10609,4,0.6, ,,,,,1,No,,,25-34,Other,,Male,,Yes,,
Kenya-2012_10609_5,Kenya-2012,10609_5,10609,5,0.6, , ,,,1.0,1,Yes,With patient, ,35-44,Clinical Officer,Clinical Officer,Female,Female,Yes,Yes,No
Kenya-2012_10609_6,Kenya-2012,10609_6,10609,6,0.6, , ,Authorized absence,Not his/her shift,1.0,1,Yes,, ,25-34,Clinical Officer,Clinical Officer,Male,Male,No,No,
Kenya-2012_10609_7,Kenya-2012,10609_7,10609,7,0.6, ,,Not his/her shift,,,1,Yes,,,25-34,Clinical Officer,,Female,,No,,
Kenya-2012_10609_8,Kenya-2012,10609_8,10609,8,0.6, ,,Not his/her shift,,,1,Yes,,,45 or older,Clinical Officer,,Male,,No,,
