survey_id,country,unique_id,facility_id,provider_id,absence_rate,absent_other1,absent_other2,absent_reason1,absent_reason2,has_absentee,has_roster,is_outpatient,num_med,num_nonmed,num_staff,provider_activity,provider_age1,provider_age2,provider_cadre1,provider_cadre2,provider_educ1,provider_educ2,provider_male1,provider_male2,provider_mededuc1,provider_mededuc2,provider_present1,provider_present2,salary_delay,year_started
Madagascar-2016_124_26,Madagascar-2016,124_26,124,26,0.6,,,,On-call,1.0,1.0,No,11-50,5 or less,11-50,,25-34,25-34,Nurse,Nurse,Post-Secondary,Post-Secondary,Female,Female,Diploma,Diploma,Yes,No,,
Madagascar-2016_124_6,Madagascar-2016,124_6,124,6,0.6,,,,,,1.0,Yes,11-50,5 or less,11-50,,45 or older,,Doctor,,Post-Secondary,,Male,,Advanced,,Yes,,,
Madagascar-2016_124_7,Madagascar-2016,124_7,124,7,0.6,,,,,,1.0,Yes,11-50,5 or less,11-50,,25-34,,Doctor,,Post-Secondary,,Male,,Advanced,,Yes,,,
Madagascar-2016_124_12,Madagascar-2016,124_12,124,12,0.6,,,,,,1.0,No,11-50,5 or less,11-50,,25-34,,Nurse,,Post-Secondary,,Male,,Diploma,,Yes,,,
Madagascar-2016_124_15,Madagascar-2016,124_15,124,15,0.6,,,,,,1.0,No,11-50,5 or less,11-50,,35-44,,Nurse,,Post-Secondary,,Female,,Diploma,,Yes,,,
Madagascar-2016_125_4,Madagascar-2016,125_4,125,4,0.2857143,,,,,1.0,1.0,No,6-10,5 or less,6-10,With patient,45 or older,45 or older,Nurse,Nurse,Post-Secondary,Post-Secondary,Female,Female,Diploma,Diploma,Yes,Yes,No,After 2000
Madagascar-2016_125_5,Madagascar-2016,125_5,125,5,0.2857143,,,,,1.0,1.0,No,6-10,5 or less,6-10,With patient,45 or older,45 or older,Nurse,Nurse,Post-Secondary,Post-Secondary,Female,Female,Diploma,Diploma,Yes,Yes,No,After 2000
Madagascar-2016_125_2,Madagascar-2016,125_2,125,2,0.2857143,,,Authorized absence,Authorized absence,1.0,1.0,Yes,6-10,5 or less,6-10,,45 or older,45 or older,Doctor,Doctor,Post-Secondary,Post-Secondary,Female,Female,Advanced,Advanced,No,No,,
Madagascar-2016_125_3,Madagascar-2016,125_3,125,3,0.2857143,,,Authorized absence,,1.0,1.0,Yes,6-10,5 or less,6-10,With patient,45 or older,45 or older,Doctor,Doctor,Post-Secondary,Post-Secondary,Male,Male,Advanced,Advanced,No,Yes,No,After 2000
Madagascar-2016_125_6,Madagascar-2016,125_6,125,6,0.2857143,,,,Unauthorized absence,1.0,1.0,No,6-10,5 or less,6-10,,35-44,35-44,Nurse,Nurse,Post-Secondary,Post-Secondary,Female,Female,Diploma,Diploma,Yes,No,,
Madagascar-2016_125_7,Madagascar-2016,125_7,125,7,0.2857143,,,,,1.0,1.0,No,6-10,5 or less,6-10,99.0,45 or older,45 or older,Other,Other,Post-Secondary,Post-Secondary,Female,Female,Certificate,Certificate,Yes,Yes,Yes,After 2000
Madagascar-2016_125_1,Madagascar-2016,125_1,125,1,0.2857143,,,,,1.0,1.0,Yes,6-10,5 or less,6-10,With patient,45 or older,45 or older,Doctor,Doctor,Post-Secondary,Post-Secondary,Female,Female,Advanced,Advanced,Yes,Yes,No,After 2000
Madagascar-2016_126_12,Madagascar-2016,126_12,126,12,0.2,,,,,1.0,1.0,No,11-50,Over 5,11-50,Paperwork,25-34,25-34,Other,Other,Post-Secondary,Post-Secondary,Female,Female,Certificate,Certificate,Yes,Yes,No,After 2000
Madagascar-2016_126_11,Madagascar-2016,126_11,126,11,0.2,,,,,1.0,1.0,No,11-50,Over 5,11-50,Paperwork,25-34,25-34,Other,Other,Post-Secondary,Post-Secondary,Female,Female,Certificate,Certificate,Yes,Yes,No,After 2000
Madagascar-2016_126_13,Madagascar-2016,126_13,126,13,0.2,,,,,,1.0,No,11-50,Over 5,11-50,,25-34,,Other,,Post-Secondary,,Female,,Certificate,,Yes,,,
Madagascar-2016_126_5,Madagascar-2016,126_5,126,5,0.2,,,,,1.0,1.0,No,11-50,Over 5,11-50,"Laboratory, investigations, or x-ray",35-44,35-44,Other,Other,Post-Secondary,Post-Secondary,Female,Female,Diploma,Diploma,Yes,Yes,No,In the 1990s
Madagascar-2016_126_1,Madagascar-2016,126_1,126,1,0.2,,,,Authorized absence,1.0,1.0,No,11-50,Over 5,11-50,,45 or older,45 or older,Doctor,Doctor,Post-Secondary,Post-Secondary,Female,Female,Advanced,Advanced,Yes,No,,
Madagascar-2016_126_8,Madagascar-2016,126_8,126,8,0.2,,,,,,1.0,No,11-50,Over 5,11-50,,35-44,,Nurse,,Post-Secondary,,Male,,Diploma,,Yes,,,
Madagascar-2016_126_7,Madagascar-2016,126_7,126,7,0.2,,,Authorized absence,,1.0,1.0,No,11-50,Over 5,11-50,Paperwork,35-44,35-44,Other,Other,Post-Secondary,Post-Secondary,Female,Female,Certificate,Certificate,No,Yes,No,In the 1990s
