country,facility_id,abs_wt,act_a,admin1,admin2,admin3,adultscale_a,adultscale_b,albendazole_a,amoxicillin3_a,ampicillin2_a,ampicillin_a,autoclave_a,autoclave_b,azithromycin_a,bcg_vac,benzathine_a,benzylpenicillin_a,calgluc_a,ceftriaxone2_a,childscale_a,childscale_b,chloraphen_a,cotrimoxazole2_a,depo_a,diazepam3_a,does_vaccines,does_vaccines2,dpt_vac,dryheat_a,dryheat_b,elecdevice_a,elecdevice_b,ergometrine_a,facility_level,facmobile_a,facmobile_b,folic_a,gentamycin2_a,gentamycin_a,has_autosyringe,has_dispsyringe,has_facility,has_fcondoms,has_fridge,has_gloves,has_icepacks,has_mcondoms,has_sharps,has_vaccarrier,has_weights,hepb_vac,incinerator_a,incinerator_b,incinerator_power,incinerator_works,indmobile2_a,indmobile2_b,infantscale_a,infantscale_b,internet_a,internet_b,ipw,irona_a,magsulf_a,measles_vac,methasone_a,metronidazole_a,misoprostol_a,nacl_a,nifedipine2_a,nonelectric_a,nonelectric_b,num_births,num_outpatient,ors_a,oxytocin_a,paracetamol3_a,pentavalent_vac,phone_a,phone_b,pneumococ_vac,polio_vac,publicprivate,radio_a,radio_b,ruralurban,sharps_a,sharps_b,sharps_c,sharps_d,sharps_e,sharps_f,sharps_g,sharps_h,sharps_i,sharps_inspected,sharps_j,sharps_joth,sharps_k,sharps_l,sharps_m,sharps_n,sphgmeter_a,sphgmeter_b,steamer_a,steamer_b,stethoscope_a,stethoscope_b,thermometer_a,thermometer_b,vaccine_store1,vaccine_store2,vign_wt,vitamina_a,waste_a,waste_b,waste_c,waste_d,waste_e,waste_f,waste_g,waste_guidelines,waste_h,waste_i,waste_inspected,waste_j,waste_joth,waste_k,waste_l,waste_m,waste_n,waste_training,yellowfev_vac,zinctabs_a
Nigeria-2013,2112004,1.0,At least one observed (not expired),21,12.0,1205.0,Yes (Observed),Yes (Observed),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Yes (Observed),No,Never available,Not available today,At least one observed (not expired),At least one observed (not expired),Never available,At least one observed (not expired),Yes (Observed),Yes (Observed),At least one observed (not expired),At least one observed (not expired),Never available,At least one observed (not expired),Yes,,Not available today,Yes (Observed),Yes (Observed),No,,At least one observed (not expired),Hospital,Yes (Observed),Yes (Observed),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),No,Yes (Observed),1,No,Yes (Observed),Yes,No,No,Yes (Observed),No,1,Not available today,No,,,,Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),No,,1.0,At least one observed (not expired),At least one observed (not expired),Not available today,At least one observed (not expired),At least one observed (not expired),Never available,At least one observed (not expired),At least one observed (not expired),No,,Over 50,Over 3000,At least one observed (not expired),Not available today,At least one observed (not expired),Not available today,Yes (Not Observed),No,Not available today,Not available today,Public,No,,Urban,No,No,No,No,No,No,No,Yes,No,Not inspected,No,                              ,No,No,No,No,Yes (Observed),Yes (Observed),Yes (Observed),No,Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),No,Yes,2.1111112,At least one observed (not expired),No,No,No,No,No,No,No,Yes (Not Observed),Yes,No,Not inspected,No,                              ,No,No,No,No,Yes,Not available today,At least one observed (not expired)
Nigeria-2013,2112005,1.9797298,Not available today,21,11.0,1202.0,No,,At least one observed (not expired),Not available today,Not available today,Not available today,No,,Never available,Not available today,Never available,Never available,Never available,Never available,No,,Never available,Never available,Never available,Never available,Yes,,Not available today,No,,No,,Never available,Health Post,No,,Not available today,Not available today,Not available today,Yes (Observed),Yes (Observed),1,No,Not available,No,No,No,Yes (Observed),Yes (Observed),1,Not available today,No,,,No,Yes (Observed),Yes (Observed),No,,No,,1.9797298,Never available,Not available today,Not available today,Never available,Not available today,Never available,Never available,Never available,No,,50 or less,0-500,At least one observed (not expired),Never available,Not available today,Not available today,No,,Not available today,Not available today,Public,No,,Rural,No,No,No,No,Yes,No,No,No,No,"Waste visible, unprotected area",No,                              ,No,No,No,No,Yes (Not Observed),Yes (Observed),No,,Yes (Not Observed),Yes (Observed),Yes (Observed),Yes (Observed),No,Yes,3.9594595,Not available today,No,No,No,No,No,No,Yes,No,No,No,"Waste visible, unprotected area",No,                              ,No,No,No,No,No,Not available today,At least one observed (not expired)
Nigeria-2013,2112006,1.9797298,Never available,21,12.0,1202.0,No,,Never available,Not available today,Not available today,Not available today,No,,Never available,Not available today,Never available,Never available,Never available,Never available,No,,Not available today,Not available today,Never available,Never available,Yes,,Not available today,No,,No,,Never available,Health Post,No,,Not available today,Never available,Not available today,Yes (Observed),No,1,No,Not available,No,No,No,Yes (Observed),Yes (Observed),1,Not available today,No,,,No,Yes (Observed),Yes (Observed),No,,No,,1.9797298,Never available,Not available today,Not available today,Never available,Not available today,Never available,Never available,Never available,No,,50 or less,0-500,Not available today,Never available,Not available today,Not available today,No,,Not available today,Not available today,Public,No,,Rural,No,No,No,No,Yes,No,No,No,No,"Waste visible, unprotected area",,                              ,No,No,No,No,No,,No,,No,,No,,No,Yes,1.9797298,Never available,No,No,No,No,Yes,No,No,No,No,No,"Waste visible, unprotected area",No,                              ,No,No,No,No,No,Not available today,Not available today
Nigeria-2013,2112009,1.9797298,At least one observed (not expired),21,6.0,1203.0,Yes (Observed),Yes (Observed),Never available,Never available,Never available,Never available,No,,Never available,At least one observed (not expired),Never available,Never available,Never available,Never available,Yes (Observed),No,Never available,Never available,At least one observed (not expired),Never available,Yes,,Not available today,No,,No,,At least one observed (not expired),Health Center,No,,At least one observed (not expired),Never available,Never available,No,Yes (Observed),1,No,Not available,Yes,No,No,Yes (Observed),Yes (Observed),1,At least one observed (not expired),No,,,,Yes (Observed),Yes (Observed),Yes (Observed),No,No,,1.9797298,Never available,At least one observed (not expired),At least one observed (not expired),Never available,Never available,At least one observed (not expired),Never available,Never available,No,,50 or less,0-500,At least one observed (not expired),At least one observed (not expired),Never available,At least one observed (not expired),No,,At least one observed (not expired),At least one observed (not expired),Public,No,,Rural,No,No,No,No,Yes,No,No,No,No,"Waste visible, unprotected area",No,                              ,No,No,No,No,Yes (Observed),Yes (Observed),No,,Yes (Observed),Yes (Observed),Yes (Observed),No,No,Yes,2.9695945,At least one observed (not expired),No,No,No,No,Yes,No,No,No,No,No,"Waste visible, unprotected area",No,                              ,No,No,No,No,No,At least one observed (not expired),At least one observed (not expired)
Nigeria-2013,2112010,1.9797298,Never available,21,11.0,1203.0,Yes (Observed),Yes (Observed),Never available,Never available,Never available,Never available,No,,Never available,Not available today,Never available,Never available,Never available,Never available,Yes (Observed),Yes (Observed),Never available,Never available,Never available,Never available,Yes,,Not available today,No,,No,,Never available,Health Center,No,,Never available,Never available,Never available,No,No,1,No,Not available,No,Yes (Observed),No,Yes (Observed),Yes (Observed),1,Not available today,No,,,No,No,,Yes (Not Observed),No,No,,1.9797298,Never available,Never available,Not available today,Never available,Never available,Never available,Never available,Never available,No,,50 or less,0-500,Never available,Never available,Never available,Not available today,No,,Not available today,Not available today,Public,No,,Rural,No,Yes,No,No,Yes,No,No,No,No,"Waste visible, unprotected area",No,                              ,No,No,No,No,Yes (Observed),Yes (Observed),No,,Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),No,Yes,3.1675677,Never available,No,No,No,No,No,No,No,No,No,No,"Waste visible, protected area",No,                              ,No,No,No,Yes,No,Not available today,Never available
Nigeria-2013,2112011,1.9797298,At least one observed (all expired),21,12.0,1204.0,Yes (Observed),Yes (Observed),At least one observed (all expired),At least one observed (all expired),At least one observed (all expired),At least one observed (all expired),No,,At least one observed (all expired),At least one observed (not expired),At least one observed (all expired),At least one observed (all expired),At least one observed (all expired),At least one observed (all expired),No,,At least one observed (all expired),At least one observed (all expired),At least one observed (all expired),At least one observed (all expired),Yes,,Not available today,No,,No,,At least one observed (all expired),Health Center,No,,At least one observed (all expired),At least one observed (all expired),At least one observed (all expired),No,Yes (Observed),1,Yes,Not available,Yes,Yes (Observed),Yes,Yes (Observed),Yes (Observed),1,At least one observed (not expired),No,,,,Yes (Observed),Yes (Observed),No,,No,,1.9797298,At least one observed (all expired),At least one observed (all expired),At least one observed (not expired),At least one observed (all expired),At least one observed (all expired),At least one observed (all expired),At least one observed (all expired),At least one observed (all expired),No,,50 or less,0-500,At least one observed (all expired),At least one observed (all expired),At least one observed (all expired),At least one observed (not expired),No,,At least one observed (not expired),At least one observed (not expired),Public,No,,Rural,No,No,No,No,Yes,No,No,No,No,"Waste visible, unprotected area",No,                              ,No,No,No,No,No,,No,,No,,No,,No,Yes,1.9797298,At least one observed (all expired),No,No,No,No,Yes,No,No,No,No,No,"Waste visible, unprotected area",No,                              ,No,No,No,No,No,At least one observed (not expired),At least one observed (all expired)
Nigeria-2013,2112013,1.9797298,Never available,21,12.0,1201.0,Yes (Observed),Yes (Observed),Never available,Never available,Never available,Never available,No,,Never available,Not available today,Never available,Never available,Never available,Never available,Yes (Observed),Yes (Observed),Never available,Never available,Never available,Never available,Yes,,Not available today,No,,No,,Never available,Hospital,No,,Never available,Never available,Never available,Yes (Observed),Yes (Observed),1,No,Not available,No,Yes (Not Observed),No,Yes (Observed),Yes (Observed),1,Not available today,No,,,,Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),No,,1.9797298,Never available,Never available,Not available today,Never available,Never available,Never available,Never available,Never available,Yes (Observed),No,Over 50,0-500,Never available,Never available,Never available,Not available today,No,,Not available today,Not available today,Public,No,,Rural,No,No,No,No,No,No,No,Yes,No,"Waste visible, unprotected area",No,                              ,No,No,No,No,No,,No,,No,,Yes (Observed),Yes (Observed),No,Yes,1.9797298,Never available,No,No,No,No,No,No,No,No,Yes,No,"Waste visible, unprotected area",No,                              ,No,No,No,No,Yes,Not available today,Never available
Nigeria-2013,2113003,1.9797298,Never available,21,13.0,1302.0,Yes (Observed),Yes (Observed),Not available today,At least one observed (not expired),Not available today,At least one observed (not expired),No,,Not available today,,Not available today,Not available today,Never available,Not available today,Yes (Observed),Yes (Observed),Not available today,At least one observed (not expired),Never available,Not available today,Yes,,,No,,No,,At least one observed (not expired),Health Post,No,,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Yes (Observed),Yes (Observed),1,Yes,Yes (Observed),Yes,Yes (Observed),Yes,Yes (Observed),Yes (Observed),1,,No,,,No,Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),No,,1.9797298,At least one observed (not expired),At least one observed (not expired),,Never available,At least one observed (not expired),At least one observed (not expired),Not available today,Never available,Yes (Not Observed),No,50 or less,0-500,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),,No,,,,Public,No,,Rural,Yes,No,No,No,No,No,No,No,No,"Waste visible, unprotected area",No,                              ,No,No,No,No,Yes (Not Observed),Yes (Observed),No,,Yes (Not Observed),Yes (Observed),Yes (Not Observed),Yes (Observed),Yes,,1.9797298,At least one observed (not expired),Yes,No,No,No,No,No,No,No,No,No,"Waste visible, unprotected area",No,                              ,No,No,No,No,No,,At least one observed (not expired)
Nigeria-2013,2113004,1.9797298,Never available,21,13.0,1303.0,No,,Never available,Never available,Never available,Never available,No,,Never available,At least one observed (not expired),Never available,Never available,Never available,Never available,No,,Never available,Never available,Never available,Never available,Yes,,Not available today,No,,No,,Never available,Health Post,No,,Never available,Never available,Never available,Yes (Observed),Yes (Observed),1,No,Not available,No,No,No,Yes (Observed),Yes (Observed),1,At least one observed (not expired),No,,,,Yes (Observed),Yes (Observed),No,,No,,1.9797298,Never available,Never available,At least one observed (not expired),Never available,Never available,Never available,Never available,Never available,No,,50 or less,0-500,Never available,Never available,Never available,At least one observed (not expired),No,,At least one observed (not expired),At least one observed (not expired),Public,No,,Rural,No,Yes,No,No,No,No,No,No,No,"Waste visible, protected area",No,                              ,No,No,No,No,Yes (Observed),Yes (Observed),No,,Yes (Observed),Yes (Observed),No,,No,Yes,1.9797298,Never available,No,No,No,No,No,No,No,No,No,No,"Waste visible, protected area",No,                              ,No,No,No,No,No,At least one observed (not expired),Never available
Nigeria-2013,2113006,1.9797298,Never available,21,13.0,1304.0,No,,Never available,Never available,Never available,Never available,No,,Never available,,Never available,Never available,Never available,Never available,No,,Never available,Never available,Never available,Never available,Yes,,,No,,No,,Never available,Health Post,No,,Never available,Never available,Never available,Yes (Observed),Yes (Observed),1,No,Yes (Observed),Yes,Yes (Observed),No,Yes (Observed),Yes (Observed),1,,No,,,,Yes (Observed),Yes (Observed),No,,No,,1.9797298,Never available,Never available,,Never available,Never available,Never available,Never available,Never available,No,,50 or less,0-500,Never available,Never available,Never available,,No,,,,Public,No,,Rural,No,No,No,No,No,No,No,Yes,No,"Waste visible, unprotected area",No,                              ,No,No,No,No,Yes (Observed),Yes (Observed),No,,Yes (Observed),Yes (Observed),No,,Yes,,1.9797298,Never available,No,No,No,No,No,No,No,No,Yes,No,"Waste visible, unprotected area",No,                              ,No,No,No,No,No,At least one observed (not expired),Never available
Nigeria-2013,2113007,1.9797298,Never available,21,13.0,1304.0,No,,Not available today,Never available,Never available,Never available,No,,Never available,At least one observed (not expired),Never available,Never available,Never available,Never available,No,,Not available today,Never available,Never available,Not available today,Yes,,At least one observed (not expired),No,,No,,Never available,Health Post,No,,At least one observed (all expired),Never available,Never available,Yes (Observed),Yes (Observed),1,No,Yes (Observed),No,Yes (Observed),No,Yes (Observed),Yes (Observed),1,At least one observed (not expired),No,,,No,Yes (Observed),Yes (Observed),No,,No,,1.9797298,Never available,Never available,At least one observed (not expired),Never available,Never available,Never available,Never available,Never available,No,,50 or less,0-500,Never available,Never available,Not available today,At least one observed (not expired),No,,Never available,At least one observed (not expired),Public,No,,Rural,Yes,No,No,No,No,No,No,No,No,"Waste visible, unprotected area",No,                              ,No,No,No,No,Yes (Observed),Yes (Observed),No,,Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),No,Yes,1.9797298,At least one observed (not expired),Yes,No,No,No,No,No,No,Yes (Not Observed),No,No,"Waste visible, unprotected area",No,                              ,No,No,No,No,Yes,At least one observed (not expired),Not available today
Nigeria-2013,2113009,1.9797298,Never available,21,12.0,1305.0,Yes (Observed),Yes (Observed),Never available,Never available,Never available,Never available,No,,Never available,At least one observed (not expired),Never available,Never available,Never available,Never available,No,,Never available,Never available,Never available,Never available,Yes,,Not available today,No,,No,,Never available,Health Post,No,,Not available today,Never available,Never available,Yes (Observed),Yes (Observed),1,No,Not available,No,Yes (Not Observed),No,Yes (Observed),Yes (Not Observed),1,At least one observed (not expired),No,,,No,Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),No,,1.9797298,Not available today,Never available,At least one observed (not expired),Never available,Not available today,Never available,Never available,Never available,No,,50 or less,0-500,Not available today,Never available,Not available today,At least one observed (not expired),No,,Not available today,Not available today,Public,No,,Rural,No,Yes,No,No,No,No,No,No,No,"Waste visible, protected area",No,                              ,No,No,No,No,No,,No,,No,,Yes (Observed),Yes (Observed),No,Yes,1.9797298,Not available today,No,Yes,No,No,No,No,No,No,No,No,No waste visible,No,                              ,No,No,No,No,Yes,Not available today,Never available
Nigeria-2013,2113013,1.9797298,Never available,21,13.0,1307.0,No,,Never available,Never available,Never available,Never available,No,,Never available,At least one observed (not expired),Never available,Never available,Never available,Never available,No,,Never available,Never available,Never available,Never available,Yes,,Not available today,No,,No,,Never available,Health Post,No,,Never available,Never available,Never available,Yes (Observed),Yes (Observed),1,No,Not available,No,No,No,Yes (Observed),Yes (Observed),1,At least one observed (not expired),No,,,,Yes (Observed),Yes (Observed),No,,No,,1.9797298,Never available,Never available,At least one observed (not expired),Never available,Never available,Never available,Never available,Never available,No,,50 or less,0-500,Never available,Never available,Never available,At least one observed (not expired),No,,Not available today,At least one observed (not expired),Public,No,,Rural,Yes,No,No,No,No,No,No,No,No,"Waste visible, protected area",No,                              ,No,No,No,No,Yes (Observed),Yes (Observed),No,,Yes (Observed),Yes (Observed),No,,No,Yes,1.9797298,Never available,No,Yes,No,No,No,No,No,No,No,No,"Waste visible, protected area",No,                              ,No,No,No,No,Yes,At least one observed (not expired),Never available
Nigeria-2013,2113016,1.9797298,Never available,21,12.0,1309.0,No,,Never available,Never available,Never available,Never available,No,,Never available,At least one observed (not expired),Never available,Never available,Never available,Never available,No,,Never available,Never available,Never available,Never available,Yes,,Not available today,No,,No,,Never available,Health Post,No,,Never available,Never available,Never available,No,Yes (Observed),1,No,Yes (Observed),No,Yes (Not Observed),No,Yes (Observed),Yes (Observed),1,At least one observed (not expired),No,,,No,Yes (Observed),Yes (Observed),No,,No,,1.9797298,Never available,Never available,At least one observed (not expired),Never available,Never available,Never available,Never available,Never available,No,,50 or less,0-500,Never available,Never available,Never available,At least one observed (not expired),No,,At least one observed (not expired),At least one observed (not expired),Public,No,,Rural,No,No,No,No,No,No,Yes,No,No,No waste visible,Yes,NEARBY FACILITY               ,No,No,No,No,No,,No,,No,,No,,No,Yes,1.9797298,Never available,No,No,No,No,No,No,No,No,No,No,No waste visible,Yes,IN NEARBY FACILITY            ,No,No,No,No,No,At least one observed (not expired),Never available
Nigeria-2013,2113017,1.9797298,Never available,21,13.0,1310.0,Yes (Observed),Yes (Observed),Never available,Not available today,Never available,Never available,Yes (Observed),No,Never available,At least one observed (not expired),Never available,Never available,Never available,Never available,Yes (Observed),Yes (Observed),Never available,Never available,Never available,Never available,Yes,,Not available today,No,,No,,Never available,Health Center,No,,Never available,Never available,Never available,Yes (Observed),Yes (Observed),1,No,Not available,No,Yes (Observed),No,Yes (Observed),Yes (Observed),1,At least one observed (not expired),No,,,,Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),No,,1.9797298,Never available,Never available,At least one observed (not expired),Never available,Never available,Never available,Never available,Never available,No,,50 or less,0-500,Never available,Never available,Not available today,At least one observed (not expired),No,,At least one observed (not expired),At least one observed (not expired),Public,No,,Rural,No,No,No,No,Yes,No,Yes,No,No,"Waste visible, unprotected area",No,                              ,No,No,No,No,No,,No,,Yes (Observed),,Yes (Observed),Yes (Observed),No,Yes,3.2995496,Never available,No,No,No,No,Yes,No,Yes,No,No,No,"Waste visible, unprotected area",No,                              ,No,No,No,No,No,At least one observed (not expired),Never available
Nigeria-2013,2113929,,Never available,21,14.0,1403.0,Yes (Observed),Yes (Observed),Never available,Not available today,Never available,Never available,No,,Never available,At least one observed (not expired),Never available,Never available,Never available,Never available,Yes (Observed),Yes (Observed),Never available,Not available today,Never available,Never available,Yes,,At least one observed (not expired),No,,No,,Available but not observed (not expired),Health Center,No,,Available but not observed (not expired),Never available,Never available,Yes (Observed),Yes (Observed),1,Yes,Yes (Not Observed),No,Yes (Observed),Yes,Yes (Observed),Yes (Observed),1,Not available today,No,,,,Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),No,,,Available but not observed (not expired),Never available,At least one observed (not expired),Never available,Not available today,Not available today,Not available today,Never available,No,,50 or less,Over 3000,Not available today,Never available,Not available today,At least one observed (not expired),No,,At least one observed (not expired),At least one observed (not expired),Public,No,,Rural,No,No,Yes,No,No,No,No,No,No,"Waste visible, protected area",No,                              ,No,No,No,No,Yes (Observed),Yes (Observed),No,,Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),Yes,,,Never available,No,No,Yes,No,No,No,No,No,No,No,"Waste visible, unprotected area",No,                              ,No,No,No,No,No,At least one observed (not expired),Not available today
Nigeria-2013,2113935,,Not available today,21,14.0,1412.0,No,,Never available,Not available today,Never available,Never available,Yes (Observed),Yes (Observed),Never available,At least one observed (not expired),Never available,Never available,Not available today,Never available,Yes (Not Observed),Yes (Observed),Not available today,Not available today,Never available,Never available,Yes,,Not available today,No,,No,,At least one observed (not expired),Health Center,No,,At least one observed (not expired),Never available,Never available,No,No,1,No,Yes (Observed),Yes,No,No,Yes (Observed),Yes (Observed),1,At least one observed (not expired),No,,,,Yes (Observed),Yes (Observed),No,,No,,,At least one observed (not expired),Not available today,At least one observed (not expired),Never available,Not available today,At least one observed (not expired),Not available today,Never available,No,,50 or less,0-500,Not available today,Never available,At least one observed (not expired),At least one observed (not expired),No,,Never available,At least one observed (not expired),Public,No,,Rural,Yes,No,No,No,No,No,No,No,No,"Waste visible, unprotected area",No,                              ,No,No,No,No,Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),No,Yes,,Never available,Yes,No,No,No,No,No,No,No,No,No,"Waste visible, unprotected area",No,                              ,No,No,No,No,No,At least one observed (not expired),Not available today
Nigeria-2013,2114001,1.9797298,Not available today,21,14.0,1402.0,Yes (Observed),Yes (Observed),Never available,At least one observed (not expired),Not available today,Not available today,No,,Never available,,Never available,Never available,Never available,Not available today,Yes (Observed),Yes (Observed),Not available today,Not available today,Not available today,Not available today,Yes,,,No,,No,,At least one observed (not expired),Health Center,No,,At least one observed (not expired),Not available today,Not available today,Yes (Observed),Yes (Observed),1,No,Yes (Observed),No,Yes (Observed),No,Yes (Observed),Yes (Observed),1,,No,,,,Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),No,,1.9797298,Not available today,Never available,,Never available,At least one observed (not expired),Not available today,At least one observed (not expired),Not available today,No,,50 or less,0-500,Not available today,At least one observed (not expired),At least one observed (not expired),,No,,,,Public,No,,Rural,Yes,No,No,No,No,No,No,No,No,"Waste visible, unprotected area",No,                              ,No,No,No,No,Yes (Observed),Yes (Observed),No,,Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),Yes,,2.9695945,Never available,Yes,No,No,No,No,No,No,No,No,No,"Waste visible, unprotected area",No,                              ,No,No,No,No,No,At least one observed (not expired),Not available today
Nigeria-2013,2114002,1.9797298,Not available today,21,14.0,1402.0,Yes (Observed),Yes (Observed),Not available today,Not available today,Never available,Never available,No,,Never available,At least one observed (not expired),Never available,Never available,Never available,Never available,No,,Never available,Never available,At least one observed (all expired),Never available,Yes,,Not available today,No,,No,,Never available,Health Post,No,,Never available,Never available,Never available,Yes (Observed),No,1,No,Not available,No,Yes (Observed),No,Yes (Observed),Yes (Observed),1,At least one observed (not expired),No,,,,Yes (Observed),Yes (Observed),No,,No,,1.9797298,Not available today,Never available,At least one observed (not expired),Never available,Never available,Never available,Never available,Never available,No,,50 or less,0-500,Not available today,Never available,Never available,At least one observed (not expired),No,,At least one observed (not expired),At least one observed (not expired),Public,No,,Rural,Yes,No,No,No,No,No,No,No,No,"Waste visible, unprotected area",No,                              ,No,No,No,No,Yes (Observed),Yes (Observed),No,,Yes (Observed),Yes (Observed),No,,No,Yes,1.9797298,Never available,Yes,No,No,No,No,No,No,Yes (Not Observed),No,No,"Waste visible, unprotected area",No,                              ,No,No,No,No,No,At least one observed (not expired),Not available today
Nigeria-2013,2114003,1.9797298,Not available today,21,14.0,1404.0,No,,Never available,Never available,Never available,Never available,No,,Never available,At least one observed (not expired),Never available,Never available,Never available,Never available,No,,Not available today,Never available,Never available,Never available,Yes,,Not available today,No,,No,,Never available,Health Post,No,,Never available,Never available,Never available,Yes (Observed),Yes (Observed),1,No,Not available,No,Yes (Observed),No,Yes (Observed),Yes (Observed),1,At least one observed (not expired),No,,,,Yes (Observed),Yes (Observed),No,,No,,1.9797298,Never available,Never available,At least one observed (not expired),Never available,Never available,Never available,Never available,Never available,No,,50 or less,0-500,Never available,Never available,Not available today,At least one observed (not expired),No,,At least one observed (not expired),At least one observed (not expired),Public,No,,Rural,Yes,No,No,No,No,No,No,No,No,"Waste visible, unprotected area",No,                              ,No,No,No,No,Yes (Observed),No,No,,Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),No,Yes,1.9797298,Never available,Yes,No,No,No,No,No,No,No,No,No,"Waste visible, unprotected area",No,                              ,No,No,No,No,No,At least one observed (not expired),Never available
Nigeria-2013,2114004,1.9797298,Never available,21,14.0,1404.0,No,,Never available,Never available,Never available,Never available,No,,Never available,At least one observed (not expired),Never available,Never available,Never available,Never available,No,,Never available,Never available,Never available,Never available,Yes,,Not available today,No,,No,,Never available,Health Post,No,,Never available,Never available,Never available,Yes (Observed),No,1,No,Not available,No,Yes (Observed),No,Yes (Observed),Yes (Observed),1,At least one observed (not expired),No,,,,Yes (Observed),Yes (Observed),No,,No,,1.9797298,Never available,Never available,At least one observed (not expired),Never available,Never available,Never available,Never available,Never available,No,,50 or less,0-500,Never available,Never available,Never available,At least one observed (not expired),No,,Never available,At least one observed (not expired),Public,No,,Rural,Yes,No,No,No,No,No,No,No,No,"Waste visible, unprotected area",No,                              ,No,No,No,No,No,,No,,No,,No,,No,Yes,1.9797298,Never available,Yes,No,No,No,No,No,No,No,No,No,"Waste visible, unprotected area",No,                              ,No,No,No,No,No,At least one observed (not expired),Never available
Nigeria-2013,2114005,1.9797298,Never available,21,14.0,1411.0,No,,Never available,Never available,Never available,Never available,No,,Never available,At least one observed (not expired),Never available,Never available,Never available,Never available,No,,Never available,Never available,Never available,Never available,Yes,,Not available today,No,,No,,Never available,Health Post,No,,Never available,Never available,Never available,Yes (Observed),Yes (Observed),1,No,Not available,No,No,No,Yes (Observed),No,1,At least one observed (not expired),No,,,,Yes (Observed),Yes (Observed),No,,No,,1.9797298,Never available,Never available,At least one observed (not expired),Never available,Never available,Never available,Never available,Never available,No,,50 or less,0-500,Never available,Never available,Never available,At least one observed (not expired),No,,Not available today,At least one observed (not expired),Public,No,,Rural,Yes,No,No,No,No,No,No,No,No,"Waste visible, unprotected area",No,                              ,No,No,No,No,No,,No,,No,,No,,No,Yes,1.9797298,Not available today,Yes,No,No,No,No,No,No,No,No,No,"Waste visible, unprotected area",No,                              ,No,No,No,No,No,At least one observed (not expired),Never available
Nigeria-2013,2114008,1.9797298,Never available,21,14.0,1409.0,Yes (Not Observed),No,Never available,Never available,Never available,Never available,No,,Never available,At least one observed (not expired),Never available,Never available,Never available,Never available,No,,Never available,Never available,Never available,Never available,Yes,,Not available today,No,,No,,Never available,Health Post,No,,Never available,Never available,Never available,No,No,1,No,Not available,No,No,No,No,No,1,At least one observed (not expired),No,,,,Yes (Observed),Yes (Observed),No,,No,,1.9797298,Never available,Never available,At least one observed (not expired),Never available,Never available,Never available,Never available,Never available,Yes (Observed),No,50 or less,0-500,Never available,Never available,Never available,At least one observed (not expired),No,,Not available today,At least one observed (not expired),Private,No,,Rural,Yes,No,No,No,No,No,No,No,No,No waste visible,No,                              ,No,No,No,No,No,,No,,No,,No,,No,Yes,1.9797298,Never available,Yes,No,No,No,No,No,No,No,No,No,"Waste visible, unprotected area",No,                              ,No,No,No,No,No,At least one observed (not expired),Never available
Nigeria-2013,2114010,1.9797298,Never available,21,14.0,1408.0,No,,Never available,Never available,Never available,Never available,No,,Never available,At least one observed (not expired),Never available,Never available,Never available,Never available,No,,Never available,Never available,Never available,Never available,Yes,,Not available today,No,,No,,Never available,Health Post,No,,Never available,Never available,Never available,Yes (Not Observed),Yes (Not Observed),1,No,Not available,No,Yes (Not Observed),No,Yes (Not Observed),Yes (Not Observed),1,At least one observed (not expired),No,,,,Yes (Observed),Yes (Observed),No,,No,,1.9797298,Never available,Never available,At least one observed (not expired),Never available,Never available,Never available,Never available,Never available,No,,50 or less,0-500,Never available,Never available,Never available,At least one observed (not expired),No,,Not available today,At least one observed (not expired),Public,No,,Rural,No,Yes,No,No,No,No,No,No,No,No waste visible,No,                              ,No,No,No,No,No,,No,,No,,No,,No,Yes,1.9797298,Never available,No,Yes,No,No,No,No,No,No,No,No,No waste visible,No,                              ,No,No,No,No,No,At least one observed (not expired),Never available
