survey_id,country,unique_id,facility_id,provider_id,abs_wt,absence_rate,absence_rate2,absent_other1,absent_other3,absent_reason1,absent_reason3,has_absentee,has_absentee2,has_roster,is_outpatient,num_staff,provider_age1,provider_age2,provider_cadre1,provider_cadre2,provider_educ2,provider_male1,provider_present1,provider_present2,provider_present3,salary_delaylen,salary_delaylen2,salary_got,salary_got2,year_started
Senegal-2010_102_3,Senegal-2010,102_3,102,3,31.264751,0.16666667,0.16666667,,,,,1.0,1.0,1,No,6-10,45 or older,45 or older,Nurse,Nurse,Secondary,Female,Yes,Yes,Yes,0.0,0.0,Yes,Yes,In the 1990s
Senegal-2010_102_2,Senegal-2010,102_2,102,2,31.264751,0.16666667,0.16666667,,,,,1.0,1.0,1,Yes,6-10,25-34,25-34,Nurse,Nurse,Post-Secondary,Male,Yes,Yes,Yes,,,,,In the 1990s
Senegal-2010_102_1,Senegal-2010,102_1,102,1,31.264751,0.16666667,0.16666667,,,Sick or on maternity leave,Authorized absence,1.0,1.0,1,Yes,6-10,,,Nurse,Nurse,,Female,No,No,No,,,,,
Senegal-2010_102_5,Senegal-2010,102_5,102,5,31.264751,0.16666667,0.16666667,,,,,1.0,1.0,1,No,6-10,45 or older,45 or older,Nurse,Nurse,Primary,Female,Yes,Yes,Yes,0.0,0.0,Yes,Yes,
Senegal-2010_102_4,Senegal-2010,102_4,102,4,31.264751,0.16666667,0.16666667,,,,,1.0,1.0,1,No,6-10,45 or older,45 or older,Nurse,Nurse,Secondary,Female,Yes,Yes,Yes,0.0,0.0,Yes,Yes,Before 1990
Senegal-2010_102_0,Senegal-2010,102_0,102,0,31.264751,0.16666667,0.16666667,,,,,1.0,1.0,1,Yes,6-10,25-34,25-34,Nurse,Nurse,Post-Secondary,Female,Yes,Yes,Yes,0.0,0.0,Yes,Yes,After 2000
Senegal-2010_103_3,Senegal-2010,103_3,103,3,70.64863,0.25,0.25,,,Authorized absence,,1.0,1.0,1,No,5 or less,45 or older,45 or older,Nurse,Nurse,Secondary,Female,No,No,Yes,0.0,0.0,Yes,Yes,After 2000
Senegal-2010_103_0,Senegal-2010,103_0,103,0,70.64863,0.25,0.25,,,,,1.0,1.0,1,Yes,5 or less,25-34,25-34,Nurse,Nurse,Post-Secondary,Male,Yes,Yes,Yes,0.0,0.0,No,No,After 2000
Senegal-2010_103_2,Senegal-2010,103_2,103,2,70.64863,0.25,0.25,,,,,1.0,1.0,1,No,5 or less,35-44,35-44,Nurse,Nurse,Secondary,Female,Yes,Yes,Yes,0.0,0.0,Yes,Yes,After 2000
Senegal-2010_103_1,Senegal-2010,103_1,103,1,70.64863,0.25,0.25,,,,Not his/her shift,1.0,1.0,1,No,5 or less,25-34,25-34,Other,Other,Secondary,Female,Yes,Yes,No,0.0,0.0,Yes,Yes,In the 1990s
Senegal-2010_104_1,Senegal-2010,104_1,104,1,36.83443,0.14285715,0.2857143,,,,,1.0,1.0,1,Yes,6-10,25-34,25-34,Nurse,Nurse,Post-Secondary,Male,Yes,Yes,Yes,0.0,0.0,Yes,Yes,After 2000
Senegal-2010_104_6,Senegal-2010,104_6,104,6,36.83443,0.14285715,0.2857143,,,Not his/her shift,Unauthorized absence,1.0,1.0,1,No,6-10,25-34,25-34,Nurse,Nurse,,Female,No,No,No,,,,,
Senegal-2010_104_3,Senegal-2010,104_3,104,3,36.83443,0.14285715,0.2857143,,,,,1.0,1.0,1,No,6-10,Younger than 25,Younger than 25,Other,Other,Secondary,Female,Yes,Yes,Yes,0.0,0.0,Yes,Yes,After 2000
Senegal-2010_104_4,Senegal-2010,104_4,104,4,36.83443,0.14285715,0.2857143,,,,,1.0,1.0,1,No,6-10,Younger than 25,Younger than 25,Other,Other,Secondary,Female,Yes,Yes,Yes,0.0,0.0,Yes,Yes,After 2000
Senegal-2010_104_0,Senegal-2010,104_0,104,0,36.83443,0.14285715,0.2857143,,,,,1.0,1.0,1,Yes,6-10,35-44,35-44,Nurse,Nurse,Post-Secondary,Female,Yes,Yes,Yes,0.0,1.0,Yes,Yes,In the 1990s
Senegal-2010_104_2,Senegal-2010,104_2,104,2,36.83443,0.14285715,0.2857143,,,,,1.0,1.0,1,No,6-10,25-34,25-34,Other,Other,Post-Secondary,Female,Yes,Yes,Yes,0.0,0.0,Yes,Yes,After 2000
Senegal-2010_104_5,Senegal-2010,104_5,104,5,36.83443,0.14285715,0.2857143,,,,Unauthorized absence,1.0,1.0,1,No,6-10,45 or older,45 or older,Nurse,Nurse,Post-Secondary,Female,Yes,Yes,No,0.0,0.0,Yes,Yes,Before 1990
Senegal-2010_105_1,Senegal-2010,105_1,105,1,21.682236,0.25,0.25,,,,,1.0,1.0,1,No,5 or less,25-34,25-34,Other,Other,Secondary,Female,Yes,Yes,Yes,0.0,0.0,Yes,Yes,After 2000
Senegal-2010_105_2,Senegal-2010,105_2,105,2,21.682236,0.25,0.25,,,Sick or on maternity leave,Sick or on maternity leave,1.0,1.0,1,No,5 or less,25-34,25-34,Other,Other,,Female,No,No,No,,,,,
Senegal-2010_105_0,Senegal-2010,105_0,105,0,21.682236,0.25,0.25,,,,,1.0,1.0,1,Yes,5 or less,45 or older,45 or older,Nurse,Nurse,Post-Secondary,Female,Yes,Yes,Yes,0.0,0.0,Yes,Yes,Before 1990
Senegal-2010_105_3,Senegal-2010,105_3,105,3,21.682236,0.25,0.25,,,,,1.0,1.0,1,No,5 or less,35-44,35-44,Other,Other,Secondary,Female,Yes,Yes,Yes,0.0,0.0,Yes,Yes,In the 1990s
Senegal-2010_106_1,Senegal-2010,106_1,106,1,36.501774,0.0,0.25,,,,,1.0,1.0,1,No,5 or less,25-34,25-34,Nurse,Nurse,Secondary,Female,Yes,Yes,Yes,0.0,10.0,Yes,Yes,After 2000
Senegal-2010_106_2,Senegal-2010,106_2,106,2,36.501774,0.0,0.25,,,,Authorized absence,1.0,1.0,1,No,5 or less,45 or older,45 or older,Nurse,Nurse,Primary,Female,Yes,Yes,No,0.0,10.0,Yes,Yes,After 2000
Senegal-2010_106_0,Senegal-2010,106_0,106,0,36.501774,0.0,0.25,,,,,1.0,1.0,1,Yes,5 or less,35-44,35-44,Nurse,Nurse,Post-Secondary,Female,Yes,Yes,Yes,0.0,0.0,Yes,Yes,After 2000
Senegal-2010_106_3,Senegal-2010,106_3,106,3,36.501774,0.0,0.25,,,,,1.0,1.0,1,No,5 or less,25-34,25-34,Other,Other,Secondary,Female,Yes,Yes,Yes,0.0,10.0,Yes,Yes,After 2000
Senegal-2010_107_2,Senegal-2010,107_2,107,2,46.615414,0.0,0.0,,,,,1.0,1.0,1,Yes,5 or less,Younger than 25,25-34,Nurse,Other,Primary,Female,Yes,Yes,Yes,39.0,40.0,Yes,Yes,After 2000
Senegal-2010_107_1,Senegal-2010,107_1,107,1,46.615414,0.0,0.0,,,,,1.0,1.0,1,No,5 or less,25-34,Younger than 25,Other,Nurse,Secondary,Male,Yes,Yes,Yes,30.0,60.0,Yes,Yes,After 2000
Senegal-2010_107_0,Senegal-2010,107_0,107,0,46.615414,0.0,0.0,,,,,1.0,1.0,1,Yes,5 or less,25-34,25-34,Nurse,Nurse,Post-Secondary,Male,Yes,Yes,Yes,2.0,0.0,Yes,Yes,After 2000
Senegal-2010_108_1,Senegal-2010,108_1,108,1,95.893234,0.0,0.0,,,,,1.0,1.0,1,Yes,5 or less,25-34,25-34,Nurse,Nurse,Post-Secondary,Female,Yes,Yes,Yes,0.0,0.0,Yes,Yes,After 2000
Senegal-2010_108_0,Senegal-2010,108_0,108,0,95.893234,0.0,0.0,,,,,1.0,1.0,1,Yes,5 or less,35-44,35-44,Nurse,Nurse,Post-Secondary,Male,Yes,Yes,Yes,0.0,0.0,Yes,Yes,In the 1990s
Senegal-2010_108_3,Senegal-2010,108_3,108,3,95.893234,0.0,0.0,,,,,1.0,1.0,1,Yes,5 or less,Younger than 25,Younger than 25,Other,Other,Post-Secondary,Female,Yes,Yes,Yes,0.0,0.0,Yes,Yes,After 2000
Senegal-2010_108_2,Senegal-2010,108_2,108,2,95.893234,0.0,0.0,,,,,1.0,1.0,1,Yes,5 or less,25-34,25-34,Other,Other,Post-Secondary,Male,Yes,Yes,Yes,0.0,0.0,Yes,Yes,After 2000
Senegal-2010_109_2,Senegal-2010,109_2,109,2,405.326,0.2857143,0.2857143,DEUIL,DEUIL,Other,Other,1.0,1.0,1,No,6-10,,,Other,Other,,Male,No,No,No,,,,,
Senegal-2010_109_3,Senegal-2010,109_3,109,3,405.326,0.2857143,0.2857143,,,,,1.0,1.0,1,No,6-10,25-34,25-34,Other,Other,Secondary,Female,Yes,Yes,Yes,0.0,2.0,Yes,Yes,In the 1990s
Senegal-2010_109_5,Senegal-2010,109_5,109,5,405.326,0.2857143,0.2857143,,,Not his/her shift,,1.0,1.0,1,No,6-10,,25-34,Nurse,Other,Post-Secondary,Female,No,Yes,Yes,1.0,10.0,Yes,Yes,After 2000
Senegal-2010_109_4,Senegal-2010,109_4,109,4,405.326,0.2857143,0.2857143,,,,,1.0,1.0,1,No,6-10,25-34,25-34,Nurse,Nurse,Secondary,Female,Yes,Yes,Yes,0.0,0.0,Yes,Yes,After 2000
Senegal-2010_109_0,Senegal-2010,109_0,109,0,405.326,0.2857143,0.2857143,,,,,1.0,1.0,1,Yes,6-10,45 or older,45 or older,Nurse,Nurse,Post-Secondary,Male,Yes,Yes,Yes,0.0,0.0,Yes,Yes,Before 1990
Senegal-2010_109_1,Senegal-2010,109_1,109,1,405.326,0.2857143,0.2857143,,,,,1.0,1.0,1,Yes,6-10,25-34,25-34,Nurse,Nurse,Post-Secondary,Female,Yes,Yes,Yes,0.0,0.0,Yes,Yes,After 2000
Senegal-2010_109_6,Senegal-2010,109_6,109,6,405.326,0.2857143,0.2857143,,,,Not his/her shift,1.0,1.0,1,Yes,6-10,25-34,,Other,Nurse,,Male,Yes,No,No,,,,,
Senegal-2010_11_0,Senegal-2010,11_0,11,0,27.32106,0.0,0.0,,,,,1.0,1.0,1,No,5 or less,45 or older,45 or older,Nurse,Nurse,Primary,Female,Yes,Yes,Yes,0.0,0.0,Yes,Yes,After 2000
Senegal-2010_110_0,Senegal-2010,110_0,110,0,46.615414,0.6666667,0.0,,,,,1.0,1.0,1,Yes,5 or less,25-34,25-34,Nurse,Nurse,Post-Secondary,Male,Yes,Yes,Yes,0.0,0.0,Yes,Yes,After 2000
Senegal-2010_110_2,Senegal-2010,110_2,110,2,46.615414,0.6666667,0.0,,,Authorized absence,,1.0,1.0,1,No,5 or less,45 or older,45 or older,Nurse,Nurse,Primary,Female,No,No,Yes,0.0,0.0,Yes,Yes,After 2000
Senegal-2010_110_1,Senegal-2010,110_1,110,1,46.615414,0.6666667,0.0,,,Authorized absence,,1.0,1.0,1,No,5 or less,25-34,25-34,Other,Other,Secondary,Male,No,No,Yes,0.0,0.0,Yes,Yes,After 2000
Senegal-2010_111_0,Senegal-2010,111_0,111,0,17.10395,0.25,0.25,,,,,1.0,1.0,1,Yes,5 or less,25-34,25-34,Nurse,Nurse,Post-Secondary,Male,Yes,Yes,Yes,Ne sait pas,Ne sait pas,No,No,After 2000
Senegal-2010_111_3,Senegal-2010,111_3,111,3,17.10395,0.25,0.25,,,,,1.0,1.0,1,No,5 or less,35-44,35-44,Nurse,Nurse,Primary,Female,Yes,Yes,Yes,0.0,0.0,Yes,Yes,After 2000
Senegal-2010_111_1,Senegal-2010,111_1,111,1,17.10395,0.25,0.25,,,,,1.0,1.0,1,Yes,5 or less,25-34,25-34,Other,Other,Secondary,Male,Yes,Yes,Yes,0.0,0.0,Yes,Yes,In the 1990s
Senegal-2010_111_2,Senegal-2010,111_2,111,2,17.10395,0.25,0.25,,,Not his/her shift,Unauthorized absence,1.0,1.0,1,No,5 or less,35-44,35-44,Nurse,Nurse,,Female,No,No,No,,,,,
Senegal-2010_112_4,Senegal-2010,112_4,112,4,29.494366,0.2,0.0,,,,,1.0,1.0,1,No,5 or less,35-44,45 or older,Other,Other,Secondary,Female,Yes,Yes,Yes,2.0,0.0,Yes,Yes,In the 1990s
Senegal-2010_112_1,Senegal-2010,112_1,112,1,29.494366,0.2,0.0,,,,,1.0,1.0,1,Yes,5 or less,35-44,35-44,Nurse,Nurse,Secondary,Female,Yes,Yes,Yes,0.0,0.0,Yes,Yes,After 2000
Senegal-2010_112_2,Senegal-2010,112_2,112,2,29.494366,0.2,0.0,,,Authorized absence,,1.0,1.0,1,No,5 or less,45 or older,35-44,Nurse,Other,Post-Secondary,Female,No,Yes,Yes,0.0,0.0,Yes,Yes,After 2000
Senegal-2010_112_3,Senegal-2010,112_3,112,3,29.494366,0.2,0.0,,,,,1.0,1.0,1,No,5 or less,45 or older,45 or older,Other,Nurse,Secondary,Male,Yes,No,Yes,0.0,0.0,Yes,Yes,After 2000
Senegal-2010_112_0,Senegal-2010,112_0,112,0,29.494366,0.2,0.0,,,,,1.0,1.0,1,Yes,5 or less,25-34,25-34,Nurse,Nurse,Post-Secondary,Female,Yes,Yes,Yes,16.0,17.0,No,Yes,After 2000
Senegal-2010_113_0,Senegal-2010,113_0,113,0,29.931913,0.2857143,0.0,,,,,1.0,1.0,1,Yes,6-10,45 or older,45 or older,Nurse,Nurse,Post-Secondary,Male,Yes,Yes,Yes,0.0,0.0,Yes,Yes,Before 1990
Senegal-2010_113_5,Senegal-2010,113_5,113,5,29.931913,0.2857143,0.0,,,,,1.0,1.0,1,No,6-10,25-34,25-34,Other,Other,Post-Secondary,Male,Yes,Yes,Yes,0.0,0.0,Yes,Yes,After 2000
Senegal-2010_113_1,Senegal-2010,113_1,113,1,29.931913,0.2857143,0.0,,,,,1.0,1.0,1,Yes,6-10,25-34,25-34,Nurse,Nurse,Post-Secondary,Female,Yes,Yes,Yes,0.0,0.0,Yes,Yes,After 2000
Senegal-2010_113_3,Senegal-2010,113_3,113,3,29.931913,0.2857143,0.0,,,,,1.0,1.0,1,No,6-10,45 or older,45 or older,Other,Other,Primary,Female,Yes,Yes,Yes,0.0,0.0,Yes,Yes,Before 1990
Senegal-2010_113_2,Senegal-2010,113_2,113,2,29.931913,0.2857143,0.0,,,Not his/her shift,,1.0,1.0,1,No,6-10,45 or older,45 or older,Nurse,Nurse,Secondary,Female,No,No,Yes,0.0,0.0,Yes,Yes,Before 1990
Senegal-2010_113_6,Senegal-2010,113_6,113,6,29.931913,0.2857143,0.0,,,,,1.0,1.0,1,No,6-10,45 or older,45 or older,Other,Other,Secondary,Male,Yes,Yes,Yes,0.0,0.0,Yes,Yes,After 2000
Senegal-2010_113_4,Senegal-2010,113_4,113,4,29.931913,0.2857143,0.0,,,Official mission,,1.0,1.0,1,No,6-10,45 or older,45 or older,Other,Other,Secondary,Female,No,No,Yes,0.0,0.0,Yes,Yes,Before 1990
Senegal-2010_114_3,Senegal-2010,114_3,114,3,29.303772,0.33333334,0.6666667,,,,Not his/her shift,1.0,1.0,1,No,6-10,35-44,35-44,Nurse,Nurse,Secondary,Female,Yes,Yes,No,0.0,0.0,Yes,Yes,In the 1990s
Senegal-2010_114_0,Senegal-2010,114_0,114,0,29.303772,0.33333334,0.6666667,,,,Official mission,1.0,1.0,1,Yes,6-10,45 or older,45 or older,Nurse,Nurse,Post-Secondary,Male,Yes,Yes,No,0.0,0.0,Yes,Yes,Before 1990
Senegal-2010_114_1,Senegal-2010,114_1,114,1,29.303772,0.33333334,0.6666667,,,,Official mission,1.0,1.0,1,Yes,6-10,25-34,25-34,Nurse,Nurse,Post-Secondary,Female,Yes,Yes,No,0.0,0.0,Yes,Yes,After 2000
Senegal-2010_114_2,Senegal-2010,114_2,114,2,29.303772,0.33333334,0.6666667,,,Sick or on maternity leave,,1.0,1.0,1,No,6-10,45 or older,45 or older,Other,Other,Secondary,Male,No,No,Yes,0.0,0.0,Yes,Yes,Before 1990
Senegal-2010_114_4,Senegal-2010,114_4,114,4,29.303772,0.33333334,0.6666667,,,Authorized absence,Not his/her shift,1.0,1.0,1,No,6-10,,,Nurse,Nurse,,Female,No,No,No,,,,,
Senegal-2010_114_5,Senegal-2010,114_5,114,5,29.303772,0.33333334,0.6666667,,,,,1.0,1.0,1,No,6-10,45 or older,45 or older,Nurse,Nurse,Secondary,Female,Yes,Yes,Yes,0.0,0.0,Yes,Yes,Before 1990
Senegal-2010_115_8,Senegal-2010,115_8,115,8,624.4902,0.09090909,0.18181819,,,,,1.0,1.0,1,No,11-50,25-34,35-44,Nurse,Other,Post-Secondary,Female,Yes,Yes,Yes,,,,,After 2000
Senegal-2010_115_2,Senegal-2010,115_2,115,2,624.4902,0.09090909,0.18181819,,,,,1.0,1.0,1,Yes,11-50,25-34,45 or older,Nurse,Other,Secondary,Female,Yes,Yes,Yes,0.0,0.0,Yes,Yes,Before 1990
Senegal-2010_115_14,Senegal-2010,115_14,115,14,,0.09090909,0.18181819,,,,,,,1,No,11-50,25-34,,Other,,,Female,Yes,,,,,,,
Senegal-2010_115_7,Senegal-2010,115_7,115,7,624.4902,0.09090909,0.18181819,,,,,1.0,1.0,1,No,11-50,35-44,35-44,Nurse,Other,Secondary,Female,Yes,Yes,Yes,0.0,0.0,Yes,Yes,In the 1990s
Senegal-2010_115_11,Senegal-2010,115_11,115,11,,0.09090909,0.18181819,,,,,,,1,No,11-50,35-44,,Other,,,Male,Yes,,,,,,,
Senegal-2010_115_13,Senegal-2010,115_13,115,13,,0.09090909,0.18181819,,,,,,,1,No,11-50,45 or older,,Other,,,Female,Yes,,,,,,,
Senegal-2010_115_0,Senegal-2010,115_0,115,0,624.4902,0.09090909,0.18181819,,,,,1.0,1.0,1,Yes,11-50,35-44,35-44,Nurse,Nurse,Post-Secondary,Female,Yes,Yes,Yes,Ne sait pas,20.0,No,Yes,In the 1990s
Senegal-2010_115_9,Senegal-2010,115_9,115,9,624.4902,0.09090909,0.18181819,,,Authorized absence,,1.0,1.0,1,No,11-50,,25-34,Nurse,Nurse,Post-Secondary,Female,No,Yes,Yes,0.0,0.0,Yes,Yes,After 2000
Senegal-2010_115_6,Senegal-2010,115_6,115,6,624.4902,0.09090909,0.18181819,,,,,1.0,1.0,1,No,11-50,45 or older,25-34,Nurse,Nurse,Post-Secondary,Female,Yes,Yes,Yes,Ne sait pas,20.0,No,Yes,After 2000
Senegal-2010_115_4,Senegal-2010,115_4,115,4,624.4902,0.09090909,0.18181819,,,,,1.0,1.0,1,Yes,11-50,35-44,35-44,Other,Nurse,Secondary,Female,Yes,Yes,Yes,0.0,0.0,Yes,Yes,In the 1990s
Senegal-2010_115_12,Senegal-2010,115_12,115,12,,0.09090909,0.18181819,,,,,,,1,No,11-50,45 or older,,Other,,,Male,Yes,,,,,,,
Senegal-2010_115_3,Senegal-2010,115_3,115,3,624.4902,0.09090909,0.18181819,,,Authorized absence,,1.0,1.0,1,No,11-50,,25-34,Other,Nurse,Secondary,Female,No,Yes,Yes,0.0,0.0,Yes,Yes,After 2000
Senegal-2010_115_10,Senegal-2010,115_10,115,10,624.4902,0.09090909,0.18181819,,,,,1.0,1.0,1,No,11-50,25-34,45 or older,Nurse,Nurse,Secondary,Female,Yes,Yes,Yes,0.0,0.0,Yes,Yes,In the 1990s
Senegal-2010_115_5,Senegal-2010,115_5,115,5,624.4902,0.09090909,0.18181819,,,Sick or on maternity leave,Authorized absence,1.0,1.0,1,No,11-50,,,Nurse,Other,,Female,No,No,No,,,,,
Senegal-2010_115_16,Senegal-2010,115_16,115,16,,0.09090909,0.18181819,,,Authorized absence,,,,1,No,11-50,,,Other,,,Female,No,,,,,,,
Senegal-2010_115_1,Senegal-2010,115_1,115,1,624.4902,0.09090909,0.18181819,,,Official mission,Not his/her shift,1.0,1.0,1,Yes,11-50,25-34,25-34,Nurse,Other,Secondary,Male,No,Yes,No,0.0,0.0,Yes,Yes,After 2000
Senegal-2010_115_17,Senegal-2010,115_17,115,17,,0.09090909,0.18181819,,,,,,,1,No,11-50,45 or older,,Other,,,Male,Yes,,,,,,,
Senegal-2010_115_15,Senegal-2010,115_15,115,15,,0.09090909,0.18181819,,,Sick or on maternity leave,,,,1,No,11-50,,,Other,,,Female,No,,,,,,,
Senegal-2010_116_4,Senegal-2010,116_4,116,4,288.39658,0.42857143,0.14285715,,,Not his/her shift,,1.0,1.0,1,No,6-10,45 or older,45 or older,Nurse,Nurse,Secondary,Female,No,No,Yes,0.0,0.0,Yes,Yes,Before 1990
Senegal-2010_116_2,Senegal-2010,116_2,116,2,288.39658,0.42857143,0.14285715,,,,,1.0,1.0,1,No,6-10,45 or older,45 or older,Nurse,Nurse,Secondary,Female,Yes,No,Yes,0.0,0.0,Yes,Yes,Before 1990
Senegal-2010_116_5,Senegal-2010,116_5,116,5,288.39658,0.42857143,0.14285715,,,,,1.0,1.0,1,No,6-10,25-34,25-34,Other,Other,Post-Secondary,Female,Yes,Yes,Yes,0.0,0.0,No,No,After 2000
Senegal-2010_116_6,Senegal-2010,116_6,116,6,288.39658,0.42857143,0.14285715,,,,,1.0,1.0,1,No,6-10,25-34,25-34,Other,Other,Post-Secondary,Male,Yes,Yes,Yes,0.0,0.0,No,No,After 2000
Senegal-2010_116_1,Senegal-2010,116_1,116,1,288.39658,0.42857143,0.14285715,,,Authorized absence,,1.0,1.0,1,Yes,6-10,45 or older,45 or older,Nurse,Nurse,Post-Secondary,Female,No,No,Yes,0.0,0.0,Yes,Yes,Before 1990
Senegal-2010_116_3,Senegal-2010,116_3,116,3,288.39658,0.42857143,0.14285715,,,,Not his/her shift,1.0,1.0,1,No,6-10,35-44,35-44,Nurse,Nurse,Secondary,Female,Yes,Yes,No,0.0,0.0,Yes,Yes,In the 1990s
Senegal-2010_116_0,Senegal-2010,116_0,116,0,288.39658,0.42857143,0.14285715,,,,,1.0,1.0,1,Yes,6-10,45 or older,45 or older,Nurse,Nurse,Post-Secondary,Male,Yes,Yes,Yes,0.0,0.0,Yes,Yes,Before 1990
Senegal-2010_117_0,Senegal-2010,117_0,117,0,32.057858,0.0,0.33333334,,,,Official mission,1.0,1.0,1,Yes,5 or less,45 or older,45 or older,Nurse,Nurse,Secondary,Male,Yes,Yes,No,0.0,0.0,Yes,Yes,Before 1990
Senegal-2010_117_2,Senegal-2010,117_2,117,2,32.057858,0.0,0.33333334,,,,,1.0,1.0,1,Yes,5 or less,35-44,35-44,Other,Other,Secondary,Female,Yes,Yes,Yes,0.0,0.0,Yes,Yes,In the 1990s
Senegal-2010_117_1,Senegal-2010,117_1,117,1,32.057858,0.0,0.33333334,,,,,1.0,1.0,1,Yes,5 or less,25-34,25-34,Nurse,Nurse,Post-Secondary,Female,Yes,Yes,Yes,0.0,0.0,Yes,Yes,After 2000
Senegal-2010_118_3,Senegal-2010,118_3,118,3,78.94245,0.0,0.0,,,,,1.0,1.0,1,No,5 or less,45 or older,45 or older,Nurse,Nurse,Secondary,Female,Yes,Yes,Yes,0.0,0.0,Yes,Yes,Before 1990
Senegal-2010_118_4,Senegal-2010,118_4,118,4,78.94245,0.0,0.0,,,,,1.0,1.0,1,No,5 or less,25-34,25-34,Other,Other,Secondary,Female,Yes,Yes,Yes,0.0,0.0,Yes,Yes,After 2000
Senegal-2010_118_2,Senegal-2010,118_2,118,2,78.94245,0.0,0.0,,,,,1.0,1.0,1,No,5 or less,45 or older,45 or older,Other,Other,Secondary,Female,Yes,Yes,Yes,0.0,0.0,Yes,Yes,Before 1990
Senegal-2010_118_0,Senegal-2010,118_0,118,0,78.94245,0.0,0.0,,,,,1.0,1.0,1,Yes,5 or less,25-34,25-34,Nurse,Nurse,Post-Secondary,Male,Yes,Yes,Yes,0.0,0.0,Yes,Yes,After 2000
Senegal-2010_118_1,Senegal-2010,118_1,118,1,78.94245,0.0,0.0,,,,,1.0,1.0,1,No,5 or less,45 or older,45 or older,Other,Other,Secondary,Male,Yes,Yes,Yes,0.0,0.0,Yes,Yes,Before 1990
Senegal-2010_119_11,Senegal-2010,119_11,119,11,,0.0,0.09090909,,,,,,,1,No,11-50,35-44,,Other,,,Female,Yes,,,,,,,
