survey_id,country,unique_id,facility_id,provider_id,absence_rate,absent_other1,absent_other2,absent_reason1,absent_reason2,has_absentee,has_roster,is_outpatient,provider_activity,provider_activityoth,provider_age1,provider_cadre1,provider_cadre2,provider_male1,provider_male2,provider_present1,provider_present2,salary_delay
Uganda-2013_106_3,Uganda-2013,106_3,106,3,0.6666667,,,,Collecting salary,1.0,1,Yes,,,45 or older,Other,Other,Female,Female,Yes,No,
Uganda-2013_106_2,Uganda-2013,106_2,106,2,0.6666667,,,,,1.0,1,Yes,With patient,,45 or older,Other,Other,Male,Male,Yes,Yes,Yes
Uganda-2013_107_1,Uganda-2013,107_1,107,1,0.5,,,,,1.0,1,Yes,With patient,,45 or older,Other,Other,Male,Male,Yes,Yes,Yes
Uganda-2013_107_2,Uganda-2013,107_2,107,2,0.5,,,Authorized absence,Authorized absence,1.0,1,Yes,,,25-34,Other,Other,Female,Female,No,No,
Uganda-2013_108_1,Uganda-2013,108_1,108,1,1.0,,,,Official mission,1.0,1,Yes,,,25-34,Other,Other,Female,Female,Yes,No,
Uganda-2013_108_2,Uganda-2013,108_2,108,2,1.0,,,Authorized absence,Authorized absence,1.0,1,Yes,,,25-34,Other,Other,Female,Female,No,No,
Uganda-2013_109_1,Uganda-2013,109_1,109,1,0.0,,,,,1.0,1,Yes,With patient,,45 or older,Other,Other,Male,Male,Yes,Yes,Yes
Uganda-2013_11_7,Uganda-2013,11_7,11,7,0.2,,,,,,1,No,,,35-44,Other,,Male,,Yes,,
Uganda-2013_11_5,Uganda-2013,11_5,11,5,0.2,,,,,1.0,1,Yes,With patient,,25-34,Other,Other,Female,Female,Yes,Yes,No
Uganda-2013_11_2,Uganda-2013,11_2,11,2,0.2,,,Not his/her shift,,1.0,1,Yes,With patient,,45 or older,Nurse,Nurse,Female,Female,No,Yes,No
Uganda-2013_11_3,Uganda-2013,11_3,11,3,0.2,,,,,1.0,1,Yes,Paperwork,,25-34,Nurse,Nurse,Female,Female,Yes,Yes,No
Uganda-2013_11_4,Uganda-2013,11_4,11,4,0.2,,,Not his/her shift,,1.0,1,Yes,With patient,,25-34,Other,Other,Female,Female,No,Yes,No
Uganda-2013_11_6,Uganda-2013,11_6,11,6,0.2,,,Not his/her shift,,,1,No,,,Younger than 25,Other,,Female,,No,,
Uganda-2013_11_1,Uganda-2013,11_1,11,1,0.2,,,"Training, seminar or meeting",Official mission,1.0,1,Yes,,,45 or older,Nurse,Nurse,Female,Female,No,No,
Uganda-2013_110_11,Uganda-2013,110_11,110,11,0.7,,,,Not his/her shift,1.0,1,No,,,35-44,Other,Other,Female,Female,Yes,No,
Uganda-2013_110_12,Uganda-2013,110_12,110,12,0.7,,,Authorized absence,Unauthorized absence,1.0,1,Yes,,,35-44,Other,Other,Female,Female,No,No,
Uganda-2013_110_5,Uganda-2013,110_5,110,5,0.7,,,,Not his/her shift,1.0,1,No,,,Younger than 25,Nurse,Nurse,Female,Female,Yes,No,
Uganda-2013_110_10,Uganda-2013,110_10,110,10,0.7,,,,,,1,Yes,,,25-34,Other,,Female,,Yes,,
Uganda-2013_110_9,Uganda-2013,110_9,110,9,0.7,,,,Not his/her shift,1.0,1,No,,,35-44,Other,Other,Female,Female,Yes,No,
Uganda-2013_110_8,Uganda-2013,110_8,110,8,0.7,,,Sick or on maternity leave,Sick or on maternity leave,1.0,1,No,,,25-34,Nurse,Nurse,Female,Female,No,No,
Uganda-2013_110_3,Uganda-2013,110_3,110,3,0.7,,,,,1.0,1,Yes,With patient,,25-34,Nurse,Nurse,Male,Male,Yes,Yes,Yes
Uganda-2013_110_4,Uganda-2013,110_4,110,4,0.7,,,,,1.0,1,Yes,Paperwork,,Younger than 25,Nurse,Nurse,Female,Female,Yes,Yes,Yes
Uganda-2013_110_7,Uganda-2013,110_7,110,7,0.7,,,Sick or on maternity leave,Sick or on maternity leave,1.0,1,No,,,25-34,Nurse,Nurse,Female,Female,No,No,
Uganda-2013_110_13,Uganda-2013,110_13,110,13,0.7,,,,,,1,No,,,35-44,Other,,Female,,Yes,,
Uganda-2013_110_6,Uganda-2013,110_6,110,6,0.7,,,"Training, seminar or meeting",,,1,No,,,25-34,Nurse,,Female,,No,,
Uganda-2013_110_1,Uganda-2013,110_1,110,1,0.7,,,,,1.0,1,Yes,Looking for information or teaching,,25-34,Clinical Officer,Clinical Officer,Male,Male,Yes,Yes,Yes
Uganda-2013_110_2,Uganda-2013,110_2,110,2,0.7,,,,Not his/her shift,1.0,1,No,,,25-34,Nurse,Nurse,Female,Female,Yes,No,
Uganda-2013_111_2,Uganda-2013,111_2,111,2,0.33333334,,,,,1.0,1,Yes,With patient,,45 or older,Other,Other,Female,Female,Yes,Yes,Yes
Uganda-2013_111_1,Uganda-2013,111_1,111,1,0.33333334,,,,,1.0,1,Yes,With patient,,45 or older,Other,Other,Female,Female,Yes,Yes,Yes
Uganda-2013_111_3,Uganda-2013,111_3,111,3,0.33333334,,,Authorized absence,Not his/her shift,1.0,1,Yes,,,45 or older,Other,Other,Male,Male,No,No,
Uganda-2013_112_1,Uganda-2013,112_1,112,1,0.0,,,,,1.0,1,Yes,With patient,,25-34,Nurse,Nurse,Male,Male,Yes,Yes,No
Uganda-2013_113_2,Uganda-2013,113_2,113,2,1.0,,,,Not his/her shift,1.0,1,Yes,,,25-34,Nurse,Nurse,Male,Male,Yes,No,
Uganda-2013_113_3,Uganda-2013,113_3,113,3,1.0,,,,Unauthorized absence,1.0,1,Yes,,,25-34,Other,Other,Female,Female,Yes,No,
Uganda-2013_113_1,Uganda-2013,113_1,113,1,1.0,,,,Unauthorized absence,1.0,1,Yes,,,Younger than 25,Doctor,Doctor,Female,Female,Yes,No,
Uganda-2013_114_1,Uganda-2013,114_1,114,1,1.0,,,,Unauthorized absence,1.0,1,Yes,,,Younger than 25,Nurse,Doctor,Female,Female,Yes,No,
Uganda-2013_114_2,Uganda-2013,114_2,114,2,1.0,,,,Unauthorized absence,1.0,1,Yes,,,25-34,Other,Other,Female,Female,Yes,No,
Uganda-2013_115_2,Uganda-2013,115_2,115,2,0.33333334,,,Official mission,,1.0,1,Yes,With patient,,Younger than 25,Other,Other,Female,Female,No,Yes,Yes
Uganda-2013_115_3,Uganda-2013,115_3,115,3,0.33333334,,,Not his/her shift,Not his/her shift,1.0,1,Yes,,,45 or older,Nurse,Nurse,Female,Female,No,No,
Uganda-2013_115_1,Uganda-2013,115_1,115,1,0.33333334,,,,,1.0,1,Yes,With patient,,25-34,Other,Other,Female,Female,Yes,Yes,Yes
Uganda-2013_116_5,Uganda-2013,116_5,116,5,0.5555556,,,Not his/her shift,,1.0,1,Yes,With patient,,25-34,Nurse,Nurse,Female,Female,No,Yes,Yes
Uganda-2013_116_3,Uganda-2013,116_3,116,3,0.5555556,,,,Not his/her shift,1.0,1,Yes,,,25-34,Nurse,Nurse,Female,Female,Yes,No,
Uganda-2013_116_12,Uganda-2013,116_12,116,12,0.5555556,,,Not his/her shift,,,1,No,,,35-44,Other,,Male,,No,,
Uganda-2013_116_10,Uganda-2013,116_10,116,10,0.5555556,,,Not his/her shift,,,1,No,,,35-44,Other,,Male,,No,,
Uganda-2013_116_2,Uganda-2013,116_2,116,2,0.5555556,,,Sick or on maternity leave,Sick or on maternity leave,1.0,1,Yes,,,25-34,Nurse,Nurse,Female,Female,No,No,
Uganda-2013_116_11,Uganda-2013,116_11,116,11,0.5555556,,,Sick or on maternity leave,,,1,No,,,25-34,Other,,Male,,No,,
Uganda-2013_116_7,Uganda-2013,116_7,116,7,0.5555556,,,,Unauthorized absence,1.0,1,Yes,,,25-34,Nurse,Nurse,Female,Female,No,No,
Uganda-2013_116_8,Uganda-2013,116_8,116,8,0.5555556,,,,,1.0,1,Yes,With patient,,25-34,Other,Other,Female,Female,Yes,Yes,Yes
Uganda-2013_116_1,Uganda-2013,116_1,116,1,0.5555556,,,,Unauthorized absence,1.0,1,Yes,,,35-44,Clinical Officer,Doctor,Female,Female,Yes,No,
Uganda-2013_116_4,Uganda-2013,116_4,116,4,0.5555556,,,Not his/her shift,Unauthorized absence,1.0,1,Yes,,,25-34,Nurse,Nurse,Female,Female,No,No,
Uganda-2013_116_9,Uganda-2013,116_9,116,9,0.5555556,,,,,1.0,1,Yes,With patient,,25-34,Other,Other,Female,Female,Yes,Yes,Yes
Uganda-2013_116_6,Uganda-2013,116_6,116,6,0.5555556,,,,,1.0,1,Yes,With patient,,25-34,Clinical Officer,Clinical Officer,Female,Female,Yes,Yes,Yes
Uganda-2013_117_3,Uganda-2013,117_3,117,3,0.33333334,,,,Sick or on maternity leave,1.0,1,Yes,With patient,,,Nurse,Nurse,Male,Female,Yes,Yes,Yes
Uganda-2013_117_2,Uganda-2013,117_2,117,2,0.33333334,,,,,1.0,1,Yes,With patient,,35-44,Other,Other,Male,Female,Yes,Yes,Yes
Uganda-2013_117_1,Uganda-2013,117_1,117,1,0.33333334,,,,Collecting salary,1.0,1,Yes,,,45 or older,Clinical Officer,Doctor,Male,Male,Yes,No,
Uganda-2013_118_2,Uganda-2013,118_2,118,2,0.5,,,,Unauthorized absence,1.0,1,Yes,,,25-34,Other,Other,Female,Female,Yes,No,
Uganda-2013_118_1,Uganda-2013,118_1,118,1,0.5,,,,,1.0,1,Yes,With patient,,35-44,Doctor,Doctor,Female,Female,Yes,Yes,Yes
Uganda-2013_119_2,Uganda-2013,119_2,119,2,0.5,,,Outreach or fieldwork,,1.0,1,Yes,With patient,,25-34,Other,Other,Female,Female,No,Yes,Yes
Uganda-2013_119_1,Uganda-2013,119_1,119,1,0.5,,,,Official mission,1.0,1,Yes,,,45 or older,Doctor,Doctor,Female,Female,Yes,No,
Uganda-2013_12_1,Uganda-2013,12_1,12,1,0.0,,,,,1.0,1,Yes,With patient,,45 or older,Nurse,Nurse,Female,Female,Yes,Yes,No
Uganda-2013_12_2,Uganda-2013,12_2,12,2,0.0,,,Official mission,,1.0,1,Yes,With patient,,45 or older,Nurse,Nurse,Female,Female,No,Yes,No
Uganda-2013_120_1,Uganda-2013,120_1,120,1,0.6666667,,,,Official mission,1.0,1,Yes,,,25-34,Doctor,Doctor,Female,Female,Yes,No,
Uganda-2013_120_2,Uganda-2013,120_2,120,2,0.6666667,,,,Unauthorized absence,1.0,1,Yes,,,35-44,Other,Other,Female,Female,Yes,No,
Uganda-2013_120_3,Uganda-2013,120_3,120,3,0.6666667,,,,,1.0,1,Yes,With patient,,35-44,Other,Other,Female,Female,Yes,Yes,Yes
Uganda-2013_121_12,Uganda-2013,121_12,121,12,0.42857143,,,Unauthorized absence,,,1,No,,,25-34,Other,,Female,,No,,
Uganda-2013_121_3,Uganda-2013,121_3,121,3,0.42857143,,,,,1.0,1,Yes,With patient,,25-34,Nurse,Nurse,Male,Male,Yes,Yes,Yes
Uganda-2013_121_4,Uganda-2013,121_4,121,4,0.42857143,,,Authorized absence,,1.0,1,Yes,With patient,,35-44,Nurse,Nurse,Female,Female,No,Yes,Yes
Uganda-2013_121_2,Uganda-2013,121_2,121,2,0.42857143,,,"Training, seminar or meeting",Not his/her shift,1.0,1,No,,,25-34,Clinical Officer,Clinical Officer,Male,Male,No,No,
Uganda-2013_121_1,Uganda-2013,121_1,121,1,0.42857143,,,,Outreach or fieldwork,1.0,1,Yes,,,35-44,Doctor,Doctor,Male,Male,Yes,No,
Uganda-2013_121_6,Uganda-2013,121_6,121,6,0.42857143,,,,,1.0,1,Yes,With patient,,25-34,Nurse,Nurse,Female,Female,Yes,Yes,Yes
Uganda-2013_121_11,Uganda-2013,121_11,121,11,0.42857143,,,Outreach or fieldwork,,,1,No,,,25-34,Other,,Male,,No,,
Uganda-2013_121_10,Uganda-2013,121_10,121,10,0.42857143,,,Official mission,,,1,No,,,45 or older,Other,,Male,,No,,
Uganda-2013_121_13,Uganda-2013,121_13,121,13,0.42857143,,,,,,1,Yes,,,25-34,Other,,Female,,Yes,,
Uganda-2013_121_9,Uganda-2013,121_9,121,9,0.42857143,,,,,,1,No,,,45 or older,Other,,Male,,Yes,,
Uganda-2013_121_5,Uganda-2013,121_5,121,5,0.42857143,,,,Outreach or fieldwork,1.0,1,Yes,,,25-34,Nurse,Nurse,Female,Female,Yes,No,
Uganda-2013_121_8,Uganda-2013,121_8,121,8,0.42857143,,,"Training, seminar or meeting",,,1,Yes,,,25-34,Other,,Female,,No,,
Uganda-2013_121_7,Uganda-2013,121_7,121,7,0.42857143,,,,,1.0,1,Yes,With patient,,Younger than 25,Nurse,Nurse,Female,Female,Yes,Yes,Yes
Uganda-2013_122_2,Uganda-2013,122_2,122,2,0.33333334,,,Sick or on maternity leave,,1.0,1,Yes,With patient,,25-34,Nurse,Nurse,Female,Female,No,Yes,Yes
Uganda-2013_122_3,Uganda-2013,122_3,122,3,0.33333334,,,,,1.0,1,Yes,With patient,,25-34,Other,Other,Female,Female,Yes,Yes,Yes
Uganda-2013_122_1,Uganda-2013,122_1,122,1,0.33333334,,,Outreach or fieldwork,Unauthorized absence,1.0,1,Yes,,,35-44,Doctor,Doctor,Male,Male,No,No,
Uganda-2013_123_1,Uganda-2013,123_1,123,1,0.0,,,,,1.0,1,Yes,With patient,,25-34,Doctor,Doctor,Female,Female,Yes,Yes,No
Uganda-2013_123_2,Uganda-2013,123_2,123,2,0.0,,,,,1.0,1,Yes,"Laboratory, investigations, or x-ray",,25-34,Other,Other,Female,Female,Yes,Yes,No
Uganda-2013_124_1,Uganda-2013,124_1,124,1,0.5,,,,Collecting salary,1.0,1,Yes,,,25-34,Other,Doctor,Female,Female,Yes,No,
Uganda-2013_124_2,Uganda-2013,124_2,124,2,0.5,,,,,1.0,1,Yes,With patient,,35-44,Doctor,Other,Female,Female,Yes,Yes,Yes
Uganda-2013_125_2,Uganda-2013,125_2,125,2,0.75,,,"Training, seminar or meeting","Training, seminar or meeting",1.0,1,Yes,,,Younger than 25,Nurse,,Female,Female,No,No,
Uganda-2013_125_4,Uganda-2013,125_4,125,4,0.75,,,Unauthorized absence,Unauthorized absence,1.0,1,Yes,,,,Other,,Male,Male,No,No,
Uganda-2013_125_1,Uganda-2013,125_1,125,1,0.75,,,,,1.0,1,Yes,With patient,,25-34,Nurse,Doctor,Male,Male,Yes,Yes,No
Uganda-2013_125_3,Uganda-2013,125_3,125,3,0.75,,,Unauthorized absence,Unauthorized absence,1.0,1,Yes,,,25-34,Nurse,,Male,Male,No,No,
Uganda-2013_126_2,Uganda-2013,126_2,126,2,0.33333334,,,,,1.0,1,Yes,With patient,,Younger than 25,Other,Other,Female,Female,Yes,Yes,No
Uganda-2013_126_3,Uganda-2013,126_3,126,3,0.33333334,,,,Unauthorized absence,1.0,1,Yes,,,35-44,Doctor,Doctor,Male,Male,Yes,No,
Uganda-2013_126_1,Uganda-2013,126_1,126,1,0.33333334,,,,,1.0,1,Yes,With patient,,Younger than 25,Other,Other,Male,Male,Yes,Yes,No
Uganda-2013_127_2,Uganda-2013,127_2,127,2,0.6666667,,,"Training, seminar or meeting","Training, seminar or meeting",1.0,1,Yes,,,25-34,Nurse,Nurse,Female,Female,No,No,
Uganda-2013_127_3,Uganda-2013,127_3,127,3,0.6666667,,,,Authorized absence,1.0,1,Yes,,,35-44,Other,Other,Male,Male,Yes,No,
Uganda-2013_127_1,Uganda-2013,127_1,127,1,0.6666667,,,,,1.0,1,Yes,,,25-34,Doctor,Doctor,Male,Male,Yes,Yes,No
Uganda-2013_128_7,Uganda-2013,128_7,128,7,0.6,,,"Training, seminar or meeting",Sick or on maternity leave,1.0,1,Yes,,,25-34,Nurse,Nurse,Female,Female,No,No,
Uganda-2013_128_3,Uganda-2013,128_3,128,3,0.6,,,Sick or on maternity leave,,1.0,1,Yes,With patient,,35-44,Nurse,Nurse,Female,Female,No,Yes,Yes
Uganda-2013_128_12,Uganda-2013,128_12,128,12,0.6,,,"Training, seminar or meeting",,,1,No,,,35-44,Other,,Male,,No,,
Uganda-2013_128_11,Uganda-2013,128_11,128,11,0.6,,,,,,1,No,,,25-34,Other,,Male,,Yes,,
Uganda-2013_128_5,Uganda-2013,128_5,128,5,0.6,,,Not his/her shift,Sick or on maternity leave,1.0,1,Yes,,,25-34,Nurse,Nurse,Female,Female,No,No,
Uganda-2013_128_13,Uganda-2013,128_13,128,13,0.6,,,,,,1,No,,,35-44,Other,,Male,,Yes,,
Uganda-2013_128_6,Uganda-2013,128_6,128,6,0.6,,,"Training, seminar or meeting",Sick or on maternity leave,1.0,1,Yes,,,25-34,Nurse,Nurse,Female,Female,No,No,
Uganda-2013_128_8,Uganda-2013,128_8,128,8,0.6,,,,Unauthorized absence,1.0,1,Yes,,,45 or older,Other,Other,Female,Female,Yes,No,
Uganda-2013_128_9,Uganda-2013,128_9,128,9,0.6,,,,,1.0,1,Yes,With patient,,35-44,Other,Other,Female,Female,Yes,Yes,Yes
Uganda-2013_128_14,Uganda-2013,128_14,128,14,0.6,,,Official mission,,,1,No,,,35-44,Other,,Male,,No,,
Uganda-2013_128_10,Uganda-2013,128_10,128,10,0.6,,,"Training, seminar or meeting",Unauthorized absence,1.0,1,Yes,,,,Other,Other,Male,Female,No,No,
Uganda-2013_128_4,Uganda-2013,128_4,128,4,0.6,,,,Unauthorized absence,1.0,1,Yes,,,25-34,Nurse,Nurse,Female,Female,Yes,No,
Uganda-2013_128_2,Uganda-2013,128_2,128,2,0.6,,,,,1.0,1,Yes,With patient,,35-44,Clinical Officer,Doctor,Male,Male,Yes,Yes,Yes
Uganda-2013_128_1,Uganda-2013,128_1,128,1,0.6,,,Sick or on maternity leave,,1.0,1,Yes,With patient,,35-44,Clinical Officer,Clinical Officer,Male,Male,No,Yes,Yes
Uganda-2013_129_1,Uganda-2013,129_1,129,1,0.5,,,,"Training, seminar or meeting",1.0,1,Yes,,,Younger than 25,Nurse,Doctor,Male,Male,Yes,No,
Uganda-2013_129_2,Uganda-2013,129_2,129,2,0.5,,,,,1.0,1,Yes,With patient,,45 or older,Nurse,Other,Female,Female,Yes,Yes,No
Uganda-2013_13_1,Uganda-2013,13_1,13,1,0.0,,,,,1.0,1,Yes,Other,WAITING FOR PATIENTS,25-34,Nurse,Nurse,Female,Female,Yes,Yes,Yes
Uganda-2013_13_2,Uganda-2013,13_2,13,2,0.0,,,,,1.0,1,Yes,Other,WAITING FOR PATIENTS,25-34,Other,Other,Female,Female,Yes,Yes,Yes
Uganda-2013_130_8,Uganda-2013,130_8,130,8,0.44444445,,,"Training, seminar or meeting",,,1,No,,,25-34,Nurse,,Female,,No,,
Uganda-2013_130_7,Uganda-2013,130_7,130,7,0.44444445,,,,,1.0,1,Yes,With patient,,35-44,Nurse,Nurse,Female,Female,Yes,Yes,Yes
Uganda-2013_130_2,Uganda-2013,130_2,130,2,0.44444445,,,Official mission,Official mission,1.0,1,Yes,With patient,,25-34,Doctor,Doctor,Male,Male,No,No,Yes
Uganda-2013_130_1,Uganda-2013,130_1,130,1,0.44444445,,,,,1.0,1,Yes,With patient,,35-44,Doctor,Doctor,Male,Male,Yes,Yes,Yes
Uganda-2013_130_11,Uganda-2013,130_11,130,11,0.44444445,,,"Training, seminar or meeting",,,1,No,,,45 or older,Other,,Male,,No,,
Uganda-2013_130_5,Uganda-2013,130_5,130,5,0.44444445,,,Not his/her shift,"Training, seminar or meeting",1.0,1,No,With patient,,25-34,Nurse,Nurse,Female,Female,No,No,Yes
Uganda-2013_130_10,Uganda-2013,130_10,130,10,0.44444445,,,Sick or on maternity leave,Sick or on maternity leave,1.0,1,Yes,,,35-44,Other,Other,Female,Female,No,No,
Uganda-2013_130_4,Uganda-2013,130_4,130,4,0.44444445,,,,,1.0,1,Yes,With patient,,Younger than 25,Nurse,Nurse,Female,Female,Yes,Yes,Yes
Uganda-2013_130_3,Uganda-2013,130_3,130,3,0.44444445,,,Not his/her shift,,1.0,1,Yes,With patient,,35-44,Nurse,Nurse,Male,Male,No,Yes,Yes
Uganda-2013_130_12,Uganda-2013,130_12,130,12,0.44444445,,,,,,1,No,,,25-34,Other,,Male,,Yes,,
Uganda-2013_130_13,Uganda-2013,130_13,130,13,0.44444445,,,,,,1,No,,,35-44,Other,,Male,,Yes,,
Uganda-2013_130_9,Uganda-2013,130_9,130,9,0.44444445,,,Sick or on maternity leave,Unauthorized absence,1.0,1,Yes,,,25-34,Other,Other,Male,Male,No,No,
Uganda-2013_130_6,Uganda-2013,130_6,130,6,0.44444445,,,,,1.0,1,Yes,,,25-34,Nurse,Nurse,Male,Male,Yes,Yes,
Uganda-2013_131_2,Uganda-2013,131_2,131,2,0.5,,,"Training, seminar or meeting","Training, seminar or meeting",1.0,1,Yes,,,45 or older,Other,Other,Male,Male,No,No,
Uganda-2013_131_1,Uganda-2013,131_1,131,1,0.5,,,,,1.0,1,Yes,With patient,,35-44,Doctor,Doctor,Female,Female,Yes,Yes,No
Uganda-2013_132_10,Uganda-2013,132_10,132,10,0.6,,,Not his/her shift,,,1,No,,,45 or older,Other,,Male,,No,,
Uganda-2013_132_9,Uganda-2013,132_9,132,9,0.6,,,,,1.0,1,No,Paperwork,,45 or older,Other,Other,Female,Female,Yes,Yes,Yes
Uganda-2013_132_3,Uganda-2013,132_3,132,3,0.6,,,Not his/her shift,Not his/her shift,1.0,1,No,,,25-34,Nurse,Nurse,Male,Male,No,No,
Uganda-2013_132_12,Uganda-2013,132_12,132,12,0.6,,,,Outreach or fieldwork,1.0,1,No,,,25-34,Other,Other,Male,Male,Yes,No,
Uganda-2013_132_4,Uganda-2013,132_4,132,4,0.6,,,Not his/her shift,,,1,No,,,25-34,Nurse,,Female,,No,,
Uganda-2013_132_13,Uganda-2013,132_13,132,13,0.6,,,,,1.0,1,No,"Laboratory, investigations, or x-ray",,25-34,Other,Other,Male,Male,Yes,Yes,Yes
Uganda-2013_132_1,Uganda-2013,132_1,132,1,0.6,,,"Training, seminar or meeting",Authorized absence,1.0,1,Yes,,,25-34,Clinical Officer,Clinical Officer,Male,Male,No,No,
Uganda-2013_132_2,Uganda-2013,132_2,132,2,0.6,T,,,,1.0,1,Yes,With patient,,25-34,Nurse,Nurse,Female,Female,Yes,Yes,Yes
Uganda-2013_132_6,Uganda-2013,132_6,132,6,0.6,,,"Training, seminar or meeting","Training, seminar or meeting",1.0,1,No,,,Younger than 25,Nurse,Nurse,Female,Female,No,No,
Uganda-2013_132_8,Uganda-2013,132_8,132,8,0.6,,,Not his/her shift,Not his/her shift,1.0,1,Yes,,,35-44,Nurse,Nurse,Male,Male,No,No,
Uganda-2013_132_5,Uganda-2013,132_5,132,5,0.6,,,"Training, seminar or meeting","Training, seminar or meeting",1.0,1,Yes,,,25-34,Nurse,Nurse,Female,Female,No,No,
Uganda-2013_132_11,Uganda-2013,132_11,132,11,0.6,,,,,,1,No,,,25-34,Other,,Female,,Yes,,
Uganda-2013_132_7,Uganda-2013,132_7,132,7,0.6,,,Not his/her shift,,1.0,1,No,Other,SEATED WAITING FOR PATIENTS,25-34,Nurse,Nurse,Male,Male,No,Yes,Yes
Uganda-2013_133_3,Uganda-2013,133_3,133,3,1.0,,,,Unauthorized absence,1.0,1,Yes,,,25-34,Other,Other,Female,Female,Yes,No,
Uganda-2013_133_2,Uganda-2013,133_2,133,2,1.0,,,,Unauthorized absence,1.0,1,Yes,,,25-34,Other,Other,Female,Female,Yes,No,
Uganda-2013_133_4,Uganda-2013,133_4,133,4,1.0,,,,Unauthorized absence,1.0,1,Yes,,,25-34,Other,Other,Female,Female,Yes,No,
Uganda-2013_133_1,Uganda-2013,133_1,133,1,1.0,,,,Unauthorized absence,1.0,1,Yes,,,35-44,Nurse,Nurse,Female,Female,Yes,No,
