unique_id,fac_id,staff_id,m2saq1,m2saq2,m2saq3,m2saq7,m2saq8,m2saq9,m2saq10,m2saq11,m2saq12,m2saq13,m2saq14,m2saq15,m2saq16,m2sbq0,m2sbq2,m2sbq4,m2sbq5,m2sbq6,m2sbq7,m2sbq8,m2sbq9,m2sbq10,m2sbq11,m2sbq12,m2sbq13,has_roster,has_absentee,country,absence_rate
100108_38,100108,38,Over 50,Over 50,Over 5,Clinical Officer,Secondary,Diploma,0,25-34,0,Yes,,Yes,,,,,,,,,,,,,,1,,Mozambique-2014,0.6363636
100108_30,100108,30,Over 50,Over 50,Over 5,Clinical Officer,Secondary,Diploma,Male,45 or older,Yes,Yes,,No,No,,,,,,,,,,,,,1,,Mozambique-2014,0.6363636
100108_35,100108,35,Over 50,Over 50,Over 5,Clinical Officer,Secondary,Diploma,Male,25-34,0,Yes,,No,,,,,,,,,,,,,,1,,Mozambique-2014,0.6363636
100108_40,100108,40,Over 50,Over 50,Over 5,Clinical Officer,Secondary,Diploma,Male,25-34,0,0,Official mission,No,,,,,,,,,,,,,,1,,Mozambique-2014,0.6363636
100108_27,100108,27,Over 50,Over 50,Over 5,Nurse,Primary,Certificate,Male,45 or older,0,0,Authorised absence (permision/leave),Yes,,,,,,,,,,,,,,1,,Mozambique-2014,0.6363636
100108_44,100108,44,Over 50,Over 50,Over 5,Clinical Officer,Secondary,Diploma,Male,25-34,Yes,Yes,,No,No,,,,,,,,,,,,,1,,Mozambique-2014,0.6363636
100108_45,100108,45,Over 50,Over 50,Over 5,Clinical Officer,Secondary,Diploma,0,Younger than 25,0,0,"On call (pre on call, post on call)",No,,,,,,,,,,,,,,1,,Mozambique-2014,0.6363636
100108_4,100108,4,Over 50,Over 50,Over 5,Clinical Officer,Post-Secondary,Advanced,Male,25-34,Yes,0,Training/seminar/meeting,No,,11.0,27.0,Nurse,Primary,Certificate,Before 1990,Male,45 or older,0.0,Authorised absence (permision/leave),,,1,1.0,Mozambique-2014,0.6363636
100108_6,100108,6,Over 50,Over 50,Over 5,Clinical Officer,Post-Secondary,Advanced,Male,25-34,Yes,Yes,,No,No,11.0,7.0,Clinical Officer,Post-Secondary,Advanced,After 2000,Male,25-34,0.0,Official mission,,,1,1.0,Mozambique-2014,0.6363636
100108_7,100108,7,Over 50,Over 50,Over 5,Clinical Officer,Post-Secondary,Advanced,Male,25-34,0,0,Official mission,Yes,,11.0,24.0,Nurse,Secondary,Diploma,After 2000,0.0,25-34,0.0,Authorised absence (permision/leave),,,1,1.0,Mozambique-2014,0.6363636
100108_10,100108,10,Over 50,Over 50,Over 5,Clinical Officer,Post-Secondary,Advanced,Male,35-44,Yes,Yes,,No,Yes,11.0,9.0,Clinical Officer,Post-Secondary,Advanced,After 2000,Male,35-44,Yes,,Em consulta (cuidados presenciais),0.0,1,1.0,Mozambique-2014,0.6363636
100108_9,100108,9,Over 50,Over 50,Over 5,Clinical Officer,Post-Secondary,Advanced,Male,35-44,Yes,Yes,,Yes,Yes,11.0,38.0,Clinical Officer,Secondary,Diploma,After 2000,0.0,25-34,0.0,Authorised absence (permision/leave),,,1,1.0,Mozambique-2014,0.6363636
100108_41,100108,41,Over 50,Over 50,Over 5,Clinical Officer,Secondary,Diploma,Male,Younger than 25,0,Yes,,Yes,,,,,,,,,,,,,,1,,Mozambique-2014,0.6363636
100108_24,100108,24,Over 50,Over 50,Over 5,Nurse,Secondary,Diploma,0,25-34,Yes,0,"On call (pre on call, post on call)",No,,,,,,,,,,,,,,1,,Mozambique-2014,0.6363636
100108_21,100108,21,Over 50,Over 50,Over 5,Nurse,Secondary,Diploma,0,25-34,Yes,0,"On call (pre on call, post on call)",No,,,,,,,,,,,,,,1,,Mozambique-2014,0.6363636
100108_32,100108,32,Over 50,Over 50,Over 5,Clinical Officer,Secondary,Diploma,0,Younger than 25,0,Yes,,No,,,,,,,,,,,,,,1,,Mozambique-2014,0.6363636
100108_36,100108,36,Over 50,Over 50,Over 5,Clinical Officer,Secondary,Diploma,Male,25-34,0,Yes,,Yes,,,,,,,,,,,,,,1,,Mozambique-2014,0.6363636
100108_13,100108,13,Over 50,Over 50,Over 5,Nurse,Secondary,Diploma,0,25-34,Yes,0,"On call (pre on call, post on call)",Yes,,,,,,,,,,,,,,1,,Mozambique-2014,0.6363636
100108_25,100108,25,Over 50,Over 50,Over 5,Nurse,Secondary,Diploma,0,25-34,Yes,Yes,,Yes,Yes,,,,,,,,,,,,,1,,Mozambique-2014,0.6363636
100108_17,100108,17,Over 50,Over 50,Over 5,Nurse,,Diploma,Male,35-44,Yes,0,"On call (pre on call, post on call)",No,,,,,,,,,,,,,,1,,Mozambique-2014,0.6363636
100108_42,100108,42,Over 50,Over 50,Over 5,Clinical Officer,Secondary,Diploma,Male,25-34,0,Yes,,No,,,,,,,,,,,,,,1,,Mozambique-2014,0.6363636
100108_37,100108,37,Over 50,Over 50,Over 5,Clinical Officer,Secondary,Diploma,Male,25-34,0,0,"On call (pre on call, post on call)",No,,,,,,,,,,,,,,1,,Mozambique-2014,0.6363636
100108_3,100108,3,Over 50,Over 50,Over 5,Other,Post-Secondary,Advanced,0,45 or older,Yes,Yes,,Yes,No,11.0,3.0,Other,Post-Secondary,Advanced,Before 1990,0.0,45 or older,Yes,,Em consulta (cuidados presenciais),0.0,1,1.0,Mozambique-2014,0.6363636
100108_43,100108,43,Over 50,Over 50,Over 5,Clinical Officer,Secondary,Diploma,0,Younger than 25,0,Yes,,No,,,,,,,,,,,,,,1,,Mozambique-2014,0.6363636
100108_19,100108,19,Over 50,Over 50,Over 5,Nurse,Secondary,Diploma,Male,25-34,Yes,Yes,,No,Yes,,,,,,,,,,,,,1,,Mozambique-2014,0.6363636
100108_39,100108,39,Over 50,Over 50,Over 5,Clinical Officer,Secondary,Diploma,0,35-44,Yes,Yes,,No,Yes,,,,,,,,,,,,,1,,Mozambique-2014,0.6363636
100108_47,100108,47,Over 50,Over 50,Over 5,Clinical Officer,Secondary,Diploma,Male,35-44,0,Yes,,No,,,,,,,,,,,,,,1,,Mozambique-2014,0.6363636
100108_2,100108,2,Over 50,Over 50,Over 5,Clinical Officer,Post-Secondary,Advanced,0,25-34,0,Yes,,No,,11.0,13.0,Nurse,Secondary,Diploma,After 2000,0.0,25-34,0.0,"On call (pre on call, post on call)",,,1,1.0,Mozambique-2014,0.6363636
100108_29,100108,29,Over 50,Over 50,Over 5,Clinical Officer,Secondary,Diploma,Male,25-34,0,0,"On call (pre on call, post on call)",No,,,,,,,,,,,,,,1,,Mozambique-2014,0.6363636
100108_34,100108,34,Over 50,Over 50,Over 5,Clinical Officer,Secondary,Diploma,Male,35-44,0,0,Authorised absence (permision/leave),Yes,,,,,,,,,,,,,,1,,Mozambique-2014,0.6363636
100108_11,100108,11,Over 50,Over 50,Over 5,Nurse,Secondary,Diploma,Male,35-44,Yes,0,"On call (pre on call, post on call)",No,,11.0,1.0,Doctor,Post-Secondary,,After 2000,Male,25-34,Yes,,Em consulta (cuidados presenciais),0.0,1,1.0,Mozambique-2014,0.6363636
100204_1,100204,1,5 or less,5 or less,5 or less,Clinical Officer,,Diploma,0,Younger than 25,Yes,Yes,,Yes,Yes,3.0,1.0,Clinical Officer,,Diploma,After 2000,0.0,Younger than 25,Yes,,Em consulta (cuidados presenciais),Yes,1,1.0,Mozambique-2014,0.0
100204_4,100204,4,5 or less,5 or less,5 or less,Other,Secondary,Diploma,Male,Younger than 25,0,0,Sickness/maternity,Yes,,,,,,,,,,,,,,1,,Mozambique-2014,0.0
100204_3,100204,3,5 or less,5 or less,5 or less,Nurse,Secondary,Diploma,0,25-34,Yes,0,Authorised absence (permision/leave),Yes,,3.0,4.0,Other,Secondary,Diploma,After 2000,Male,Younger than 25,Yes,,Em consulta (cuidados presenciais),Yes,1,1.0,Mozambique-2014,0.0
100204_2,100204,2,5 or less,5 or less,5 or less,Nurse,,Diploma,Male,25-34,Yes,0,Authorised absence (permision/leave),No,,3.0,3.0,Nurse,Secondary,Diploma,After 2000,0.0,25-34,Yes,,Em consulta (cuidados presenciais),Yes,1,1.0,Mozambique-2014,0.0
100205_11,100205,11,Over 50,11-50,Over 5,Other,Post-Secondary,Diploma,0,25-34,0,0,"On call (pre on call, post on call)",No,,11.0,2.0,Doctor,Post-Secondary,,After 2000,Male,25-34,0.0,Official mission,,,1,1.0,Mozambique-2014,0.45454547
100205_28,100205,28,Over 50,11-50,Over 5,Nurse,Post-Secondary,Diploma,0,35-44,Yes,0,Non-authorised,Yes,,,,,,,,,,,,,,1,,Mozambique-2014,0.45454547
100205_26,100205,26,Over 50,11-50,Over 5,Nurse,Post-Secondary,Diploma,Male,25-34,0,0,Non-authorised,No,,,,,,,,,,,,,,1,,Mozambique-2014,0.45454547
100205_7,100205,7,Over 50,11-50,Over 5,Clinical Officer,Post-Secondary,Diploma,Male,25-34,0,0,Authorised absence (permision/leave),No,,11.0,27.0,Nurse,Post-Secondary,Diploma,After 2000,Male,25-34,Yes,,Marcando testes ou consultas,0.0,1,1.0,Mozambique-2014,0.45454547
100205_25,100205,25,Over 50,11-50,Over 5,Nurse,Post-Secondary,Diploma,Male,Younger than 25,0,0,Non-authorised,No,,,,,,,,,,,,,,1,,Mozambique-2014,0.45454547
100205_1,100205,1,Over 50,11-50,Over 5,Nurse,Post-Secondary,Diploma,Male,45 or older,Yes,Yes,,Yes,Yes,11.0,6.0,Clinical Officer,Post-Secondary,Diploma,After 2000,Male,25-34,Yes,,A fazer revisões ou escrever no quadro,Yes,1,1.0,Mozambique-2014,0.45454547
100205_30,100205,30,Over 50,11-50,Over 5,Nurse,Post-Secondary,Diploma,Male,Younger than 25,0,Yes,,No,,,,,,,,,,,,,,1,,Mozambique-2014,0.45454547
100205_27,100205,27,Over 50,11-50,Over 5,Nurse,Post-Secondary,Diploma,Male,25-34,0,Yes,,Yes,,,,,,,,,,,,,,1,,Mozambique-2014,0.45454547
100205_9,100205,9,Over 50,11-50,Over 5,Other,Post-Secondary,Diploma,Male,25-34,0,0,Other (specify),No,,11.0,15.0,Nurse,Post-Secondary,Diploma,After 2000,Male,25-34,Yes,,Em consulta (cuidados presenciais),0.0,1,1.0,Mozambique-2014,0.45454547
100205_4,100205,4,Over 50,11-50,Over 5,Clinical Officer,Post-Secondary,Diploma,Male,25-34,Yes,Yes,,No,Yes,11.0,29.0,Nurse,Post-Secondary,Diploma,After 2000,Male,35-44,Yes,,A preencher formulário de visita ou folha de honorários,0.0,1,1.0,Mozambique-2014,0.45454547
100205_3,100205,3,Over 50,11-50,Over 5,Clinical Officer,Post-Secondary,Diploma,Male,25-34,Yes,Yes,,Yes,No,11.0,28.0,Nurse,Post-Secondary,Diploma,After 2000,0.0,35-44,0.0,Authorised absence (permision/leave),,,1,1.0,Mozambique-2014,0.45454547
100205_12,100205,12,Over 50,11-50,Over 5,Other,Post-Secondary,Diploma,Male,25-34,0,Yes,,No,,,,,,,,,,,,,,1,,Mozambique-2014,0.45454547
100205_13,100205,13,Over 50,11-50,Over 5,Other,Post-Secondary,Diploma,Male,Younger than 25,0,0,"On call (pre on call, post on call)",No,,,,,,,,,,,,,,1,,Mozambique-2014,0.45454547
100205_16,100205,16,Over 50,11-50,Over 5,Nurse,Post-Secondary,Diploma,0,25-34,0,Yes,,No,,,,,,,,,,,,,,1,,Mozambique-2014,0.45454547
100205_15,100205,15,Over 50,11-50,Over 5,Nurse,Post-Secondary,Diploma,Male,25-34,Yes,Yes,,Yes,Yes,,,,,,,,,,,,,1,,Mozambique-2014,0.45454547
100205_31,100205,31,Over 50,11-50,Over 5,Other,,,0,35-44,Yes,Yes,,No,No,,,,,,,,,,,,,1,,Mozambique-2014,0.45454547
100205_17,100205,17,Over 50,11-50,Over 5,Nurse,Post-Secondary,Diploma,Male,25-34,0,0,Official mission,No,,,,,,,,,,,,,,1,,Mozambique-2014,0.45454547
100205_14,100205,14,Over 50,11-50,Over 5,Nurse,,Certificate,Male,45 or older,0,0,Authorised absence (permision/leave),No,,,,,,,,,,,,,,1,,Mozambique-2014,0.45454547
100205_23,100205,23,Over 50,11-50,Over 5,Nurse,Post-Secondary,Diploma,0,25-34,0,0,Non-authorised,No,,,,,,,,,,,,,,1,,Mozambique-2014,0.45454547
100205_6,100205,6,Over 50,11-50,Over 5,Clinical Officer,Post-Secondary,Diploma,Male,25-34,Yes,0,Non-authorised,Yes,,11.0,18.0,Nurse,Post-Secondary,Diploma,After 2000,0.0,35-44,Yes,,A fazer revisões ou escrever no quadro,Yes,1,1.0,Mozambique-2014,0.45454547
100205_21,100205,21,Over 50,11-50,Over 5,Nurse,Post-Secondary,Diploma,0,35-44,0,0,Non-authorised,No,,,,,,,,,,,,,,1,,Mozambique-2014,0.45454547
100205_33,100205,33,Over 50,11-50,Over 5,Other,,,Male,25-34,0,0,"On call (pre on call, post on call)",No,,,,,,,,,,,,,,1,,Mozambique-2014,0.45454547
100205_18,100205,18,Over 50,11-50,Over 5,Nurse,Post-Secondary,Diploma,0,35-44,Yes,0,"On call (pre on call, post on call)",Yes,,,,,,,,,,,,,,1,,Mozambique-2014,0.45454547
100205_22,100205,22,Over 50,11-50,Over 5,Nurse,Post-Secondary,Diploma,0,25-34,Yes,0,Non-authorised,Yes,,,,,,,,,,,,,,1,,Mozambique-2014,0.45454547
100205_20,100205,20,Over 50,11-50,Over 5,Nurse,Post-Secondary,Diploma,0,25-34,0,Yes,,No,,,,,,,,,,,,,,1,,Mozambique-2014,0.45454547
100205_10,100205,10,Over 50,11-50,Over 5,Other,Post-Secondary,Diploma,Male,35-44,0,Yes,,No,,11.0,32.0,Other,,,After 2000,Male,35-44,0.0,"On call (pre on call, post on call)",,,1,1.0,Mozambique-2014,0.45454547
100205_19,100205,19,Over 50,11-50,Over 5,Nurse,Post-Secondary,Diploma,0,25-34,Yes,Yes,,No,No,,,,,,,,,,,,,1,,Mozambique-2014,0.45454547
100205_8,100205,8,Over 50,11-50,Over 5,Other,Post-Secondary,Diploma,Male,35-44,0,0,Authorised absence (permision/leave),No,,11.0,22.0,Nurse,Post-Secondary,Diploma,After 2000,0.0,25-34,0.0,"On call (pre on call, post on call)",,,1,1.0,Mozambique-2014,0.45454547
100205_2,100205,2,Over 50,11-50,Over 5,Doctor,Post-Secondary,,Male,25-34,Yes,Yes,,Yes,No,11.0,1.0,Nurse,Post-Secondary,Diploma,After 2000,Male,45 or older,Yes,,Em consulta (cuidados presenciais),0.0,1,1.0,Mozambique-2014,0.45454547
100205_32,100205,32,Over 50,11-50,Over 5,Other,,,Male,35-44,Yes,Yes,,Yes,No,,,,,,,,,,,,,1,,Mozambique-2014,0.45454547
100205_24,100205,24,Over 50,11-50,Over 5,Nurse,Post-Secondary,Diploma,0,25-34,Yes,Yes,,No,Yes,,,,,,,,,,,,,1,,Mozambique-2014,0.45454547
100205_29,100205,29,Over 50,11-50,Over 5,Nurse,Post-Secondary,Diploma,Male,35-44,Yes,0,Non-authorised,Yes,,,,,,,,,,,,,,1,,Mozambique-2014,0.45454547
100205_5,100205,5,Over 50,11-50,Over 5,Clinical Officer,Post-Secondary,Diploma,0,25-34,Yes,0,"On call (pre on call, post on call)",No,,11.0,3.0,Clinical Officer,Post-Secondary,Diploma,After 2000,Male,25-34,0.0,Authorised absence (permision/leave),,,1,1.0,Mozambique-2014,0.45454547
100205_34,100205,34,Over 50,11-50,Over 5,Other,,,0,25-34,0,Yes,,No,,,,,,,,,,,,,,1,,Mozambique-2014,0.45454547
100209_30,100209,30,Over 50,11-50,Over 5,Nurse,Secondary,Diploma,0,35-44,Yes,Yes,,No,Yes,,,,,,,,,,,,,1,,Mozambique-2014,0.2
100209_9,100209,9,Over 50,11-50,Over 5,Clinical Officer,Post-Secondary,Diploma,0,25-34,0,Yes,,No,,10.0,13.0,Clinical Officer,Secondary,Diploma,After 2000,Male,25-34,Yes,,A fazer revisões ou escrever no quadro,0.0,1,1.0,Mozambique-2014,0.2
100209_41,100209,41,Over 50,11-50,Over 5,Clinical Officer,Secondary,Certificate,0,Younger than 25,0,Yes,,Yes,,,,,,,,,,,,,,1,,Mozambique-2014,0.2
100209_21,100209,21,Over 50,11-50,Over 5,Clinical Officer,,Diploma,0,35-44,0,0,Non-authorised,Yes,,,,,,,,,,,,,,1,,Mozambique-2014,0.2
100209_14,100209,14,Over 50,11-50,Over 5,Nurse,,Diploma,Male,35-44,0,0,Official mission,No,,,,,,,,,,,,,,1,,Mozambique-2014,0.2
100209_40,100209,40,Over 50,11-50,Over 5,Clinical Officer,Secondary,Diploma,Male,25-34,Yes,Yes,,No,Yes,,,,,,,,,,,,,1,,Mozambique-2014,0.2
100209_39,100209,39,Over 50,11-50,Over 5,Nurse,,Diploma,0,35-44,Yes,0,Non-authorised,No,,,,,,,,,,,,,,1,,Mozambique-2014,0.2
100209_11,100209,11,Over 50,11-50,Over 5,Clinical Officer,Secondary,Diploma,Male,Younger than 25,0,Yes,,No,,,,,,,,,,,,,,1,,Mozambique-2014,0.2
100209_33,100209,33,Over 50,11-50,Over 5,Nurse,Secondary,Diploma,0,25-34,Yes,0,"On call (pre on call, post on call)",No,,,,,,,,,,,,,,1,,Mozambique-2014,0.2
100209_16,100209,16,Over 50,11-50,Over 5,Clinical Officer,Secondary,Diploma,Male,25-34,0,0,Non-authorised,No,,,,,,,,,,,,,,1,,Mozambique-2014,0.2
100209_35,100209,35,Over 50,11-50,Over 5,Nurse,Secondary,Diploma,Male,25-34,0,Yes,,No,,,,,,,,,,,,,,1,,Mozambique-2014,0.2
100209_17,100209,17,Over 50,11-50,Over 5,Clinical Officer,Secondary,Diploma,Male,25-34,0,Yes,,No,,,,,,,,,,,,,,1,,Mozambique-2014,0.2
100209_6,100209,6,Over 50,11-50,Over 5,Clinical Officer,Secondary,Diploma,Male,25-34,0,Yes,,No,,10.0,27.0,Nurse,,Diploma,After 2000,0.0,25-34,0.0,"On call (pre on call, post on call)",,,1,1.0,Mozambique-2014,0.2
100209_36,100209,36,Over 50,11-50,Over 5,Nurse,,Diploma,Male,25-34,Yes,0,"On call (pre on call, post on call)",No,,,,,,,,,,,,,,1,,Mozambique-2014,0.2
100209_28,100209,28,Over 50,11-50,Over 5,Nurse,Secondary,Diploma,0,25-34,Yes,0,"On call (pre on call, post on call)",No,,,,,,,,,,,,,,1,,Mozambique-2014,0.2
100209_12,100209,12,Over 50,11-50,Over 5,Clinical Officer,Secondary,Diploma,Male,45 or older,0,Yes,,Yes,,,,,,,,,,,,,,1,,Mozambique-2014,0.2
100209_13,100209,13,Over 50,11-50,Over 5,Clinical Officer,Secondary,Diploma,Male,25-34,0,0,Official mission,Yes,,,,,,,,,,,,,,1,,Mozambique-2014,0.2
100209_29,100209,29,Over 50,11-50,Over 5,Nurse,,Diploma,0,Younger than 25,Yes,0,"On call (pre on call, post on call)",No,,,,,,,,,,,,,,1,,Mozambique-2014,0.2
100209_34,100209,34,Over 50,11-50,Over 5,Nurse,,Diploma,0,25-34,Yes,0,"On call (pre on call, post on call)",Yes,,,,,,,,,,,,,,1,,Mozambique-2014,0.2
100209_32,100209,32,Over 50,11-50,Over 5,Clinical Officer,Secondary,Diploma,Male,25-34,Yes,0,"On call (pre on call, post on call)",No,,,,,,,,,,,,,,1,,Mozambique-2014,0.2
100209_25,100209,25,Over 50,11-50,Over 5,Clinical Officer,Secondary,Diploma,Male,25-34,Yes,0,"On call (pre on call, post on call)",No,,,,,,,,,,,,,,1,,Mozambique-2014,0.2
100209_31,100209,31,Over 50,11-50,Over 5,Nurse,Secondary,Diploma,0,25-34,Yes,0,"On call (pre on call, post on call)",No,,,,,,,,,,,,,,1,,Mozambique-2014,0.2
100209_10,100209,10,Over 50,11-50,Over 5,Clinical Officer,,Diploma,0,Younger than 25,Yes,Yes,,No,Yes,10.0,20.0,Clinical Officer,,Diploma,Before 1990,0.0,45 or older,Yes,,Em consulta (cuidados presenciais),Yes,1,1.0,Mozambique-2014,0.2
100209_15,100209,15,Over 50,11-50,Over 5,Other,Secondary,Advanced,Male,35-44,0,Yes,,No,,,,,,,,,,,,,,1,,Mozambique-2014,0.2
100209_20,100209,20,Over 50,11-50,Over 5,Clinical Officer,,Diploma,0,25-34,0,Yes,,No,,,,,,,,,,,,,,1,,Mozambique-2014,0.2
100209_38,100209,38,Over 50,11-50,Over 5,Nurse,,Diploma,0,25-34,Yes,0,"On call (pre on call, post on call)",No,,,,,,,,,,,,,,1,,Mozambique-2014,0.2
100209_27,100209,27,Over 50,11-50,Over 5,Nurse,,Diploma,0,25-34,Yes,0,"On call (pre on call, post on call)",Yes,,,,,,,,,,,,,,1,,Mozambique-2014,0.2
100209_24,100209,24,Over 50,11-50,Over 5,Clinical Officer,Secondary,Diploma,Male,25-34,0,0,"On call (pre on call, post on call)",No,,,,,,,,,,,,,,1,,Mozambique-2014,0.2
100209_18,100209,18,Over 50,11-50,Over 5,Clinical Officer,Secondary,Diploma,Male,35-44,0,Yes,,No,,,,,,,,,,,,,,1,,Mozambique-2014,0.2
100209_26,100209,26,Over 50,11-50,Over 5,Other,Secondary,Diploma,Male,25-34,0,Yes,,No,,,,,,,,,,,,,,1,,Mozambique-2014,0.2
100209_4,100209,4,Over 50,11-50,Over 5,Clinical Officer,Post-Secondary,Advanced,0,25-34,0,0,Authorised absence (permision/leave),Yes,,10.0,1.0,Doctor,Post-Secondary,,After 2000,Male,35-44,Yes,,Em consulta (cuidados presenciais),0.0,1,1.0,Mozambique-2014,0.2
100209_37,100209,37,Over 50,11-50,Over 5,Nurse,Primary,Certificate,Male,45 or older,Yes,0,Non-authorised,No,,,,,,,,,,,,,,1,,Mozambique-2014,0.2
100209_3,100209,3,Over 50,11-50,Over 5,Clinical Officer,Post-Secondary,Advanced,0,35-44,0,Yes,,No,,10.0,7.0,Clinical Officer,Secondary,Diploma,Before 1990,0.0,45 or older,Yes,,Em consulta (cuidados presenciais),0.0,1,1.0,Mozambique-2014,0.2
