unique_id,fac_id,staff_id,m2saq1,m2saq2,m2saq3,m2q5_c,m2q6_hr,m2q6_mn,m2q7_hr,m2q7_mn,m2saq4,m2saq7,m2saq8,m2saq9,m2saq10,m2saq11,m2saq12,m2saq13,m2saq14,m2saq15,m2saq16,m2sbq1,m2sbq3,m2sbq5,m2sbq6,m2sbq7,m2sbq8,m2sbq9,m2sbq10,m2sbq11,m2sbq12,m2sbq13,m2sbq14,has_roster,has_absentee,country,absence_rate
10_7,10,7,11-50,11-50,Over 5,503.0,12.0,8.0,13.0,4.0,7.0,Other,Secondary,Certificate,0.0,25-34,0.0,0.0,"On call (pre on call, post on call)",Yes,,9.0,7.0,Other,Secondary,Certificate,After 2000,0.0,25-34,0.0,"On call (pre on call, post on call)",,,1.0,1.0,Tanzania-2016,0.5
10_3,10,3,11-50,11-50,Over 5,503.0,12.0,8.0,13.0,4.0,3.0,Nurse,Secondary,Certificate,0.0,Younger than 25,0.0,Yes,,Yes,,10.0,3.0,Nurse,Secondary,Certificate,After 2000,0.0,Younger than 25,Yes,,Consultation/visiting patient,0.0,1.0,1.0,Tanzania-2016,0.5
10_6,10,6,11-50,11-50,Over 5,503.0,12.0,8.0,13.0,4.0,6.0,Nurse,Secondary,Certificate,0.0,Younger than 25,0.0,Yes,,No,,,,,,,,,,,,,,1.0,,Tanzania-2016,0.5
10_9,10,9,11-50,11-50,Over 5,503.0,12.0,8.0,13.0,4.0,9.0,Clinical Officer,Secondary,Diploma,Male,45 or older,Yes,0.0,Training/seminar/meeting,Yes,,1.0,9.0,Clinical Officer,Secondary,Diploma,In the 1990s,Male,45 or older,Yes,,Consultation/visiting patient,0.0,1.0,1.0,Tanzania-2016,0.5
10_4,10,4,11-50,11-50,Over 5,503.0,12.0,8.0,13.0,4.0,4.0,Nurse,Primary,Certificate,0.0,45 or older,0.0,Yes,,Yes,,8.0,4.0,Nurse,Primary,Certificate,In the 1990s,0.0,45 or older,0.0,"On call (pre on call, post on call)",,,1.0,1.0,Tanzania-2016,0.5
10_12,10,12,11-50,11-50,Over 5,503.0,12.0,8.0,13.0,4.0,12.0,Other,Primary,Certificate,0.0,45 or older,0.0,0.0,"On call (pre on call, post on call)",No,,,,,,,,,,,,,,1.0,,Tanzania-2016,0.5
10_14,10,14,11-50,11-50,Over 5,503.0,12.0,8.0,13.0,4.0,14.0,Nurse,Secondary,Diploma,0.0,35-44,0.0,Yes,,Yes,,5.0,14.0,Nurse,Secondary,Diploma,After 2000,0.0,35-44,Yes,,Consultation/visiting patient,Yes,1.0,1.0,Tanzania-2016,0.5
100_2,100,2,11-50,11-50,5 or less,604.0,11.0,45.0,12.0,20.0,2.0,Clinical Officer,Post-Secondary,Certificate,0.0,35-44,Yes,0.0,Sickness/maternity,Yes,,1.0,2.0,Clinical Officer,Post-Secondary,Certificate,After 2000,0.0,35-44,Yes,,Consultation/visiting patient,0.0,1.0,1.0,Tanzania-2016,0.2
100_13,100,13,11-50,11-50,5 or less,604.0,11.0,45.0,12.0,20.0,13.0,Other,Post-Secondary,Certificate,0.0,35-44,0.0,0.0,"On call (pre on call, post on call)",Yes,,10.0,13.0,Other,Post-Secondary,Certificate,After 2000,,25-34,Yes,,Consultation/visiting patient,,1.0,1.0,Tanzania-2016,0.2
100_5,100,5,11-50,11-50,5 or less,604.0,11.0,45.0,12.0,20.0,5.0,Nurse,Post-Secondary,Diploma,0.0,35-44,0.0,Yes,,No,,,,,,,,,,,,,,1.0,,Tanzania-2016,0.2
100_7,100,7,11-50,11-50,5 or less,604.0,11.0,45.0,12.0,20.0,7.0,Nurse,Post-Secondary,Certificate,0.0,35-44,0.0,0.0,"On call (pre on call, post on call)",Yes,,3.0,7.0,Nurse,Post-Secondary,Certificate,After 2000,0.0,35-44,Yes,,Consultation/visiting patient,0.0,1.0,1.0,Tanzania-2016,0.2
100_19,100,19,11-50,11-50,5 or less,604.0,11.0,45.0,12.0,20.0,19.0,Other,Post-Secondary,Certificate,0.0,25-34,0.0,0.0,Sickness/maternity,Yes,,4.0,19.0,Other,Post-Secondary,Certificate,After 2000,0.0,25-34,Yes,,Consultation/visiting patient,0.0,1.0,1.0,Tanzania-2016,0.2
100_1,100,1,11-50,11-50,5 or less,604.0,11.0,45.0,12.0,20.0,1.0,Clinical Officer,Post-Secondary,Diploma,Male,45 or older,Yes,Yes,,Yes,Yes,2.0,1.0,Clinical Officer,Post-Secondary,Diploma,After 2000,Male,45 or older,0.0,Sickness/maternity,,,1.0,1.0,Tanzania-2016,0.2
100_9,100,9,11-50,11-50,5 or less,604.0,11.0,45.0,12.0,20.0,9.0,Nurse,Post-Secondary,Certificate,Male,25-34,0.0,0.0,"On call (pre on call, post on call)",No,,,,,,,,,,,,,,1.0,,Tanzania-2016,0.2
100_8,100,8,11-50,11-50,5 or less,604.0,11.0,45.0,12.0,20.0,8.0,Nurse,Post-Secondary,Certificate,0.0,25-34,0.0,Yes,,No,,,,,,,,,,,,,,1.0,,Tanzania-2016,0.2
100_4,100,4,11-50,11-50,5 or less,604.0,11.0,45.0,12.0,20.0,4.0,Clinical Officer,Post-Secondary,Certificate,Male,25-34,Yes,0.0,"On call (pre on call, post on call)",No,,,,,,,,,,,,,,1.0,,Tanzania-2016,0.2
100_11,100,11,11-50,11-50,5 or less,604.0,11.0,45.0,12.0,20.0,11.0,Other,Post-Secondary,Certificate,0.0,35-44,0.0,Yes,,No,,,,,,,,,,,,,,1.0,,Tanzania-2016,0.2
100_12,100,12,11-50,11-50,5 or less,604.0,11.0,45.0,12.0,20.0,12.0,Other,Post-Secondary,Certificate,0.0,25-34,0.0,Yes,,Yes,,6.0,12.0,Other,Post-Secondary,Certificate,After 2000,0.0,25-34,Yes,,Consultation/visiting patient,0.0,1.0,1.0,Tanzania-2016,0.2
100_3,100,3,11-50,11-50,5 or less,604.0,11.0,45.0,12.0,20.0,3.0,Clinical Officer,Post-Secondary,Certificate,Male,25-34,Yes,0.0,Authorised absence (permision/leave),No,,,,,,,,,,,,,,1.0,,Tanzania-2016,0.2
100_14,100,14,11-50,11-50,5 or less,604.0,11.0,45.0,12.0,20.0,14.0,Other,Post-Secondary,Certificate,0.0,45 or older,0.0,0.0,Authorised absence (permision/leave),Yes,,7.0,14.0,Other,Post-Secondary,Certificate,In the 1990s,0.0,45 or older,Yes,,Consultation/visiting patient,0.0,1.0,1.0,Tanzania-2016,0.2
100_10,100,10,11-50,11-50,5 or less,604.0,11.0,45.0,12.0,20.0,10.0,Other,Post-Secondary,Certificate,0.0,35-44,0.0,Yes,,No,,,,,,,,,,,,,,1.0,,Tanzania-2016,0.2
100_18,100,18,11-50,11-50,5 or less,604.0,11.0,45.0,12.0,20.0,18.0,Other,Post-Secondary,Certificate,0.0,25-34,0.0,0.0,"On call (pre on call, post on call)",Yes,,8.0,18.0,Other,Post-Secondary,Certificate,After 2000,0.0,25-34,Yes,,Consultation/visiting patient,0.0,1.0,1.0,Tanzania-2016,0.2
100_17,100,17,11-50,11-50,5 or less,604.0,11.0,45.0,12.0,20.0,17.0,Other,Post-Secondary,Diploma,Male,35-44,0.0,Yes,,Yes,,5.0,17.0,Other,Post-Secondary,Diploma,After 2000,Male,35-44,0.0,"On call (pre on call, post on call)",,,1.0,1.0,Tanzania-2016,0.2
100_6,100,6,11-50,11-50,5 or less,604.0,11.0,45.0,12.0,20.0,6.0,Nurse,Post-Secondary,Diploma,0.0,25-34,0.0,Yes,,No,,,,,,,,,,,,,,1.0,,Tanzania-2016,0.2
100_15,100,15,11-50,11-50,5 or less,604.0,11.0,45.0,12.0,20.0,15.0,Other,Post-Secondary,Certificate,0.0,45 or older,0.0,Yes,,No,,,,,,,,,,,,,,1.0,,Tanzania-2016,0.2
100_16,100,16,11-50,11-50,5 or less,604.0,11.0,45.0,12.0,20.0,16.0,Other,Post-Secondary,Certificate,0.0,25-34,0.0,0.0,"On call (pre on call, post on call)",Yes,,9.0,16.0,Other,Post-Secondary,Certificate,After 2000,0.0,25-34,Yes,,Consultation/visiting patient,0.0,1.0,1.0,Tanzania-2016,0.2
101_4,101,4,11-50,6-10,5 or less,603.0,8.0,15.0,8.0,35.0,4.0,Other,Secondary,Certificate,0.0,Younger than 25,0.0,Yes,,Yes,,4.0,4.0,Other,Secondary,Certificate,After 2000,0.0,Younger than 25,0.0,Authorised absence (permision/leave),,,1.0,1.0,Tanzania-2016,0.14285715
101_2,101,2,11-50,6-10,5 or less,603.0,8.0,15.0,8.0,35.0,2.0,Nurse,Post-Secondary,Diploma,0.0,35-44,0.0,Yes,,Yes,,2.0,2.0,Nurse,Post-Secondary,Diploma,After 2000,0.0,35-44,Yes,,Paperwork/reports,0.0,1.0,1.0,Tanzania-2016,0.14285715
101_7,101,7,11-50,6-10,5 or less,603.0,8.0,15.0,8.0,35.0,7.0,Other,Primary,None,0.0,45 or older,0.0,Yes,,Yes,,7.0,7.0,Other,Primary,None,Before 1990,0.0,45 or older,Yes,,Consultation/visiting patient,0.0,1.0,1.0,Tanzania-2016,0.14285715
101_6,101,6,11-50,6-10,5 or less,603.0,8.0,15.0,8.0,35.0,6.0,Other,Post-Secondary,Certificate,Male,25-34,0.0,Yes,,Yes,,6.0,6.0,Other,Post-Secondary,Certificate,After 2000,Male,25-34,Yes,,Consultation/visiting patient,0.0,1.0,1.0,Tanzania-2016,0.14285715
101_3,101,3,11-50,6-10,5 or less,603.0,8.0,15.0,8.0,35.0,3.0,Other,Primary,Certificate,0.0,45 or older,0.0,Yes,,Yes,,3.0,3.0,Other,Primary,Certificate,Before 1990,0.0,45 or older,Yes,,Consultation/visiting patient,0.0,1.0,1.0,Tanzania-2016,0.14285715
101_1,101,1,11-50,6-10,5 or less,603.0,8.0,15.0,8.0,35.0,1.0,Clinical Officer,Post-Secondary,Diploma,Male,45 or older,Yes,Yes,,Yes,Yes,1.0,1.0,Clinical Officer,Post-Secondary,Diploma,Before 1990,Male,45 or older,Yes,,Consultation/visiting patient,0.0,1.0,1.0,Tanzania-2016,0.14285715
101_5,101,5,11-50,6-10,5 or less,603.0,8.0,15.0,8.0,35.0,5.0,Other,Primary,None,0.0,25-34,0.0,Yes,,Yes,,5.0,5.0,Other,Primary,None,In the 1990s,0.0,25-34,Yes,,Consultation/visiting patient,0.0,1.0,1.0,Tanzania-2016,0.14285715
102_1,102,1,5 or less,5 or less,5 or less,601.0,8.0,10.0,8.0,43.0,1.0,Clinical Officer,Post-Secondary,Diploma,0.0,25-34,Yes,Yes,,Yes,Yes,1.0,1.0,Clinical Officer,Post-Secondary,Diploma,After 2000,0.0,25-34,Yes,,Consultation/visiting patient,Yes,1.0,1.0,Tanzania-2016,0.5
102_2,102,2,5 or less,5 or less,5 or less,601.0,8.0,10.0,8.0,43.0,2.0,Other,Secondary,Certificate,0.0,35-44,0.0,0.0,Sickness/maternity,Yes,,2.0,2.0,Other,Secondary,Certificate,In the 1990s,0.0,35-44,0.0,Sickness/maternity,,,1.0,1.0,Tanzania-2016,0.5
103_1,103,1,5 or less,5 or less,5 or less,603.0,11.0,35.0,11.0,59.0,1.0,Clinical Officer,Secondary,Diploma,Male,35-44,Yes,Yes,,Yes,Yes,1.0,1.0,Clinical Officer,Secondary,Diploma,After 2000,Male,35-44,Yes,,Consultation/visiting patient,0.0,1.0,1.0,Tanzania-2016,0.33333334
103_3,103,3,5 or less,5 or less,5 or less,603.0,11.0,35.0,11.0,59.0,3.0,Other,Secondary,Certificate,0.0,35-44,0.0,0.0,Authorised absence (permision/leave),Yes,,3.0,3.0,Other,Secondary,Certificate,After 2000,0.0,35-44,0.0,Authorised absence (permision/leave),,,1.0,1.0,Tanzania-2016,0.33333334
103_2,103,2,5 or less,5 or less,5 or less,603.0,11.0,35.0,11.0,59.0,2.0,Nurse,Secondary,Certificate,0.0,45 or older,0.0,Yes,,Yes,,2.0,2.0,Nurse,Secondary,Certificate,In the 1990s,0.0,45 or older,Yes,,Consultation/visiting patient,Yes,1.0,1.0,Tanzania-2016,0.33333334
104_2,104,2,6-10,6-10,5 or less,603.0,8.0,0.0,8.0,30.0,2.0,Nurse,Post-Secondary,Certificate,0.0,45 or older,0.0,Yes,,Yes,,2.0,2.0,Nurse,Post-Secondary,Certificate,Before 1990,0.0,45 or older,Yes,,Consultation/visiting patient,0.0,1.0,1.0,Tanzania-2016,0.2857143
104_1,104,1,6-10,6-10,5 or less,603.0,8.0,0.0,8.0,30.0,1.0,Clinical Officer,Post-Secondary,Diploma,0.0,45 or older,Yes,Yes,,Yes,Yes,1.0,1.0,Clinical Officer,Post-Secondary,Diploma,Before 1990,0.0,45 or older,Yes,,Consultation/visiting patient,0.0,1.0,1.0,Tanzania-2016,0.2857143
104_5,104,5,6-10,6-10,5 or less,603.0,8.0,0.0,8.0,30.0,5.0,Other,Primary,Certificate,0.0,45 or older,0.0,Yes,,Yes,,5.0,5.0,Other,Primary,Certificate,Before 1990,0.0,45 or older,Yes,,Consultation/visiting patient,0.0,1.0,1.0,Tanzania-2016,0.2857143
104_4,104,4,6-10,6-10,5 or less,603.0,8.0,0.0,8.0,30.0,4.0,Other,Primary,Certificate,0.0,35-44,0.0,Yes,,Yes,,4.0,4.0,Other,Primary,Certificate,In the 1990s,0.0,35-44,Yes,,Consultation/visiting patient,0.0,1.0,1.0,Tanzania-2016,0.2857143
104_3,104,3,6-10,6-10,5 or less,603.0,8.0,0.0,8.0,30.0,3.0,Doctor,Secondary,Certificate,Male,45 or older,0.0,0.0,Official mission,Yes,,3.0,3.0,Doctor,Secondary,Certificate,In the 1990s,Male,45 or older,Yes,,Other,0.0,1.0,1.0,Tanzania-2016,0.2857143
104_7,104,7,6-10,6-10,5 or less,603.0,8.0,0.0,8.0,30.0,7.0,Other,Secondary,Certificate,Male,25-34,0.0,0.0,Sickness/maternity,Yes,,7.0,7.0,Other,Secondary,Certificate,After 2000,Male,25-34,0.0,Sickness/maternity,,,1.0,1.0,Tanzania-2016,0.2857143
104_6,104,6,6-10,6-10,5 or less,603.0,8.0,0.0,8.0,30.0,6.0,Other,Secondary,Certificate,0.0,35-44,0.0,0.0,Sickness/maternity,Yes,,6.0,6.0,Other,Secondary,Certificate,After 2000,0.0,35-44,0.0,Sickness/maternity,,,1.0,1.0,Tanzania-2016,0.2857143
105_5,105,5,6-10,5 or less,5 or less,602.0,12.0,15.0,12.0,45.0,5.0,Other,Secondary,Certificate,Male,45 or older,0.0,Yes,,Yes,,5.0,5.0,Other,Primary,Certificate,Before 1990,Male,45 or older,Yes,,Consultation/visiting patient,Yes,1.0,1.0,Tanzania-2016,0.0
105_3,105,3,6-10,5 or less,5 or less,602.0,12.0,15.0,12.0,45.0,3.0,Other,Primary,Certificate,0.0,45 or older,0.0,Yes,,Yes,,3.0,3.0,Other,Primary,Certificate,Before 1990,0.0,45 or older,Yes,,Consultation/visiting patient,Yes,1.0,1.0,Tanzania-2016,0.0
105_1,105,1,6-10,5 or less,5 or less,602.0,12.0,15.0,12.0,45.0,1.0,Doctor,Post-Secondary,Advanced,Male,35-44,Yes,Yes,,Yes,Yes,1.0,1.0,Doctor,Post-Secondary,Advanced,After 2000,Male,35-44,Yes,,Consultation/visiting patient,Yes,1.0,1.0,Tanzania-2016,0.0
105_4,105,4,6-10,5 or less,5 or less,602.0,12.0,15.0,12.0,45.0,4.0,Other,Primary,Certificate,0.0,45 or older,0.0,Yes,,Yes,,4.0,4.0,Other,Primary,Certificate,Before 1990,0.0,45 or older,Yes,,Consultation/visiting patient,Yes,1.0,1.0,Tanzania-2016,0.0
105_2,105,2,6-10,5 or less,5 or less,602.0,12.0,15.0,12.0,45.0,2.0,Nurse,Secondary,Diploma,0.0,35-44,0.0,Yes,,Yes,,2.0,2.0,Nurse,Secondary,Diploma,After 2000,0.0,35-44,Yes,,Consultation/visiting patient,Yes,1.0,1.0,Tanzania-2016,0.0
106_19,106,19,11-50,11-50,5 or less,603.0,13.0,48.0,14.0,31.0,19.0,Other,Post-Secondary,Diploma,Male,35-44,0.0,Yes,,No,,,,,,,,,,,,,,1.0,,Tanzania-2016,0.2
106_26,106,26,11-50,11-50,5 or less,603.0,13.0,48.0,14.0,31.0,26.0,Other,Post-Secondary,Certificate,Male,35-44,0.0,0.0,Official mission,No,,,,,,,,,,,,,,1.0,,Tanzania-2016,0.2
106_5,106,5,11-50,11-50,5 or less,603.0,13.0,48.0,14.0,31.0,5.0,Clinical Officer,Post-Secondary,Diploma,Male,35-44,Yes,0.0,"On call (pre on call, post on call)",Yes,,1.0,5.0,Clinical Officer,Post-Secondary,Diploma,After 2000,Male,35-44,Yes,,Consultation/visiting patient,Yes,1.0,1.0,Tanzania-2016,0.2
106_1,106,1,11-50,11-50,5 or less,603.0,13.0,48.0,14.0,31.0,1.0,Doctor,Post-Secondary,Advanced,Male,45 or older,Yes,Yes,,No,Yes,,,,,,,,,,,,,1.0,,Tanzania-2016,0.2
106_14,106,14,11-50,11-50,5 or less,603.0,13.0,48.0,14.0,31.0,14.0,Nurse,Post-Secondary,Certificate,0.0,25-34,0.0,0.0,"On call (pre on call, post on call)",No,,,,,,,,,,,,,,1.0,,Tanzania-2016,0.2
106_2,106,2,11-50,11-50,5 or less,603.0,13.0,48.0,14.0,31.0,2.0,Doctor,Post-Secondary,Diploma,Male,35-44,Yes,0.0,Training/seminar/meeting,No,,,,,,,,,,,,,,1.0,,Tanzania-2016,0.2
106_18,106,18,11-50,11-50,5 or less,603.0,13.0,48.0,14.0,31.0,18.0,Other,Primary,Certificate,0.0,45 or older,0.0,Yes,,Yes,,7.0,18.0,Other,Primary,Certificate,In the 1990s,0.0,45 or older,Yes,,Consultation/visiting patient,Yes,1.0,1.0,Tanzania-2016,0.2
106_7,106,7,11-50,11-50,5 or less,603.0,13.0,48.0,14.0,31.0,7.0,Clinical Officer,Post-Secondary,Diploma,0.0,35-44,Yes,0.0,"On call (pre on call, post on call)",Yes,,10.0,7.0,Clinical Officer,Post-Secondary,Diploma,After 2000,0.0,35-44,0.0,"On call (pre on call, post on call)",,,1.0,1.0,Tanzania-2016,0.2
106_12,106,12,11-50,11-50,5 or less,603.0,13.0,48.0,14.0,31.0,12.0,Nurse,Post-Secondary,Diploma,0.0,25-34,0.0,Yes,,No,,,,,,,,,,,,,,1.0,,Tanzania-2016,0.2
106_17,106,17,11-50,11-50,5 or less,603.0,13.0,48.0,14.0,31.0,17.0,Other,Primary,Certificate,0.0,45 or older,0.0,Yes,,Yes,,9.0,17.0,Other,Primary,Certificate,Before 1990,0.0,45 or older,Yes,,Consultation/visiting patient,Yes,1.0,1.0,Tanzania-2016,0.2
106_3,106,3,11-50,11-50,5 or less,603.0,13.0,48.0,14.0,31.0,3.0,Doctor,Post-Secondary,Diploma,Male,45 or older,Yes,0.0,Sickness/maternity,No,,,,,,,,,,,,,,1.0,,Tanzania-2016,0.2
106_35,106,35,11-50,11-50,5 or less,603.0,13.0,48.0,14.0,31.0,35.0,Other,Primary,Certificate,0.0,45 or older,0.0,0.0,Authorised absence (permision/leave),No,,,,,,,,,,,,,,1.0,,Tanzania-2016,0.2
106_36,106,36,11-50,11-50,5 or less,603.0,13.0,48.0,14.0,31.0,36.0,Other,Primary,Certificate,0.0,35-44,0.0,Yes,,No,,,,,,,,,,,,,,1.0,,Tanzania-2016,0.2
106_9,106,9,11-50,11-50,5 or less,603.0,13.0,48.0,14.0,31.0,9.0,Clinical Officer,Post-Secondary,Diploma,0.0,25-34,Yes,0.0,"On call (pre on call, post on call)",No,,,,,,,,,,,,,,1.0,,Tanzania-2016,0.2
106_4,106,4,11-50,11-50,5 or less,603.0,13.0,48.0,14.0,31.0,4.0,Doctor,Post-Secondary,Diploma,0.0,35-44,Yes,Yes,,Yes,Yes,2.0,4.0,Doctor,Post-Secondary,Diploma,After 2000,0.0,35-44,Yes,,Consultation/visiting patient,Yes,1.0,1.0,Tanzania-2016,0.2
106_21,106,21,11-50,11-50,5 or less,603.0,13.0,48.0,14.0,31.0,21.0,Other,Post-Secondary,Certificate,0.0,25-34,0.0,Yes,,No,,,,,,,,,,,,,,1.0,,Tanzania-2016,0.2
106_6,106,6,11-50,11-50,5 or less,603.0,13.0,48.0,14.0,31.0,6.0,Clinical Officer,Post-Secondary,Diploma,Male,35-44,Yes,0.0,"On call (pre on call, post on call)",No,,,,,,,,,,,,,,1.0,,Tanzania-2016,0.2
106_33,106,33,11-50,11-50,5 or less,603.0,13.0,48.0,14.0,31.0,33.0,Other,Primary,Certificate,0.0,25-34,0.0,0.0,Sickness/maternity,No,,,,,,,,,,,,,,1.0,,Tanzania-2016,0.2
106_13,106,13,11-50,11-50,5 or less,603.0,13.0,48.0,14.0,31.0,13.0,Nurse,Post-Secondary,Diploma,0.0,25-34,0.0,Yes,,No,,,,,,,,,,,,,,1.0,,Tanzania-2016,0.2
106_27,106,27,11-50,11-50,5 or less,603.0,13.0,48.0,14.0,31.0,27.0,Other,Secondary,Certificate,0.0,25-34,0.0,0.0,"On call (pre on call, post on call)",No,,,,,,,,,,,,,,1.0,,Tanzania-2016,0.2
106_16,106,16,11-50,11-50,5 or less,603.0,13.0,48.0,14.0,31.0,16.0,Nurse,Post-Secondary,Certificate,0.0,45 or older,0.0,Yes,,No,,,,,,,,,,,,,,1.0,,Tanzania-2016,0.2
106_32,106,32,11-50,11-50,5 or less,603.0,13.0,48.0,14.0,31.0,32.0,Other,Secondary,Certificate,0.0,45 or older,0.0,Yes,,No,,,,,,,,,,,,,,1.0,,Tanzania-2016,0.2
106_23,106,23,11-50,11-50,5 or less,603.0,13.0,48.0,14.0,31.0,23.0,Other,Post-Secondary,Diploma,Male,45 or older,0.0,Yes,,No,,,,,,,,,,,,,,1.0,,Tanzania-2016,0.2
106_20,106,20,11-50,11-50,5 or less,603.0,13.0,48.0,14.0,31.0,20.0,Other,Post-Secondary,Diploma,0.0,25-34,0.0,0.0,"On call (pre on call, post on call)",No,,,,,,,,,,,,,,1.0,,Tanzania-2016,0.2
106_34,106,34,11-50,11-50,5 or less,603.0,13.0,48.0,14.0,31.0,34.0,Other,Primary,Certificate,0.0,35-44,0.0,0.0,Sickness/maternity,Yes,,3.0,34.0,Other,Primary,Certificate,In the 1990s,0.0,35-44,Yes,,Consultation/visiting patient,Yes,1.0,1.0,Tanzania-2016,0.2
