unique_id,fac_id,staff_id,q110,q111,q112,q113,q114,q115,q115_b_other_specify,q117,q118,q119,q120,q120_b_other_specify,q121,q121_b_other_specify,q122,q116,has_roster,has_absentee,country,absence_rate
10171_9,10171,9,Other,MALE,35-44,0.0,YES,, ,,,,,,,,,,1,,Kenya-2012,0.5
10171_10,10171,10,Clinical Officer,MALE,25-34,YES,YES,, ,,,,,,,,,,1,,Kenya-2012,0.5
10171_11,10171,11,Nurse,0.0,35-44,0.0,YES,, ,,,,,,,,,,1,,Kenya-2012,0.5
10171_12,10171,12,Clinical Officer,MALE,35-44,YES,0.0,12.0, ,,,,,,,,,,1,,Kenya-2012,0.5
10171_13,10171,13,Clinical Officer,0.0,35-44,YES,0.0,12.0, ,Clinical Officer,0.0,YES,, ,PROVIDING CONSULTATION (FACE-TO FACE PATIENT CARE), ,0.0,13.0,1,1.0,Kenya-2012,0.5
10171_14,10171,14,Clinical Officer,MALE,45 or older,YES,YES,, ,,,,,,,,,,1,,Kenya-2012,0.5
10171_15,10171,15,Nurse,MALE,45 or older,0.0,YES,, ,Nurse,MALE,YES,, ,ARRANGING FOR TESTS OR CONSULTATIONS, ,0.0,15.0,1,1.0,Kenya-2012,0.5
10171_16,10171,16,Nurse,0.0,25-34,0.0,0.0,12.0, ,,,,,,,,,,1,,Kenya-2012,0.5
10171_17,10171,17,Nurse,MALE,45 or older,0.0,YES,, ,Nurse,MALE,YES,, ,PROVIDING CONSULTATION (FACE-TO FACE PATIENT CARE), ,0.0,17.0,1,1.0,Kenya-2012,0.5
10171_18,10171,18,Nurse,MALE,35-44,0.0,0.0,APPROVED ABSENCE, ,,,,,,,,,,1,,Kenya-2012,0.5
10171_19,10171,19,Nurse,0.0,35-44,0.0,YES,, ,Nurse,0.0,YES,, ,PROVIDING CONSULTATION (FACE-TO FACE PATIENT CARE), ,0.0,19.0,1,1.0,Kenya-2012,0.5
10171_20,10171,20,Nurse,MALE,25-34,0.0,0.0,12.0, ,Nurse,MALE,YES,, ,REVIEWING OR WRITING IN CART, ,0.0,20.0,1,1.0,Kenya-2012,0.5
10171_21,10171,21,Nurse,0.0,25-34,0.0,0.0,APPROVED ABSENCE, ,,,,,,,,,,1,,Kenya-2012,0.5
10171_22,10171,22,Nurse,MALE,25-34,0.0,0.0,12.0, ,,,,,,,,,,1,,Kenya-2012,0.5
10171_23,10171,23,Nurse,0.0,45 or older,0.0,0.0,APPROVED ABSENCE, ,,,,,,,,,,1,,Kenya-2012,0.5
10171_24,10171,24,Nurse,0.0,45 or older,0.0,0.0,APPROVED ABSENCE, ,,,,,,,,,,1,,Kenya-2012,0.5
10171_25,10171,25,Nurse,MALE,25-34,0.0,0.0,APPROVED ABSENCE, ,,,,,,,,,,1,,Kenya-2012,0.5
10171_26,10171,26,Nurse,0.0,,0.0,0.0,12.0, ,,,,,,,,,,1,,Kenya-2012,0.5
10171_27,10171,27,Nurse,0.0,,0.0,0.0,APPROVED ABSENCE, ,Nurse,0.0,0.0,APPROVED ABSENCE, ,, ,,27.0,1,1.0,Kenya-2012,0.5
10171_28,10171,28,Nurse,0.0,,0.0,0.0,12.0, ,Nurse,0.0,0.0,12.0, ,, ,,28.0,1,1.0,Kenya-2012,0.5
10171_29,10171,29,Nurse,MALE,,0.0,0.0,12.0, ,Nurse,MALE,0.0,12.0, ,, ,,29.0,1,1.0,Kenya-2012,0.5
10185_1,10185,1,Clinical Officer,MALE,25-34,YES,YES,, ,Clinical Officer,MALE,YES,, ,PROVIDING CONSULTATION (FACE-TO FACE PATIENT CARE), ,0.0,1.0,1,1.0,Kenya-2012,0.2
10185_2,10185,2,Other,0.0,25-34,0.0,YES,, ,Other,0.0,YES,, ,PROVIDING CONSULTATION (FACE-TO FACE PATIENT CARE), ,0.0,2.0,1,1.0,Kenya-2012,0.2
10185_3,10185,3,Other,MALE,25-34,0.0,YES,, ,Other,MALE,YES,, ,WAITING FOR PATIENT TO UNDRESS, ,0.0,3.0,1,1.0,Kenya-2012,0.2
10185_4,10185,4,Other,MALE,25-34,0.0,YES,, ,Other,MALE,YES,, ,PROVIDING CONSULTATION (FACE-TO FACE PATIENT CARE), ,0.0,4.0,1,1.0,Kenya-2012,0.2
10185_5,10185,5,Nurse,0.0,25-34,YES,0.0,APPROVED ABSENCE, ,Nurse,0.0,0.0,APPROVED ABSENCE, ,, ,,5.0,1,1.0,Kenya-2012,0.2
10213_1,10213,1,Nurse,0.0,45 or older,YES,YES,, ,Nurse,0.0,YES,, ,INTERPRETING LABORATORY WORK OR RADIOGRAPHS, ,0.0,1.0,1,1.0,Kenya-2012,0.4
10213_2,10213,2,Nurse,0.0,35-44,YES,YES,, ,Nurse,0.0,0.0,APPROVED ABSENCE, ,, ,,2.0,1,1.0,Kenya-2012,0.4
10213_3,10213,3,Nurse,0.0,25-34,YES,YES,, ,Nurse,0.0,YES,, ,PROVIDING CONSULTATION (FACE-TO FACE PATIENT CARE), ,0.0,3.0,1,1.0,Kenya-2012,0.4
10213_4,10213,4,Other,MALE,25-34,0.0,YES,, ,Other,MALE,YES,, ,WAITING FOR PATIENT TO UNDRESS, ,0.0,4.0,1,1.0,Kenya-2012,0.4
10213_5,10213,5,Other,0.0,Younger than 25,0.0,YES,, ,Other,0.0,0.0,OTHER (SPECIFY), ,, ,,5.0,1,1.0,Kenya-2012,0.4
10223_1,10223,1,Nurse,0.0,35-44,YES,YES,, ,Nurse,0.0,YES,, ,PROVIDING CONSULTATION (FACE-TO FACE PATIENT CARE), ,YES,1.0,1,1.0,Kenya-2012,0.5
10223_2,10223,2,Nurse,MALE,,YES,0.0,APPROVED ABSENCE, ,Nurse,MALE,0.0,APPROVED ABSENCE, ,, ,,2.0,1,1.0,Kenya-2012,0.5
10320_1,10320,1,Nurse,0.0,45 or older,YES,YES,, ,Nurse,0.0,YES,, ,PROVIDING CONSULTATION (FACE-TO FACE PATIENT CARE), ,0.0,1.0,1,1.0,Kenya-2012,0.0
10320_2,10320,2,Other,0.0,25-34,0.0,YES,, ,Other,0.0,YES,, ,WAITING FOR PATIENT TO UNDRESS, ,0.0,2.0,1,1.0,Kenya-2012,0.0
10419_1,10419,1,Nurse,MALE,35-44,YES,YES,, ,Nurse,MALE,YES,, ,REVIEWING OR WRITING IN CART, ,0.0,1.0,1,1.0,Kenya-2012,0.33333334
10419_2,10419,2,Clinical Officer,MALE,35-44,YES,0.0,APPROVED ABSENCE, ,Clinical Officer,MALE,YES,, ,REVIEWING OR WRITING IN CART, ,0.0,2.0,1,1.0,Kenya-2012,0.33333334
10419_3,10419,3,Nurse,0.0,25-34,YES,0.0,APPROVED ABSENCE, ,Nurse,0.0,YES,, ,COMPLETING ENCOUNTER FORM OR BILLING SHEET, ,0.0,3.0,1,1.0,Kenya-2012,0.33333334
10419_4,10419,4,Nurse,0.0,35-44,YES,YES,, ,Nurse,0.0,0.0,APPROVED ABSENCE, ,, ,,4.0,1,1.0,Kenya-2012,0.33333334
10419_5,10419,5,Other,0.0,25-34,0.0,0.0,SICK/MATERNITY, ,Other,0.0,0.0,SICK/MATERNITY, ,, ,,5.0,1,1.0,Kenya-2012,0.33333334
10419_6,10419,6,Other,0.0,45 or older,0.0,0.0,OTHER (SPECIFY), ,Other,0.0,YES,, ,REVIEWING OR WRITING IN CART, ,0.0,6.0,1,1.0,Kenya-2012,0.33333334
10423_1,10423,1,Nurse,0.0,45 or older,YES,YES,, ,Nurse,0.0,YES,, ,PROVIDING CONSULTATION (FACE-TO FACE PATIENT CARE), ,0.0,1.0,1,1.0,Kenya-2012,0.0
10462_1,10462,1,Clinical Officer,0.0,25-34,YES,YES,, ,Clinical Officer,0.0,0.0,APPROVED ABSENCE, ,, ,,1.0,1,1.0,Kenya-2012,0.7
10462_2,10462,2,Nurse,MALE,25-34,0.0,0.0,IN TRAINING/SEMINAR, ,Nurse,MALE,0.0,IN TRAINING/SEMINAR, ,, ,,2.0,1,1.0,Kenya-2012,0.7
10462_3,10462,3,Nurse,0.0,45 or older,0.0,YES,, ,Nurse,0.0,0.0,12.0, ,, ,,3.0,1,1.0,Kenya-2012,0.7
10462_4,10462,4,Nurse,0.0,25-34,0.0,0.0,APPROVED ABSENCE, ,Nurse,0.0,YES,, ,PROVIDING CONSULTATION (FACE-TO FACE PATIENT CARE), ,0.0,4.0,1,1.0,Kenya-2012,0.7
10462_5,10462,5,Nurse,0.0,Younger than 25,0.0,0.0,12.0, ,Nurse,0.0,0.0,12.0, ,, ,,5.0,1,1.0,Kenya-2012,0.7
10462_6,10462,6,Nurse,MALE,25-34,0.0,0.0,OFFICIAL MISSION, ,Nurse,MALE,0.0,12.0, ,, ,,6.0,1,1.0,Kenya-2012,0.7
10462_7,10462,7,Nurse,MALE,35-44,0.0,0.0,OFFICIAL MISSION, ,Nurse,MALE,0.0,12.0, ,, ,,7.0,1,1.0,Kenya-2012,0.7
10462_8,10462,8,Nurse,0.0,25-34,0.0,0.0,SICK/MATERNITY, ,Nurse,0.0,0.0,SICK/MATERNITY, ,, ,,8.0,1,1.0,Kenya-2012,0.7
10462_9,10462,9,Other,MALE,25-34,0.0,0.0,APPROVED ABSENCE, ,Other,MALE,YES,, ,WAITING FOR PATIENT TO UNDRESS, ,0.0,9.0,1,1.0,Kenya-2012,0.7
10462_10,10462,10,Other,MALE,25-34,0.0,0.0,APPROVED ABSENCE, ,Other,MALE,YES,, ,ARRANGING FOR TESTS OR CONSULTATIONS, ,0.0,10.0,1,1.0,Kenya-2012,0.7
10509_1,10509,1,Clinical Officer,MALE,45 or older,YES,YES,, ,Clinical Officer,MALE,0.0,OFFICIAL MISSION, ,, ,,1.0,1,1.0,Kenya-2012,0.7
10509_2,10509,2,Clinical Officer,MALE,25-34,YES,YES,, ,Clinical Officer,MALE,YES,, ,PROVIDING CONSULTATION (FACE-TO FACE PATIENT CARE), ,0.0,2.0,1,1.0,Kenya-2012,0.7
10509_3,10509,3,Nurse,0.0,25-34,YES,0.0,APPROVED ABSENCE, ,Nurse,0.0,0.0,APPROVED ABSENCE, ,, ,,3.0,1,1.0,Kenya-2012,0.7
10509_4,10509,4,Nurse,0.0,45 or older,YES,YES,, ,,,,,,,,,,1,,Kenya-2012,0.7
10509_5,10509,5,Nurse,0.0,45 or older,YES,0.0,12.0, ,Nurse,0.0,YES,, ,PROVIDING CONSULTATION (FACE-TO FACE PATIENT CARE), ,0.0,5.0,1,1.0,Kenya-2012,0.7
10509_6,10509,6,Nurse,0.0,35-44,YES,0.0,12.0, ,Nurse,0.0,0.0,12.0, ,, ,,6.0,1,1.0,Kenya-2012,0.7
10509_7,10509,7,Nurse,0.0,45 or older,YES,0.0,12.0, ,Nurse,0.0,0.0,12.0, ,, ,,7.0,1,1.0,Kenya-2012,0.7
10509_8,10509,8,Nurse,0.0,25-34,YES,0.0,12.0, ,Nurse,0.0,0.0,12.0, ,, ,,8.0,1,1.0,Kenya-2012,0.7
10509_9,10509,9,Nurse,0.0,45 or older,YES,YES,, ,Nurse,0.0,0.0,12.0, ,, ,,9.0,1,1.0,Kenya-2012,0.7
10509_10,10509,10,Nurse,0.0,35-44,YES,0.0,SICK/MATERNITY, ,Nurse,0.0,0.0,SICK/MATERNITY, ,, ,,10.0,1,1.0,Kenya-2012,0.7
10509_11,10509,11,Other,MALE,25-34,0.0,0.0,APPROVED ABSENCE, ,,,,,,,,,,1,,Kenya-2012,0.7
10509_12,10509,12,Other,MALE,25-34,0.0,YES,, ,Other,MALE,YES,, ,PROVIDING CONSULTATION (FACE-TO FACE PATIENT CARE), ,YES,12.0,1,1.0,Kenya-2012,0.7
10509_13,10509,13,Other,0.0,25-34,0.0,0.0,OTHER (SPECIFY), ,,,,,,,,,,1,,Kenya-2012,0.7
10509_14,10509,14,Other,MALE,35-44,0.0,0.0,OTHER (SPECIFY), ,,,,,,,,,,1,,Kenya-2012,0.7
10520_1,10520,1,Nurse,0.0,35-44,0.0,YES,, ,,,,,,,,,,1,,Kenya-2012,0.5
10520_2,10520,2,Doctor,MALE,,YES,YES,, ,,,,,,,,,,1,,Kenya-2012,0.5
10520_3,10520,3,Doctor,0.0,,YES,,, ,,,,,,,,,,1,,Kenya-2012,0.5
10520_4,10520,4,Doctor,MALE,,YES,,, ,,,,,,,,,,1,,Kenya-2012,0.5
10520_5,10520,5,Doctor,0.0,,YES,,, ,,,,,,,,,,1,,Kenya-2012,0.5
10520_6,10520,6,Doctor,MALE,,YES,,, ,,,,,,,,,,1,,Kenya-2012,0.5
10520_7,10520,7,Doctor,0.0,,YES,,, ,,,,,,,,,,1,,Kenya-2012,0.5
10520_8,10520,8,Doctor,MALE,,YES,,, ,,,,,,,,,,1,,Kenya-2012,0.5
10520_9,10520,9,Doctor,MALE,,YES,,, ,,,,,,,,,,1,,Kenya-2012,0.5
10520_10,10520,10,Doctor,MALE,,YES,,, ,,,,,,,,,,1,,Kenya-2012,0.5
10520_11,10520,11,Doctor,MALE,,YES,YES,, ,,,,,,,,,,1,,Kenya-2012,0.5
10520_12,10520,12,Doctor,0.0,,YES,YES,, ,,,,,,,,,,1,,Kenya-2012,0.5
10520_13,10520,13,Other,MALE,,0.0,0.0,12.0, ,,,,,,,,,,1,,Kenya-2012,0.5
10520_14,10520,14,Other,MALE,25-34,0.0,0.0,IN TRAINING/SEMINAR, ,,,,,,,,,,1,,Kenya-2012,0.5
10520_15,10520,15,Other,0.0,25-34,0.0,0.0,APPROVED ABSENCE, ,Other,0.0,YES,, ,PROVIDING CONSULTATION (FACE-TO FACE PATIENT CARE), ,0.0,15.0,1,1.0,Kenya-2012,0.5
10520_16,10520,16,Other,0.0,,0.0,YES,, ,Other,0.0,0.0,12.0, ,, ,,16.0,1,1.0,Kenya-2012,0.5
10520_17,10520,17,Other,0.0,,0.0,YES,, ,,,,,,,,,,1,,Kenya-2012,0.5
10520_18,10520,18,Clinical Officer,MALE,,YES,0.0,12.0, ,,,,,,,,,,1,,Kenya-2012,0.5
10520_19,10520,19,Clinical Officer,MALE,,YES,0.0,12.0, ,,,,,,,,,,1,,Kenya-2012,0.5
10520_20,10520,20,Clinical Officer,0.0,,YES,0.0,12.0, ,,,,,,,,,,1,,Kenya-2012,0.5
10520_21,10520,21,Clinical Officer,0.0,,0.0,YES,, ,,,,,,,,,,1,,Kenya-2012,0.5
10520_22,10520,22,Clinical Officer,MALE,,0.0,YES,, ,Clinical Officer,MALE,YES,, ,PROVIDING CONSULTATION (FACE-TO FACE PATIENT CARE), ,0.0,22.0,1,1.0,Kenya-2012,0.5
10520_23,10520,23,Clinical Officer,MALE,,YES,0.0,12.0, ,,,,,,,,,,1,,Kenya-2012,0.5
10520_24,10520,24,Clinical Officer,0.0,,YES,YES,, ,,,,,,,,,,1,,Kenya-2012,0.5
10520_25,10520,25,Clinical Officer,MALE,,YES,0.0,12.0, ,,,,,,,,,,1,,Kenya-2012,0.5
10520_26,10520,26,Other,MALE,45 or older,0.0,YES,, ,,,,,,,,,,1,,Kenya-2012,0.5
10520_27,10520,27,Other,MALE,35-44,0.0,0.0,IN TRAINING/SEMINAR, ,,,,,,,,,,1,,Kenya-2012,0.5
10520_28,10520,28,Other,0.0,25-34,0.0,YES,, ,Other,0.0,YES,, ,WAITING FOR PATIENT TO UNDRESS, ,0.0,28.0,1,1.0,Kenya-2012,0.5
10520_29,10520,29,Other,MALE,,0.0,0.0,APPROVED ABSENCE, ,,,,,,,,,,1,,Kenya-2012,0.5
10520_30,10520,30,Other,0.0,35-44,0.0,YES,, ,,,,,,,,,,1,,Kenya-2012,0.5
10520_31,10520,31,Nurse,MALE,,0.0,0.0,12.0, ,,,,,,,,,,1,,Kenya-2012,0.5
10520_32,10520,32,Nurse,0.0,,0.0,0.0,12.0, ,Nurse,0.0,YES,, ,REVIEWING OR WRITING IN CART, ,0.0,32.0,1,1.0,Kenya-2012,0.5
10520_33,10520,33,Nurse,MALE,45 or older,0.0,YES,, ,Nurse,MALE,YES,, ,REVIEWING OR WRITING IN CART, ,0.0,33.0,1,1.0,Kenya-2012,0.5
10520_34,10520,34,Nurse,0.0,,0.0,0.0,12.0, ,Nurse,0.0,0.0,APPROVED ABSENCE, ,, ,,34.0,1,1.0,Kenya-2012,0.5
10520_35,10520,35,Nurse,0.0,,0.0,0.0,12.0, ,Nurse,0.0,0.0,12.0, ,, ,,35.0,1,1.0,Kenya-2012,0.5
10520_36,10520,36,Nurse,0.0,,0.0,0.0,APPROVED ABSENCE, ,Nurse,0.0,0.0,APPROVED ABSENCE, ,, ,,36.0,1,1.0,Kenya-2012,0.5
10520_37,10520,37,Nurse,MALE,,0.0,0.0,APPROVED ABSENCE, ,,,,,,,,,,1,,Kenya-2012,0.5
10520_38,10520,38,Nurse,0.0,,0.0,0.0,12.0, ,,,,,,,,,,1,,Kenya-2012,0.5
10520_39,10520,39,Nurse,0.0,,0.0,0.0,12.0, ,,,,,,,,,,1,,Kenya-2012,0.5
10520_40,10520,40,Nurse,MALE,,0.0,0.0,12.0, ,,,,,,,,,,1,,Kenya-2012,0.5
10520_41,10520,41,Nurse,0.0,,0.0,YES,, ,,,,,,,,,,1,,Kenya-2012,0.5
10520_42,10520,42,Nurse,0.0,,0.0,YES,, ,,,,,,,,,,1,,Kenya-2012,0.5
10520_43,10520,43,Nurse,0.0,,0.0,0.0,12.0, ,Nurse,0.0,0.0,12.0, ,, ,,43.0,1,1.0,Kenya-2012,0.5
10520_44,10520,44,Nurse,0.0,,0.0,0.0,APPROVED ABSENCE, ,,,,,,,,,,1,,Kenya-2012,0.5
10520_45,10520,45,Nurse,0.0,,0.0,YES,, ,,,,,,,,,,1,,Kenya-2012,0.5
10520_46,10520,46,Nurse,MALE,,0.0,YES,, ,,,,,,,,,,1,,Kenya-2012,0.5
10520_47,10520,47,Nurse,MALE,,0.0,YES,, ,,,,,,,,,,1,,Kenya-2012,0.5
10520_48,10520,48,Nurse,0.0,,0.0,YES,, ,,,,,,,,,,1,,Kenya-2012,0.5
10520_49,10520,49,Nurse,0.0,,0.0,0.0,APPROVED ABSENCE, ,,,,,,,,,,1,,Kenya-2012,0.5
10520_50,10520,50,Nurse,0.0,,0.0,0.0,12.0, ,,,,,,,,,,1,,Kenya-2012,0.5
10520_51,10520,51,Other,,,,,MISSING,"Interns aded since present in SDI file, but uncertain if present at first visit",,,,,,,,,,1,,Kenya-2012,0.5
10520_52,10520,52,Other,MALE,,,,MISSING,"Interns aded since present in SDI file, but uncertain if present at first visit",,,,,,,,,,1,,Kenya-2012,0.5
10520_54,10520,54,Other,,,,,MISSING,"Interns aded since present in SDI file, but uncertain if present at first visit",,,,,,,,,,1,,Kenya-2012,0.5
10520_55,10520,55,Other,,,,,MISSING,"Interns aded since present in SDI file, but uncertain if present at first visit",,,,,,,,,,1,,Kenya-2012,0.5
10531_1,10531,1,Nurse,0.0,25-34,YES,YES,, ,Nurse,0.0,YES,, ,PROVIDING CONSULTATION (FACE-TO FACE PATIENT CARE), ,0.0,1.0,1,1.0,Kenya-2012,0.0
10531_2,10531,2,Other,0.0,25-34,0.0,YES,, ,Other,0.0,YES,, ,WAITING FOR PATIENT TO UNDRESS, ,0.0,2.0,1,1.0,Kenya-2012,0.0
10562_1,10562,1,Nurse,0.0,25-34,YES,YES,, ,Nurse,0.0,YES,, ,PROVIDING CONSULTATION (FACE-TO FACE PATIENT CARE), ,0.0,1.0,1,1.0,Kenya-2012,0.5
10562_2,10562,2,Nurse,MALE,45 or older,YES,0.0,OFFICIAL MISSION, ,Nurse,MALE,0.0,OFFICIAL MISSION, ,, ,,2.0,1,1.0,Kenya-2012,0.5
10564_1,10564,1,Other,0.0,35-44,0.0,YES,, ,Other,0.0,YES,, ,INTERPRETING LABORATORY WORK OR RADIOGRAPHS, ,0.0,1.0,1,1.0,Kenya-2012,0.2
10564_2,10564,2,Nurse,0.0,45 or older,YES,YES,, ,Nurse,0.0,YES,, ,COMPLETING ENCOUNTER FORM OR BILLING SHEET, ,0.0,2.0,1,1.0,Kenya-2012,0.2
10564_3,10564,3,Nurse,0.0,35-44,0.0,0.0,IN TRAINING/SEMINAR, ,Nurse,0.0,0.0,IN TRAINING/SEMINAR, ,, ,,3.0,1,1.0,Kenya-2012,0.2
10564_4,10564,4,Nurse,MALE,Younger than 25,YES,YES,, ,Nurse,MALE,YES,, ,PROVIDING CONSULTATION (FACE-TO FACE PATIENT CARE), ,0.0,4.0,1,1.0,Kenya-2012,0.2
10564_5,10564,5,Other,0.0,25-34,0.0,YES,, ,Other,0.0,YES,, ,COMPLETING ENCOUNTER FORM OR BILLING SHEET, ,0.0,5.0,1,1.0,Kenya-2012,0.2
10609_1,10609,1,Doctor,0.0,25-34,YES,YES,, ,,,,,,,,,,1,,Kenya-2012,0.6
10609_2,10609,2,Doctor,MALE,25-34,YES,YES,, ,,,,,,,,,,1,,Kenya-2012,0.6
10609_3,10609,3,Other,MALE,25-34,0.0,YES,, ,Other,MALE,YES,, ,PROVIDING CONSULTATION (FACE-TO FACE PATIENT CARE), ,0.0,3.0,1,1.0,Kenya-2012,0.6
10609_4,10609,4,Other,MALE,25-34,0.0,YES,, ,,,,,,,,,,1,,Kenya-2012,0.6
10609_5,10609,5,Clinical Officer,0.0,35-44,YES,YES,, ,Clinical Officer,0.0,YES,, ,PROVIDING CONSULTATION (FACE-TO FACE PATIENT CARE), ,0.0,5.0,1,1.0,Kenya-2012,0.6
10609_6,10609,6,Clinical Officer,MALE,25-34,YES,0.0,APPROVED ABSENCE, ,Clinical Officer,MALE,0.0,12.0, ,, ,,6.0,1,1.0,Kenya-2012,0.6
10609_7,10609,7,Clinical Officer,0.0,25-34,YES,0.0,12.0, ,,,,,,,,,,1,,Kenya-2012,0.6
10609_8,10609,8,Clinical Officer,MALE,45 or older,YES,0.0,12.0, ,,,,,,,,,,1,,Kenya-2012,0.6
10609_9,10609,9,Clinical Officer,0.0,35-44,YES,0.0,12.0, ,,,,,,,,,,1,,Kenya-2012,0.6
