fac_id,finalwt,ipw,absprobsamp,abshwkwt,probvign,hwkvignwt,has_weights,h1csqa1,h1csqa2a,h1csqa2b,h1csqa2c,h1csqb1,h1csqb2,h1csqb4,h1csqb5,h1csqb9,h1csqb12,h1csqb13H,h1csqb13M,h1csqb14H,h1csqb14M,h1csqb16,h1csqb17,h1sa5,h1sa9,h1sa17,h1sa18,h1sa19,h1sa20,h1sa21,h1sa22,h1sa26,h1sa31,h1sb50,h1sb51a,h1sb52,h1sb53,h1sb54,h1sb59a,h1sc59b,h1sc60a,h1sc60b,h1sc61a,h1sc61b,h1sc62a,h1sc62b,h1sc63a,h1sc63b,h1sc64a,h1sc64b,h1sc65a,h1sc65b,h1sc66a,h1sc66b,h1sc67a,h1sc67b,h1sc68a,h1sc68b,h1sc69a,h1sc69b,h1sc70a,h1sc70b,h1sc71a,h1sc71b,h1sc72a,h1sc72b,h1sc73a,h1sc73b,h1sc74a,h1sc74b,h1sc75a,h1sc75b,h1sd76,h1sd77,h1sd79,h1sd80,h1sd81,h1sd82,h1sd83,h1sd84,h1sd85,h1sd86,h1sd87,h1sd88,h1sd89,h1sd90,h1sd91,h1sd92,h1sd93,h1sd94,h1sd95,h1sd96,h1sd97,h1sd98,h1sd99,h1sd100,h1sd101,h1sd102,h1sd103,h1sd104,h1sd105,h1sd106,h1sd107,h1sd108,h1sd109,h1sd110,h1sd111,h1sd112,h1sd113,h1sd114,h1sd115,h1sd116,h1sd117,h1sd118,h1sd119,h1sd120,h1sd121,h1sd122,h1sd123,h1sd124,h2sa200,h2sa201,h1csqb6,has_facility,country,h1sb51b
161,15.97043,15.97043,1.0,15.97043,0.33333334,47.911293,1,Yes,,,,4,305,1,1,Rural,402,15.0,18.0,16.0,56.0,401.0,,Public,Health Post,Yes,0.0,Yes,0.0,0.0,0.0,50 or less,2001-3000,0.0,0.0,0.0,No,0.0,Yes (not observed),Yes (not observed),Yes (not observed),Yes (not observed),Yes (not observed),Yes (not observed),Yes (not observed),Yes (not observed),0.0,,Yes (not observed),Yes (not observed),0.0,,0.0,,1.0,1.0,0.0,,1.0,1.0,0.0,,0.0,,0.0,,0.0,,Yes (not observed),Yes (not observed),Yes (not observed),Yes (not observed),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,At least one observed (AND non-expired),Not recommended at this level,Not recommended at this level,Not recommended at this level,Not recommended at this level,Not recommended at this level,Never available,Not recommended at this level,Not recommended at this level,At least one observed (AND non-expired),Not recommended at this level,Not recommended at this level,At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,Not recommended at this level,At least one observed (AND non-expired),Not recommended at this level,Not recommended at this level,At least one observed (AND non-expired),At least one observed (AND non-expired),Yes,No,Yes,0.0,Yes,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,"Yes, but no observed","Yes, but no observed","Yes, but no observed","Yes, but no observed","Yes, but no observed","Yes,observed","Yes,observed",0.0,0.0,"Yes,observed",0.0,5 or less,5 or less,314.0,1,Uganda-2013,0.0
162,3.3173807,3.3173807,1.0,3.3173807,0.6666667,4.976071,1,Yes,,,,4,305,1,2,Rural,402,9.0,2.0,12.0,0.0,403.0,,Private,Health Center,Yes,Yes,Yes,0.0,Yes,0.0,50 or less,0-500,0.0,0.0,0.0,No,0.0,Yes (not observed),Yes (not observed),Yes (not observed),Yes (not observed),Yes (not observed),Yes (not observed),Yes (not observed),Yes (not observed),Yes (not observed),Yes (not observed),Yes (not observed),Yes (not observed),Yes (not observed),0.0,0.0,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,0.0,,0.0,,0.0,,Yes (not observed),Yes (not observed),0.0,,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Not available today,At least one observed (AND non-expired),Not available today,Never available,Never available,Never available,Never available,At least one observed (AND non-expired),Not available today,Never available,Not available today,Not available today,Never available,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,At least one observed (AND non-expired),Not available today,Never available,At least one observed (AND non-expired),At least one observed (AND non-expired),Yes,No,Yes,0.0,Yes,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,"Yes, but no observed","Yes, but no observed","Yes, but no observed","Yes, but no observed","Yes, but no observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed",0.0,5 or less,5 or less,320.0,1,Uganda-2013,0.0
163,3.3173807,3.3173807,1.0,3.3173807,0.2,16.586903,1,Yes,,,,4,305,1,2,Rural,401,11.0,1.0,14.0,0.0,401.0,,Public,Health Post,0.0,0.0,0.0,0.0,0.0,0.0,50 or less,2001-3000,0.0,0.0,0.0,0.0,0.0,Yes (not observed),Yes (not observed),Yes (not observed),Yes (not observed),Yes (not observed),Yes (not observed),Yes (not observed),Yes (not observed),0.0,,Yes (not observed),Yes (not observed),0.0,,0.0,,1.0,1.0,1.0,1.0,0.0,,0.0,,0.0,,0.0,,0.0,,Yes (not observed),Yes (not observed),0.0,,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,Never available,Never available,Not recommended at this level,Never available,Not recommended at this level,Never available,Not available today,Never available,Never available,Never available,Never available,Never available,At least one observed (AND non-expired),At least one observed (AND non-expired),Not available today,Never available,At least one observed (AND non-expired),Not recommended at this level,Never available,At least one observed (AND non-expired),At least one observed (AND non-expired),Yes,No,Yes,0.0,Yes,At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,At least one observed (AND non-expired),Never available,"Yes, but no observed","Yes, but no observed","Yes, but no observed","Yes, but no observed","Yes, but no observed","Yes,observed","Yes,observed",0.0,0.0,"Yes,observed",0.0,5 or less,5 or less,326.0,1,Uganda-2013,0.0
164,5.3517504,5.3517504,1.0,5.3517504,0.33333334,16.055252,1,Yes,,,,4,305,1,3,Rural,402,4.0,2.0,9.0,5.0,403.0,,Public,Health Center,Yes,Yes,Yes,0.0,0.0,0.0,Over 50,0-500,0.0,0.0,0.0,0.0,0.0,Yes (not observed),Yes (not observed),Yes (not observed),Yes (not observed),Yes (not observed),Yes (not observed),Yes (not observed),Yes (not observed),Yes (not observed),Yes (not observed),Yes (not observed),Yes (not observed),Yes (not observed),Yes (not observed),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,0.0,,0.0,,Yes (not observed),Yes (not observed),Yes (not observed),Yes (not observed),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,At least one observed (AND non-expired),Not recommended at this level,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Not available today,At least one observed (AND non-expired),Not available today,Not recommended at this level,At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,At least one observed (AND non-expired),At least one observed (AND non-expired),Not recommended at this level,Never available,At least one observed (AND non-expired),At least one observed (AND non-expired),Yes,No,Yes,0.0,Yes,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,"Yes, but no observed","Yes, but no observed","Yes, but no observed","Yes, but no observed","Yes, but no observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed",6-10,5 or less,321.0,1,Uganda-2013,0.0
165,16.202042,16.202042,1.0,16.202042,0.16666667,97.21225,1,Yes,,,,4,305,1,4,Rural,402,10.0,39.0,14.0,40.0,402.0,,Public,Health Post,0.0,0.0,Yes,0.0,0.0,0.0,50 or less,1001-2000,0.0,0.0,0.0,0.0,0.0,Yes (not observed),Yes (not observed),Yes (not observed),Yes (not observed),Yes (not observed),Yes (not observed),Yes (not observed),Yes (not observed),0.0,,Yes (not observed),Yes (not observed),0.0,,0.0,,1.0,1.0,0.0,,1.0,1.0,0.0,,0.0,,0.0,,0.0,,Yes (not observed),0.0,0.0,,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,At least one observed (AND non-expired),Not recommended at this level,Not recommended at this level,Not recommended at this level,Not recommended at this level,Not recommended at this level,Not recommended at this level,Never available,Not recommended at this level,At least one observed (AND non-expired),Not recommended at this level,Not recommended at this level,At least one observed (AND non-expired),At least one observed (AND non-expired),Not available today,Not recommended at this level,Not available today,Not recommended at this level,Not recommended at this level,At least one observed (AND non-expired),At least one observed (AND non-expired),Yes,No,Yes,0.0,Yes,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,"Yes, but no observed","Yes, but no observed","Yes, but no observed","Yes, but no observed","Yes, but no observed","Yes,observed","Yes,observed",0.0,0.0,"Yes,observed",0.0,6-10,5 or less,205.0,1,Uganda-2013,0.0
166,4.474002,4.474002,0.75,5.965336,0.5,8.948004,1,Yes,,,,4,305,1,9,Rural,401,14.0,21.0,17.0,30.0,403.0,,Public,Health Center,Yes,Yes,Yes,0.0,Yes,0.0,Over 50,Over 3000,0.0,0.0,0.0,0.0,0.0,Yes (not observed),Yes (not observed),Yes (not observed),Yes (not observed),Yes (not observed),Yes (not observed),Yes (not observed),Yes (not observed),Yes (not observed),Yes (not observed),Yes (not observed),Yes (not observed),Yes (not observed),Yes (not observed),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,0.0,,0.0,,Yes (not observed),Yes (not observed),Yes (not observed),Yes (not observed),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,At least one observed (AND non-expired),Never available,At least one observed (AND non-expired),Never available,Not available today,At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,Not available today,Never available,Never available,At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,Never available,Not available today,Not recommended at this level,Never available,At least one observed (AND non-expired),At least one observed (AND non-expired),Yes,No,Yes,0.0,Yes,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,"Yes, but no observed","Yes, but no observed","Yes, but no observed","Yes, but no observed","Yes, but no observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed",6-10,5 or less,323.0,1,Uganda-2013,0.0
167,9.4768305,9.4768305,1.0,9.4768305,1.0,9.4768305,1,Yes,,,,4,305,1,10,Rural,402,11.0,26.0,13.0,48.0,403.0,,Public,Health Post,Yes,0.0,Yes,0.0,0.0,0.0,50 or less,1001-2000,0.0,0.0,0.0,0.0,0.0,Yes (not observed),Yes (not observed),Yes (not observed),Yes (not observed),Yes (not observed),Yes (not observed),Yes (not observed),Yes (not observed),Yes (not observed),Yes (not observed),Yes (not observed),Yes (not observed),0.0,,0.0,,1.0,1.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,Yes (not observed),Yes (not observed),Yes (not observed),Yes (not observed),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Not recommended at this level,At least one observed (AND non-expired),Not recommended at this level,Not recommended at this level,Not recommended at this level,Never available,Not recommended at this level,Not recommended at this level,Never available,Not recommended at this level,Not recommended at this level,At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,Not recommended at this level,At least one observed (AND non-expired),Not recommended at this level,Not recommended at this level,At least one observed (AND non-expired),At least one observed (AND non-expired),Yes,No,Yes,0.0,Yes,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,"Yes, but no observed","Yes, but no observed","Yes, but no observed","Yes, but no observed","Yes, but no observed","Yes,observed","Yes,observed",0.0,0.0,"Yes,observed","Yes,observed",5 or less,Over 5,12.0,1,Uganda-2013,0.0
168,16.85906,16.85906,1.0,16.85906,0.6666667,25.28859,1,Yes,,,,4,315,1,2,Rural,403,4.0,3.0,8.0,16.0,403.0,,Public,Health Post,Yes,0.0,Yes,0.0,Yes,0.0,50 or less,Over 3000,0.0,0.0,0.0,0.0,0.0,0.0,,Yes (not observed),Yes (not observed),Yes (not observed),Yes (not observed),Yes (not observed),Yes (not observed),0.0,,Yes (not observed),0.0,0.0,,0.0,,1.0,1.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,Yes (not observed),0.0,0.0,,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Not recommended at this level,Not available today,Not recommended at this level,Never available,Not recommended at this level,Not available today,Not recommended at this level,Never available,Not recommended at this level,Not recommended at this level,Not available today,Not recommended at this level,Not recommended at this level,At least one observed (AND non-expired),At least one observed (AND non-expired),Not available today,Not recommended at this level,At least one observed (AND non-expired),Not recommended at this level,Not recommended at this level,At least one observed (AND non-expired),At least one observed (AND non-expired),0.0,,,,,Not available today,Not available today,Not available today,Not available today,Never available,"Yes, but no observed","Yes, but no observed","Yes, but no observed",0.0,"Yes, but no observed","Yes,observed",,"Yes,observed","Yes,observed","Yes,observed","Yes,observed",5 or less,5 or less,16.0,1,Uganda-2013,0.0
169,16.70476,16.70476,1.0,16.70476,1.0,16.70476,1,Yes,,,,4,315,1,5,Rural,403,15.0,41.0,18.0,20.0,403.0,,Public,Health Post,0.0,0.0,Yes,0.0,0.0,0.0,50 or less,Over 3000,0.0,0.0,0.0,0.0,0.0,Yes (not observed),0.0,Yes (not observed),Yes (not observed),Yes (not observed),Yes (not observed),Yes (not observed),Yes (not observed),Yes (not observed),0.0,Yes (not observed),Yes (not observed),0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,At least one observed (AND non-expired),Not available today,At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,Not recommended at this level,At least one observed (AND non-expired),Never available,Never available,Never available,Never available,Never available,Never available,Never available,Never available,Never available,Never available,Never available,Never available,Never available,Never available,Never available,At least one observed (AND non-expired),Never available,Never available,At least one observed (AND non-expired),At least one observed (AND non-expired),Yes,No,Yes,0.0,Yes,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,"Yes, but no observed","Yes, but no observed","Yes, but no observed","Yes, but no observed",0.0,"Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed",5 or less,5 or less,22.0,1,Uganda-2013,0.0
17,10.973065,10.973065,0.46153846,23.774977,0.15384616,71.32492,1,Yes,,,,1,112,2,1,Rural,903,11.0,48.0,15.0,5.0,901.0,,Public,Health Center,Yes,0.0,Yes,Yes,Yes,0.0,Over 50,Over 3000,0.0,0.0,0.0,0.0,0.0,Yes (not observed),Yes (not observed),Yes (not observed),Yes (not observed),Yes (not observed),Yes (not observed),Yes (not observed),Yes (not observed),Yes (not observed),Yes (not observed),Yes (not observed),Yes (not observed),Yes (not observed),Yes (not observed),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Yes (not observed),0.0,0.0,,0.0,,Yes (not observed),Yes (not observed),0.0,,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Not available today,Not available today,At least one observed (AND non-expired),Never available,At least one observed (AND non-expired),Never available,At least one observed (AND non-expired),Not available today,At least one observed (AND non-expired),Not available today,Not available today,Not recommended at this level,Never available,Not available today,Not available today,Never available,At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,Never available,Not available today,At least one observed (AND non-expired),Yes,No,Yes,0.0,0.0,At least one observed (AND non-expired),Not available today,At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,0.0,"Yes, but no observed","Yes, but no observed","Yes, but no observed","Yes, but no observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed",11-50,5 or less,138.0,1,Uganda-2013,0.0
170,15.835179,15.835179,1.0,15.835179,0.6,26.391966,1,Yes,,,,4,315,1,6,Rural,408,13.0,37.0,18.0,15.0,403.0,,Public,Health Center,Yes,Yes,Yes,0.0,Yes,0.0,Over 50,Over 3000,0.0,0.0,0.0,No,0.0,Yes (not observed),Yes (not observed),Yes (not observed),Yes (not observed),Yes (not observed),Yes (not observed),Yes (not observed),Yes (not observed),Yes (not observed),Yes (not observed),Yes (not observed),Yes (not observed),Yes (not observed),Yes (not observed),0.0,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,0.0,,0.0,,0.0,,Yes (not observed),Yes (not observed),0.0,,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Not available today,Not available today,Never available,At least one observed (AND non-expired),Never available,Not recommended at this level,At least one observed (AND non-expired),At least one observed (AND non-expired),Not available today,At least one observed (AND non-expired),Never available,Never available,Not available today,Not available today,Never available,At least one observed (AND non-expired),Not available today,Never available,Never available,At least one observed (AND non-expired),At least one observed (AND non-expired),Yes,No,Yes,0.0,Yes,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,"Yes, but no observed","Yes, but no observed","Yes, but no observed","Yes, but no observed","Yes, but no observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed",6-10,5 or less,93.0,1,Uganda-2013,0.0
171,11.203885,11.203885,1.0,11.203885,1.0,11.203885,1,Yes,,,,4,317,1,3,Rural,403,10.0,55.0,13.0,49.0,403.0,,Public,Health Post,0.0,0.0,Yes,0.0,0.0,0.0,Over 50,2001-3000,0.0,0.0,0.0,0.0,0.0,0.0,,Yes (not observed),Yes (not observed),Yes (not observed),Yes (not observed),0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Not recommended at this level,Not recommended at this level,Not available today,Never available,Not recommended at this level,Not recommended at this level,Not recommended at this level,Never available,Never available,Not recommended at this level,Not available today,Not recommended at this level,Not recommended at this level,Not available today,At least one observed (AND non-expired),Never available,Never available,At least one observed (AND non-expired),Not recommended at this level,Never available,At least one observed (AND non-expired),At least one observed (AND non-expired),Yes,No,Yes,0.0,Yes,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,0.0,"Yes, but no observed","Yes, but no observed","Yes, but no observed","Yes, but no observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed",No,"Yes,observed",5 or less,5 or less,19.0,1,Uganda-2013,0.0
172,17.042053,17.042053,0.6,28.403421,0.8,21.302567,1,Yes,,,,4,317,1,4,Rural,403,14.0,3.0,17.0,0.0,403.0,,Public,Health Post,0.0,0.0,0.0,0.0,0.0,0.0,50 or less,0-500,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,At least one observed (AND non-expired),Never available,Never available,Not available today,Not available today,Not recommended at this level,Never available,Never available,Never available,Never available,Never available,Not recommended at this level,Not recommended at this level,Never available,Never available,Never available,Never available,Never available,Not available today,Never available,Never available,Never available,Never available,Not recommended at this level,Never available,Never available,Not available today,0.0,,,,,Not available today,Not available today,Not available today,Not available today,Never available,0.0,"Yes,observed",0.0,0.0,"Yes, but no observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed",5 or less,5 or less,13.0,1,Uganda-2013,0.0
173,17.042053,17.042053,1.0,17.042053,0.75,22.722738,1,Yes,,,,4,317,1,4,Rural,403,9.0,59.0,13.0,39.0,403.0,,Public,Health Post,0.0,0.0,0.0,0.0,0.0,0.0,50 or less,1001-2000,0.0,0.0,0.0,0.0,0.0,0.0,,Yes (not observed),Yes (not observed),0.0,,0.0,,Yes (not observed),0.0,0.0,,0.0,,0.0,,1.0,1.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,Yes (not observed),Yes (not observed),0.0,,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,Not available today,Never available,Not recommended at this level,Not recommended at this level,Not recommended at this level,Not recommended at this level,Not recommended at this level,Not recommended at this level,Not recommended at this level,Not recommended at this level,Not recommended at this level,Not recommended at this level,At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,Not recommended at this level,At least one observed (AND non-expired),Not recommended at this level,Never available,At least one observed (AND non-expired),At least one observed (AND non-expired),Yes,No,0.0,0.0,Yes,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,"Yes, but no observed","Yes, but no observed",0.0,"Yes, but no observed","Yes, but no observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed",5 or less,5 or less,23.0,1,Uganda-2013,0.0
174,18.556778,18.556778,1.0,18.556778,0.5,37.113556,1,Yes,,,,4,317,1,7,Rural,403,15.0,50.0,18.0,58.0,403.0,,Public,Health Post,0.0,0.0,0.0,0.0,0.0,0.0,50 or less,2001-3000,0.0,0.0,0.0,0.0,0.0,0.0,,Yes (not observed),Yes (not observed),0.0,,Yes (not observed),Yes (not observed),0.0,,Yes (not observed),Yes (not observed),0.0,,0.0,,1.0,1.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,Yes (not observed),Yes (not observed),0.0,,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Not recommended at this level,Not available today,Not recommended at this level,Not recommended at this level,Not recommended at this level,Not recommended at this level,Not recommended at this level,Not recommended at this level,Not recommended at this level,Not recommended at this level,Not recommended at this level,Not recommended at this level,Not recommended at this level,Never available,At least one observed (AND non-expired),Never available,Not recommended at this level,At least one observed (AND non-expired),Not recommended at this level,Never available,At least one observed (AND non-expired),At least one observed (AND non-expired),Yes,No,Yes,0.0,Yes,Not available today,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,"Yes, but no observed","Yes, but no observed","Yes, but no observed","Yes, but no observed","Yes, but no observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed",5 or less,5 or less,25.0,1,Uganda-2013,0.0
175,10.728027,10.728027,1.0,10.728027,0.33333334,32.184082,1,Yes,,,,4,317,1,9,Rural,403,10.0,1.0,13.0,44.0,403.0,,Public,Health Post,0.0,0.0,0.0,0.0,0.0,0.0,50 or less,1001-2000,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,Yes (not observed),Yes (not observed),Yes (not observed),Yes (not observed),0.0,,Yes (not observed),Yes (not observed),0.0,,0.0,,1.0,1.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,Not available today,Never available,Never available,Not recommended at this level,Never available,Never available,Never available,Not recommended at this level,Never available,Not available today,Never available,Not recommended at this level,At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,Never available,At least one observed (AND non-expired),Never available,Never available,At least one observed (AND non-expired),At least one observed (AND non-expired),Yes,No,0.0,0.0,Yes,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Not available today,Never available,"Yes, but no observed","Yes, but no observed","Yes, but no observed","Yes, but no observed",0.0,"Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed",5 or less,5 or less,309.0,1,Uganda-2013,0.0
176,4.124352,4.124352,0.5,8.248704,0.25,16.497408,1,Yes,,,,4,320,1,3,Rural,501,8.0,10.0,13.0,30.0,501.0,,Public,Health Post,Yes,Yes,Yes,0.0,Yes,0.0,Over 50,Over 3000,0.0,0.0,0.0,0.0,0.0,Yes (not observed),Yes (not observed),Yes (not observed),Yes (not observed),Yes (not observed),Yes (not observed),Yes (not observed),Yes (not observed),Yes (not observed),Yes (not observed),Yes (not observed),Yes (not observed),Yes (not observed),Yes (observed),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,Yes (not observed),0.0,0.0,,0.0,,0.0,,0.0,,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Not available today,At least one observed (AND non-expired),Never available,At least one observed (AND non-expired),Not recommended at this level,At least one observed (AND non-expired),Not available today,At least one observed (AND non-expired),Not recommended at this level,Not available today,Never available,Never available,At least one observed (AND non-expired),At least one observed (AND non-expired),Not available today,At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,Not recommended at this level,At least one observed (AND non-expired),At least one observed (AND non-expired),Yes,No,Yes,0.0,Yes,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,"Yes, but no observed","Yes, but no observed","Yes, but no observed","Yes, but no observed","Yes, but no observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed",11-50,Over 5,328.0,1,Uganda-2013,0.0
177,5.31564,5.31564,0.53846157,9.871902,0.15384616,34.55166,1,Yes,,,,4,320,1,6,Rural,501,8.0,20.0,13.0,30.0,501.0,,Public,Health Center,Yes,Yes,Yes,0.0,0.0,0.0,Over 50,Over 3000,0.0,0.0,0.0,0.0,0.0,0.0,,Yes (observed),Yes (observed),Yes (not observed),Yes (not observed),Yes (observed),Yes (observed),0.0,,Yes (observed),Yes (observed),Yes (not observed),Yes (not observed),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Yes (not observed),Yes (not observed),0.0,,0.0,,Yes (not observed),Yes (not observed),0.0,,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Not available today,At least one observed (AND non-expired),Not recommended at this level,At least one observed (AND non-expired),Not recommended at this level,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (BUT expired),Not available today,Never available,Never available,At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,At least one observed (AND non-expired),At least one observed (AND non-expired),Not recommended at this level,Never available,At least one observed (AND non-expired),At least one observed (AND non-expired),Yes,No,Yes,0.0,Yes,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,"Yes, but no observed","Yes, but no observed","Yes, but no observed","Yes, but no observed","Yes, but no observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed",11-50,5 or less,311.0,1,Uganda-2013,0.0
