unique_id,fac_id,staff_id,h2sa203,h2sa204,h2sa205,h2sa206,h2sa207,h2sa208,h2sa208o,h2sa209,h2bID,h2b211,h2b212,h2b213,h2b214,h2b215,h2b215o,h2b216,h2b216o,h2b217,has_roster,has_absentee,country,absence_rate
106_1,106,1,Other,0.0,45 or older,Yes,0.0,Approved absence,,No,1.0,1.0,Other,0.0,0.0,Approved absence,,,,,1,1.0,Uganda-2013,0.6666667
106_3,106,3,Other,0.0,45 or older,Yes,Yes,,,Yes,2.0,3.0,Other,0.0,0.0,Gone to retrieve salary,,,,,1,1.0,Uganda-2013,0.6666667
106_2,106,2,Other,Male,45 or older,Yes,Yes,,,Yes,3.0,2.0,Other,Male,Yes,,,Providing Consultation (face-to face patient care),,Yes,1,1.0,Uganda-2013,0.6666667
107_1,107,1,Other,Male,45 or older,Yes,Yes,,,Yes,2.0,1.0,Other,Male,Yes,,,Providing Consultation (face-to face patient care),,Yes,1,1.0,Uganda-2013,0.5
107_2,107,2,Other,0.0,25-34,Yes,0.0,Approved absence,,No,1.0,2.0,Other,0.0,0.0,Approved absence,,,,,1,1.0,Uganda-2013,0.5
108_1,108,1,Other,0.0,25-34,Yes,Yes,,,Yes,2.0,1.0,Other,0.0,0.0,Official mission,,,,,1,1.0,Uganda-2013,1.0
108_2,108,2,Other,0.0,25-34,Yes,0.0,Approved absence,,No,1.0,2.0,Other,0.0,0.0,Approved absence,,,,,1,1.0,Uganda-2013,1.0
109_1,109,1,Other,Male,45 or older,Yes,Yes,,,Yes,1.0,1.0,Other,Male,Yes,,,Providing Consultation (face-to face patient care),,Yes,1,1.0,Uganda-2013,0.0
11_7,11,7,Other,Male,35-44,0.0,Yes,,,No,,,,,,,,,,,1,,Uganda-2013,0.2
11_5,11,5,Other,0.0,25-34,Yes,Yes,,,Yes,5.0,5.0,Other,0.0,Yes,,,Providing Consultation (face-to face patient care),,0.0,1,1.0,Uganda-2013,0.2
11_2,11,2,Nurse,0.0,45 or older,Yes,0.0,12.0,,Yes,2.0,2.0,Nurse,0.0,Yes,,,Providing Consultation (face-to face patient care),,0.0,1,1.0,Uganda-2013,0.2
11_3,11,3,Nurse,0.0,25-34,Yes,Yes,,,Yes,3.0,3.0,Nurse,0.0,Yes,,,Completing encounter form or billing sheet,,0.0,1,1.0,Uganda-2013,0.2
11_4,11,4,Other,0.0,25-34,Yes,0.0,12.0,,Yes,4.0,4.0,Other,0.0,Yes,,,Providing Consultation (face-to face patient care),,0.0,1,1.0,Uganda-2013,0.2
11_6,11,6,Other,0.0,Younger than 25,0.0,0.0,12.0,,No,,,,,,,,,,,1,,Uganda-2013,0.2
11_1,11,1,Nurse,0.0,45 or older,Yes,0.0,In training/seminar,,Yes,1.0,1.0,Nurse,0.0,0.0,Official mission,,,,,1,1.0,Uganda-2013,0.2
110_11,110,11,Other,0.0,35-44,0.0,Yes,,,No,7.0,11.0,Other,0.0,0.0,12.0,,,,,1,1.0,Uganda-2013,0.7
110_12,110,12,Other,0.0,35-44,Yes,0.0,Approved absence,,No,5.0,12.0,Other,0.0,0.0,Not approved Absence,,,,,1,1.0,Uganda-2013,0.7
110_5,110,5,Nurse,0.0,Younger than 25,0.0,Yes,,,No,3.0,5.0,Nurse,0.0,0.0,12.0,,,,,1,1.0,Uganda-2013,0.7
110_10,110,10,Other,0.0,25-34,Yes,Yes,,,Yes,,,,,,,,,,,1,,Uganda-2013,0.7
110_9,110,9,Other,0.0,35-44,0.0,Yes,,,No,8.0,9.0,Other,0.0,0.0,12.0,,,,,1,1.0,Uganda-2013,0.7
110_8,110,8,Nurse,0.0,25-34,0.0,0.0,Sick/maternity,,No,6.0,8.0,Nurse,0.0,0.0,Sick/maternity,,,,,1,1.0,Uganda-2013,0.7
110_3,110,3,Nurse,Male,25-34,Yes,Yes,,,Yes,4.0,3.0,Nurse,Male,Yes,,,Providing Consultation (face-to face patient care),,Yes,1,1.0,Uganda-2013,0.7
110_4,110,4,Nurse,0.0,Younger than 25,Yes,Yes,,,Yes,10.0,4.0,Nurse,0.0,Yes,,,Completing encounter form or billing sheet,,Yes,1,1.0,Uganda-2013,0.7
110_7,110,7,Nurse,0.0,25-34,0.0,0.0,Sick/maternity,,No,1.0,7.0,Nurse,0.0,0.0,Sick/maternity,,,,,1,1.0,Uganda-2013,0.7
110_13,110,13,Other,0.0,35-44,0.0,Yes,,,No,,,,,,,,,,,1,,Uganda-2013,0.7
110_6,110,6,Nurse,0.0,25-34,0.0,0.0,In training/seminar,,No,,,,,,,,,,,1,,Uganda-2013,0.7
110_1,110,1,Clinical Officer,Male,25-34,Yes,Yes,,,Yes,9.0,1.0,Clinical Officer,Male,Yes,,,Arranging for tests or consultations,,Yes,1,1.0,Uganda-2013,0.7
110_2,110,2,Nurse,0.0,25-34,0.0,Yes,,,No,2.0,2.0,Nurse,0.0,0.0,12.0,,,,,1,1.0,Uganda-2013,0.7
111_2,111,2,Other,0.0,45 or older,Yes,Yes,,,Yes,2.0,2.0,Other,0.0,Yes,,,Providing Consultation (face-to face patient care),,Yes,1,1.0,Uganda-2013,0.33333334
111_1,111,1,Other,0.0,45 or older,Yes,Yes,,,Yes,3.0,1.0,Other,0.0,Yes,,,Providing Consultation (face-to face patient care),,Yes,1,1.0,Uganda-2013,0.33333334
111_3,111,3,Other,Male,45 or older,Yes,0.0,Approved absence,,No,1.0,3.0,Other,Male,0.0,12.0,,,,,1,1.0,Uganda-2013,0.33333334
112_1,112,1,Nurse,Male,25-34,Yes,Yes,,,No,1.0,1.0,Nurse,Male,Yes,,,Providing Consultation (face-to face patient care),,0.0,1,1.0,Uganda-2013,0.0
113_2,113,2,Nurse,Male,25-34,Yes,Yes,,,Yes,2.0,2.0,Nurse,Male,0.0,12.0,,,,,1,1.0,Uganda-2013,1.0
113_3,113,3,Other,0.0,25-34,Yes,Yes,,,Yes,3.0,3.0,Other,0.0,0.0,Not approved Absence,,,,,1,1.0,Uganda-2013,1.0
113_1,113,1,Doctor,0.0,Younger than 25,Yes,Yes,,,Yes,1.0,1.0,Doctor,0.0,0.0,Not approved Absence,,,,,1,1.0,Uganda-2013,1.0
114_1,114,1,Nurse,0.0,Younger than 25,Yes,Yes,,,Yes,1.0,1.0,Doctor,0.0,0.0,Not approved Absence,,,,,1,1.0,Uganda-2013,1.0
114_2,114,2,Other,0.0,25-34,Yes,Yes,,,Yes,2.0,2.0,Other,0.0,0.0,Not approved Absence,,,,,1,1.0,Uganda-2013,1.0
115_2,115,2,Other,0.0,Younger than 25,Yes,0.0,Official mission,,Yes,2.0,2.0,Other,0.0,Yes,,,Providing Consultation (face-to face patient care),,Yes,1,1.0,Uganda-2013,0.33333334
115_3,115,3,Nurse,0.0,45 or older,Yes,0.0,12.0,,Yes,3.0,3.0,Nurse,0.0,0.0,12.0,,,,,1,1.0,Uganda-2013,0.33333334
115_1,115,1,Other,0.0,25-34,Yes,Yes,,,Yes,1.0,1.0,Other,0.0,Yes,,,Providing Consultation (face-to face patient care),,Yes,1,1.0,Uganda-2013,0.33333334
116_5,116,5,Nurse,0.0,25-34,Yes,0.0,12.0,,Yes,5.0,5.0,Nurse,0.0,Yes,,,Providing Consultation (face-to face patient care),,Yes,1,1.0,Uganda-2013,0.5555556
116_3,116,3,Nurse,0.0,25-34,Yes,Yes,,,Yes,3.0,3.0,Nurse,0.0,0.0,12.0,,,,,1,1.0,Uganda-2013,0.5555556
116_12,116,12,Other,Male,35-44,0.0,0.0,12.0,,No,,,,,,,,,,,1,,Uganda-2013,0.5555556
116_10,116,10,Other,Male,35-44,0.0,0.0,12.0,,No,,,,,,,,,,,1,,Uganda-2013,0.5555556
116_2,116,2,Nurse,0.0,25-34,Yes,0.0,Sick/maternity,,Yes,2.0,2.0,Nurse,0.0,0.0,Sick/maternity,,,,,1,1.0,Uganda-2013,0.5555556
116_11,116,11,Other,Male,25-34,0.0,0.0,Sick/maternity,,No,,,,,,,,,,,1,,Uganda-2013,0.5555556
116_7,116,7,Nurse,0.0,25-34,Yes,0.0,,,Yes,7.0,7.0,Nurse,0.0,0.0,Not approved Absence,,,,,1,1.0,Uganda-2013,0.5555556
116_8,116,8,Other,0.0,25-34,Yes,Yes,,,Yes,8.0,8.0,Other,0.0,Yes,,,Providing Consultation (face-to face patient care),,Yes,1,1.0,Uganda-2013,0.5555556
116_1,116,1,Clinical Officer,0.0,35-44,Yes,Yes,,,Yes,1.0,1.0,Doctor,0.0,0.0,Not approved Absence,,,,,1,1.0,Uganda-2013,0.5555556
116_4,116,4,Nurse,0.0,25-34,Yes,0.0,12.0,,Yes,4.0,4.0,Nurse,0.0,0.0,Not approved Absence,,,,,1,1.0,Uganda-2013,0.5555556
116_9,116,9,Other,0.0,25-34,Yes,Yes,,,Yes,9.0,9.0,Other,0.0,Yes,,,Providing Consultation (face-to face patient care),,Yes,1,1.0,Uganda-2013,0.5555556
116_6,116,6,Clinical Officer,0.0,25-34,Yes,Yes,,,Yes,6.0,6.0,Clinical Officer,0.0,Yes,,,Providing Consultation (face-to face patient care),,Yes,1,1.0,Uganda-2013,0.5555556
117_3,117,3,Nurse,Male,,Yes,Yes,,,Yes,3.0,3.0,Nurse,0.0,Yes,Sick/maternity,,Providing Consultation (face-to face patient care),,Yes,1,1.0,Uganda-2013,0.33333334
117_2,117,2,Other,Male,35-44,Yes,Yes,,,Yes,2.0,2.0,Other,0.0,Yes,,,Providing Consultation (face-to face patient care),,Yes,1,1.0,Uganda-2013,0.33333334
117_1,117,1,Clinical Officer,Male,45 or older,Yes,Yes,,,Yes,1.0,1.0,Doctor,Male,0.0,Gone to retrieve salary,,,,,1,1.0,Uganda-2013,0.33333334
118_2,118,2,Other,0.0,25-34,Yes,Yes,,,Yes,2.0,2.0,Other,0.0,0.0,Not approved Absence,,,,,1,1.0,Uganda-2013,0.5
118_1,118,1,Doctor,0.0,35-44,Yes,Yes,,,Yes,1.0,1.0,Doctor,0.0,Yes,,,Providing Consultation (face-to face patient care),,Yes,1,1.0,Uganda-2013,0.5
119_2,119,2,Other,0.0,25-34,Yes,0.0,Outreach,,Yes,2.0,2.0,Other,0.0,Yes,,,Providing Consultation (face-to face patient care),,Yes,1,1.0,Uganda-2013,0.5
119_1,119,1,Doctor,0.0,45 or older,Yes,Yes,,,Yes,1.0,1.0,Doctor,0.0,0.0,Official mission,,,,,1,1.0,Uganda-2013,0.5
12_1,12,1,Nurse,0.0,45 or older,Yes,Yes,,,Yes,1.0,1.0,Nurse,0.0,Yes,,,Providing Consultation (face-to face patient care),,0.0,1,1.0,Uganda-2013,0.0
12_2,12,2,Nurse,0.0,45 or older,Yes,0.0,Official mission,,Yes,2.0,2.0,Nurse,0.0,Yes,,,Providing Consultation (face-to face patient care),,0.0,1,1.0,Uganda-2013,0.0
120_1,120,1,Doctor,0.0,25-34,Yes,Yes,,,Yes,1.0,1.0,Doctor,0.0,0.0,Official mission,,,,,1,1.0,Uganda-2013,0.6666667
120_2,120,2,Other,0.0,35-44,Yes,Yes,,,Yes,2.0,2.0,Other,0.0,0.0,Not approved Absence,,,,,1,1.0,Uganda-2013,0.6666667
120_3,120,3,Other,0.0,35-44,Yes,Yes,,,Yes,3.0,3.0,Other,0.0,Yes,,,Providing Consultation (face-to face patient care),,Yes,1,1.0,Uganda-2013,0.6666667
121_12,121,12,Other,0.0,25-34,0.0,0.0,Not approved Absence,,No,,,,,,,,,,,1,,Uganda-2013,0.42857143
121_3,121,3,Nurse,Male,25-34,Yes,Yes,,,Yes,3.0,3.0,Nurse,Male,Yes,,,Providing Consultation (face-to face patient care),,Yes,1,1.0,Uganda-2013,0.42857143
121_4,121,4,Nurse,0.0,35-44,Yes,0.0,Approved absence,,Yes,4.0,4.0,Nurse,0.0,Yes,,,Providing Consultation (face-to face patient care),,Yes,1,1.0,Uganda-2013,0.42857143
121_2,121,2,Clinical Officer,Male,25-34,0.0,0.0,In training/seminar,,Yes,2.0,2.0,Clinical Officer,Male,0.0,12.0,,,,,1,1.0,Uganda-2013,0.42857143
121_1,121,1,Doctor,Male,35-44,Yes,Yes,,,Yes,1.0,1.0,Doctor,Male,0.0,Outreach,,,,,1,1.0,Uganda-2013,0.42857143
121_6,121,6,Nurse,0.0,25-34,Yes,Yes,,,Yes,6.0,6.0,Nurse,0.0,Yes,,,Providing Consultation (face-to face patient care),,Yes,1,1.0,Uganda-2013,0.42857143
121_11,121,11,Other,Male,25-34,0.0,0.0,Outreach,,No,,,,,,,,,,,1,,Uganda-2013,0.42857143
121_10,121,10,Other,Male,45 or older,0.0,0.0,Official mission,,No,,,,,,,,,,,1,,Uganda-2013,0.42857143
121_13,121,13,Other,0.0,25-34,Yes,Yes,,,No,,,,,,,,,,,1,,Uganda-2013,0.42857143
121_9,121,9,Other,Male,45 or older,0.0,Yes,,,No,,,,,,,,,,,1,,Uganda-2013,0.42857143
121_5,121,5,Nurse,0.0,25-34,Yes,Yes,,,Yes,5.0,5.0,Nurse,0.0,0.0,Outreach,,,,,1,1.0,Uganda-2013,0.42857143
121_8,121,8,Other,0.0,25-34,Yes,0.0,In training/seminar,,No,,,,,,,,,,,1,,Uganda-2013,0.42857143
121_7,121,7,Nurse,0.0,Younger than 25,Yes,Yes,,,Yes,7.0,7.0,Nurse,0.0,Yes,,,Providing Consultation (face-to face patient care),,Yes,1,1.0,Uganda-2013,0.42857143
122_2,122,2,Nurse,0.0,25-34,Yes,0.0,Sick/maternity,,Yes,3.0,2.0,Nurse,0.0,Yes,,,Providing Consultation (face-to face patient care),,Yes,1,1.0,Uganda-2013,0.33333334
122_3,122,3,Other,0.0,25-34,Yes,Yes,,,Yes,1.0,3.0,Other,0.0,Yes,,,Providing Consultation (face-to face patient care),,Yes,1,1.0,Uganda-2013,0.33333334
122_1,122,1,Doctor,Male,35-44,Yes,0.0,Outreach,,Yes,2.0,1.0,Doctor,Male,0.0,Not approved Absence,,,,,1,1.0,Uganda-2013,0.33333334
123_1,123,1,Doctor,0.0,25-34,Yes,Yes,,,Yes,1.0,1.0,Doctor,0.0,Yes,,,Providing Consultation (face-to face patient care),,0.0,1,1.0,Uganda-2013,0.0
123_2,123,2,Other,0.0,25-34,Yes,Yes,,,Yes,2.0,2.0,Other,0.0,Yes,,,Waiting for patient to undress,,0.0,1,1.0,Uganda-2013,0.0
124_1,124,1,Other,0.0,25-34,Yes,Yes,,,Yes,1.0,1.0,Doctor,0.0,0.0,Gone to retrieve salary,,,,,1,1.0,Uganda-2013,0.5
124_2,124,2,Doctor,0.0,35-44,Yes,Yes,,,Yes,2.0,2.0,Other,0.0,Yes,,,Providing Consultation (face-to face patient care),,Yes,1,1.0,Uganda-2013,0.5
125_2,125,2,Nurse,0.0,Younger than 25,Yes,0.0,In training/seminar,,Yes,2.0,2.0,,0.0,0.0,In training/seminar,,,,,1,1.0,Uganda-2013,0.75
125_4,125,4,Other,Male,,Yes,0.0,Not approved Absence,,Yes,4.0,4.0,,Male,0.0,Not approved Absence,,,,,1,1.0,Uganda-2013,0.75
125_1,125,1,Nurse,Male,25-34,Yes,Yes,,,Yes,1.0,1.0,Doctor,Male,Yes,,,Providing Consultation (face-to face patient care),,0.0,1,1.0,Uganda-2013,0.75
125_3,125,3,Nurse,Male,25-34,Yes,0.0,Not approved Absence,,Yes,3.0,3.0,,Male,0.0,Not approved Absence,,,,,1,1.0,Uganda-2013,0.75
126_2,126,2,Other,0.0,Younger than 25,Yes,Yes,,,Yes,2.0,2.0,Other,0.0,Yes,,,Providing Consultation (face-to face patient care),,0.0,1,1.0,Uganda-2013,0.33333334
126_3,126,3,Doctor,Male,35-44,Yes,Yes,,,Yes,3.0,3.0,Doctor,Male,0.0,Not approved Absence,,,,,1,1.0,Uganda-2013,0.33333334
126_1,126,1,Other,Male,Younger than 25,Yes,Yes,,,Yes,1.0,1.0,Other,Male,Yes,,,Providing Consultation (face-to face patient care),,0.0,1,1.0,Uganda-2013,0.33333334
127_2,127,2,Nurse,0.0,25-34,Yes,0.0,In training/seminar,,Yes,3.0,2.0,Nurse,0.0,0.0,In training/seminar,,,,,1,1.0,Uganda-2013,0.6666667
127_3,127,3,Other,Male,35-44,Yes,Yes,,,Yes,2.0,3.0,Other,Male,0.0,Approved absence,,,,,1,1.0,Uganda-2013,0.6666667
127_1,127,1,Doctor,Male,25-34,Yes,Yes,,,Yes,1.0,1.0,Doctor,Male,Yes,,,,,0.0,1,1.0,Uganda-2013,0.6666667
128_7,128,7,Nurse,0.0,25-34,Yes,0.0,In training/seminar,,Yes,7.0,7.0,Nurse,0.0,0.0,Sick/maternity,,,,,1,1.0,Uganda-2013,0.6
128_3,128,3,Nurse,0.0,35-44,Yes,0.0,Sick/maternity,,Yes,3.0,3.0,Nurse,0.0,Yes,,,Providing Consultation (face-to face patient care),,Yes,1,1.0,Uganda-2013,0.6
128_12,128,12,Other,Male,35-44,0.0,0.0,In training/seminar,,No,,,,,,,,,,,1,,Uganda-2013,0.6
128_11,128,11,Other,Male,25-34,0.0,Yes,,,No,,,,,,,,,,,1,,Uganda-2013,0.6
128_5,128,5,Nurse,0.0,25-34,Yes,0.0,12.0,,Yes,5.0,5.0,Nurse,0.0,0.0,Sick/maternity,,,,,1,1.0,Uganda-2013,0.6
128_13,128,13,Other,Male,35-44,0.0,Yes,,,No,,,,,,,,,,,1,,Uganda-2013,0.6
128_6,128,6,Nurse,0.0,25-34,Yes,0.0,In training/seminar,,Yes,6.0,6.0,Nurse,0.0,0.0,Sick/maternity,,,,,1,1.0,Uganda-2013,0.6
128_8,128,8,Other,0.0,45 or older,Yes,Yes,,,Yes,8.0,8.0,Other,0.0,0.0,Not approved Absence,,,,,1,1.0,Uganda-2013,0.6
128_9,128,9,Other,0.0,35-44,Yes,Yes,,,Yes,9.0,9.0,Other,0.0,Yes,,,Providing Consultation (face-to face patient care),,Yes,1,1.0,Uganda-2013,0.6
128_14,128,14,Other,Male,35-44,0.0,0.0,Official mission,,No,,,,,,,,,,,1,,Uganda-2013,0.6
128_10,128,10,Other,Male,,Yes,0.0,In training/seminar,,Yes,10.0,10.0,Other,0.0,0.0,Not approved Absence,,,,,1,1.0,Uganda-2013,0.6
128_4,128,4,Nurse,0.0,25-34,Yes,Yes,,,Yes,4.0,4.0,Nurse,0.0,0.0,Not approved Absence,,,,,1,1.0,Uganda-2013,0.6
128_2,128,2,Clinical Officer,Male,35-44,Yes,Yes,,,Yes,2.0,2.0,Doctor,Male,Yes,,,Providing Consultation (face-to face patient care),,Yes,1,1.0,Uganda-2013,0.6
128_1,128,1,Clinical Officer,Male,35-44,Yes,0.0,Sick/maternity,,Yes,1.0,1.0,Clinical Officer,Male,Yes,,,Providing Consultation (face-to face patient care),,Yes,1,1.0,Uganda-2013,0.6
129_1,129,1,Nurse,Male,Younger than 25,Yes,Yes,,,Yes,1.0,1.0,Doctor,Male,0.0,In training/seminar,,,,,1,1.0,Uganda-2013,0.5
129_2,129,2,Nurse,0.0,45 or older,Yes,Yes,,,Yes,2.0,2.0,Other,0.0,Yes,,,Providing Consultation (face-to face patient care),,0.0,1,1.0,Uganda-2013,0.5
13_1,13,1,Nurse,0.0,25-34,Yes,Yes,,,Yes,1.0,1.0,Nurse,0.0,Yes,,,Interpreting laboratory work or radiographs,WAITING FOR PATIENTS,Yes,1,1.0,Uganda-2013,0.0
13_2,13,2,Other,0.0,25-34,Yes,Yes,,,Yes,2.0,2.0,Other,0.0,Yes,,,Interpreting laboratory work or radiographs,WAITING FOR PATIENTS,Yes,1,1.0,Uganda-2013,0.0
130_8,130,8,Nurse,0.0,25-34,0.0,0.0,In training/seminar,,No,,,,,,,,,,,1,,Uganda-2013,0.44444445
130_7,130,7,Nurse,0.0,35-44,Yes,Yes,,,Yes,7.0,7.0,Nurse,0.0,Yes,,,Providing Consultation (face-to face patient care),,Yes,1,1.0,Uganda-2013,0.44444445
130_2,130,2,Doctor,Male,25-34,Yes,0.0,Official mission,,Yes,2.0,2.0,Doctor,Male,0.0,Official mission,,Providing Consultation (face-to face patient care),,Yes,1,1.0,Uganda-2013,0.44444445
130_1,130,1,Doctor,Male,35-44,Yes,Yes,,,Yes,1.0,1.0,Doctor,Male,Yes,,,Providing Consultation (face-to face patient care),,Yes,1,1.0,Uganda-2013,0.44444445
130_11,130,11,Other,Male,45 or older,0.0,0.0,In training/seminar,,No,,,,,,,,,,,1,,Uganda-2013,0.44444445
130_5,130,5,Nurse,0.0,25-34,0.0,0.0,12.0,,Yes,5.0,5.0,Nurse,0.0,0.0,In training/seminar,,Providing Consultation (face-to face patient care),,Yes,1,1.0,Uganda-2013,0.44444445
130_10,130,10,Other,0.0,35-44,Yes,0.0,Sick/maternity,,Yes,10.0,10.0,Other,0.0,0.0,Sick/maternity,,,,,1,1.0,Uganda-2013,0.44444445
130_4,130,4,Nurse,0.0,Younger than 25,Yes,Yes,,,Yes,4.0,4.0,Nurse,0.0,Yes,,,Providing Consultation (face-to face patient care),,Yes,1,1.0,Uganda-2013,0.44444445
130_3,130,3,Nurse,Male,35-44,Yes,0.0,12.0,,Yes,3.0,3.0,Nurse,Male,Yes,,,Providing Consultation (face-to face patient care),,Yes,1,1.0,Uganda-2013,0.44444445
130_12,130,12,Other,Male,25-34,0.0,Yes,,,No,,,,,,,,,,,1,,Uganda-2013,0.44444445
130_13,130,13,Other,Male,35-44,0.0,Yes,,,No,,,,,,,,,,,1,,Uganda-2013,0.44444445
130_9,130,9,Other,Male,25-34,Yes,0.0,Sick/maternity,,Yes,9.0,9.0,Other,Male,0.0,Not approved Absence,,,,,1,1.0,Uganda-2013,0.44444445
130_6,130,6,Nurse,Male,25-34,Yes,Yes,,,Yes,6.0,6.0,Nurse,Male,Yes,,,,,,1,1.0,Uganda-2013,0.44444445
131_2,131,2,Other,Male,45 or older,Yes,0.0,In training/seminar,,Yes,2.0,2.0,Other,Male,0.0,In training/seminar,,,,,1,1.0,Uganda-2013,0.5
131_1,131,1,Doctor,0.0,35-44,Yes,Yes,,,Yes,1.0,1.0,Doctor,0.0,Yes,,,Providing Consultation (face-to face patient care),,0.0,1,1.0,Uganda-2013,0.5
132_10,132,10,Other,Male,45 or older,0.0,0.0,12.0,,No,,,,,,,,,,,1,,Uganda-2013,0.6
132_9,132,9,Other,0.0,45 or older,0.0,Yes,,,No,9.0,9.0,Other,0.0,Yes,,,Completing encounter form or billing sheet,,Yes,1,1.0,Uganda-2013,0.6
132_3,132,3,Nurse,Male,25-34,0.0,0.0,12.0,,No,3.0,3.0,Nurse,Male,0.0,12.0,,,,,1,1.0,Uganda-2013,0.6
132_12,132,12,Other,Male,25-34,0.0,Yes,,,No,6.0,12.0,Other,Male,0.0,Outreach,,,,,1,1.0,Uganda-2013,0.6
132_4,132,4,Nurse,0.0,25-34,0.0,0.0,12.0,,No,,,,,,,,,,,1,,Uganda-2013,0.6
132_13,132,13,Other,Male,25-34,0.0,Yes,,,No,7.0,13.0,Other,Male,Yes,,,Waiting for patient to undress,,Yes,1,1.0,Uganda-2013,0.6
132_1,132,1,Clinical Officer,Male,25-34,Yes,0.0,In training/seminar,,No,2.0,1.0,Clinical Officer,Male,0.0,Approved absence,,,,,1,1.0,Uganda-2013,0.6
132_2,132,2,Nurse,0.0,25-34,Yes,Yes,,T,Yes,8.0,2.0,Nurse,0.0,Yes,,,Providing Consultation (face-to face patient care),,Yes,1,1.0,Uganda-2013,0.6
132_6,132,6,Nurse,0.0,Younger than 25,0.0,0.0,In training/seminar,,No,10.0,6.0,Nurse,0.0,0.0,In training/seminar,,,,,1,1.0,Uganda-2013,0.6
132_8,132,8,Nurse,Male,35-44,Yes,0.0,12.0,,No,5.0,8.0,Nurse,Male,0.0,12.0,,,,,1,1.0,Uganda-2013,0.6
132_5,132,5,Nurse,0.0,25-34,Yes,0.0,In training/seminar,,No,4.0,5.0,Nurse,0.0,0.0,In training/seminar,,,,,1,1.0,Uganda-2013,0.6
