fac_id,staff_id,m2saq1,m2saq2,m2saq3,m2q5_c,m2q6_hr,m2q6_mn,m2q7_hr,m2q7_mn,m2saq4,m2saq7,m2saq8,m2saq9,m2saq10,m2saq11,m2saq12,m2saq13,m2saq14,m2saq15,m2saq16,m2sbq1,m2sbq3,m2sbq5,m2sbq6,m2sbq7,m2sbq8,m2sbq9,m2sbq10,m2sbq11,m2sbq12,m2sbq13,m2sbq14
10,2,11-50,6-10,5 or less,703,9,30,10,15,2,Clinical Officer,Secondary,Certificate,Male,45 or older,Yes,No,Authorised absence (permision/leave),Yes,,2.0,2.0,Clinical Officer,Secondary,Certificate,Before 1990,Male,45 or older,Yes,,Consultation/visiting patient,No
10,3,11-50,6-10,5 or less,703,9,30,10,15,3,Nurse,Primary,Certificate,Female,45 or older,No,Yes,,Yes,,3.0,3.0,Nurse,Primary,Certificate,Before 1990,Female,45 or older,Yes,,Consultation/visiting patient,No
10,4,11-50,6-10,5 or less,703,9,30,10,15,4,Other,Secondary,Certificate,Female,25-34,No,Yes,,Yes,,4.0,4.0,Other,Secondary,Certificate,After 2000,Female,25-34,Yes,,Consultation/visiting patient,No
10,5,11-50,6-10,5 or less,703,9,30,10,15,5,Other,Primary,Certificate,Female,45 or older,No,Yes,,Yes,,5.0,5.0,Other,Primary,Certificate,Before 1990,Female,45 or older,Yes,,Consultation/visiting patient,No
10,6,11-50,6-10,5 or less,703,9,30,10,15,6,Other,Secondary,Certificate,Female,35-44,No,Yes,,Yes,,6.0,6.0,Other,Secondary,Certificate,After 2000,Female,35-44,No,"On call (pre on call, post on call)",,
10,7,11-50,6-10,5 or less,703,9,30,10,15,7,Other,Primary,Certificate,Male,45 or older,No,Yes,,Yes,,7.0,7.0,Other,Primary,Certificate,Before 1990,Male,45 or older,Yes,,Laboratory/investigations/X-ray,No
10,8,11-50,6-10,5 or less,703,9,30,10,15,8,Other,Primary,Certificate,Female,35-44,No,Yes,,Yes,,8.0,8.0,Other,Primary,Certificate,In the 1990s,Female,35-44,Yes,,Consultation/visiting patient,No
10,9,11-50,6-10,5 or less,703,9,30,10,15,9,Other,Secondary,Certificate,Male,25-34,No,Yes,,Yes,,9.0,9.0,Other,Secondary,Certificate,After 2000,Male,25-34,No,Collecting salary,,
10,10,11-50,6-10,5 or less,703,9,30,10,15,10,Other,Secondary,Certificate,Female,25-34,No,Yes,,Yes,,10.0,10.0,Other,Secondary,Certificate,After 2000,Female,25-34,Yes,,Consultation/visiting patient,No
11,1,6-10,5 or less,5 or less,702,9,45,10,15,1,Clinical Officer,Primary,Certificate,Male,45 or older,Yes,Yes,,Yes,Yes,1.0,1.0,Clinical Officer,Primary,Certificate,Before 1990,Male,45 or older,Yes,,Consultation/visiting patient,Yes
11,2,6-10,5 or less,5 or less,702,9,45,10,15,2,Other,Primary,None,Female,35-44,No,Yes,,Yes,,2.0,2.0,Other,Primary,Certificate,In the 1990s,Female,35-44,Yes,,Consultation/visiting patient,Yes
12,1,5 or less,5 or less,5 or less,702,14,30,15,0,1,Clinical Officer,Secondary,Diploma,Male,45 or older,Yes,Yes,,Yes,Yes,1.0,1.0,Clinical Officer,Secondary,Diploma,In the 1990s,Male,45 or older,Yes,,Consultation/visiting patient,Yes
12,2,5 or less,5 or less,5 or less,702,14,30,15,0,2,Other,Secondary,None,Female,35-44,No,Yes,,Yes,,2.0,2.0,Other,Secondary,None,After 2000,Female,35-44,Yes,,Consultation/visiting patient,Yes
13,1,5 or less,5 or less,5 or less,703,11,30,12,30,1,Clinical Officer,Secondary,Certificate,Male,45 or older,Yes,Yes,,Yes,Yes,1.0,1.0,Clinical Officer,Secondary,Certificate,Before 1990,Male,45 or older,Yes,,Consultation/visiting patient,No
13,2,5 or less,5 or less,5 or less,703,11,30,12,30,2,Other,Secondary,Certificate,Female,25-34,No,No,Collecting salary,Yes,,2.0,2.0,Other,Secondary,Certificate,After 2000,Female,25-34,Yes,,Consultation/visiting patient,No
15,1,5 or less,5 or less,5 or less,701,13,30,15,0,1,Doctor,Post-Secondary,Certificate,Male,45 or older,Yes,Yes,,Yes,Yes,1.0,1.0,Doctor,Post-Secondary,Certificate,Before 1990,Male,45 or older,Yes,,Consultation/visiting patient,Yes
15,2,5 or less,5 or less,5 or less,701,13,30,15,0,2,Doctor,Post-Secondary,Certificate,Male,45 or older,Yes,No,Authorised absence (permision/leave),Yes,,2.0,2.0,Doctor,Post-Secondary,Certificate,Before 1990,Male,45 or older,Yes,,Consultation/visiting patient,Yes
17,1,5 or less,5 or less,5 or less,703,8,40,10,40,1,Other,Secondary,Certificate,Female,25-34,Yes,Yes,,Yes,Yes,1.0,1.0,Other,Secondary,Certificate,After 2000,Female,25-34,Yes,,Consultation/visiting patient,No
17,2,5 or less,5 or less,5 or less,703,8,40,10,40,2,Clinical Officer,Secondary,Diploma,Male,25-34,Yes,No,Official mission,Yes,,2.0,2.0,Clinical Officer,Secondary,Diploma,After 2000,Male,25-34,Yes,,Paperwork/reports,No
18,1,5 or less,5 or less,5 or less,701,14,45,14,50,1,Other,Secondary,Certificate,Female,45 or older,Yes,Yes,,Yes,Yes,1.0,1.0,Other,Secondary,Certificate,Before 1990,Male,45 or older,Yes,,Consultation/visiting patient,Yes
18,2,5 or less,5 or less,5 or less,701,14,45,14,50,2,Other,Primary,Certificate,Male,45 or older,Yes,No,Authorised absence (permision/leave),Yes,,2.0,2.0,Other,Primary,Certificate,In the 1990s,Female,45 or older,Yes,,Consultation/visiting patient,Yes
20,1,11-50,6-10,5 or less,702,9,45,10,20,1,Doctor,Secondary,Diploma,Male,45 or older,Yes,Yes,,Yes,Yes,1.0,1.0,Doctor,Secondary,Diploma,Before 1990,Male,45 or older,Yes,,Consultation/visiting patient,No
20,2,11-50,6-10,5 or less,702,9,45,10,20,2,Clinical Officer,Secondary,Certificate,Male,25-34,Yes,Yes,,Yes,Yes,2.0,2.0,Clinical Officer,Secondary,Certificate,After 2000,Male,25-34,Yes,,Consultation/visiting patient,No
20,3,11-50,6-10,5 or less,702,9,45,10,20,3,Nurse,Secondary,Diploma,Female,45 or older,No,Yes,,Yes,,3.0,3.0,Nurse,Secondary,Diploma,Before 1990,Female,45 or older,Yes,,Paperwork/reports,No
20,4,11-50,6-10,5 or less,702,9,45,10,20,4,Nurse,Secondary,Diploma,Female,35-44,No,Yes,,Yes,,4.0,4.0,Nurse,Secondary,Diploma,After 2000,Female,35-44,No,Sickness/maternity,,
20,5,11-50,6-10,5 or less,702,9,45,10,20,5,Nurse,Secondary,Diploma,Female,35-44,No,Yes,,Yes,,5.0,5.0,Nurse,Secondary,Diploma,In the 1990s,Female,35-44,Yes,,Looking for information/teaching,No
20,6,11-50,6-10,5 or less,702,9,45,10,20,6,Other,Secondary,Certificate,Female,25-34,No,No,"On call (pre on call, post on call)",Yes,,6.0,6.0,Other,Secondary,Certificate,After 2000,Female,25-34,No,Authorised absence (permision/leave),,
20,7,11-50,6-10,5 or less,702,9,45,10,20,7,Other,Secondary,Certificate,Female,25-34,No,No,"On call (pre on call, post on call)",Yes,,7.0,7.0,Other,Secondary,Certificate,After 2000,Female,25-34,No,Training/seminar/meeting,,
20,8,11-50,6-10,5 or less,702,9,45,10,20,8,Other,Secondary,Certificate,Female,35-44,No,No,"On call (pre on call, post on call)",Yes,,8.0,8.0,Other,Secondary,Certificate,In the 1990s,Female,35-44,Yes,,Consultation/visiting patient,No
20,9,11-50,6-10,5 or less,702,9,45,10,20,9,Other,Secondary,Certificate,Female,25-34,No,Yes,,Yes,,9.0,9.0,Other,Secondary,Certificate,After 2000,Female,25-34,No,Collecting salary,,
20,10,11-50,6-10,5 or less,702,9,45,10,20,10,Other,Secondary,Certificate,Female,25-34,No,No,"On call (pre on call, post on call)",Yes,,10.0,10.0,Other,Secondary,Certificate,After 2000,Female,25-34,Yes,,Consultation/visiting patient,No
21,1,5 or less,5 or less,5 or less,701,9,30,9,40,1,Clinical Officer,Secondary,Diploma,Male,35-44,Yes,Yes,,Yes,Yes,1.0,1.0,Clinical Officer,Secondary,Diploma,In the 1990s,Male,35-44,Yes,,Consultation/visiting patient,Yes
21,2,5 or less,5 or less,5 or less,701,9,30,9,40,2,Nurse,Secondary,Diploma,Female,45 or older,No,Yes,,Yes,,4.0,2.0,Nurse,Secondary,Diploma,In the 1990s,Female,45 or older,Yes,,Consultation/visiting patient,No
21,3,5 or less,5 or less,5 or less,701,9,30,9,40,3,Nurse,Secondary,Diploma,Female,35-44,No,Yes,,Yes,,2.0,3.0,Nurse,Secondary,Diploma,In the 1990s,Female,35-44,Yes,,Consultation/visiting patient,No
21,4,5 or less,5 or less,5 or less,701,9,30,9,40,4,Nurse,Secondary,Diploma,Female,35-44,No,Yes,,Yes,,3.0,4.0,Nurse,Secondary,Diploma,After 2000,Female,35-44,Yes,,Consultation/visiting patient,No
22,1,Over 50,Over 50,Over 5,702,13,30,14,20,1,Doctor,Secondary,Diploma,Male,45 or older,Yes,Yes,,No,Yes,,,,,,,,,,,,
22,2,Over 50,Over 50,Over 5,702,13,30,14,20,2,Doctor,Secondary,Diploma,Male,35-44,Yes,Yes,,No,Yes,,,,,,,,,,,,
22,3,Over 50,Over 50,Over 5,702,13,30,14,20,3,Doctor,Secondary,Diploma,Male,35-44,Yes,No,Official mission,No,,,,,,,,,,,,,
22,4,Over 50,Over 50,Over 5,702,13,30,14,20,4,Doctor,Secondary,Diploma,Male,35-44,Yes,No,Authorised absence (permision/leave),No,,,,,,,,,,,,,
22,5,Over 50,Over 50,Over 5,702,13,30,14,20,5,Doctor,Secondary,Diploma,Female,25-34,Yes,No,"On call (pre on call, post on call)",No,,,,,,,,,,,,,
22,6,Over 50,Over 50,Over 5,702,13,30,14,20,6,Doctor,Secondary,Diploma,Male,45 or older,Yes,No,Training/seminar/meeting,Yes,,7.0,6.0,Doctor,Secondary,Diploma,Before 1990,Male,45 or older,No,"On call (pre on call, post on call)",,
22,7,Over 50,Over 50,Over 5,702,13,30,14,20,7,Doctor,Secondary,Diploma,Female,25-34,Yes,No,"On call (pre on call, post on call)",No,,,,,,,,,,,,,
22,8,Over 50,Over 50,Over 5,702,13,30,14,20,8,Clinical Officer,Secondary,Diploma,Female,45 or older,Yes,No,Authorised absence (permision/leave),Yes,,5.0,8.0,Clinical Officer,Secondary,Diploma,Before 1990,Male,45 or older,Yes,,Paperwork/reports,No
22,9,Over 50,Over 50,Over 5,702,13,30,14,20,9,Clinical Officer,Secondary,Certificate,Female,25-34,Yes,Yes,,No,Yes,,,,,,,,,,,,
22,10,Over 50,Over 50,Over 5,702,13,30,14,20,10,Clinical Officer,Secondary,Certificate,Male,25-34,Yes,Yes,,No,Yes,,,,,,,,,,,,
22,11,Over 50,Over 50,Over 5,702,13,30,14,20,11,Nurse,Secondary,Diploma,Female,35-44,No,Yes,,No,,,,,,,,,,,,,
22,12,Over 50,Over 50,Over 5,702,13,30,14,20,12,Nurse,Secondary,Diploma,Female,35-44,No,Yes,,No,,,,,,,,,,,,,
22,13,Over 50,Over 50,Over 5,702,13,30,14,20,13,Nurse,Secondary,Diploma,Female,35-44,No,No,Training/seminar/meeting,No,,,,,,,,,,,,,
22,14,Over 50,Over 50,Over 5,702,13,30,14,20,14,Nurse,Secondary,Diploma,Female,35-44,No,No,Sickness/maternity,No,,,,,,,,,,,,,
22,15,Over 50,Over 50,Over 5,702,13,30,14,20,15,Nurse,Secondary,Diploma,Female,35-44,No,Yes,,No,,,,,,,,,,,,,
22,16,Over 50,Over 50,Over 5,702,13,30,14,20,16,Nurse,Secondary,Diploma,Male,25-34,No,Yes,,No,,,,,,,,,,,,,
22,17,Over 50,Over 50,Over 5,702,13,30,14,20,17,Nurse,Secondary,Diploma,Male,25-34,No,Yes,,Yes,,4.0,17.0,Nurse,Secondary,Diploma,After 2000,Male,25-34,Yes,,Consultation/visiting patient,No
22,18,Over 50,Over 50,Over 5,702,13,30,14,20,18,Nurse,Secondary,Diploma,Female,25-34,No,Yes,,No,,,,,,,,,,,,,
22,19,Over 50,Over 50,Over 5,702,13,30,14,20,19,Nurse,Secondary,Diploma,Female,25-34,No,Yes,,No,,,,,,,,,,,,,
22,20,Over 50,Over 50,Over 5,702,13,30,14,20,20,Nurse,Secondary,Diploma,Female,25-34,No,No,Sickness/maternity,No,,,,,,,,,,,,,
22,21,Over 50,Over 50,Over 5,702,13,30,14,20,21,Nurse,Secondary,Diploma,Female,25-34,No,Yes,,No,,,,,,,,,,,,,
22,22,Over 50,Over 50,Over 5,702,13,30,14,20,22,Nurse,Secondary,Diploma,Female,25-34,No,Yes,,No,,,,,,,,,,,,,
22,23,Over 50,Over 50,Over 5,702,13,30,14,20,23,Nurse,Secondary,Diploma,Female,25-34,No,No,"On call (pre on call, post on call)",No,,,,,,,,,,,,,
22,24,Over 50,Over 50,Over 5,702,13,30,14,20,24,Nurse,Secondary,Diploma,Female,25-34,No,No,"On call (pre on call, post on call)",Yes,,8.0,24.0,Nurse,Secondary,Diploma,After 2000,Female,25-34,No,"On call (pre on call, post on call)",,
22,25,Over 50,Over 50,Over 5,702,13,30,14,20,25,Nurse,Secondary,Diploma,Female,25-34,No,Yes,,No,,,,,,,,,,,,,
22,26,Over 50,Over 50,Over 5,702,13,30,14,20,26,Nurse,Secondary,Diploma,Female,25-34,No,Yes,,No,,,,,,,,,,,,,
22,27,Over 50,Over 50,Over 5,702,13,30,14,20,27,Other,Secondary,Certificate,Male,25-34,No,No,Training/seminar/meeting,Yes,,10.0,27.0,Other,Secondary,Certificate,Before 1990,Male,45 or older,No,"On call (pre on call, post on call)",,
22,28,Over 50,Over 50,Over 5,702,13,30,14,20,28,Nurse,Secondary,Diploma,Male,25-34,No,Yes,,No,,,,,,,,,,,,,
22,29,Over 50,Over 50,Over 5,702,13,30,14,20,29,Other,Secondary,Certificate,Male,45 or older,No,Yes,,No,,,,,,,,,,,,,
22,30,Over 50,Over 50,Over 5,702,13,30,14,20,30,Other,Secondary,Certificate,Female,45 or older,No,No,Sickness/maternity,Yes,,2.0,30.0,Other,Secondary,Certificate,Before 1990,Female,45 or older,Yes,,Consultation/visiting patient,No
22,31,Over 50,Over 50,Over 5,702,13,30,14,20,31,Other,Secondary,Certificate,Female,45 or older,No,No,"On call (pre on call, post on call)",Yes,,6.0,31.0,Other,Secondary,Certificate,In the 1990s,Female,45 or older,Yes,,Laboratory/investigations/X-ray,No
22,32,Over 50,Over 50,Over 5,702,13,30,14,20,32,Other,Secondary,Certificate,Female,45 or older,No,Yes,,No,,,,,,,,,,,,,
22,33,Over 50,Over 50,Over 5,702,13,30,14,20,33,Other,Secondary,Certificate,Female,35-44,No,Yes,,No,,,,,,,,,,,,,
22,34,Over 50,Over 50,Over 5,702,13,30,14,20,34,Other,Secondary,Certificate,Female,35-44,No,Yes,,No,,,,,,,,,,,,,
22,35,Over 50,Over 50,Over 5,702,13,30,14,20,35,Other,Secondary,Certificate,Female,25-34,No,No,Authorised absence (permision/leave),No,,,,,,,,,,,,,
22,36,Over 50,Over 50,Over 5,702,13,30,14,20,36,Other,Secondary,Certificate,Female,25-34,No,No,Collecting salary,No,,,,,,,,,,,,,
22,37,Over 50,Over 50,Over 5,702,13,30,14,20,37,Other,Secondary,Certificate,Female,25-34,No,Yes,,No,,,,,,,,,,,,,
22,38,Over 50,Over 50,Over 5,702,13,30,14,20,38,Other,Secondary,Certificate,Male,25-34,No,No,"On call (pre on call, post on call)",Yes,,9.0,38.0,Other,Secondary,Certificate,After 2000,Male,25-34,No,"On call (pre on call, post on call)",,
22,39,Over 50,Over 50,Over 5,702,13,30,14,20,39,Other,Secondary,Certificate,Male,25-34,No,No,"On call (pre on call, post on call)",No,,,,,,,,,,,,,
22,40,Over 50,Over 50,Over 5,702,13,30,14,20,40,Other,Secondary,Certificate,Female,25-34,No,No,"On call (pre on call, post on call)",No,,,,,,,,,,,,,
22,41,Over 50,Over 50,Over 5,702,13,30,14,20,41,Other,Secondary,Certificate,Female,25-34,No,Yes,,No,,,,,,,,,,,,,
22,42,Over 50,Over 50,Over 5,702,13,30,14,20,42,Other,Primary,Certificate,Female,25-34,No,Yes,,No,,,,,,,,,,,,,
22,43,Over 50,Over 50,Over 5,702,13,30,14,20,43,Other,Primary,Certificate,Female,25-34,No,Yes,,No,,,,,,,,,,,,,
22,44,Over 50,Over 50,Over 5,702,13,30,14,20,44,Other,Primary,Certificate,Female,25-34,No,No,Sickness/maternity,Yes,,1.0,44.0,Other,Secondary,Certificate,After 2000,Female,25-34,Yes,,Consultation/visiting patient,No
22,45,Over 50,Over 50,Over 5,702,13,30,14,20,45,Other,Primary,Certificate,Female,25-34,No,No,"On call (pre on call, post on call)",No,,,,,,,,,,,,,
22,46,Over 50,Over 50,Over 5,702,13,30,14,20,46,Other,Primary,Certificate,Male,25-34,No,No,"On call (pre on call, post on call)",No,,,,,,,,,,,,,
22,47,Over 50,Over 50,Over 5,702,13,30,14,20,47,Other,Primary,Certificate,Male,25-34,No,No,"On call (pre on call, post on call)",No,,,,,,,,,,,,,
22,48,Over 50,Over 50,Over 5,702,13,30,14,20,48,Other,Primary,Certificate,Male,25-34,No,No,"On call (pre on call, post on call)",No,,,,,,,,,,,,,
22,49,Over 50,Over 50,Over 5,702,13,30,14,20,49,Other,Primary,Certificate,Male,Younger than 25,No,No,"On call (pre on call, post on call)",Yes,,3.0,49.0,Other,Secondary,Certificate,After 2000,Male,Younger than 25,No,"On call (pre on call, post on call)",,
22,50,Over 50,Over 50,Over 5,702,13,30,14,20,50,Other,Primary,Certificate,Female,25-34,No,No,"On call (pre on call, post on call)",No,,,,,,,,,,,,,
23,1,5 or less,5 or less,5 or less,703,9,0,9,30,1,Other,Secondary,Certificate,Female,25-34,Yes,Yes,,Yes,Yes,1.0,1.0,Other,Secondary,Certificate,After 2000,Female,25-34,Yes,,Consultation/visiting patient,No
23,2,5 or less,5 or less,5 or less,703,9,0,9,30,2,Clinical Officer,Secondary,Diploma,Female,35-44,No,No,Sickness/maternity,Yes,,2.0,2.0,Clinical Officer,Secondary,Diploma,In the 1990s,Female,35-44,Yes,,Consultation/visiting patient,No
24,1,11-50,6-10,5 or less,702,14,15,14,40,1,Doctor,Secondary,Diploma,Male,45 or older,Yes,Yes,,Yes,Yes,1.0,1.0,Doctor,Secondary,Diploma,Before 1990,Male,45 or older,Yes,,Consultation/visiting patient,Yes
24,2,11-50,6-10,5 or less,702,14,15,14,40,2,Clinical Officer,Secondary,Diploma,Male,25-34,Yes,Yes,,Yes,Yes,2.0,2.0,Clinical Officer,Secondary,Diploma,After 2000,Male,25-34,Yes,,Consultation/visiting patient,Yes
24,3,11-50,6-10,5 or less,702,14,15,14,40,3,Clinical Officer,Secondary,Certificate,Male,25-34,Yes,No,"On call (pre on call, post on call)",Yes,,3.0,3.0,Clinical Officer,Secondary,Certificate,After 2000,Male,25-34,No,Authorised absence (permision/leave),,
24,4,11-50,6-10,5 or less,702,14,15,14,40,4,Nurse,Secondary,Diploma,Female,45 or older,No,Yes,,Yes,,4.0,4.0,Nurse,Secondary,Diploma,In the 1990s,Female,45 or older,Yes,,Consultation/visiting patient,Yes
24,5,11-50,6-10,5 or less,702,14,15,14,40,5,Nurse,Secondary,Diploma,Female,45 or older,No,No,"On call (pre on call, post on call)",Yes,,5.0,5.0,Other,Secondary,Diploma,Before 1990,Female,45 or older,Yes,,Consultation/visiting patient,Yes
24,6,11-50,6-10,5 or less,702,14,15,14,40,6,Other,Secondary,Certificate,Female,25-34,No,Yes,,Yes,,6.0,6.0,Other,Secondary,Certificate,After 2000,Female,25-34,No,"On call (pre on call, post on call)",,
24,7,11-50,6-10,5 or less,702,14,15,14,40,7,Other,Secondary,Certificate,Female,25-34,No,No,"On call (pre on call, post on call)",Yes,,7.0,7.0,Other,Secondary,Certificate,After 2000,Female,25-34,No,"On call (pre on call, post on call)",,
24,8,11-50,6-10,5 or less,702,14,15,14,40,8,Other,Secondary,Certificate,Female,45 or older,No,No,"On call (pre on call, post on call)",Yes,,8.0,8.0,Other,Secondary,Certificate,In the 1990s,Female,45 or older,Yes,,Laboratory/investigations/X-ray,Yes
24,9,11-50,6-10,5 or less,702,14,15,14,40,9,Other,Secondary,Certificate,Female,35-44,No,No,"On call (pre on call, post on call)",Yes,,9.0,9.0,Other,Secondary,Certificate,In the 1990s,Female,35-44,Yes,,Consultation/visiting patient,Yes
24,10,11-50,6-10,5 or less,702,14,15,14,40,10,Other,Secondary,Certificate,Female,25-34,No,No,"On call (pre on call, post on call)",Yes,,10.0,10.0,Other,Secondary,Certificate,After 2000,Female,25-34,No,Sickness/maternity,,
25,1,5 or less,5 or less,5 or less,703,14,10,14,20,1,Clinical Officer,Secondary,Certificate,Female,45 or older,Yes,Yes,,Yes,Yes,1.0,1.0,Clinical Officer,Secondary,Certificate,Before 1990,Female,45 or older,Yes,,Consultation/visiting patient,No
26,1,5 or less,5 or less,5 or less,701,8,41,9,0,1,Nurse,Primary,Certificate,Female,45 or older,Yes,Yes,,Yes,Yes,1.0,1.0,Nurse,Primary,Certificate,Before 1990,Female,45 or older,Yes,,Consultation/visiting patient,Yes
