fac_id,staff_id,q110_cadre,q111_gender,q112_age,q113_does_regularly_perform_outp,q114_is_currently_in_the_facilit,q115_reason_for_absence,q115_b_other_specify,q117_cadre,q118_gender,q119_currently_in_facility,q120_reason_for_absence,q120_b_other_specify,q121_current_activity,q121_b_other_specify,q122_experience_salary_delay,q116b
10171,28,Nurse,FEMALE,,NO,NO,NOT HIS/HER SHIFT, ,Nurse,FEMALE,NO,NOT HIS/HER SHIFT, ,, ,,28.0
10171,29,Nurse,MALE,,NO,NO,NOT HIS/HER SHIFT, ,Nurse,MALE,NO,NOT HIS/HER SHIFT, ,, ,,29.0
10185,1,Clinical Officer,MALE,25-34,YES,YES,, ,Clinical Officer,MALE,YES,, ,PROVIDING CONSULTATION (FACE-TO FACE PATIENT CARE), ,NO,1.0
10185,2,Other,FEMALE,25-34,NO,YES,, ,Other,FEMALE,YES,, ,WRITING A PRESCRIPTION, ,NO,2.0
10185,3,Other,MALE,25-34,NO,YES,, ,Other,MALE,YES,, ,INTERPRETING LABORATORY WORK OR RADIOGRAPHS, ,NO,3.0
10185,4,Other,MALE,25-34,NO,YES,, ,Other,MALE,YES,, ,PROVIDING CONSULTATION (FACE-TO FACE PATIENT CARE), ,NO,4.0
10185,5,Nurse,FEMALE,25-34,YES,NO,APPROVED ABSENCE, ,Nurse,FEMALE,NO,APPROVED ABSENCE, ,, ,,5.0
10213,1,Nurse,FEMALE,45 or older,YES,YES,, ,Nurse,FEMALE,YES,, ,TELEPHONE CALL FROM/TO PATIENT OR FAMILY MEMBERS, ,NO,1.0
10213,2,Nurse,FEMALE,35-44,YES,YES,, ,Nurse,FEMALE,NO,APPROVED ABSENCE, ,, ,,2.0
10213,3,Nurse,FEMALE,25-34,YES,YES,, ,Nurse,FEMALE,YES,, ,PROVIDING CONSULTATION (FACE-TO FACE PATIENT CARE), ,NO,3.0
10213,4,Other,MALE,25-34,NO,YES,, ,Other,MALE,YES,, ,PERFORMING LABORATORY WORK, ,NO,4.0
10213,5,Other,FEMALE,Younger than 25,NO,YES,, ,Other,FEMALE,NO,DOING FIELDWORK, ,, ,,5.0
10223,1,Nurse,FEMALE,35-44,YES,YES,, ,Nurse,FEMALE,YES,, ,PROVIDING CONSULTATION (FACE-TO FACE PATIENT CARE), ,YES,1.0
10223,2,Nurse,MALE,,YES,NO,APPROVED ABSENCE, ,Nurse,MALE,NO,APPROVED ABSENCE, ,, ,,2.0
10320,1,Nurse,FEMALE,45 or older,YES,YES,, ,Nurse,FEMALE,YES,, ,GETTING MATERIALS OR EQUIPMENT FOR CONSULTATION, ,NO,1.0
10320,2,Other,FEMALE,25-34,NO,YES,, ,Other,FEMALE,YES,, ,"FINDING MISSING OR PENDING LABORATORY INFORMATION, RADIOGRAPHS OR CHARTS", ,NO,2.0
10419,1,Nurse,MALE,35-44,YES,YES,, ,Nurse,MALE,YES,, ,CONSULTATION WITH OTHER PHYSICIAN OR STAFF, ,NO,1.0
10419,2,Clinical Officer,MALE,35-44,YES,NO,APPROVED ABSENCE, ,Clinical Officer,MALE,YES,, ,CONSULTATION WITH OTHER PHYSICIAN OR STAFF, ,NO,2.0
10419,3,Nurse,FEMALE,25-34,YES,NO,APPROVED ABSENCE, ,Nurse,FEMALE,YES,, ,REVIEWING OR WRITING IN CART, ,NO,3.0
10419,4,Nurse,FEMALE,35-44,YES,YES,, ,Nurse,FEMALE,NO,APPROVED ABSENCE, ,, ,,4.0
10419,5,Other,FEMALE,25-34,NO,NO,SICK/MATERNITY, ,Other,FEMALE,NO,SICK/MATERNITY, ,, ,,5.0
10419,6,Other,FEMALE,45 or older,NO,NO,DOING FIELDWORK, ,Other,FEMALE,YES,, ,CONSULTATION WITH OTHER PHYSICIAN OR STAFF, ,NO,6.0
10423,1,Nurse,FEMALE,45 or older,YES,YES,, ,Nurse,FEMALE,YES,, ,PROVIDING CONSULTATION (FACE-TO FACE PATIENT CARE), ,NO,1.0
10462,1,Clinical Officer,FEMALE,25-34,YES,YES,, ,Clinical Officer,FEMALE,NO,APPROVED ABSENCE, ,, ,,1.0
10462,2,Nurse,MALE,25-34,NO,NO,IN TRAINING/SEMINAR, ,Nurse,MALE,NO,IN TRAINING/SEMINAR, ,, ,,2.0
10462,3,Nurse,FEMALE,45 or older,NO,YES,, ,Nurse,FEMALE,NO,NOT HIS/HER SHIFT, ,, ,,3.0
10462,4,Nurse,FEMALE,25-34,NO,NO,APPROVED ABSENCE, ,Nurse,FEMALE,YES,, ,ARRANGING FOR TESTS OR CONSULTATIONS, ,NO,4.0
10462,5,Nurse,FEMALE,Younger than 25,NO,NO,NOT HIS/HER SHIFT, ,Nurse,FEMALE,NO,NOT HIS/HER SHIFT, ,, ,,5.0
10462,6,Nurse,MALE,25-34,NO,NO,OFFICIAL MISSION, ,Nurse,MALE,NO,NOT HIS/HER SHIFT, ,, ,,6.0
10462,7,Nurse,MALE,35-44,NO,NO,OFFICIAL MISSION, ,Nurse,MALE,NO,NOT HIS/HER SHIFT, ,, ,,7.0
10462,8,Nurse,FEMALE,25-34,NO,NO,SICK/MATERNITY, ,Nurse,FEMALE,NO,SICK/MATERNITY, ,, ,,8.0
10462,9,Other,MALE,25-34,NO,NO,APPROVED ABSENCE, ,Other,MALE,YES,, ,PERFORMING LABORATORY WORK, ,NO,9.0
10462,10,Other,MALE,25-34,NO,NO,APPROVED ABSENCE, ,Other,MALE,YES,, ,LOOKING UP MEDICAL INFORMATION, ,NO,10.0
10509,1,Clinical Officer,MALE,45 or older,YES,YES,, ,Clinical Officer,MALE,NO,OFFICIAL MISSION, ,, ,,1.0
10509,2,Clinical Officer,MALE,25-34,YES,YES,, ,Clinical Officer,MALE,YES,, ,PROVIDING CONSULTATION (FACE-TO FACE PATIENT CARE), ,NO,2.0
10509,3,Nurse,FEMALE,25-34,YES,NO,APPROVED ABSENCE, ,Nurse,FEMALE,NO,APPROVED ABSENCE, ,, ,,3.0
10509,4,Nurse,FEMALE,45 or older,YES,YES,, ,,,,,,,,,
10509,5,Nurse,FEMALE,45 or older,YES,NO,NOT HIS/HER SHIFT, ,Nurse,FEMALE,YES,, ,PROVIDING CONSULTATION (FACE-TO FACE PATIENT CARE), ,NO,5.0
10509,6,Nurse,FEMALE,35-44,YES,NO,NOT HIS/HER SHIFT, ,Nurse,FEMALE,NO,NOT HIS/HER SHIFT, ,, ,,6.0
10509,7,Nurse,FEMALE,45 or older,YES,NO,NOT HIS/HER SHIFT, ,Nurse,FEMALE,NO,NOT HIS/HER SHIFT, ,, ,,7.0
10509,8,Nurse,FEMALE,25-34,YES,NO,NOT HIS/HER SHIFT, ,Nurse,FEMALE,NO,NOT HIS/HER SHIFT, ,, ,,8.0
10509,9,Nurse,FEMALE,45 or older,YES,YES,, ,Nurse,FEMALE,NO,NOT HIS/HER SHIFT, ,, ,,9.0
10509,10,Nurse,FEMALE,35-44,YES,NO,SICK/MATERNITY, ,Nurse,FEMALE,NO,SICK/MATERNITY, ,, ,,10.0
10509,11,Other,MALE,25-34,NO,NO,APPROVED ABSENCE, ,,,,,,,,,
10509,12,Other,MALE,25-34,NO,YES,, ,Other,MALE,YES,, ,WRITING A PRESCRIPTION, ,YES,12.0
10509,13,Other,FEMALE,25-34,NO,NO,DOING FIELDWORK, ,,,,,,,,,
10509,14,Other,MALE,35-44,NO,NO,DOING FIELDWORK, ,,,,,,,,,
10520,1,Nurse,FEMALE,35-44,NO,YES,, ,,,,,,,,,
10520,2,Doctor,MALE,,YES,YES,, ,,,,,,,,,
10520,3,Doctor,FEMALE,,YES,MISSING,MISSING, ,,,,,,,,,
10520,4,Doctor,MALE,,YES,MISSING,MISSING, ,,,,,,,,,
10520,5,Doctor,FEMALE,,YES,MISSING,MISSING, ,,,,,,,,,
10520,6,Doctor,MALE,,YES,MISSING,MISSING, ,,,,,,,,,
10520,7,Doctor,FEMALE,,YES,MISSING,MISSING, ,,,,,,,,,
10520,8,Doctor,MALE,,YES,MISSING,MISSING, ,,,,,,,,,
10520,9,Doctor,MALE,,YES,MISSING,MISSING, ,,,,,,,,,
10520,10,Doctor,MALE,,YES,MISSING,MISSING, ,,,,,,,,,
10520,11,Doctor,MALE,,YES,YES,, ,,,,,,,,,
10520,12,Doctor,FEMALE,,YES,YES,, ,,,,,,,,,
10520,13,Other,MALE,,NO,NO,NOT HIS/HER SHIFT, ,,,,,,,,,
10520,14,Other,MALE,25-34,NO,NO,IN TRAINING/SEMINAR, ,,,,,,,,,
10520,15,Other,FEMALE,25-34,NO,NO,APPROVED ABSENCE, ,Other,FEMALE,YES,, ,PROVIDING CONSULTATION (FACE-TO FACE PATIENT CARE), ,NO,15.0
10520,16,Other,FEMALE,,NO,YES,, ,Other,FEMALE,NO,NOT HIS/HER SHIFT, ,, ,,16.0
10520,17,Other,FEMALE,,NO,YES,, ,,,,,,,,,
10520,18,Clinical Officer,MALE,,YES,NO,NOT HIS/HER SHIFT, ,,,,,,,,,
10520,19,Clinical Officer,MALE,,YES,NO,NOT HIS/HER SHIFT, ,,,,,,,,,
10520,20,Clinical Officer,FEMALE,,YES,NO,NOT HIS/HER SHIFT, ,,,,,,,,,
10520,21,Clinical Officer,FEMALE,,NO,YES,, ,,,,,,,,,
10520,22,Clinical Officer,MALE,,NO,YES,, ,Clinical Officer,MALE,YES,, ,ARRANGING FOR TESTS OR CONSULTATIONS, ,NO,22.0
10520,23,Clinical Officer,MALE,,YES,NO,NOT HIS/HER SHIFT, ,,,,,,,,,
10520,24,Clinical Officer,FEMALE,,YES,YES,, ,,,,,,,,,
10520,25,Clinical Officer,MALE,,YES,NO,NOT HIS/HER SHIFT, ,,,,,,,,,
10520,26,Other,MALE,45 or older,NO,YES,, ,,,,,,,,,
10520,27,Other,MALE,35-44,NO,NO,IN TRAINING/SEMINAR, ,,,,,,,,,
10520,28,Other,FEMALE,25-34,NO,YES,, ,Other,FEMALE,YES,, ,PERFORMING LABORATORY WORK, ,NO,28.0
10520,29,Other,MALE,,NO,NO,APPROVED ABSENCE, ,,,,,,,,,
10520,30,Other,FEMALE,35-44,NO,YES,, ,,,,,,,,,
10520,31,Nurse,MALE,,NO,NO,NOT HIS/HER SHIFT, ,,,,,,,,,
10520,32,Nurse,FEMALE,,NO,NO,NOT HIS/HER SHIFT, ,Nurse,FEMALE,YES,, ,CONSULTATION WITH OTHER PHYSICIAN OR STAFF, ,NO,32.0
10520,33,Nurse,MALE,45 or older,NO,YES,, ,Nurse,MALE,YES,, ,CONSULTATION WITH OTHER PHYSICIAN OR STAFF, ,NO,33.0
10520,34,Nurse,FEMALE,,NO,NO,NOT HIS/HER SHIFT, ,Nurse,FEMALE,NO,APPROVED ABSENCE, ,, ,,34.0
10520,35,Nurse,FEMALE,,NO,NO,NOT HIS/HER SHIFT, ,Nurse,FEMALE,NO,NOT HIS/HER SHIFT, ,, ,,35.0
10520,36,Nurse,FEMALE,,NO,NO,APPROVED ABSENCE, ,Nurse,FEMALE,NO,APPROVED ABSENCE, ,, ,,36.0
10520,37,Nurse,MALE,,NO,NO,APPROVED ABSENCE, ,,,,,,,,,
10520,38,Nurse,FEMALE,,NO,NO,NOT HIS/HER SHIFT, ,,,,,,,,,
10520,39,Nurse,FEMALE,,NO,NO,NOT HIS/HER SHIFT, ,,,,,,,,,
10520,40,Nurse,MALE,,NO,NO,NOT HIS/HER SHIFT, ,,,,,,,,,
10520,41,Nurse,FEMALE,,NO,YES,, ,,,,,,,,,
10520,42,Nurse,FEMALE,,NO,YES,, ,,,,,,,,,
10520,43,Nurse,FEMALE,,NO,NO,NOT HIS/HER SHIFT, ,Nurse,FEMALE,NO,NOT HIS/HER SHIFT, ,, ,,43.0
10520,44,Nurse,FEMALE,,NO,NO,APPROVED ABSENCE, ,,,,,,,,,
10520,45,Nurse,FEMALE,,NO,YES,, ,,,,,,,,,
10520,46,Nurse,MALE,,NO,YES,, ,,,,,,,,,
10520,47,Nurse,MALE,,NO,YES,, ,,,,,,,,,
10520,48,Nurse,FEMALE,,NO,YES,, ,,,,,,,,,
10520,49,Nurse,FEMALE,,NO,NO,APPROVED ABSENCE, ,,,,,,,,,
10520,50,Nurse,FEMALE,,NO,NO,NOT HIS/HER SHIFT, ,,,,,,,,,
10520,51,Other,,,,,OTHER (SPECIFY),"Interns aded since present in SDI file, but uncertain if present at first visit",,,,,,,,,
10520,52,Other,MALE,,,,OTHER (SPECIFY),"Interns aded since present in SDI file, but uncertain if present at first visit",,,,,,,,,
10520,54,Other,,,,,OTHER (SPECIFY),"Interns aded since present in SDI file, but uncertain if present at first visit",,,,,,,,,
10520,55,Other,,,,,OTHER (SPECIFY),"Interns aded since present in SDI file, but uncertain if present at first visit",,,,,,,,,
10531,1,Nurse,FEMALE,25-34,YES,YES,, ,Nurse,FEMALE,YES,, ,PROVIDING CONSULTATION (FACE-TO FACE PATIENT CARE), ,NO,1.0
10531,2,Other,FEMALE,25-34,NO,YES,, ,Other,FEMALE,YES,, ,PERFORMING LABORATORY WORK, ,NO,2.0
10562,1,Nurse,FEMALE,25-34,YES,YES,, ,Nurse,FEMALE,YES,, ,PROVIDING CONSULTATION (FACE-TO FACE PATIENT CARE), ,NO,1.0
10562,2,Nurse,MALE,45 or older,YES,NO,OFFICIAL MISSION, ,Nurse,MALE,NO,OFFICIAL MISSION, ,, ,,2.0
10564,1,Other,FEMALE,35-44,NO,YES,, ,Other,FEMALE,YES,, ,TELEPHONE CALL FROM/TO PATIENT OR FAMILY MEMBERS, ,NO,1.0
10564,2,Nurse,FEMALE,45 or older,YES,YES,, ,Nurse,FEMALE,YES,, ,REVIEWING OR WRITING IN CART, ,NO,2.0
10564,3,Nurse,FEMALE,35-44,NO,NO,IN TRAINING/SEMINAR, ,Nurse,FEMALE,NO,IN TRAINING/SEMINAR, ,, ,,3.0
10564,4,Nurse,MALE,Younger than 25,YES,YES,, ,Nurse,MALE,YES,, ,PROVIDING CONSULTATION (FACE-TO FACE PATIENT CARE), ,NO,4.0
10564,5,Other,FEMALE,25-34,NO,YES,, ,Other,FEMALE,YES,, ,COMPLETING FORMS, ,NO,5.0
10609,1,Doctor,FEMALE,25-34,YES,YES,, ,,,,,,,,,
10609,2,Doctor,MALE,25-34,YES,YES,, ,,,,,,,,,
10609,3,Other,MALE,25-34,NO,YES,, ,Other,MALE,YES,, ,GETTING MATERIALS OR EQUIPMENT FOR CONSULTATION, ,NO,3.0
10609,4,Other,MALE,25-34,NO,YES,, ,,,,,,,,,
10609,5,Clinical Officer,FEMALE,35-44,YES,YES,, ,Clinical Officer,FEMALE,YES,, ,ARRANGING FOR TESTS OR CONSULTATIONS, ,NO,5.0
10609,6,Clinical Officer,MALE,25-34,YES,NO,APPROVED ABSENCE, ,Clinical Officer,MALE,NO,NOT HIS/HER SHIFT, ,, ,,6.0
10609,7,Clinical Officer,FEMALE,25-34,YES,NO,NOT HIS/HER SHIFT, ,,,,,,,,,
10609,8,Clinical Officer,MALE,45 or older,YES,NO,NOT HIS/HER SHIFT, ,,,,,,,,,
10609,9,Clinical Officer,FEMALE,35-44,YES,NO,NOT HIS/HER SHIFT, ,,,,,,,,,
10609,10,Clinical Officer,MALE,45 or older,YES,NO,APPROVED ABSENCE, ,,,,,,,,,
10609,11,Clinical Officer,MALE,45 or older,YES,NO,NOT HIS/HER SHIFT, ,Clinical Officer,MALE,NO,APPROVED ABSENCE, ,, ,,11.0
10609,12,Clinical Officer,MALE,35-44,NO,YES,, ,,,,,,,,,
10609,13,Clinical Officer,MALE,35-44,YES,YES,, ,,,,,,,,,
10609,14,Clinical Officer,MALE,,YES,YES,, ,,,,,,,,,
10609,15,Nurse,FEMALE,45 or older,NO,YES,, ,,,,,,,,,
10609,16,Nurse,FEMALE,35-44,NO,YES,, ,Nurse,FEMALE,YES,, ,GETTING MATERIALS OR EQUIPMENT FOR CONSULTATION, ,NO,16.0
10609,17,Nurse,MALE,45 or older,NO,NO,IN TRAINING/SEMINAR, ,,,,,,,,,
10609,18,Nurse,MALE,45 or older,NO,NO,APPROVED ABSENCE, ,Nurse,MALE,NO,APPROVED ABSENCE, ,, ,,18.0
10609,19,Nurse,FEMALE,25-34,NO,NO,NOT HIS/HER SHIFT, ,,,,,,,,,
10609,20,Nurse,FEMALE,45 or older,NO,NO,NOT HIS/HER SHIFT, ,,,,,,,,,
10609,21,Nurse,FEMALE,35-44,NO,NO,NOT HIS/HER SHIFT, ,,,,,,,,,
10609,22,Nurse,FEMALE,45 or older,NO,NO,NOT HIS/HER SHIFT, ,Nurse,FEMALE,NO,NOT HIS/HER SHIFT, ,, ,,22.0
10609,23,Nurse,FEMALE,45 or older,NO,YES,, ,,,,,,,,,
10609,24,Nurse,FEMALE,45 or older,NO,NO,NOT HIS/HER SHIFT, ,,,,,,,,,
10609,25,Nurse,FEMALE,45 or older,NO,NO,NOT HIS/HER SHIFT, ,,,,,,,,,
10609,26,Nurse,MALE,45 or older,NO,NO,NOT HIS/HER SHIFT, ,,,,,,,,,
10609,27,Nurse,MALE,45 or older,NO,NO,NOT HIS/HER SHIFT, ,,,,,,,,,
10609,28,Nurse,FEMALE,45 or older,NO,NO,APPROVED ABSENCE, ,,,,,,,,,
10609,29,Nurse,FEMALE,25-34,NO,NO,NOT HIS/HER SHIFT, ,,,,,,,,,
10609,30,Nurse,FEMALE,45 or older,NO,NO,NOT HIS/HER SHIFT, ,,,,,,,,,
10609,31,Nurse,FEMALE,45 or older,NO,NO,NOT HIS/HER SHIFT, ,,,,,,,,,
10609,32,Nurse,MALE,35-44,NO,NO,NOT HIS/HER SHIFT, ,,,,,,,,,
10609,33,Nurse,FEMALE,45 or older,NO,NO,NOT HIS/HER SHIFT, ,,,,,,,,,
10609,34,Nurse,FEMALE,45 or older,NO,NO,APPROVED ABSENCE, ,,,,,,,,,
10609,35,Nurse,FEMALE,35-44,NO,NO,NOT HIS/HER SHIFT, ,,,,,,,,,
10609,36,Nurse,FEMALE,35-44,NO,NO,NOT HIS/HER SHIFT, ,,,,,,,,,
10609,37,Nurse,FEMALE,45 or older,NO,NO,APPROVED ABSENCE, ,,,,,,,,,
10609,38,Nurse,FEMALE,45 or older,NO,NO,NOT HIS/HER SHIFT, ,,,,,,,,,
10609,39,Nurse,FEMALE,25-34,NO,NO,NOT HIS/HER SHIFT, ,,,,,,,,,
10609,40,Nurse,FEMALE,45 or older,NO,NO,APPROVED ABSENCE, ,Nurse,FEMALE,NO,APPROVED ABSENCE, ,, ,,40.0
10609,41,Nurse,MALE,45 or older,NO,NO,NOT HIS/HER SHIFT, ,,,,,,,,,
10609,42,Nurse,FEMALE,45 or older,NO,NO,NOT HIS/HER SHIFT, ,,,,,,,,,
10609,43,Other,MALE,45 or older,NO,YES,, ,,,,,,,,,
10609,44,Other,MALE,25-34,NO,NO,APPROVED ABSENCE, ,,,,,,,,,
10609,45,Other,FEMALE,45 or older,NO,NO,NOT HIS/HER SHIFT, ,,,,,,,,,
10609,46,Other,FEMALE,45 or older,NO,NO,NOT HIS/HER SHIFT, ,,,,,,,,,
10609,47,Other,MALE,25-34,NO,NO,NOT HIS/HER SHIFT, ,,,,,,,,,
10609,48,Other,MALE,45 or older,NO,YES,, ,,,,,,,,,
10609,49,Other,MALE,45 or older,NO,YES,, ,Other,MALE,YES,, ,PERFORMING LABORATORY WORK, ,NO,49.0
10609,50,Other,MALE,,NO,NO,DOING FIELDWORK, ,Other,MALE,NO,DOING FIELDWORK, ,, ,,50.0
10671,1,Nurse,FEMALE,45 or older,YES,YES,, ,Nurse,FEMALE,YES,, ,PROVIDING CONSULTATION (FACE-TO FACE PATIENT CARE), ,NO,1.0
10671,2,Nurse,FEMALE,45 or older,YES,YES,, ,Nurse,FEMALE,NO,APPROVED ABSENCE, ,, ,,2.0
10671,3,Nurse,FEMALE,45 or older,YES,NO,IN TRAINING/SEMINAR, ,Nurse,FEMALE,NO,IN TRAINING/SEMINAR, ,, ,,3.0
10671,4,Other,FEMALE,25-34,NO,YES,, ,Nurse,FEMALE,YES,, ,PERFORMING LABORATORY WORK, ,NO,4.0
10738,1,Clinical Officer,MALE,,YES,YES,, ,,,,,,,,,
10738,2,Doctor,MALE,35-44,YES,YES,, ,Doctor,MALE,YES,, ,PROVIDING CONSULTATION (FACE-TO FACE PATIENT CARE), ,NO,2.0
10738,3,Clinical Officer,MALE,,YES,NO,SICK/MATERNITY, ,,,,,,,,,
10738,4,Other,MALE,,NO,YES,, ,,,,,,,,,
10738,5,Other,FEMALE,25-34,NO,YES,, ,,,,,,,,,
10738,6,Nurse,FEMALE,25-34,NO,YES,, ,,,,,,,,,
10738,7,Nurse,FEMALE,25-34,NO,NO,NOT HIS/HER SHIFT, ,,,,,,,,,
10738,8,Nurse,FEMALE,35-44,NO,YES,, ,Nurse,FEMALE,YES,, ,OTHER (SPECIFY),TAKING REPORTS IN THE WARD,NO,8.0
10738,9,Nurse,FEMALE,,NO,NO,NOT HIS/HER SHIFT, ,Nurse,FEMALE,YES,, ,OTHER (SPECIFY),TAKING REPORTS IN THE WARD,NO,9.0
