unique_id,fac_id,staff_id,id11,m2saq2,m2saq3,m2saq1,m2saq4,m2saq7,m2saq8,m2saq9,m2saq10,m2saq11,m2saq12,m2saq13,m2saq14,m2saq14_autre,m2saq15,m2saq16,suite60,m2sa_selection10,m2sa_selection,m2sa_dispo,m2sa_dispolib,m2sa_q7_2,m2sbq1,m2sbq5,m2sbq6,m2sbq7,m2sbq8,m2sbq9,m2sbq10,m2sbq11,m2sbq12,m2sbq12_autre,m2sbq13,m2sbq14,has_roster,has_absentee,country,absence_rate
105_1,105,1,105,5 or less,5 or less,5 or less,1.0,Nurse,Post-Secondary,Advanced,homme,35-44,oui,oui,,,oui,oui,T,1.0,1.0,eny,Eny,Nurse,1.0,Nurse,Post-Secondary,Advanced,After 2000,homme,35-44,oui,,,consultation/visite de malade,0.0,1.0,1.0,Madagascar-2016,0.0
106_4,106,4,106,5 or less,Over 5,11-50,4.0,Nurse,Post-Secondary,Diploma,0,25-34,oui,oui,,,oui,oui,T,3.0,4.0,eny,Eny,Nurse,4.0,Nurse,Post-Secondary,Diploma,After 2000,0.0,25-34,oui,,,consultation/visite de malade,0.0,1.0,1.0,Madagascar-2016,0.25
106_2,106,2,106,5 or less,Over 5,11-50,2.0,Doctor,Post-Secondary,Advanced,0,35-44,oui,0.0,absence autorisee (permission/conge),,oui,,T,,2.0,tsy eo,Tsy eo,Doctor,2.0,Doctor,Post-Secondary,Advanced,,0.0,35-44,0.0,mission officielle,,,,1.0,1.0,Madagascar-2016,0.25
106_1,106,1,106,5 or less,Over 5,11-50,1.0,Doctor,Post-Secondary,Advanced,homme,45 or older,oui,oui,,,oui,oui,T,1.0,1.0,eny,Eny,Doctor,1.0,Doctor,Post-Secondary,Advanced,After 2000,homme,45 or older,oui,,,consultation/visite de malade,0.0,1.0,1.0,Madagascar-2016,0.25
106_3,106,3,106,5 or less,Over 5,11-50,3.0,Nurse,Post-Secondary,Diploma,0,45 or older,oui,oui,,,oui,oui,T,2.0,3.0,eny,Eny,Nurse,3.0,Nurse,Post-Secondary,Diploma,After 2000,0.0,45 or older,oui,,,consultation/visite de malade,0.0,1.0,1.0,Madagascar-2016,0.25
107_4,107,4,107,5 or less,5 or less,6-10,4.0,Nurse,Secondary,Certificate,homme,25-34,0.0,oui,,,oui,,T,,,,,Nurse,4.0,Nurse,Secondary,Certificate,,homme,25-34,0.0,mission officielle,,,,1.0,1.0,Madagascar-2016,0.75
107_3,107,3,107,5 or less,5 or less,6-10,3.0,Nurse,Secondary,Certificate,homme,25-34,0.0,oui,,,oui,,T,,,,,Nurse,3.0,Nurse,Secondary,Certificate,,homme,25-34,0.0,mission officielle,,,,1.0,1.0,Madagascar-2016,0.75
107_2,107,2,107,5 or less,5 or less,6-10,2.0,Nurse,Post-Secondary,Diploma,homme,45 or older,0.0,oui,,,oui,,T,,,,,Nurse,2.0,Nurse,Post-Secondary,Diploma,,homme,45 or older,0.0,mission officielle,,,,1.0,1.0,Madagascar-2016,0.75
107_1,107,1,107,5 or less,5 or less,6-10,1.0,Doctor,Post-Secondary,Advanced,homme,25-34,oui,oui,,,oui,oui,T,1.0,1.0,eny,Eny,Doctor,1.0,Doctor,Post-Secondary,Advanced,After 2000,homme,25-34,oui,,,consultation/visite de malade,0.0,1.0,1.0,Madagascar-2016,0.75
108_1,108,1,108,5 or less,5 or less,5 or less,1.0,Doctor,Post-Secondary,Advanced,0,45 or older,oui,oui,,,oui,oui,T,1.0,1.0,eny,Eny,Doctor,1.0,Doctor,Post-Secondary,Advanced,,0.0,45 or older,0.0,absence autorisee (permission/conge),,,,1.0,1.0,Madagascar-2016,0.5
108_2,108,2,108,5 or less,5 or less,5 or less,2.0,Nurse,Post-Secondary,Diploma,0,25-34,0.0,oui,,,oui,,T,,,,,Nurse,2.0,Nurse,Post-Secondary,Diploma,After 2000,0.0,25-34,oui,,,consultation/visite de malade,0.0,1.0,1.0,Madagascar-2016,0.5
109_1,109,1,109,5 or less,5 or less,5 or less,1.0,Nurse,Post-Secondary,Diploma,homme,Younger than 25,oui,oui,,,oui,oui,T,1.0,1.0,eny,Eny,Nurse,1.0,Nurse,Post-Secondary,Diploma,After 2000,homme,Younger than 25,oui,,,consultation/visite de malade,0.0,1.0,1.0,Madagascar-2016,0.0
11_2,11,2,11,5 or less,5 or less,6-10,2.0,Doctor,Post-Secondary,Advanced,0,45 or older,oui,0.0,mission officielle,,oui,,T,,2.0,tsy eo,Tsy eo,Doctor,2.0,Doctor,Post-Secondary,Advanced,After 2000,0.0,45 or older,oui,,,consultation/visite de malade,0.0,1.0,1.0,Madagascar-2016,0.0
11_1,11,1,11,5 or less,5 or less,6-10,1.0,Doctor,Post-Secondary,Advanced,0,45 or older,oui,oui,,,oui,oui,T,1.0,1.0,eny,Eny,Doctor,1.0,Doctor,Post-Secondary,Advanced,After 2000,0.0,45 or older,oui,,,consultation/visite de malade,0.0,1.0,1.0,Madagascar-2016,0.0
11_3,11,3,11,5 or less,5 or less,6-10,3.0,Nurse,Post-Secondary,Diploma,0,45 or older,oui,oui,,,oui,oui,T,2.0,3.0,eny,Eny,Nurse,3.0,Nurse,Post-Secondary,Diploma,After 2000,0.0,45 or older,oui,,,consultation/visite de malade,0.0,1.0,1.0,Madagascar-2016,0.0
110_3,110,3,110,5 or less,5 or less,6-10,3.0,Other,Primary,,0,35-44,0.0,oui,,,oui,,T,,,,,Other,3.0,Other,Primary,,In the 1990s,0.0,35-44,oui,,,consultation/visite de malade,0.0,1.0,1.0,Madagascar-2016,0.0
110_2,110,2,110,5 or less,5 or less,6-10,2.0,Nurse,Post-Secondary,Diploma,0,45 or older,oui,0.0,autre (a preciser),MBOLA MIANATRA IZY,oui,,T,,2.0,tsy eo,Tsy eo,Nurse,2.0,Nurse,Post-Secondary,Diploma,In the 1990s,0.0,45 or older,oui,,,consultation/visite de malade,0.0,1.0,1.0,Madagascar-2016,0.0
110_1,110,1,110,5 or less,5 or less,6-10,1.0,Doctor,,,0,45 or older,oui,oui,,,oui,oui,T,1.0,1.0,eny,Eny,Doctor,1.0,Doctor,,,After 2000,0.0,45 or older,oui,,,consultation/visite de malade,0.0,1.0,1.0,Madagascar-2016,0.0
111_1,111,1,111,5 or less,5 or less,5 or less,1.0,Doctor,Post-Secondary,Advanced,0,35-44,oui,0.0,formation/seminaire/reunion,,oui,,T,,1.0,tsy afaka,Tsy afaka,Doctor,1.0,Doctor,Post-Secondary,Advanced,,0.0,35-44,0.0,autre (a preciser),,,,1.0,1.0,Madagascar-2016,0.5
111_2,111,2,111,5 or less,5 or less,5 or less,2.0,Nurse,Post-Secondary,Diploma,0,45 or older,oui,oui,,,oui,oui,T,1.0,2.0,eny,Eny,Nurse,2.0,Nurse,Post-Secondary,Diploma,After 2000,0.0,45 or older,oui,,,consultation/visite de malade,0.0,1.0,1.0,Madagascar-2016,0.5
112_2,112,2,112,5 or less,5 or less,6-10,2.0,Nurse,Post-Secondary,Diploma,0,35-44,oui,0.0,"repos de garde (pre-garde, sortie de garde)",,oui,,T,,2.0,tsy afaka,Tsy afaka,Nurse,2.0,Nurse,Post-Secondary,Diploma,After 2000,0.0,35-44,oui,,,discussion avec collegues/reunion/staff,0.0,1.0,1.0,Madagascar-2016,0.33333334
112_1,112,1,112,5 or less,5 or less,6-10,1.0,Doctor,Post-Secondary,Advanced,homme,35-44,oui,oui,,,oui,oui,T,1.0,1.0,eny,Eny,Doctor,1.0,Doctor,Post-Secondary,Advanced,After 2000,homme,35-44,oui,,,discussion avec collegues/reunion/staff,0.0,1.0,1.0,Madagascar-2016,0.33333334
112_3,112,3,112,5 or less,5 or less,6-10,3.0,Nurse,Post-Secondary,Diploma,0,25-34,oui,oui,,,oui,oui,T,2.0,3.0,eny,Eny,Nurse,3.0,Nurse,Post-Secondary,Diploma,,0.0,25-34,0.0,absence autorisee (permission/conge),,,,1.0,1.0,Madagascar-2016,0.33333334
113_1,113,1,113,5 or less,5 or less,6-10,1.0,Doctor,Post-Secondary,Advanced,0,35-44,oui,oui,,,oui,oui,T,1.0,1.0,eny,Eny,Doctor,1.0,Doctor,Post-Secondary,Advanced,,0.0,35-44,0.0,aide sociale,,,,1.0,1.0,Madagascar-2016,1.0
114_1,114,1,114,5 or less,5 or less,5 or less,1.0,Nurse,Post-Secondary,Diploma,0,45 or older,oui,oui,,,oui,oui,T,1.0,1.0,eny,Eny,Nurse,1.0,Nurse,Post-Secondary,Diploma,After 2000,0.0,45 or older,oui,,,consultation/visite de malade,0.0,1.0,1.0,Madagascar-2016,0.0
115_1,115,1,115,5 or less,5 or less,5 or less,1.0,Doctor,Post-Secondary,Advanced,0,45 or older,oui,oui,,,oui,oui,T,1.0,1.0,eny,Eny,Doctor,1.0,Doctor,Post-Secondary,Advanced,,0.0,45 or older,0.0,mission officielle,,,,1.0,1.0,Madagascar-2016,1.0
116_1,116,1,116,6-10,Over 5,11-50,1.0,Doctor,Post-Secondary,Advanced,homme,35-44,0.0,oui,,,oui,,T,,,,,Doctor,1.0,Doctor,Post-Secondary,Advanced,,homme,35-44,0.0,mission officielle,,,,1.0,1.0,Madagascar-2016,0.2857143
116_7,116,7,116,6-10,Over 5,11-50,7.0,Nurse,Post-Secondary,Diploma,0,25-34,0.0,oui,,,oui,,T,,,,,Nurse,7.0,Nurse,Post-Secondary,Diploma,After 2000,0.0,25-34,oui,,,consultation/visite de malade,0.0,1.0,1.0,Madagascar-2016,0.2857143
116_4,116,4,116,6-10,Over 5,11-50,4.0,Other,Post-Secondary,Advanced,homme,35-44,0.0,0.0,formation/seminaire/reunion,,oui,,T,,,,,Other,4.0,Other,Post-Secondary,Advanced,After 2000,homme,35-44,oui,,,consultation/visite de malade,0.0,1.0,1.0,Madagascar-2016,0.2857143
116_5,116,5,116,6-10,Over 5,11-50,5.0,Doctor,Post-Secondary,Advanced,0,45 or older,0.0,0.0,absence autorisee (permission/conge),,oui,,T,,,,,Doctor,5.0,Doctor,Post-Secondary,Advanced,,0.0,45 or older,0.0,"repos de garde (pre-garde, sortie de garde)",,,,1.0,1.0,Madagascar-2016,0.2857143
116_6,116,6,116,6-10,Over 5,11-50,6.0,Nurse,Post-Secondary,Diploma,0,25-34,0.0,oui,,,oui,,T,,,,,Nurse,6.0,Nurse,Post-Secondary,Diploma,After 2000,0.0,25-34,oui,,,consultation/visite de malade,0.0,1.0,1.0,Madagascar-2016,0.2857143
116_3,116,3,116,6-10,Over 5,11-50,3.0,Doctor,Post-Secondary,Advanced,homme,45 or older,oui,oui,,,oui,oui,T,1.0,2.0,eny,Eny,Doctor,3.0,Doctor,Post-Secondary,Advanced,After 2000,homme,45 or older,oui,,,consultation/visite de malade,0.0,1.0,1.0,Madagascar-2016,0.2857143
116_2,116,2,116,6-10,Over 5,11-50,2.0,Doctor,Post-Secondary,Advanced,homme,45 or older,oui,oui,,,oui,,T,,1.0,tsy afaka,Tsy afaka,Doctor,2.0,Doctor,Post-Secondary,Advanced,After 2000,homme,45 or older,oui,,,consultation/visite de malade,0.0,1.0,1.0,Madagascar-2016,0.2857143
117_1,117,1,117,5 or less,5 or less,5 or less,1.0,Doctor,Post-Secondary,Advanced,0,25-34,oui,oui,,,oui,oui,T,1.0,1.0,eny,Eny,Doctor,1.0,Doctor,Post-Secondary,Advanced,,0.0,25-34,0.0,formation/seminaire/reunion,,,,1.0,1.0,Madagascar-2016,1.0
117_2,117,2,117,5 or less,5 or less,5 or less,2.0,Nurse,Post-Secondary,Advanced,0,25-34,oui,oui,,,oui,oui,T,2.0,2.0,eny,Eny,Nurse,2.0,Nurse,Post-Secondary,Advanced,,0.0,25-34,0.0,absence non autorisee,,,,1.0,1.0,Madagascar-2016,1.0
118_3,118,3,118,5 or less,5 or less,5 or less,3.0,Nurse,Post-Secondary,,0,45 or older,oui,0.0,formation/seminaire/reunion,,oui,,T,,3.0,tsy eo,Tsy eo,Nurse,3.0,Nurse,Post-Secondary,,After 2000,0.0,45 or older,oui,,,consultation/visite de malade,0.0,1.0,1.0,Madagascar-2016,0.33333334
118_2,118,2,118,5 or less,5 or less,5 or less,2.0,Nurse,Post-Secondary,Advanced,homme,25-34,oui,oui,,,oui,oui,T,2.0,2.0,eny,Eny,Nurse,2.0,Nurse,Post-Secondary,Advanced,After 2000,homme,25-34,oui,,,consultation/visite de malade,0.0,1.0,1.0,Madagascar-2016,0.33333334
118_1,118,1,118,5 or less,5 or less,5 or less,1.0,Doctor,Post-Secondary,Advanced,homme,45 or older,oui,oui,,,oui,oui,T,1.0,1.0,eny,Eny,Doctor,1.0,Doctor,Post-Secondary,Advanced,,homme,45 or older,0.0,formation/seminaire/reunion,,,,1.0,1.0,Madagascar-2016,0.33333334
119_2,119,2,119,5 or less,5 or less,5 or less,2.0,Nurse,Post-Secondary,Diploma,0,Younger than 25,0.0,oui,,,oui,,T,,,,,Nurse,2.0,Nurse,Post-Secondary,Diploma,,0.0,Younger than 25,0.0,absence autorisee (permission/conge),,,,1.0,1.0,Madagascar-2016,1.0
119_1,119,1,119,5 or less,5 or less,5 or less,1.0,Doctor,Post-Secondary,Advanced,homme,45 or older,oui,oui,,,oui,oui,T,1.0,1.0,eny,Eny,Doctor,1.0,Doctor,Post-Secondary,Advanced,,homme,45 or older,0.0,formation/seminaire/reunion,,,,1.0,1.0,Madagascar-2016,1.0
12_2,12,2,12,5 or less,5 or less,5 or less,2.0,Nurse,Post-Secondary,Diploma,homme,35-44,oui,oui,,,oui,oui,T,1.0,2.0,eny,Eny,Nurse,2.0,Nurse,Post-Secondary,Diploma,,homme,35-44,0.0,absence autorisee (permission/conge),,,,1.0,1.0,Madagascar-2016,0.6666667
12_3,12,3,12,5 or less,5 or less,5 or less,3.0,Nurse,Post-Secondary,Diploma,0,35-44,oui,oui,,,oui,oui,T,2.0,3.0,eny,Eny,Nurse,3.0,Nurse,Post-Secondary,Diploma,,0.0,35-44,0.0,absence autorisee (permission/conge),,,,1.0,1.0,Madagascar-2016,0.6666667
12_1,12,1,12,5 or less,5 or less,5 or less,1.0,Doctor,Post-Secondary,Advanced,homme,35-44,oui,0.0,autre (a preciser),ON NE SAIT PAS,oui,,T,,1.0,tsy eo,Tsy eo,Doctor,1.0,Doctor,Post-Secondary,Advanced,After 2000,homme,35-44,oui,,,traitement de dossiers/elaboration de rapports,0.0,1.0,1.0,Madagascar-2016,0.6666667
120_1,120,1,120,5 or less,5 or less,5 or less,1.0,Nurse,Post-Secondary,Diploma,homme,45 or older,oui,oui,,,oui,oui,T,1.0,1.0,eny,Eny,Nurse,1.0,Nurse,Post-Secondary,Diploma,,homme,45 or older,0.0,autre (a preciser),,,,1.0,1.0,Madagascar-2016,1.0
121_1,121,1,121,5 or less,5 or less,5 or less,1.0,Doctor,Post-Secondary,Advanced,0,35-44,oui,oui,,,oui,oui,T,1.0,1.0,eny,Eny,Doctor,1.0,Doctor,Post-Secondary,Advanced,,0.0,35-44,0.0,formation/seminaire/reunion,,,,1.0,1.0,Madagascar-2016,1.0
121_2,121,2,121,5 or less,5 or less,5 or less,2.0,Nurse,Post-Secondary,Diploma,0,25-34,0.0,oui,,,oui,,T,,,,,Nurse,2.0,Nurse,Post-Secondary,Diploma,,0.0,25-34,0.0,absence non autorisee,,,,1.0,1.0,Madagascar-2016,1.0
122_3,122,3,122,5 or less,5 or less,5 or less,3.0,Other,Post-Secondary,None,0,35-44,0.0,oui,,,oui,,T,,,,,Other,3.0,Other,Post-Secondary,None,After 2000,0.0,35-44,oui,,,laboratoires/examens/radios,0.0,1.0,1.0,Madagascar-2016,0.33333334
122_1,122,1,122,5 or less,5 or less,5 or less,1.0,Doctor,Post-Secondary,Advanced,0,35-44,oui,oui,,,oui,oui,T,1.0,1.0,eny,Eny,Doctor,1.0,Doctor,Post-Secondary,Advanced,,0.0,35-44,0.0,formation/seminaire/reunion,,,,1.0,1.0,Madagascar-2016,0.33333334
122_2,122,2,122,5 or less,5 or less,5 or less,2.0,Nurse,Post-Secondary,Diploma,0,45 or older,oui,0.0,formation/seminaire/reunion,,oui,,T,,2.0,tsy eo,Tsy eo,Nurse,2.0,Nurse,Post-Secondary,Diploma,After 2000,0.0,45 or older,oui,,,consultation/visite de malade,0.0,1.0,1.0,Madagascar-2016,0.33333334
123_1,123,1,123,5 or less,5 or less,5 or less,1.0,Doctor,Post-Secondary,Advanced,0,45 or older,oui,oui,,,oui,oui,T,1.0,1.0,eny,Eny,Doctor,1.0,Doctor,Post-Secondary,Advanced,After 2000,0.0,45 or older,oui,,,consultation/visite de malade,0.0,1.0,1.0,Madagascar-2016,0.0
124_25,124,25,124,11-50,5 or less,11-50,25.0,Nurse,Post-Secondary,Diploma,homme,25-34,0.0,oui,,,,,T,,,,,,,,,,,,,,,,,,1.0,,Madagascar-2016,0.6
124_27,124,27,124,11-50,5 or less,11-50,27.0,Nurse,Post-Secondary,Diploma,0,25-34,0.0,oui,,,oui,,T,,,,,Nurse,10.0,Nurse,Post-Secondary,Diploma,,0.0,25-34,0.0,"repos de garde (pre-garde, sortie de garde)",,,,1.0,1.0,Madagascar-2016,0.6
124_22,124,22,124,11-50,5 or less,11-50,22.0,Nurse,Post-Secondary,Diploma,0,25-34,0.0,oui,,,,,T,,,,,,,,,,,,,,,,,,1.0,,Madagascar-2016,0.6
124_24,124,24,124,11-50,5 or less,11-50,24.0,Nurse,Post-Secondary,Diploma,homme,35-44,0.0,oui,,,oui,,T,,,,,Nurse,8.0,Nurse,Post-Secondary,Diploma,After 2000,homme,35-44,oui,,,laboratoires/examens/radios,0.0,1.0,1.0,Madagascar-2016,0.6
124_21,124,21,124,11-50,5 or less,11-50,21.0,Nurse,Post-Secondary,Diploma,homme,25-34,0.0,oui,,,,,T,,,,,,,,,,,,,,,,,,1.0,,Madagascar-2016,0.6
124_13,124,13,124,11-50,5 or less,11-50,13.0,Nurse,Post-Secondary,Diploma,0,45 or older,0.0,oui,,,oui,,T,,,,,Nurse,5.0,Nurse,Post-Secondary,Diploma,After 2000,0.0,45 or older,oui,,,consultation/visite de malade,0.0,1.0,1.0,Madagascar-2016,0.6
124_2,124,2,124,11-50,5 or less,11-50,2.0,Doctor,,Advanced,homme,45 or older,oui,oui,,,oui,,T,,2.0,tsy afaka,Tsy afaka,Doctor,2.0,Doctor,,Advanced,After 2000,homme,45 or older,oui,,,traitement de dossiers/elaboration de rapports,0.0,1.0,1.0,Madagascar-2016,0.6
124_9,124,9,124,11-50,5 or less,11-50,9.0,Nurse,Post-Secondary,Diploma,0,45 or older,0.0,oui,,,,,T,,,,,,,,,,,,,,,,,,1.0,,Madagascar-2016,0.6
124_14,124,14,124,11-50,5 or less,11-50,14.0,Nurse,Post-Secondary,Diploma,homme,35-44,0.0,oui,,,,,T,,,,,,,,,,,,,,,,,,1.0,,Madagascar-2016,0.6
124_5,124,5,124,11-50,5 or less,11-50,5.0,Doctor,Post-Secondary,Advanced,homme,45 or older,oui,0.0,maladie/maternite,,,,T,,5.0,tsy eo,Tsy eo,,,,,,,,,,,,,,1.0,,Madagascar-2016,0.6
124_4,124,4,124,11-50,5 or less,11-50,4.0,Doctor,Post-Secondary,Advanced,homme,45 or older,oui,oui,,,,,T,,4.0,tsy eo,Tsy eo,,,,,,,,,,,,,,1.0,,Madagascar-2016,0.6
124_20,124,20,124,11-50,5 or less,11-50,20.0,Nurse,Post-Secondary,Diploma,homme,25-34,0.0,oui,,,,,T,,,,,,,,,,,,,,,,,,1.0,,Madagascar-2016,0.6
124_8,124,8,124,11-50,5 or less,11-50,8.0,Nurse,Post-Secondary,Diploma,homme,45 or older,0.0,oui,,,oui,,T,,,,,Nurse,4.0,Nurse,Post-Secondary,Diploma,Before 1990,homme,45 or older,oui,,,laboratoires/examens/radios,0.0,1.0,1.0,Madagascar-2016,0.6
124_23,124,23,124,11-50,5 or less,11-50,23.0,Nurse,Post-Secondary,Diploma,0,25-34,0.0,oui,,,oui,,T,,,,,Nurse,7.0,Nurse,Post-Secondary,Diploma,,0.0,25-34,0.0,absence autorisee (permission/conge),,,,1.0,1.0,Madagascar-2016,0.6
124_18,124,18,124,11-50,5 or less,11-50,18.0,Nurse,Post-Secondary,Diploma,0,35-44,0.0,oui,,,,,T,,,,,,,,,,,,,,,,,,1.0,,Madagascar-2016,0.6
124_19,124,19,124,11-50,5 or less,11-50,19.0,Nurse,Post-Secondary,Diploma,0,25-34,0.0,oui,,,,,T,,,,,,,,,,,,,,,,,,1.0,,Madagascar-2016,0.6
124_11,124,11,124,11-50,5 or less,11-50,11.0,Nurse,Post-Secondary,Diploma,0,35-44,0.0,oui,,,,,T,,,,,,,,,,,,,,,,,,1.0,,Madagascar-2016,0.6
124_16,124,16,124,11-50,5 or less,11-50,16.0,Nurse,Post-Secondary,Diploma,0,25-34,0.0,oui,,,oui,,T,,,,,Nurse,6.0,Nurse,Post-Secondary,Diploma,,0.0,25-34,0.0,absence autorisee (permission/conge),,,,1.0,1.0,Madagascar-2016,0.6
124_10,124,10,124,11-50,5 or less,11-50,10.0,Nurse,Post-Secondary,Diploma,0,45 or older,0.0,oui,,,,,T,,,,,,,,,,,,,,,,,,1.0,,Madagascar-2016,0.6
124_3,124,3,124,11-50,5 or less,11-50,3.0,Doctor,Post-Secondary,Advanced,homme,35-44,oui,oui,,,oui,,T,,3.0,tsy eo,Tsy eo,Doctor,3.0,Doctor,Post-Secondary,Advanced,,homme,35-44,0.0,mission officielle,,,,1.0,1.0,Madagascar-2016,0.6
124_17,124,17,124,11-50,5 or less,11-50,17.0,Nurse,Post-Secondary,Diploma,homme,45 or older,0.0,oui,,,,,T,,,,,,,,,,,,,,,,,,1.0,,Madagascar-2016,0.6
124_1,124,1,124,11-50,5 or less,11-50,1.0,Doctor,Post-Secondary,Advanced,homme,45 or older,oui,oui,,,oui,oui,T,1.0,1.0,eny,Eny,Doctor,1.0,Doctor,Post-Secondary,Advanced,,homme,45 or older,0.0,autre (a preciser),,,,1.0,1.0,Madagascar-2016,0.6
