fac_id,staff_id,id11,m2saq2,m2saq3,m2saq1,m2saq4,m2saq7,m2saq8,m2saq9,m2saq10,m2saq11,m2saq12,m2saq13,m2saq14,m2saq14_autre,m2saq15,m2saq16,suite60,m2sa_selection10,m2sa_selection,m2sa_dispo,m2sa_dispolib,m2sa_q7_2,m2sbq1,m2sbq5,m2sbq6,m2sbq7,m2sbq8,m2sbq9,m2sbq10,m2sbq11,m2sbq12,m2sbq12_autre,m2sbq13,m2sbq14
2,17.0,2,11-50,Over 5,Over 50,17.0,Doctor,Post-Secondary,Advanced,homme,45 or older,oui,oui,,,,oui,T,3.0,5.0,eny,Eny,,,,,,,,,,,,,
2,18.0,2,11-50,Over 5,Over 50,18.0,Doctor,Post-Secondary,Advanced,homme,35-44,oui,oui,,,,,T,,6.0,tsy eo,Tsy eo,,,,,,,,,,,,,
2,19.0,2,11-50,Over 5,Over 50,19.0,Doctor,Post-Secondary,Advanced,homme,25-34,non,oui,,,,,T,,,,,,,,,,,,,,,,,
2,20.0,2,11-50,Over 5,Over 50,20.0,Doctor,Post-Secondary,Advanced,homme,45 or older,non,non,"repos de garde (pre-garde, sortie de garde)",,oui,,T,,,,,Doctor,6.0,Doctor,Post-Secondary,Advanced,,homme,45 or older,non,"repos de garde (pre-garde, sortie de garde)",,,
2,21.0,2,11-50,Over 5,Over 50,21.0,Doctor,Post-Secondary,Advanced,femme,45 or older,non,non,"repos de garde (pre-garde, sortie de garde)",,oui,,T,,,,,Doctor,7.0,Doctor,Post-Secondary,Advanced,,femme,45 or older,non,"repos de garde (pre-garde, sortie de garde)",,,
2,22.0,2,11-50,Over 5,Over 50,22.0,Doctor,Post-Secondary,Advanced,femme,45 or older,non,non,"repos de garde (pre-garde, sortie de garde)",,,,T,,,,,,,,,,,,,,,,,
2,23.0,2,11-50,Over 5,Over 50,23.0,Doctor,Post-Secondary,Advanced,homme,45 or older,non,non,"repos de garde (pre-garde, sortie de garde)",,,,T,,,,,,,,,,,,,,,,,
2,24.0,2,11-50,Over 5,Over 50,24.0,Doctor,Post-Secondary,Advanced,femme,45 or older,non,non,formation/seminaire/reunion,,,,T,,,,,,,,,,,,,,,,,
2,25.0,2,11-50,Over 5,Over 50,25.0,Nurse,Post-Secondary,Diploma,femme,25-34,non,oui,,,oui,,T,,,,,Nurse,8.0,Nurse,Post-Secondary,Diploma,After 2000,femme,25-34,oui,,,consultation/visite de malade,non
2,26.0,2,11-50,Over 5,Over 50,26.0,Nurse,Post-Secondary,Diploma,femme,45 or older,non,oui,,,,,T,,,,,,,,,,,,,,,,,
2,27.0,2,11-50,Over 5,Over 50,27.0,Nurse,Post-Secondary,Diploma,femme,35-44,non,oui,,,,,T,,,,,,,,,,,,,,,,,
2,28.0,2,11-50,Over 5,Over 50,28.0,Nurse,Post-Secondary,Diploma,femme,25-34,non,non,"repos de garde (pre-garde, sortie de garde)",,oui,,T,,,,,Nurse,9.0,Nurse,Post-Secondary,Diploma,,femme,25-34,non,"repos de garde (pre-garde, sortie de garde)",,,
2,29.0,2,11-50,Over 5,Over 50,29.0,Other,Post-Secondary,Diploma,homme,35-44,non,oui,,,,,T,,,,,,,,,,,,,,,,,
2,30.0,2,11-50,Over 5,Over 50,30.0,Nurse,Post-Secondary,Diploma,homme,45 or older,non,non,"repos de garde (pre-garde, sortie de garde)",,,,T,,,,,,,,,,,,,,,,,
2,31.0,2,11-50,Over 5,Over 50,31.0,Nurse,Post-Secondary,Diploma,femme,25-34,non,non,maladie/maternite,,oui,,T,,,,,Nurse,10.0,Nurse,Post-Secondary,Diploma,,femme,25-34,non,absence autorisee (permission/conge),,,
2,32.0,2,11-50,Over 5,Over 50,32.0,Nurse,Post-Secondary,Diploma,femme,25-34,non,non,"repos de garde (pre-garde, sortie de garde)",,,,T,,,,,,,,,,,,,,,,,
2,33.0,2,11-50,Over 5,Over 50,33.0,Nurse,Post-Secondary,Diploma,femme,35-44,non,non,"repos de garde (pre-garde, sortie de garde)",,,,T,,,,,,,,,,,,,,,,,
2,34.0,2,11-50,Over 5,Over 50,34.0,Nurse,Post-Secondary,Diploma,femme,45 or older,non,oui,,,,,T,,,,,,,,,,,,,,,,,
2,35.0,2,11-50,Over 5,Over 50,35.0,Nurse,Post-Secondary,Diploma,femme,45 or older,non,oui,,,,,T,,,,,,,,,,,,,,,,,
2,36.0,2,11-50,Over 5,Over 50,36.0,Other,Post-Secondary,Diploma,homme,45 or older,non,oui,,,,,T,,,,,,,,,,,,,,,,,
2,37.0,2,11-50,Over 5,Over 50,37.0,Nurse,Post-Secondary,Diploma,femme,45 or older,non,non,"repos de garde (pre-garde, sortie de garde)",,,,T,,,,,,,,,,,,,,,,,
2,38.0,2,11-50,Over 5,Over 50,38.0,Nurse,Post-Secondary,Diploma,femme,35-44,non,non,"repos de garde (pre-garde, sortie de garde)",,,,T,,,,,,,,,,,,,,,,,
2,39.0,2,11-50,Over 5,Over 50,39.0,Nurse,Post-Secondary,Diploma,homme,35-44,non,oui,,,,,T,,,,,,,,,,,,,,,,,
3,1.0,3,11-50,Over 5,Over 50,1.0,Doctor,Post-Secondary,Advanced,homme,45 or older,oui,non,formation/seminaire/reunion,,oui,,T,,1.0,tsy eo,Tsy eo,Doctor,1.0,Doctor,Post-Secondary,Advanced,In the 1990s,homme,45 or older,oui,,,consultation/visite de malade,non
3,2.0,3,11-50,Over 5,Over 50,2.0,Doctor,Post-Secondary,Advanced,homme,45 or older,non,oui,,,oui,,T,,,,,Doctor,2.0,Doctor,Post-Secondary,Advanced,In the 1990s,homme,45 or older,oui,,,consultation/visite de malade,non
3,3.0,3,11-50,Over 5,Over 50,3.0,Doctor,Post-Secondary,Advanced,homme,45 or older,non,oui,,,,,T,,,,,,,,,,,,,,,,,
3,4.0,3,11-50,Over 5,Over 50,4.0,Doctor,Post-Secondary,Advanced,homme,45 or older,non,oui,,,oui,,T,,,,,Doctor,3.0,Doctor,Post-Secondary,Advanced,In the 1990s,homme,45 or older,oui,,,consultation/visite de malade,non
3,5.0,3,11-50,Over 5,Over 50,5.0,Doctor,Post-Secondary,Advanced,homme,45 or older,non,oui,,,oui,,T,,,,,Doctor,4.0,Doctor,Post-Secondary,Advanced,After 2000,homme,45 or older,oui,,,consultation/visite de malade,non
3,6.0,3,11-50,Over 5,Over 50,6.0,Doctor,Post-Secondary,Advanced,homme,45 or older,oui,non,"repos de garde (pre-garde, sortie de garde)",,,,T,,2.0,tsy eo,Tsy eo,,,,,,,,,,,,,
3,7.0,3,11-50,Over 5,Over 50,7.0,Doctor,Post-Secondary,Advanced,femme,35-44,oui,oui,,,,oui,T,1.0,3.0,eny,Eny,,,,,,,,,,,,,
3,8.0,3,11-50,Over 5,Over 50,8.0,Other,Post-Secondary,Advanced,homme,45 or older,non,non,"repos de garde (pre-garde, sortie de garde)",,,,T,,,,,,,,,,,,,,,,,
3,9.0,3,11-50,Over 5,Over 50,9.0,Doctor,Post-Secondary,Advanced,homme,35-44,oui,non,"repos de garde (pre-garde, sortie de garde)",,,,T,,4.0,tsy eo,Tsy eo,,,,,,,,,,,,,
3,10.0,3,11-50,Over 5,Over 50,10.0,Doctor,Post-Secondary,Advanced,femme,45 or older,oui,non,absence autorisee (permission/conge),,,oui,T,2.0,5.0,eny,Eny,,,,,,,,,,,,,
3,11.0,3,11-50,Over 5,Over 50,11.0,Nurse,Post-Secondary,Diploma,femme,45 or older,non,oui,,,,,T,,,,,,,,,,,,,,,,,
3,12.0,3,11-50,Over 5,Over 50,12.0,Nurse,Post-Secondary,Diploma,femme,45 or older,non,oui,,,oui,,T,,,,,Nurse,5.0,Nurse,Post-Secondary,Diploma,Before 1990,femme,45 or older,oui,,,consultation/visite de malade,non
3,13.0,3,11-50,Over 5,Over 50,13.0,Other,Post-Secondary,Diploma,femme,45 or older,non,oui,,,,,T,,,,,,,,,,,,,,,,,
3,14.0,3,11-50,Over 5,Over 50,14.0,Nurse,Post-Secondary,Diploma,femme,45 or older,non,oui,,,,,T,,,,,,,,,,,,,,,,,
3,15.0,3,11-50,Over 5,Over 50,15.0,Nurse,Post-Secondary,Diploma,femme,45 or older,non,oui,,,,,T,,,,,,,,,,,,,,,,,
3,16.0,3,11-50,Over 5,Over 50,16.0,Nurse,Post-Secondary,Diploma,homme,45 or older,non,oui,,,oui,,T,,,,,Nurse,6.0,Nurse,Post-Secondary,Diploma,,homme,45 or older,non,"repos de garde (pre-garde, sortie de garde)",,,
3,17.0,3,11-50,Over 5,Over 50,17.0,Doctor,Post-Secondary,Advanced,homme,45 or older,oui,oui,,,,,T,,6.0,tsy eo,Tsy eo,,,,,,,,,,,,,
3,18.0,3,11-50,Over 5,Over 50,18.0,Nurse,Post-Secondary,Diploma,femme,45 or older,non,oui,,,oui,,T,,,,,Nurse,7.0,Nurse,Post-Secondary,Diploma,,femme,45 or older,non,"repos de garde (pre-garde, sortie de garde)",,,
3,19.0,3,11-50,Over 5,Over 50,19.0,Other,Post-Secondary,Certificate,homme,45 or older,non,oui,,,,,T,,,,,,,,,,,,,,,,,
3,20.0,3,11-50,Over 5,Over 50,20.0,Other,Post-Secondary,Certificate,homme,45 or older,non,non,"repos de garde (pre-garde, sortie de garde)",,,,T,,,,,,,,,,,,,,,,,
3,21.0,3,11-50,Over 5,Over 50,21.0,Nurse,Post-Secondary,Diploma,femme,45 or older,non,oui,,,,,T,,,,,,,,,,,,,,,,,
3,22.0,3,11-50,Over 5,Over 50,22.0,Nurse,Post-Secondary,Diploma,homme,45 or older,non,oui,,,,,T,,,,,,,,,,,,,,,,,
3,23.0,3,11-50,Over 5,Over 50,23.0,Nurse,Post-Secondary,Diploma,homme,35-44,non,oui,,,,,T,,,,,,,,,,,,,,,,,
3,24.0,3,11-50,Over 5,Over 50,24.0,Other,Post-Secondary,Diploma,homme,45 or older,non,oui,,,oui,,T,,,,,Other,8.0,Other,Post-Secondary,Diploma,,homme,45 or older,non,absence autorisee (permission/conge),,,
3,25.0,3,11-50,Over 5,Over 50,25.0,Other,Post-Secondary,Diploma,homme,35-44,non,oui,,,,,T,,,,,,,,,,,,,,,,,
3,26.0,3,11-50,Over 5,Over 50,26.0,Nurse,Post-Secondary,Diploma,femme,35-44,non,non,"repos de garde (pre-garde, sortie de garde)",,,,T,,,,,,,,,,,,,,,,,
3,27.0,3,11-50,Over 5,Over 50,27.0,Nurse,Post-Secondary,Diploma,femme,45 or older,non,non,"repos de garde (pre-garde, sortie de garde)",,,,T,,,,,,,,,,,,,,,,,
3,28.0,3,11-50,Over 5,Over 50,28.0,Other,Post-Secondary,Certificate,homme,45 or older,non,oui,,,,,T,,,,,,,,,,,,,,,,,
3,29.0,3,11-50,Over 5,Over 50,29.0,Other,Post-Secondary,Certificate,homme,35-44,non,non,"repos de garde (pre-garde, sortie de garde)",,,,T,,,,,,,,,,,,,,,,,
3,30.0,3,11-50,Over 5,Over 50,30.0,Doctor,Post-Secondary,Advanced,femme,45 or older,non,oui,,,,,T,,,,,,,,,,,,,,,,,
3,31.0,3,11-50,Over 5,Over 50,31.0,Nurse,Post-Secondary,Diploma,femme,45 or older,non,oui,,,oui,,T,,,,,Nurse,9.0,Nurse,Post-Secondary,Diploma,,femme,45 or older,non,"repos de garde (pre-garde, sortie de garde)",,,
3,32.0,3,11-50,Over 5,Over 50,32.0,Nurse,Post-Secondary,Diploma,femme,35-44,non,non,"repos de garde (pre-garde, sortie de garde)",,,,T,,,,,,,,,,,,,,,,,
3,33.0,3,11-50,Over 5,Over 50,33.0,Nurse,Post-Secondary,Diploma,femme,25-34,non,oui,,,,,T,,,,,,,,,,,,,,,,,
3,34.0,3,11-50,Over 5,Over 50,34.0,Other,Post-Secondary,,homme,35-44,non,oui,,,oui,,T,,,,,Other,10.0,Other,Post-Secondary,,After 2000,homme,35-44,oui,,,consultation/visite de malade,non
4,1.0,4,6-10,5 or less,11-50,1.0,Doctor,Post-Secondary,Advanced,femme,45 or older,oui,non,mission officielle,,oui,,T,,1.0,tsy eo,Tsy eo,Doctor,1.0,Doctor,Post-Secondary,Advanced,After 2000,femme,45 or older,oui,,,consultation/visite de malade,non
4,2.0,4,6-10,5 or less,11-50,2.0,Doctor,Post-Secondary,Advanced,homme,25-34,oui,oui,,,oui,oui,T,1.0,2.0,eny,Eny,Doctor,2.0,Doctor,Post-Secondary,Advanced,After 2000,homme,25-34,oui,,,consultation/visite de malade,non
4,3.0,4,6-10,5 or less,11-50,3.0,Doctor,Post-Secondary,Advanced,homme,35-44,oui,non,mission officielle,,oui,,T,,3.0,tsy eo,Tsy eo,Doctor,3.0,Doctor,Post-Secondary,Advanced,,homme,35-44,non,autre (a preciser),ANY AMIN CENTRE ANNEXE,,
4,4.0,4,6-10,5 or less,11-50,4.0,Nurse,Post-Secondary,Diploma,femme,25-34,non,non,maladie/maternite,,oui,,T,,,,,Nurse,4.0,Nurse,Post-Secondary,Diploma,,femme,25-34,non,maladie/maternite,,,
4,5.0,4,6-10,5 or less,11-50,5.0,Nurse,Post-Secondary,Diploma,femme,25-34,non,non,"repos de garde (pre-garde, sortie de garde)",,oui,,T,,,,,Nurse,5.0,Nurse,Post-Secondary,Diploma,After 2000,femme,25-34,oui,,,discussion avec collegues/reunion/staff,non
4,6.0,4,6-10,5 or less,11-50,6.0,Nurse,Post-Secondary,Diploma,femme,25-34,non,non,"repos de garde (pre-garde, sortie de garde)",,oui,,T,,,,,Nurse,6.0,Nurse,Post-Secondary,Diploma,,femme,25-34,non,"repos de garde (pre-garde, sortie de garde)",,,
4,7.0,4,6-10,5 or less,11-50,7.0,Nurse,Post-Secondary,Diploma,femme,25-34,non,oui,,,oui,,T,,,,,Nurse,7.0,Nurse,Post-Secondary,Diploma,,femme,25-34,non,"repos de garde (pre-garde, sortie de garde)",,,
4,8.0,4,6-10,5 or less,11-50,8.0,Nurse,Post-Secondary,Diploma,femme,35-44,non,non,mission officielle,,oui,,T,,,,,Nurse,8.0,Nurse,Post-Secondary,Diploma,,femme,Younger than 25,non,"repos de garde (pre-garde, sortie de garde)",,,
5,1.0,5,5 or less,5 or less,5 or less,1.0,Doctor,Post-Secondary,Advanced,femme,45 or older,oui,oui,,,oui,oui,T,1.0,1.0,eny,Eny,Doctor,1.0,Doctor,Post-Secondary,Advanced,After 2000,femme,45 or older,oui,,,consultation/visite de malade,non
6,1.0,6,5 or less,5 or less,5 or less,1.0,Doctor,Post-Secondary,Advanced,femme,35-44,oui,oui,,,oui,oui,T,1.0,1.0,eny,Eny,Doctor,1.0,Doctor,Post-Secondary,Advanced,,femme,35-44,non,autre (a preciser),,,
7,1.0,7,5 or less,5 or less,5 or less,1.0,Nurse,Post-Secondary,Diploma,femme,25-34,oui,oui,,,oui,oui,T,1.0,1.0,eny,Eny,Nurse,1.0,Nurse,Post-Secondary,Diploma,,femme,25-34,non,formation/seminaire/reunion,,,
7,2.0,7,5 or less,5 or less,5 or less,2.0,Other,,,femme,25-34,non,oui,,,,,T,,,,,,,,,,,,,,,,,
8,1.0,8,5 or less,5 or less,5 or less,1.0,Doctor,Post-Secondary,Advanced,femme,45 or older,oui,oui,,,oui,oui,T,1.0,1.0,eny,Eny,Doctor,1.0,Doctor,Post-Secondary,Advanced,After 2000,femme,45 or older,oui,,,autre,non
9,1.0,9,5 or less,5 or less,5 or less,1.0,Doctor,Post-Secondary,Advanced,femme,45 or older,oui,oui,,,oui,oui,T,1.0,1.0,eny,Eny,Doctor,1.0,Doctor,Post-Secondary,Advanced,,femme,45 or older,non,formation/seminaire/reunion,,,
9,2.0,9,5 or less,5 or less,5 or less,2.0,Nurse,Post-Secondary,Diploma,homme,45 or older,oui,oui,,,oui,oui,T,2.0,2.0,eny,Eny,Nurse,2.0,Nurse,Post-Secondary,Diploma,After 2000,homme,45 or older,oui,,,consultation/visite de malade,non
10,1.0,10,5 or less,5 or less,5 or less,1.0,Nurse,Post-Secondary,Advanced,femme,25-34,oui,oui,,,oui,oui,T,1.0,1.0,eny,Eny,Nurse,1.0,Nurse,Post-Secondary,Advanced,After 2000,femme,25-34,oui,,,traitement de dossiers/elaboration de rapports,non
11,1.0,11,5 or less,5 or less,6-10,1.0,Doctor,Post-Secondary,Advanced,femme,45 or older,oui,oui,,,oui,oui,T,1.0,1.0,eny,Eny,Doctor,1.0,Doctor,Post-Secondary,Advanced,After 2000,femme,45 or older,oui,,,consultation/visite de malade,non
11,2.0,11,5 or less,5 or less,6-10,2.0,Doctor,Post-Secondary,Advanced,femme,45 or older,oui,non,mission officielle,,oui,,T,,2.0,tsy eo,Tsy eo,Doctor,2.0,Doctor,Post-Secondary,Advanced,After 2000,femme,45 or older,oui,,,consultation/visite de malade,non
11,3.0,11,5 or less,5 or less,6-10,3.0,Nurse,Post-Secondary,Diploma,femme,45 or older,oui,oui,,,oui,oui,T,2.0,3.0,eny,Eny,Nurse,3.0,Nurse,Post-Secondary,Diploma,After 2000,femme,45 or older,oui,,,consultation/visite de malade,non
12,1.0,12,5 or less,5 or less,5 or less,1.0,Doctor,Post-Secondary,Advanced,homme,35-44,oui,non,autre (a preciser),ON NE SAIT PAS,oui,,T,,1.0,tsy eo,Tsy eo,Doctor,1.0,Doctor,Post-Secondary,Advanced,After 2000,homme,35-44,oui,,,traitement de dossiers/elaboration de rapports,non
12,2.0,12,5 or less,5 or less,5 or less,2.0,Nurse,Post-Secondary,Diploma,homme,35-44,oui,oui,,,oui,oui,T,1.0,2.0,eny,Eny,Nurse,2.0,Nurse,Post-Secondary,Diploma,,homme,35-44,non,absence autorisee (permission/conge),,,
12,3.0,12,5 or less,5 or less,5 or less,3.0,Nurse,Post-Secondary,Diploma,femme,35-44,oui,oui,,,oui,oui,T,2.0,3.0,eny,Eny,Nurse,3.0,Nurse,Post-Secondary,Diploma,,femme,35-44,non,absence autorisee (permission/conge),,,
13,1.0,13,5 or less,5 or less,5 or less,1.0,Doctor,Post-Secondary,Advanced,femme,45 or older,oui,oui,,,oui,oui,T,1.0,1.0,eny,Eny,Doctor,1.0,Doctor,Post-Secondary,Advanced,After 2000,femme,45 or older,oui,,,consultation/visite de malade,non
13,2.0,13,5 or less,5 or less,5 or less,2.0,Nurse,Post-Secondary,Advanced,femme,25-34,oui,oui,,,oui,oui,T,2.0,2.0,eny,Eny,Nurse,2.0,Nurse,Post-Secondary,Advanced,,femme,25-34,non,absence autorisee (permission/conge),,,
14,1.0,14,5 or less,5 or less,5 or less,1.0,Nurse,Post-Secondary,Diploma,femme,25-34,oui,oui,,,oui,oui,T,1.0,1.0,eny,Eny,Nurse,1.0,Nurse,Post-Secondary,Diploma,After 2000,femme,25-34,oui,,,consultation/visite de malade,non
15,1.0,15,11-50,5 or less,11-50,1.0,Doctor,Post-Secondary,Advanced,homme,35-44,oui,oui,,,oui,oui,T,1.0,4.0,eny,Eny,Doctor,1.0,Doctor,Post-Secondary,Advanced,After 2000,homme,35-44,oui,,,consultation/visite de malade,non
15,2.0,15,11-50,5 or less,11-50,2.0,Doctor,Post-Secondary,Advanced,femme,45 or older,oui,non,mission officielle,,,,T,,6.0,tsy eo,Tsy eo,,,,,,,,,,,,,
15,3.0,15,11-50,5 or less,11-50,3.0,Nurse,Post-Secondary,Certificate,homme,45 or older,non,oui,,,oui,,T,,,,,Nurse,2.0,Nurse,Post-Secondary,Certificate,In the 1990s,homme,45 or older,oui,,,traitement de dossiers/elaboration de rapports,non
15,4.0,15,11-50,5 or less,11-50,4.0,Nurse,Post-Secondary,Certificate,homme,35-44,oui,non,"repos de garde (pre-garde, sortie de garde)",,oui,,T,,5.0,tsy eo,Tsy eo,Nurse,3.0,Nurse,Post-Secondary,Certificate,,homme,35-44,non,"repos de garde (pre-garde, sortie de garde)",,,
15,5.0,15,11-50,5 or less,11-50,5.0,Nurse,Post-Secondary,Certificate,homme,35-44,oui,oui,,,oui,oui,T,2.0,8.0,eny,Eny,Nurse,4.0,Nurse,Post-Secondary,Certificate,,homme,35-44,non,"repos de garde (pre-garde, sortie de garde)",,,
15,6.0,15,11-50,5 or less,11-50,6.0,Nurse,Post-Secondary,Certificate,homme,35-44,oui,oui,,,oui,oui,T,3.0,2.0,eny,Eny,Nurse,5.0,Nurse,Post-Secondary,Certificate,,homme,35-44,non,autre (a preciser),MBOLA TSY TONGA,,
15,7.0,15,11-50,5 or less,11-50,7.0,Nurse,Post-Secondary,Certificate,homme,45 or older,oui,oui,,,,oui,T,4.0,12.0,eny,Eny,,,,,,,,,,,,,
15,8.0,15,11-50,5 or less,11-50,8.0,Nurse,Post-Secondary,Certificate,homme,35-44,oui,oui,,,,oui,T,5.0,1.0,eny,Eny,,,,,,,,,,,,,
15,9.0,15,11-50,5 or less,11-50,9.0,Nurse,Post-Secondary,Certificate,homme,35-44,oui,non,autre (a preciser),MBOLA MANDALO ANY AMIN'NY CAMP,,oui,T,6.0,7.0,eny,Eny,,,,,,,,,,,,,
15,10.0,15,11-50,5 or less,11-50,10.0,Nurse,Post-Secondary,Certificate,homme,35-44,oui,non,absence autorisee (permission/conge),,,,T,,10.0,tsy eo,Tsy eo,,,,,,,,,,,,,
15,11.0,15,11-50,5 or less,11-50,11.0,Nurse,Post-Secondary,Certificate,homme,35-44,oui,oui,,,oui,,T,,3.0,tsy eo,Tsy eo,Nurse,6.0,Nurse,Post-Secondary,Certificate,After 2000,homme,35-44,oui,,,discussion avec collegues/reunion/staff,non
15,12.0,15,11-50,5 or less,11-50,12.0,Nurse,Post-Secondary,Certificate,homme,35-44,non,non,en stage,,,,T,,,,,,,,,,,,,,,,,
15,13.0,15,11-50,5 or less,11-50,13.0,Nurse,Post-Secondary,Certificate,homme,35-44,non,non,en stage,,oui,,T,,,,,Nurse,7.0,Nurse,Post-Secondary,Certificate,,homme,35-44,non,en stage,MANAO STAGE,,
15,14.0,15,11-50,5 or less,11-50,14.0,Nurse,Post-Secondary,Certificate,homme,25-34,non,non,en stage,,,,T,,,,,,,,,,,,,,,,,
15,15.0,15,11-50,5 or less,11-50,15.0,Nurse,Post-Secondary,Certificate,homme,35-44,non,non,en stage,,oui,,T,,,,,Nurse,8.0,Nurse,Post-Secondary,Certificate,,homme,35-44,non,autre (a preciser),MBOLA TSY TONGA,,
15,16.0,15,11-50,5 or less,11-50,16.0,Nurse,Post-Secondary,Certificate,homme,35-44,oui,oui,,,oui,oui,T,7.0,11.0,eny,Eny,Nurse,9.0,Nurse,Post-Secondary,Certificate,,homme,35-44,non,"repos de garde (pre-garde, sortie de garde)",,,
15,17.0,15,11-50,5 or less,11-50,17.0,Nurse,Post-Secondary,Certificate,homme,25-34,oui,oui,,,oui,oui,T,8.0,9.0,eny,Eny,Nurse,10.0,Nurse,Post-Secondary,Certificate,,homme,25-34,non,absence autorisee (permission/conge),,,
16,1.0,16,11-50,Over 5,11-50,1.0,Doctor,Post-Secondary,Advanced,femme,45 or older,oui,oui,,,oui,oui,T,1.0,1.0,eny,Eny,Doctor,1.0,Doctor,Post-Secondary,Advanced,After 2000,femme,45 or older,oui,,,consultation/visite de malade,non
