fac_id,staff_id,m2sfq1,m2sfq3,m2sfq4,m2sfq7,m2sfq8,m2sfq9,m2sfq10,m2sfq11,m2sfq12,m2sfq13,m2sfq14,m2sfq14aut,m2sfq15,m2sfq16,m2sgq1,m2sgq3,m2sgq5,m2sgq6,m2sgq7,m2sgq8,m2sgq8aut,m2sgq9,m2sgq10
1,15,Over 50,Over 5,15,Other,Secondary,Diploma,Femme,25-34,Oui,Non,"Repos de garde (pré-garde, sortie de garde)",,Oui,Non,9.0,15.0,Other,Femme,Oui,,,Discussion avec collègues/réunion/Staff,Non
1,16,Over 50,Over 5,16,Other,Secondary,Diploma,Femme,25-34,Oui,Non,Absence autorisée (permission/congé),,Non,Non,,,,,,,,,
1,17,Over 50,Over 5,17,Other,Primary,Certificate,Femme,35-44,Oui,Non,Absence autorisée (permission/congé),,Non,Non,,,,,,,,,
1,18,Over 50,Over 5,18,Clinical Officer,Post-Secondary,Advanced,Homme,25-34,Oui,Oui,,,Non,Oui,,,,,,,,,
1,19,Over 50,Over 5,19,Clinical Officer,Post-Secondary,Advanced,Homme,25-34,Oui,Non,"Repos de garde (pré-garde, sortie de garde)",,Non,Non,,,,,,,,,
1,20,Over 50,Over 5,20,Nurse,Post-Secondary,Advanced,Femme,25-34,Oui,Oui,,,Non,Oui,,,,,,,,,
1,21,Over 50,Over 5,21,Nurse,Post-Secondary,Advanced,Femme,25-34,Oui,Oui,,,Oui,Oui,10.0,21.0,Nurse,Femme,Oui,,,Consultation/visite de malade,Non
1,22,Over 50,Over 5,22,Other,Secondary,Diploma,Femme,25-34,Oui,Oui,,,Non,Oui,,,,,,,,,
1,23,Over 50,Over 5,23,Nurse,Post-Secondary,Advanced,Homme,25-34,Non,Oui,,,Non,Non,,,,,,,,,
1,24,Over 50,Over 5,24,Nurse,Post-Secondary,Advanced,Femme,25-34,Oui,Non,Maladie/maternité,,Non,Non,,,,,,,,,
1,25,Over 50,Over 5,25,Other,Primary,None,Femme,25-34,Non,Oui,,,Non,Non,,,,,,,,,
2,1,5 or less,5 or less,1,Nurse,Secondary,Diploma,Homme,25-34,Oui,Oui,,,Oui,Oui,1.0,1.0,Nurse,Homme,Non,Absence non autorisée,,,
2,2,5 or less,5 or less,2,Other,Secondary,None,Femme,Younger than 25,Oui,Oui,,,Oui,Oui,2.0,2.0,Other,Femme,Oui,,,Autres,Non
3,1,5 or less,5 or less,1,Nurse,Post-Secondary,Advanced,Homme,25-34,Oui,Oui,,,Oui,Oui,1.0,1.0,Nurse,Homme,Oui,,,Consultation/visite de malade,Non
3,2,5 or less,5 or less,2,Other,Secondary,None,Femme,25-34,Oui,Oui,,,Oui,Oui,2.0,2.0,Other,Femme,Oui,,,Consultation/visite de malade,Non
4,1,6-10,5 or less,1,Nurse,Secondary,Diploma,Homme,35-44,Oui,Oui,,,Oui,Oui,1.0,1.0,Nurse,Homme,Oui,,,Consultation/visite de malade,Non
4,2,6-10,5 or less,2,Other,Secondary,Diploma,Homme,35-44,Non,Oui,,,Oui,Non,2.0,2.0,Other,Homme,Oui,,,Traitement de dossiers/élaboration de rapports,Non
4,3,6-10,5 or less,3,Other,Secondary,Diploma,Femme,Younger than 25,Oui,Oui,,,Oui,Oui,3.0,3.0,Other,Femme,Oui,,,Discussion avec collègues/réunion/Staff,Non
4,4,6-10,5 or less,4,Other,Secondary,None,Femme,45 or older,Oui,Non,Absence autorisée (permission/congé),,Oui,Non,4.0,4.0,Other,Femme,Non,Absence autorisée (permission/congé),,,
4,5,6-10,5 or less,5,Other,Primary,None,Femme,Younger than 25,Non,Oui,,,Oui,Non,5.0,5.0,Other,Femme,Oui,,,Cherche des informations/formation,Non
5,1,11-50,5 or less,1,Clinical Officer,Post-Secondary,Advanced,Homme,35-44,Oui,Oui,,,Non,Non,,,,,,,,,
5,2,11-50,5 or less,2,Nurse,Post-Secondary,Advanced,Femme,25-34,Oui,Oui,,,Oui,Oui,1.0,2.0,Nurse,Femme,Oui,,,Consultation/visite de malade,Non
5,3,11-50,5 or less,3,Other,Secondary,Diploma,Homme,45 or older,Non,Non,Absence autorisée (permission/congé),,Oui,,2.0,3.0,Other,Homme,Non,Absence autorisée (permission/congé),,,
5,4,11-50,5 or less,4,Other,Post-Secondary,Advanced,Homme,25-34,Non,Oui,,,Oui,Non,3.0,4.0,Other,Homme,Oui,Absence autorisée (permission/congé),,Cherche des informations/formation,Non
5,5,11-50,5 or less,5,Other,Post-Secondary,Advanced,Homme,25-34,Non,Non,Absence autorisée (permission/congé),,Oui,,4.0,5.0,Other,Homme,Non,Absence autorisée (permission/congé),,Cherche des informations/formation,Non
5,6,11-50,5 or less,6,Nurse,Primary,Certificate,Homme,45 or older,Oui,Oui,,,Oui,Oui,5.0,6.0,Nurse,Homme,Non,Absence autorisée (permission/congé),,,
5,7,11-50,5 or less,7,Nurse,Secondary,Diploma,Homme,25-34,Oui,Oui,,,Oui,Oui,6.0,7.0,Nurse,Homme,Oui,Absence autorisée (permission/congé),,Consultation/visite de malade,Non
5,8,11-50,5 or less,8,Nurse,Primary,Certificate,Femme,35-44,Oui,Non,"Repos de garde (pré-garde, sortie de garde)",,Oui,,7.0,8.0,Nurse,Femme,Non,Absence autorisée (permission/congé),,,
5,9,11-50,5 or less,9,Nurse,Primary,Certificate,Homme,45 or older,Non,Non,Absence autorisée (permission/congé),,Oui,,8.0,9.0,Nurse,Homme,Non,Absence autorisée (permission/congé),,,
5,10,11-50,5 or less,10,Other,Secondary,Diploma,Femme,35-44,Oui,Non,Absence autorisée (permission/congé),,Non,,,,,,,,,,
5,11,11-50,5 or less,11,Other,Primary,None,Femme,35-44,Non,Oui,,,Oui,Oui,9.0,11.0,Other,Femme,Non,Absence autorisée (permission/congé),,,
5,12,11-50,5 or less,12,Other,Primary,None,Femme,45 or older,Oui,Oui,,,Oui,Oui,10.0,12.0,Other,Femme,Non,"Repos de garde (pré-garde, sortie de garde)",,,
5,13,11-50,5 or less,13,Other,Primary,None,Homme,25-34,Non,Oui,,,Non,Non,,,,,,,,,
6,1,5 or less,5 or less,1,Nurse,Secondary,Diploma,Homme,25-34,Oui,Oui,,,Oui,Oui,1.0,1.0,Nurse,Homme,Non,Absence autorisée (permission/congé),,,
6,2,5 or less,5 or less,2,Other,Primary,None,Femme,25-34,Oui,Oui,,,Oui,Oui,2.0,2.0,Other,Femme,Non,Absence non autorisée,,,
7,1,6-10,5 or less,1,Nurse,Secondary,Diploma,Homme,45 or older,Oui,Oui,,,Oui,Oui,,1.0,Nurse,Homme,Non,Autres (à préciser),,,
7,2,6-10,5 or less,2,Other,Secondary,None,Homme,45 or older,Oui,Oui,,,Oui,Oui,2.0,2.0,Other,Homme,Oui,,,Consultation/visite de malade,Non
7,3,6-10,5 or less,3,Other,Primary,None,Femme,45 or older,Oui,Oui,,,Oui,Oui,3.0,3.0,Other,Femme,Non,Autres (à préciser),,,
7,4,6-10,5 or less,4,Other,Secondary,None,Homme,45 or older,Oui,Non,Absence autorisée (permission/congé),,Oui,Non,4.0,4.0,Other,Homme,Non,Absence autorisée (permission/congé),,,
7,5,6-10,5 or less,5,Other,Secondary,None,Femme,35-44,Non,Oui,,,Oui,Non,5.0,5.0,Other,Femme,Oui,,,Autres,Non
8,1,6-10,5 or less,1,Nurse,Post-Secondary,Diploma,Homme,25-34,Oui,Oui,,,Oui,Oui,1.0,1.0,Nurse,Homme,Non,Absence autorisée (permission/congé),,,
8,2,6-10,5 or less,2,Other,Primary,Certificate,Femme,45 or older,Oui,Oui,,,Oui,Oui,2.0,2.0,Other,Femme,Non,Absence autorisée (permission/congé),,,
8,3,6-10,5 or less,3,Other,Primary,None,Homme,45 or older,Oui,Oui,,,Oui,Oui,3.0,3.0,Other,Homme,Oui,,,Consultation/visite de malade,Non
8,4,6-10,5 or less,4,Other,Primary,None,Femme,45 or older,Oui,Oui,,,Oui,Oui,4.0,4.0,Other,Femme,Oui,,,Autres,Non
8,5,6-10,5 or less,5,Other,Secondary,None,Homme,45 or older,Non,Oui,,,Oui,Non,5.0,5.0,Other,Homme,Oui,,,Consultation/visite de malade,Non
8,6,6-10,5 or less,6,Other,Primary,None,Femme,25-34,Oui,Oui,,,Oui,Oui,6.0,6.0,Other,Femme,Oui,,,Autres,Non
9,1,6-10,5 or less,1,Nurse,Secondary,Diploma,Homme,45 or older,Oui,Oui,,,Oui,Oui,1.0,1.0,Nurse,Homme,Non,Absence autorisée (permission/congé),,,
9,2,6-10,5 or less,2,Other,Secondary,Diploma,Femme,25-34,Oui,Oui,,,Oui,Oui,2.0,2.0,Other,Femme,Oui,,,Discussion avec collègues/réunion/Staff,Non
9,3,6-10,5 or less,3,Other,Primary,None,Homme,45 or older,Non,Oui,,,Oui,Non,3.0,3.0,Other,Homme,Oui,,,Discussion avec collègues/réunion/Staff,Non
9,4,6-10,5 or less,4,Other,Primary,None,Homme,45 or older,Non,Oui,,,Oui,Non,4.0,4.0,Other,Homme,Non,Absence autorisée (permission/congé),,,
9,5,6-10,5 or less,5,Other,Primary,None,Femme,45 or older,Non,Oui,,,Oui,Non,5.0,5.0,Other,Femme,Oui,,,Discussion avec collègues/réunion/Staff,Non
10,1,6-10,5 or less,1,Nurse,Post-Secondary,Advanced,Homme,25-34,Oui,Oui,,,Oui,Oui,1.0,1.0,Nurse,Homme,Oui,,,Discussion avec collègues/réunion/Staff,Non
10,2,6-10,5 or less,2,Nurse,Post-Secondary,Advanced,Femme,25-34,Oui,Non,Formation/séminaire/réunion,,Oui,Non,2.0,2.0,Nurse,Femme,Oui,,,Discussion avec collègues/réunion/Staff,Non
10,3,6-10,5 or less,3,Other,Primary,Certificate,Femme,45 or older,Oui,Non,Absence autorisée (permission/congé),,Oui,,3.0,3.0,Other,Femme,Non,Absence autorisée (permission/congé),,,
10,4,6-10,5 or less,4,Other,Secondary,Diploma,Femme,25-34,Oui,Oui,,,Oui,Oui,4.0,4.0,Other,Femme,Oui,,,Traitement de dossiers/élaboration de rapports,Non
10,5,6-10,5 or less,5,Other,Primary,None,Homme,45 or older,Non,Oui,,,Oui,Non,5.0,5.0,Other,Homme,Oui,,,Traitement de dossiers/élaboration de rapports,Non
10,6,6-10,5 or less,6,Other,Primary,None,Homme,45 or older,Non,Oui,,,Oui,Non,6.0,6.0,Other,Homme,Oui,,,Traitement de dossiers/élaboration de rapports,Non
11,1,6-10,5 or less,1,Nurse,Post-Secondary,Diploma,Homme,45 or older,Oui,Oui,,,Oui,Oui,1.0,1.0,Nurse,Homme,Oui,,,Discussion avec collègues/réunion/Staff,Non
11,2,6-10,5 or less,2,Other,Post-Secondary,Diploma,Femme,35-44,Oui,Oui,,,Oui,Oui,2.0,2.0,Other,Femme,Oui,,,Discussion avec collègues/réunion/Staff,Non
11,3,6-10,5 or less,3,Other,Post-Secondary,Advanced,Homme,35-44,Non,Oui,,,Oui,Non,3.0,3.0,Other,Homme,Non,Absence autorisée (permission/congé),,,
11,4,6-10,5 or less,4,Other,Secondary,None,Femme,35-44,Oui,Oui,,,Oui,Oui,4.0,4.0,Other,Femme,Oui,,,Discussion avec collègues/réunion/Staff,Non
11,5,6-10,5 or less,5,Other,Post-Secondary,None,Femme,35-44,Non,Oui,,,Oui,Non,5.0,5.0,Other,Femme,Oui,,,Discussion avec collègues/réunion/Staff,Non
11,6,6-10,5 or less,6,Other,Secondary,None,Femme,45 or older,Oui,Oui,,,Oui,Oui,6.0,6.0,Other,Femme,Oui,,,Discussion avec collègues/réunion/Staff,Non
11,7,6-10,5 or less,7,Other,Secondary,None,Homme,45 or older,Non,Oui,,,Oui,Non,7.0,7.0,Other,Homme,Oui,,,Discussion avec collègues/réunion/Staff,Non
11,8,6-10,5 or less,8,Other,Secondary,None,Homme,45 or older,Non,Non,Maladie/maternité,,Oui,Non,8.0,8.0,Other,Homme,Non,Absence autorisée (permission/congé),,,
12,1,6-10,5 or less,1,Nurse,Secondary,Diploma,Homme,45 or older,Oui,Oui,,,Oui,Oui,1.0,1.0,Nurse,Homme,Non,Absence non autorisée,,,
12,2,6-10,5 or less,2,Other,Primary,Certificate,Femme,45 or older,Oui,Oui,,,Oui,Oui,2.0,2.0,Other,Femme,Non,Autres (à préciser),Q8(11)=SONT TOUS PARTIS AVANT L'HEURE DE FERMETURE,,
12,3,6-10,5 or less,3,Other,Primary,None,Homme,45 or older,Non,Oui,,,Oui,Non,3.0,3.0,Other,Homme,Oui,,,Traitement de dossiers/élaboration de rapports,Non
12,4,6-10,5 or less,4,Other,Secondary,None,Homme,35-44,Oui,Oui,,,Oui,Oui,4.0,4.0,Other,Homme,Non,Autres (à préciser),Q8(11)=SONT TOUS PARTIS AVANT L'HEURE DE FERMETURE,,
12,5,6-10,5 or less,5,Other,Primary,None,Homme,35-44,Oui,Oui,,,Oui,Oui,5.0,5.0,Other,Homme,Non,Autres (à préciser),Q8(11)=SONT TOUS PARTIS AVANT L'HEURE DE FERMETURE,,
12,6,6-10,5 or less,6,Other,Primary,None,Femme,25-34,Oui,Oui,,,Oui,Oui,6.0,6.0,Other,Femme,Non,Autres (à préciser),Q8(11)=SONT TOUS PARTIS AVANT L'HEURE DE FERMETURE,,
13,1,6-10,5 or less,1,Nurse,Secondary,Diploma,Homme,35-44,Oui,Oui,,,Oui,Oui,1.0,1.0,Nurse,Homme,Oui,,,Consultation/visite de malade,Non
13,2,6-10,5 or less,2,Other,Secondary,Diploma,Femme,25-34,Oui,Oui,,,Oui,Oui,2.0,2.0,Other,Femme,Non,Absence autorisée (permission/congé),,,
13,3,6-10,5 or less,3,Other,Post-Secondary,Advanced,Homme,25-34,Non,Oui,,,Oui,Non,3.0,3.0,Other,Homme,Oui,,,Consultation/visite de malade,Non
13,4,6-10,5 or less,4,Other,Primary,None,Femme,35-44,Oui,Oui,,,Oui,Oui,4.0,4.0,Other,Femme,Non,Absence autorisée (permission/congé),,,
13,5,6-10,5 or less,5,Other,Primary,None,Femme,25-34,Non,Oui,,,Oui,Non,5.0,5.0,Other,Femme,Non,"Repos de garde (pré-garde, sortie de garde)",,,
13,6,6-10,5 or less,6,Nurse,Primary,None,Homme,25-34,Oui,Oui,,,Oui,Oui,6.0,6.0,Nurse,Homme,Non,"Repos de garde (pré-garde, sortie de garde)",,,
13,7,6-10,5 or less,7,Other,Secondary,None,Homme,25-34,Non,Oui,,,Oui,Non,7.0,7.0,Other,Homme,Oui,,,Laboratoires/examens/radios,Non
14,1,6-10,5 or less,1,Nurse,Post-Secondary,Diploma,Homme,35-44,Oui,Oui,,,Oui,Oui,,1.0,Nurse,Homme,Non,Absence non autorisée,,,
14,2,6-10,5 or less,2,Other,Secondary,None,Homme,25-34,Oui,Oui,,,Oui,Oui,2.0,2.0,Other,Homme,Oui,,,Consultation/visite de malade,Non
14,3,6-10,5 or less,3,Other,Secondary,None,Homme,35-44,Non,Oui,,,Oui,Non,3.0,3.0,Other,Homme,Oui,,,Autres,Non
14,4,6-10,5 or less,4,Other,Secondary,None,Femme,25-34,Oui,Oui,,,Oui,Oui,4.0,4.0,Other,Femme,Non,Absence non autorisée,,,
14,5,6-10,5 or less,5,Other,Secondary,None,Femme,25-34,Oui,Oui,,,Oui,Oui,5.0,5.0,Other,Femme,Non,Absence non autorisée,,,
14,6,6-10,5 or less,6,Other,Post-Secondary,None,Homme,35-44,Non,Oui,,,Oui,Non,6.0,6.0,Other,Homme,Oui,,,Laboratoires/examens/radios,Non
15,1,11-50,5 or less,1,Nurse,Post-Secondary,Advanced,Femme,35-44,Oui,Oui,,,Oui,Oui,1.0,1.0,Nurse,Femme,Oui,,,Consultation/visite de malade,Non
15,2,11-50,5 or less,2,Doctor,Post-Secondary,Advanced,Homme,35-44,Oui,Oui,,,Non,Oui,,,,,,,,,
15,3,11-50,5 or less,3,Nurse,Post-Secondary,Advanced,Femme,Younger than 25,Oui,Non,"Repos de garde (pré-garde, sortie de garde)",,Oui,Non,2.0,3.0,Nurse,Femme,Oui,,,Consultation/visite de malade,Non
15,4,11-50,5 or less,4,Nurse,Secondary,Diploma,Homme,25-34,Oui,Oui,,,Oui,Oui,3.0,4.0,Nurse,Homme,Oui,,,Consultation/visite de malade,Non
15,5,11-50,5 or less,5,Other,Secondary,Diploma,Femme,25-34,Oui,Oui,,,Oui,Oui,4.0,5.0,Other,Femme,Oui,,,Consultation/visite de malade,Non
15,6,11-50,5 or less,6,Nurse,Secondary,None,Homme,35-44,Oui,Non,Absence autorisée (permission/congé),,Oui,Non,5.0,6.0,Nurse,Homme,Non,Absence autorisée (permission/congé),,,
15,7,11-50,5 or less,7,Nurse,Secondary,None,Homme,45 or older,Oui,Non,"Repos de garde (pré-garde, sortie de garde)",,Oui,Non,6.0,7.0,Nurse,Homme,Non,"Repos de garde (pré-garde, sortie de garde)",,,
15,8,11-50,5 or less,8,Other,Secondary,None,Femme,35-44,Oui,Oui,,,Oui,Oui,7.0,8.0,Other,Femme,Non,"Repos de garde (pré-garde, sortie de garde)",,,
15,9,11-50,5 or less,9,Other,Primary,None,Femme,25-34,Oui,Oui,,,Oui,Oui,8.0,9.0,Other,Femme,Oui,,,Consultation/visite de malade,Non
15,10,11-50,5 or less,10,Other,Secondary,Diploma,Homme,25-34,Non,Oui,,,Non,Non,,,,,,,,,
15,11,11-50,5 or less,11,Other,Primary,Certificate,Femme,35-44,Non,Oui,,,Non,Non,,,,,,,,,
15,12,11-50,5 or less,12,Other,Secondary,Diploma,Femme,45 or older,Non,Oui,,,Oui,Non,9.0,12.0,Other,Femme,Non,Organisation interne en journée continue,,,
15,13,11-50,5 or less,13,Other,Primary,None,Femme,25-34,Non,Non,Absence autorisée (permission/congé),,Oui,Non,10.0,13.0,Other,Femme,Oui,,,Autres,Non
16,1,6-10,5 or less,1,Nurse,Secondary,Diploma,Homme,35-44,Oui,Oui,,,Oui,Oui,1.0,1.0,Nurse,Homme,Oui,,,Consultation/visite de malade,Non
16,2,6-10,5 or less,2,Other,Post-Secondary,Advanced,Homme,25-34,Non,Oui,,,Oui,Non,2.0,2.0,Other,Homme,Oui,,,Consultation/visite de malade,Non
16,3,6-10,5 or less,3,Other,Post-Secondary,Advanced,Femme,45 or older,Oui,Non,Absence non autorisée,,Oui,,3.0,3.0,Other,Femme,Non,Absence non autorisée,,,
16,4,6-10,5 or less,4,Nurse,Primary,None,Homme,45 or older,Oui,Oui,,,Oui,Oui,4.0,4.0,Nurse,Homme,Oui,,,Consultation/visite de malade,Non
16,5,6-10,5 or less,5,Other,Secondary,None,Femme,25-34,Oui,Oui,,,Oui,Oui,5.0,5.0,Other,Femme,Oui,,,Consultation/visite de malade,Non
16,6,6-10,5 or less,6,Other,Secondary,None,Homme,35-44,Non,Oui,,,Oui,Non,6.0,6.0,Other,Homme,Oui,,,Laboratoires/examens/radios,Non
17,1,5 or less,5 or less,1,Nurse,Secondary,Diploma,Homme,45 or older,Oui,Oui,,,Oui,Oui,1.0,1.0,Nurse,Homme,Oui,,,Consultation/visite de malade,Non
17,2,5 or less,5 or less,2,Other,Primary,Certificate,Femme,45 or older,Oui,Oui,,,Oui,Oui,2.0,2.0,Other,Femme,Oui,,,Consultation/visite de malade,Non
17,3,5 or less,5 or less,3,Other,Primary,Certificate,Femme,25-34,Oui,Oui,,,Oui,Oui,3.0,3.0,Other,Femme,Oui,,,Consultation/visite de malade,Non
17,4,5 or less,5 or less,4,Other,Primary,Certificate,Femme,45 or older,Non,Oui,,,Oui,Non,4.0,4.0,Other,Femme,Oui,,,Laboratoires/examens/radios,Non
18,1,6-10,5 or less,1,Nurse,Secondary,Diploma,Homme,25-34,Oui,Oui,,,Oui,Oui,1.0,1.0,Nurse,Homme,Oui,,,Consultation/visite de malade,Non
18,2,6-10,5 or less,2,Other,Secondary,Diploma,Femme,25-34,Oui,Non,Maladie/maternité,,Oui,,2.0,2.0,Other,Femme,Non,Absence non autorisée,,,
18,3,6-10,5 or less,3,Other,Primary,Certificate,Femme,45 or older,Non,Oui,,,Oui,Non,3.0,3.0,Other,Femme,Oui,,,Consultation/visite de malade,Non
18,4,6-10,5 or less,4,Other,Secondary,Diploma,Femme,35-44,Oui,Oui,,,Oui,Oui,4.0,4.0,Other,Femme,Oui,,,Consultation/visite de malade,Non
19,1,11-50,Over 5,1,Doctor,Post-Secondary,Advanced,Homme,35-44,Non,Non,Formation/séminaire/réunion,,Non,Non,,,,,,,,,
19,2,11-50,Over 5,2,Clinical Officer,Post-Secondary,Advanced,Homme,35-44,Oui,Non,Formation/séminaire/réunion,,Non,Non,,,,,,,,,
19,3,11-50,Over 5,3,Clinical Officer,Post-Secondary,Advanced,Homme,35-44,Oui,Oui,,,Non,Oui,,,,,,,,,
19,4,11-50,Over 5,4,Nurse,Secondary,Diploma,Femme,45 or older,Oui,Non,Formation/séminaire/réunion,,Non,Non,,,,,,,,,
19,5,11-50,Over 5,5,Nurse,Secondary,Diploma,Femme,45 or older,Oui,Non,Formation/séminaire/réunion,,Oui,Non,1.0,5.0,Nurse,Femme,Oui,,,Traitement de dossiers/élaboration de rapports,Non
19,6,11-50,Over 5,6,Nurse,Secondary,Diploma,Femme,45 or older,Oui,Non,Formation/séminaire/réunion,,Non,Non,,,,,,,,,
19,7,11-50,Over 5,7,Nurse,Secondary,Diploma,Femme,45 or older,Oui,Non,Maladie/maternité,,Oui,Non,2.0,7.0,Nurse,Femme,Non,Absence non autorisée,,,
19,8,11-50,Over 5,8,Nurse,Post-Secondary,Advanced,Homme,25-34,Oui,Non,Mission officielle,,Non,Non,,,,,,,,,
19,9,11-50,Over 5,9,Other,Post-Secondary,Diploma,Homme,45 or older,Non,Oui,,,Oui,Non,3.0,9.0,Other,Homme,Non,Organisation interne en journée continue,,,
19,10,11-50,Over 5,10,Other,Post-Secondary,Advanced,Homme,45 or older,Non,Oui,,,Non,Non,,,,,,,,,
19,11,11-50,Over 5,11,Other,Secondary,Diploma,Femme,45 or older,Non,Non,Absence autorisée (permission/congé),,Oui,Non,4.0,11.0,Other,Femme,Non,Absence autorisée (permission/congé),,,
19,12,11-50,Over 5,12,Nurse,Primary,Certificate,Femme,35-44,Oui,Non,"Repos de garde (pré-garde, sortie de garde)",,Oui,Non,5.0,12.0,Nurse,Femme,Non,"Repos de garde (pré-garde, sortie de garde)",,,
19,13,11-50,Over 5,13,Nurse,Primary,Certificate,Femme,45 or older,Oui,Oui,,,Non,Oui,,,,,,,,,
19,14,11-50,Over 5,14,Nurse,Primary,Certificate,Femme,45 or older,Oui,Non,Absence autorisée (permission/congé),,Non,Non,,,,,,,,,
19,15,11-50,Over 5,15,Other,Primary,Certificate,Femme,35-44,Oui,Non,"Repos de garde (pré-garde, sortie de garde)",,Non,Non,,,,,,,,,
19,16,11-50,Over 5,16,Other,Primary,Certificate,Femme,45 or older,Oui,Non,Absence autorisée (permission/congé),,Oui,Non,6.0,16.0,Other,Femme,Non,Organisation interne en journée continue,,,
19,17,11-50,Over 5,17,Other,Primary,Certificate,Femme,45 or older,Oui,Non,Formation/séminaire/réunion,,Oui,Non,7.0,17.0,Other,Femme,Non,Absence non autorisée,,,
19,18,11-50,Over 5,18,Other,Primary,Certificate,Femme,35-44,Oui,Oui,,,Oui,Oui,8.0,18.0,Other,Femme,Non,"Repos de garde (pré-garde, sortie de garde)",,,
19,19,11-50,Over 5,19,Other,Secondary,Diploma,Femme,25-34,Oui,Non,Absence autorisée (permission/congé),,Oui,Non,9.0,19.0,Other,Femme,Non,"Repos de garde (pré-garde, sortie de garde)",,,
19,20,11-50,Over 5,20,Other,Secondary,Diploma,Femme,25-34,Oui,Oui,,,Oui,Oui,10.0,20.0,Other,Femme,Non,"Repos de garde (pré-garde, sortie de garde)",,,
19,21,11-50,Over 5,21,Other,Primary,Certificate,Femme,45 or older,Non,Non,Mission officielle,,Non,Non,,,,,,,,,
20,1,11-50,5 or less,1,Nurse,Secondary,Diploma,Femme,45 or older,Oui,Oui,,,Oui,Oui,1.0,1.0,Nurse,Femme,Non,Maladie/maternité,,,
20,2,11-50,5 or less,2,Nurse,Secondary,Diploma,Femme,35-44,Non,Oui,,,Oui,Non,2.0,2.0,Nurse,Femme,Oui,,,Autres,Non
20,3,11-50,5 or less,3,Other,Secondary,Diploma,Femme,25-34,Oui,Non,"Repos de garde (pré-garde, sortie de garde)",,Oui,Non,3.0,3.0,Other,Femme,Non,Formation/séminaire/réunion,,,
20,4,11-50,5 or less,4,Nurse,Secondary,Diploma,Homme,25-34,Oui,Non,Organisation interne en journée continue,,Oui,Non,4.0,4.0,Nurse,Homme,Oui,,,Consultation/visite de malade,Non
20,5,11-50,5 or less,5,Nurse,Secondary,None,Homme,25-34,Oui,Oui,,,Oui,Oui,5.0,5.0,Nurse,Homme,Non,Absence autorisée (permission/congé),,,
20,6,11-50,5 or less,6,Other,Secondary,None,Femme,25-34,Oui,Oui,,,Oui,Oui,6.0,6.0,Other,Femme,Non,Formation/séminaire/réunion,,,
