fac_id,staff_id,mod1_id,m1s0q4_2,m1s2q4,m1s2q5,m1s2q6,m1s2q7,m1s2q9,m1s2q10,m1s2q10_a,m1s2q1,strate,weight_m1p,mod2_id,m2s0q1_2,m2s0q2_2,m2s0q3_2,m2s0q4_2,m2s0q7_1,m2s0q7_2,m2s0q7_3,m2s0q7_5,m2s0q7_6,m2s0q7_7,m2s0q10,m2s1q2,m2s1q3,m2s1q4,m2s1q5,m2s1q6,m2s1q7,m2s1q13,m2s1q14,m2s1q15,m2s1q16,m2s1q17,weight_m2,mod3_id,m3s0q1_2,m3s0q2_2,m3s0q3_2,m3s0q4_2,m3s0q7_1,m3s0q7_2,m3s0q7_3,m3s0q7_5,m3s0q7_6,m3s0q7_7,m3s0q8_h,m3s0q8_mn,m3s0q9_h,m3s0q9_mn,m3s1q2,m3s1q3,m3s1q3_a,weight_m3
6,0,149,151,Other,Homme,35-44,Non,Oui,,,5 or less,10,13.86989,149.0,12.0,5.0,17.0,151.0,Questionnaire complet,Oui,11.0,Questionnaire complet,Oui,3.0,Oui,0.0,oui,Other,35-44,Secondary,After 2000,,,,,1ere,41.609673,149.0,12.0,5.0,17.0,151.0,Questionnaire complet,Oui,11.0,Questionnaire complet,Oui,3.0,9.0,50.0,9.0,55.0,Non,Absence non-approuvée,,41.609673
6,1,149,151,Other,Homme,45 or older,Non,Oui,,,5 or less,10,13.86989,149.0,12.0,5.0,17.0,151.0,Questionnaire complet,Oui,11.0,Questionnaire complet,Oui,3.0,Oui,1.0,oui,Other,45 or older,Primary,After 2000,,,,,1ere,41.609673,149.0,12.0,5.0,17.0,151.0,Questionnaire complet,Oui,11.0,Questionnaire complet,Oui,3.0,9.0,50.0,9.0,55.0,Non,Absence non-approuvée,,41.609673
6,2,149,151,Nurse,Femme,25-34,Non,Non,Absence non-approuvée,,5 or less,10,13.86989,149.0,12.0,5.0,17.0,151.0,Questionnaire complet,Oui,11.0,Questionnaire complet,Oui,3.0,Oui,2.0,non,Nurse,25-34,,,,,,,1ere,41.609673,149.0,12.0,5.0,17.0,151.0,Questionnaire complet,Oui,11.0,Questionnaire complet,Oui,3.0,9.0,50.0,9.0,55.0,Non,Absence non-approuvée,,41.609673
7,0,70,146,Nurse,Homme,25-34,Oui,Oui,,,5 or less,14,33.04464,70.0,32.0,7.0,25.0,146.0,Questionnaire complet,Oui,31.0,Questionnaire complet,Oui,1.0,Oui,0.0,oui,Nurse,25-34,Post-Secondary,After 2000,2.0,Oui,0.0,Oui,1ere,66.08928,70.0,32.0,7.0,25.0,146.0,Questionnaire complet,Oui,31.0,Questionnaire complet,Oui,1.0,13.0,45.0,13.0,50.0,Oui,,,66.08928
7,1,70,146,Nurse,Femme,,Non,Non,Congés maladie/maternité,,5 or less,14,33.04464,70.0,32.0,7.0,25.0,146.0,Questionnaire complet,Oui,31.0,Questionnaire complet,Oui,1.0,Oui,1.0,non,Nurse,,,,,,,,1ere,66.08928,70.0,32.0,7.0,25.0,146.0,Questionnaire complet,Oui,31.0,Questionnaire complet,Oui,1.0,13.0,45.0,13.0,50.0,Non,Congés maladie/maternité,,66.08928
8,0,32,121,Nurse,Femme,25-34,Oui,Non,Absence approuvée,,5 or less,8,29.367146,32.0,42.0,4.0,16.0,121.0,Questionnaire complet,Oui,41.0,Questionnaire complet,Oui,2.0,Oui,0.0,non,Nurse,25-34,Primary,After 2000,0.0,Oui,0.0,Oui,2ieme,29.367146,32.0,42.0,4.0,16.0,121.0,Questionnaire complet,Oui,41.0,Questionnaire complet,Oui,2.0,10.0,10.0,10.0,15.0,Oui,,,29.367146
9,0,67,129,Other,Homme,45 or older,Oui,Oui,,,5 or less,16,33.799633,67.0,32.0,8.0,27.0,129.0,Questionnaire complet,Oui,31.0,Questionnaire complet,Oui,1.0,Oui,0.0,oui,Other,45 or older,Secondary,Before 1990,,,,,1ere,67.599266,67.0,32.0,8.0,27.0,129.0,Questionnaire complet,Oui,31.0,Questionnaire complet,Oui,1.0,8.0,30.0,8.0,45.0,Oui,,,67.599266
9,1,67,129,Nurse,Femme,45 or older,Non,Oui,,,5 or less,16,33.799633,67.0,32.0,8.0,27.0,129.0,Questionnaire complet,Oui,31.0,Questionnaire complet,Oui,1.0,Oui,1.0,oui,Nurse,45 or older,Secondary,Before 1990,,,,,1ere,67.599266,67.0,32.0,8.0,27.0,129.0,Questionnaire complet,Oui,31.0,Questionnaire complet,Oui,1.0,8.0,30.0,8.0,45.0,Oui,,,67.599266
10,2,102,117,Nurse,Femme,45 or older,Non,Non,En formation,,5 or less,4,15.525735,102.0,71.0,2.0,6.0,117.0,Questionnaire complet,Oui,72.0,Questionnaire complet,Oui,3.0,Oui,2.0,non,Nurse,45 or older,,,,,,,1ere,46.577206,102.0,71.0,2.0,6.0,117.0,Questionnaire complet,Oui,72.0,Questionnaire complet,Oui,3.0,8.0,45.0,9.0,0.0,Non,En formation,,46.577206
10,1,102,117,Nurse,Femme,45 or older,Non,Oui,,,5 or less,4,15.525735,102.0,71.0,2.0,6.0,117.0,Questionnaire complet,Oui,72.0,Questionnaire complet,Oui,3.0,Oui,1.0,oui,Nurse,45 or older,Primary,After 2000,,,,,1ere,46.577206,102.0,71.0,2.0,6.0,117.0,Questionnaire complet,Oui,72.0,Questionnaire complet,Oui,3.0,8.0,45.0,9.0,0.0,Oui,,,46.577206
10,0,102,117,Other,Femme,Younger than 25,Non,Oui,,,5 or less,4,15.525735,102.0,71.0,2.0,6.0,117.0,Questionnaire complet,Oui,72.0,Questionnaire complet,Oui,3.0,Oui,0.0,oui,Other,Younger than 25,Secondary,After 2000,,,,,1ere,46.577206,102.0,71.0,2.0,6.0,117.0,Questionnaire complet,Oui,72.0,Questionnaire complet,Oui,3.0,8.0,45.0,9.0,0.0,Oui,,,46.577206
11,0,88,124,Nurse,Femme,45 or older,Non,Oui,,,5 or less,12,27.32106,88.0,12.0,6.0,21.0,124.0,Questionnaire complet,Oui,11.0,Questionnaire complet,Oui,1.0,Oui,0.0,oui,Nurse,45 or older,Primary,After 2000,0.0,Oui,0.0,Oui,1ere,27.32106,88.0,12.0,6.0,21.0,124.0,Questionnaire complet,Oui,11.0,Questionnaire complet,Oui,1.0,12.0,0.0,12.0,30.0,Oui,,,27.32106
12,1,131,145,Nurse,Femme,45 or older,Oui,Non,Congés maladie/maternité,,5 or less,20,58.846375,131.0,91.0,10.0,37.0,145.0,Questionnaire complet,Oui,92.0,Questionnaire complet,Oui,3.0,Oui,1.0,non,Nurse,45 or older,Primary,In the 1990s,,,,,2ieme,117.69275,131.0,92.0,10.0,37.0,145.0,Questionnaire complet,Oui,91.0,Questionnaire complet,Oui,3.0,10.0,26.0,10.0,32.0,Non,Congés maladie/maternité,,117.69275
12,0,131,145,Other,Femme,45 or older,Oui,Oui,,,5 or less,20,58.846375,131.0,91.0,10.0,37.0,145.0,Questionnaire complet,Oui,92.0,Questionnaire complet,Oui,3.0,Oui,0.0,oui,Other,45 or older,Primary,In the 1990s,,,,,1ere,117.69275,131.0,92.0,10.0,37.0,145.0,Questionnaire complet,Oui,91.0,Questionnaire complet,Oui,3.0,10.0,26.0,10.0,32.0,Oui,,,117.69275
13,0,54,140,Other,Homme,45 or older,Oui,Oui,,,5 or less,8,11.746859,54.0,51.0,4.0,16.0,140.0,Questionnaire complet,Oui,52.0,Questionnaire complet,Oui,2.0,Oui,0.0,oui,Other,45 or older,Primary,After 2000,,,,,1ere,11.746859,54.0,41.0,4.0,16.0,140.0,Questionnaire complet,Oui,42.0,Questionnaire complet,Oui,2.0,14.0,0.0,14.0,8.0,Oui,,,11.746859
14,1,100,150,Nurse,Femme,25-34,Non,Oui,,,5 or less,20,15.786184,100.0,81.0,10.0,38.0,150.0,Questionnaire complet,Oui,82.0,Questionnaire complet,Oui,3.0,Oui,1.0,oui,Nurse,25-34,Secondary,After 2000,0.0,Oui,0.0,Oui,1ere,31.572369,100.0,81.0,10.0,38.0,150.0,Questionnaire complet,Oui,82.0,Questionnaire complet,Oui,3.0,10.0,20.0,10.0,50.0,Oui,,,31.572369
14,0,100,150,Other,Homme,25-34,Oui,Oui,,,5 or less,20,15.786184,100.0,81.0,10.0,38.0,150.0,Questionnaire complet,Oui,82.0,Questionnaire complet,Oui,3.0,Oui,0.0,oui,Other,25-34,Post-Secondary,After 2000,0.0,Oui,0.0,Oui,1ere,31.572369,100.0,81.0,10.0,38.0,150.0,Questionnaire complet,Oui,82.0,Questionnaire complet,Oui,3.0,10.0,20.0,10.0,50.0,Oui,,,31.572369
15,1,61,120,Nurse,Femme,35-44,Oui,Non,Congés maladie/maternité,,5 or less,6,5.8988733,61.0,42.0,3.0,11.0,120.0,Questionnaire complet,Oui,41.0,Questionnaire complet,Oui,2.0,Oui,1.0,non,Nurse,35-44,Post-Secondary,After 2000,0.0,Oui,0.0,Oui,2ieme,11.797747,61.0,41.0,3.0,11.0,120.0,Questionnaire complet,Oui,42.0,Questionnaire complet,Oui,2.0,11.0,0.0,11.0,5.0,Non,Congés maladie/maternité,,11.797747
15,0,61,120,Other,Homme,35-44,Oui,Oui,,,5 or less,6,5.8988733,61.0,42.0,3.0,11.0,120.0,Questionnaire complet,Oui,41.0,Questionnaire complet,Oui,2.0,Oui,0.0,oui,Other,35-44,Secondary,After 2000,0.0,Oui,0.0,Oui,1ere,11.797747,61.0,41.0,3.0,11.0,120.0,Questionnaire complet,Oui,42.0,Questionnaire complet,Oui,2.0,11.0,0.0,11.0,5.0,Oui,,,11.797747
16,0,117,133,Other,Femme,45 or older,Oui,Oui,,,5 or less,20,4.866996,117.0,82.0,10.0,34.0,133.0,Questionnaire complet,Oui,81.0,Questionnaire complet,Oui,3.0,Oui,0.0,oui,Other,45 or older,Secondary,In the 1990s,0.0,Oui,0.0,Oui,1ere,9.733992,117.0,81.0,10.0,34.0,133.0,Questionnaire complet,Oui,82.0,Questionnaire complet,Oui,3.0,11.0,16.0,11.0,18.0,Oui,,,9.733992
16,1,117,133,Nurse,Femme,45 or older,Non,Non,Absence non-approuvée,,5 or less,20,4.866996,117.0,82.0,10.0,34.0,133.0,Questionnaire complet,Oui,81.0,Questionnaire complet,Oui,3.0,Oui,1.0,non,Nurse,45 or older,Primary,After 2000,0.0,Oui,0.0,Oui,2ieme,9.733992,117.0,81.0,10.0,34.0,133.0,Questionnaire complet,Oui,82.0,Questionnaire complet,Oui,3.0,11.0,16.0,11.0,18.0,Oui,,,9.733992
17,0,103,116,Other,Homme,45 or older,Oui,Oui,,,5 or less,4,31.05147,103.0,91.0,2.0,6.0,116.0,Questionnaire complet,Oui,92.0,Questionnaire complet,Oui,3.0,Oui,0.0,oui,Other,45 or older,Secondary,After 2000,,,,,1ere,62.10294,103.0,92.0,2.0,6.0,116.0,Questionnaire complet,Oui,91.0,Questionnaire complet,Oui,3.0,9.0,15.0,9.0,32.0,Oui,,,62.10294
17,1,103,116,Nurse,Femme,45 or older,Oui,Non,En formation,,5 or less,4,31.05147,103.0,91.0,2.0,6.0,116.0,Questionnaire complet,Oui,92.0,Questionnaire complet,Oui,3.0,Oui,1.0,non,Nurse,45 or older,Primary,Before 1990,,,,,2ieme,62.10294,103.0,92.0,2.0,6.0,116.0,Questionnaire complet,Oui,91.0,Questionnaire complet,Oui,3.0,9.0,15.0,9.0,32.0,Non,En formation,,62.10294
18,0,123,148,Other,Femme,25-34,Non,Oui,,,5 or less,20,20.536959,123.0,91.0,10.0,33.0,148.0,Questionnaire complet,Oui,92.0,Questionnaire complet,Oui,3.0,Oui,0.0,oui,Other,25-34,Secondary,After 2000,0.0,Oui,0.0,Oui,1ere,41.073917,123.0,91.0,10.0,33.0,148.0,Questionnaire complet,Oui,92.0,Questionnaire complet,Oui,3.0,9.0,45.0,9.0,59.0,Oui,,,41.073917
18,1,123,148,Nurse,Femme,45 or older,Non,Oui,,,5 or less,20,20.536959,123.0,91.0,10.0,33.0,148.0,Questionnaire complet,Oui,92.0,Questionnaire complet,Oui,3.0,Oui,1.0,oui,Nurse,45 or older,Primary,After 2000,0.0,Oui,0.0,Oui,1ere,41.073917,123.0,91.0,10.0,33.0,148.0,Questionnaire complet,Oui,92.0,Questionnaire complet,Oui,3.0,9.0,45.0,9.0,59.0,Oui,,,41.073917
19,0,66,138,Nurse,Femme,25-34,Oui,Oui,,,5 or less,6,32.057858,66.0,42.0,3.0,11.0,138.0,Questionnaire complet,Oui,41.0,Questionnaire complet,Oui,2.0,Oui,0.0,oui,Nurse,25-34,Secondary,After 2000,30.0,Oui,0.0,Oui,1ere,64.115715,66.0,41.0,3.0,11.0,138.0,Questionnaire complet,Oui,42.0,Questionnaire complet,Oui,2.0,16.0,5.0,16.0,25.0,Oui,,,64.115715
19,1,66,138,Other,Femme,25-34,Oui,Oui,,,5 or less,6,32.057858,66.0,42.0,3.0,11.0,138.0,Questionnaire complet,Oui,41.0,Questionnaire complet,Oui,2.0,Oui,1.0,oui,Other,25-34,Post-Secondary,After 2000,30.0,Oui,0.0,Oui,1ere,64.115715,66.0,41.0,3.0,11.0,138.0,Questionnaire complet,Oui,42.0,Questionnaire complet,Oui,2.0,16.0,5.0,16.0,25.0,Non,Pas sa période de travail,,64.115715
20,1,34,139,Nurse,Femme,45 or older,Non,Non,Absence non-approuvée,,6-10,8,70.66384,34.0,51.0,4.0,14.0,139.0,Questionnaire complet,Oui,32.0,Questionnaire complet,Oui,2.0,Oui,1.0,non,Nurse,45 or older,Secondary,After 2000,,,,,2ieme,494.64688,34.0,92.0,4.0,14.0,139.0,Questionnaire complet,Oui,51.0,Questionnaire complet,Oui,2.0,12.0,20.0,12.0,30.0,Oui,,,494.64688
20,3,34,139,Other,Femme,35-44,Non,Oui,,,6-10,8,70.66384,34.0,51.0,4.0,14.0,139.0,Questionnaire complet,Oui,32.0,Questionnaire complet,Oui,2.0,Oui,3.0,oui,Other,35-44,Primary,After 2000,,,,,1ere,494.64688,34.0,92.0,4.0,14.0,139.0,Questionnaire complet,Oui,51.0,Questionnaire complet,Oui,2.0,12.0,20.0,12.0,30.0,Non,Pas sa période de travail,,494.64688
20,5,34,139,Other,Femme,35-44,Non,Oui,,,6-10,8,70.66384,34.0,51.0,4.0,14.0,139.0,Questionnaire complet,Oui,32.0,Questionnaire complet,Oui,2.0,Oui,5.0,oui,Other,35-44,Primary,After 2000,,,,,1ere,494.64688,34.0,92.0,4.0,14.0,139.0,Questionnaire complet,Oui,51.0,Questionnaire complet,Oui,2.0,12.0,20.0,12.0,30.0,Non,Congés maladie/maternité,,494.64688
20,6,34,139,Other,Homme,45 or older,Non,Oui,,,6-10,8,70.66384,34.0,51.0,4.0,14.0,139.0,Questionnaire complet,Oui,32.0,Questionnaire complet,Oui,2.0,Oui,6.0,oui,Other,45 or older,Primary,In the 1990s,,,,,1ere,494.64688,34.0,92.0,4.0,14.0,139.0,Questionnaire complet,Oui,51.0,Questionnaire complet,Oui,2.0,12.0,20.0,12.0,30.0,Oui,,,494.64688
20,4,34,139,Other,Femme,45 or older,Non,Oui,,,6-10,8,70.66384,34.0,51.0,4.0,14.0,139.0,Questionnaire complet,Oui,32.0,Questionnaire complet,Oui,2.0,Oui,4.0,oui,Other,45 or older,Primary,In the 1990s,,,,,1ere,494.64688,34.0,92.0,4.0,14.0,139.0,Questionnaire complet,Oui,51.0,Questionnaire complet,Oui,2.0,12.0,20.0,12.0,30.0,Oui,,,494.64688
20,2,34,139,Other,Femme,35-44,Non,Non,Absence non-approuvée,,6-10,8,70.66384,34.0,51.0,4.0,14.0,139.0,Questionnaire complet,Oui,32.0,Questionnaire complet,Oui,2.0,Oui,2.0,oui,Other,35-44,Primary,After 2000,,,,,1ere,494.64688,34.0,92.0,4.0,14.0,139.0,Questionnaire complet,Oui,51.0,Questionnaire complet,Oui,2.0,12.0,20.0,12.0,30.0,Oui,,,494.64688
20,0,34,139,Other,Homme,25-34,Oui,Oui,,,6-10,8,70.66384,34.0,51.0,4.0,14.0,139.0,Questionnaire complet,Oui,32.0,Questionnaire complet,Oui,2.0,Oui,0.0,oui,Other,25-34,Secondary,After 2000,0.0,Oui,0.0,Oui,1ere,494.64688,34.0,92.0,4.0,14.0,139.0,Questionnaire complet,Oui,51.0,Questionnaire complet,Oui,2.0,12.0,20.0,12.0,30.0,Oui,,,494.64688
21,1,44,149,Nurse,Femme,45 or older,Oui,Oui,,,5 or less,8,29.367146,44.0,41.0,4.0,16.0,149.0,Questionnaire complet,Oui,42.0,Questionnaire complet,Oui,2.0,Oui,1.0,oui,Nurse,45 or older,Primary,After 2000,0.0,Oui,0.0,Oui,1ere,58.73429,44.0,41.0,4.0,16.0,149.0,Questionnaire complet,Oui,42.0,Questionnaire complet,Oui,2.0,11.0,30.0,11.0,40.0,Non,Pas sa période de travail,,58.73429
21,0,44,149,Other,Homme,25-34,Oui,Oui,,,5 or less,8,29.367146,44.0,41.0,4.0,16.0,149.0,Questionnaire complet,Oui,42.0,Questionnaire complet,Oui,2.0,Oui,0.0,oui,Other,25-34,Primary,After 2000,0.0,Oui,0.0,Oui,1ere,58.73429,44.0,41.0,4.0,16.0,149.0,Questionnaire complet,Oui,42.0,Questionnaire complet,Oui,2.0,11.0,30.0,11.0,40.0,Oui,,,58.73429
22,1,92,128,Nurse,Femme,25-34,Non,Oui,,,5 or less,16,18.727528,92.0,22.0,8.0,29.0,128.0,Questionnaire complet,Oui,21.0,Questionnaire complet,Oui,1.0,Oui,1.0,oui,Nurse,25-34,Secondary,After 2000,,,,,1ere,56.182583,92.0,22.0,8.0,29.0,128.0,Questionnaire complet,Oui,21.0,Questionnaire complet,Oui,1.0,9.0,37.0,10.0,2.0,Oui,,,56.182583
22,2,92,128,Nurse,Femme,35-44,Non,Oui,,,5 or less,16,18.727528,92.0,22.0,8.0,29.0,128.0,Questionnaire complet,Oui,21.0,Questionnaire complet,Oui,1.0,Oui,2.0,oui,Nurse,35-44,Secondary,In the 1990s,,,,,1ere,56.182583,92.0,22.0,8.0,29.0,128.0,Questionnaire complet,Oui,21.0,Questionnaire complet,Oui,1.0,9.0,37.0,10.0,2.0,Oui,,,56.182583
22,0,92,128,Nurse,Femme,25-34,Oui,Oui,,,5 or less,16,18.727528,92.0,22.0,8.0,29.0,128.0,Questionnaire complet,Oui,21.0,Questionnaire complet,Oui,1.0,Oui,0.0,oui,Nurse,25-34,Secondary,After 2000,,,,,1ere,56.182583,92.0,22.0,8.0,29.0,128.0,Questionnaire complet,Oui,21.0,Questionnaire complet,Oui,1.0,9.0,37.0,10.0,2.0,Oui,,,56.182583
23,1,29,113,Nurse,Femme,45 or older,Non,Non,Absence approuvée,,5 or less,2,1.0,29.0,91.0,1.0,4.0,113.0,Questionnaire complet,Oui,92.0,Questionnaire complet,Oui,3.0,Oui,1.0,non,Nurse,45 or older,Secondary,After 2000,Ne sait pas,Oui,0.0,Oui,1ere,3.0,29.0,91.0,1.0,4.0,113.0,Questionnaire complet,Oui,92.0,Questionnaire complet,Oui,3.0,11.0,10.0,11.0,20.0,Oui,,,3.0
23,0,29,113,Nurse,Femme,25-34,Oui,Oui,,,5 or less,2,1.0,29.0,91.0,1.0,4.0,113.0,Questionnaire complet,Oui,92.0,Questionnaire complet,Oui,3.0,Oui,0.0,oui,Nurse,25-34,Post-Secondary,After 2000,0.0,Oui,0.0,Oui,1ere,3.0,29.0,91.0,1.0,4.0,113.0,Questionnaire complet,Oui,92.0,Questionnaire complet,Oui,3.0,11.0,10.0,11.0,20.0,Oui,,,3.0
23,2,29,113,Other,Femme,25-34,Non,Non,Absence approuvée,,5 or less,2,1.0,29.0,91.0,1.0,4.0,113.0,Questionnaire complet,Oui,92.0,Questionnaire complet,Oui,3.0,Oui,2.0,non,Other,25-34,Primary,After 2000,,,,,1ere,3.0,29.0,91.0,1.0,4.0,113.0,Questionnaire complet,Oui,92.0,Questionnaire complet,Oui,3.0,11.0,10.0,11.0,20.0,Oui,,,3.0
24,0,79,135,Nurse,Femme,45 or older,Oui,Oui,,,5 or less,14,15.737882,79.0,21.0,7.0,24.0,135.0,Questionnaire complet,Oui,22.0,Questionnaire complet,Oui,1.0,Oui,0.0,oui,Nurse,45 or older,Primary,After 2000,30.0,Non,30.0,Non,1ere,15.737882,79.0,22.0,7.0,24.0,135.0,Questionnaire complet,Oui,21.0,Questionnaire complet,Oui,1.0,9.0,21.0,9.0,39.0,Oui,,,15.737882
25,1,41,144,Nurse,Femme,35-44,Non,Oui,,,5 or less,18,20.022837,41.0,52.0,9.0,31.0,144.0,Questionnaire complet,Oui,61.0,Questionnaire complet,Oui,2.0,Oui,1.0,oui,Nurse,35-44,Secondary,After 2000,,,,,1ere,40.045673,41.0,62.0,9.0,31.0,144.0,Questionnaire complet,Oui,61.0,Questionnaire complet,Oui,2.0,11.0,30.0,11.0,40.0,Non,Absence approuvée,,40.045673
25,0,41,144,Other,Homme,Younger than 25,Oui,Oui,,,5 or less,18,20.022837,41.0,52.0,9.0,31.0,144.0,Questionnaire complet,Oui,61.0,Questionnaire complet,Oui,2.0,Oui,0.0,oui,Other,Younger than 25,Secondary,After 2000,0.0,Oui,0.0,Oui,1ere,40.045673,41.0,62.0,9.0,31.0,144.0,Questionnaire complet,Oui,61.0,Questionnaire complet,Oui,2.0,11.0,30.0,11.0,40.0,Non,Absence approuvée,,40.045673
