unique_id,fac_id,staff_id,mod1_id,m1s0q4_2,m1s2q4,m1s2q5,m1s2q6,m1s2q7,m1s2q9,m1s2q10,m1s2q10_a,m1s2q1,mod2_id,m2s0q1_2,m2s0q2_2,m2s0q3_2,m2s0q4_2,m2s0q7_1,m2s0q7_2,m2s0q7_3,m2s0q7_5,m2s0q7_6,m2s0q7_7,m2s0q10,m2s1q2,m2s1q3,m2s1q4,m2s1q5,m2s1q6,m2s1q7,m2s1q13,m2s1q14,m2s1q15,m2s1q16,m2s1q17,abs_wt,mod3_id,m3s0q1_2,m3s0q2_2,m3s0q3_2,m3s0q4_2,m3s0q7_1,m3s0q7_2,m3s0q7_3,m3s0q7_5,m3s0q7_6,m3s0q7_7,m3s0q8_h,m3s0q8_mn,m3s0q9_h,m3s0q9_mn,m3s1q2,m3s1q3,m3s1q3_a,has_roster,has_absentee,has_absentee2,country,absence_rate,absence_rate2
102_2,102,2,146,70,Nurse,Homme,25-34,Oui,Oui,,,6-10,146.0,21.0,6.0,23.0,70.0,Questionnaire complet,Oui,22.0,Questionnaire complet,Oui,1.0,Oui,2.0,oui,Nurse,25-34,Post-Secondary,In the 1990s,,,,,1ere,31.264751,146.0,21.0,6.0,23.0,70.0,Questionnaire complet,Oui,21.0,Questionnaire complet,Oui,1.0,9.0,41.0,10.0,22.0,Oui,,,1,1.0,1.0,Senegal-2010,0.16666667,0.16666667
102_1,102,1,146,70,Nurse,0,,Oui,0,Congés maladie/maternité,,6-10,146.0,21.0,6.0,23.0,70.0,Questionnaire complet,Oui,22.0,Questionnaire complet,Oui,1.0,Oui,1.0,0.0,Nurse,,,,,,,,1ere,31.264751,146.0,21.0,6.0,23.0,70.0,Questionnaire complet,Oui,21.0,Questionnaire complet,Oui,1.0,9.0,41.0,10.0,22.0,0.0,Absence approuvée,,1,1.0,1.0,Senegal-2010,0.16666667,0.16666667
102_5,102,5,146,70,Nurse,0,45 or older,0,Oui,,,6-10,146.0,21.0,6.0,23.0,70.0,Questionnaire complet,Oui,22.0,Questionnaire complet,Oui,1.0,Oui,5.0,oui,Nurse,45 or older,Primary,,0.0,Oui,0.0,Oui,1ere,31.264751,146.0,21.0,6.0,23.0,70.0,Questionnaire complet,Oui,21.0,Questionnaire complet,Oui,1.0,9.0,41.0,10.0,22.0,Oui,,,1,1.0,1.0,Senegal-2010,0.16666667,0.16666667
102_4,102,4,146,70,Nurse,0,45 or older,0,Oui,,,6-10,146.0,21.0,6.0,23.0,70.0,Questionnaire complet,Oui,22.0,Questionnaire complet,Oui,1.0,Oui,4.0,oui,Nurse,45 or older,Secondary,Before 1990,0.0,Oui,0.0,Oui,1ere,31.264751,146.0,21.0,6.0,23.0,70.0,Questionnaire complet,Oui,21.0,Questionnaire complet,Oui,1.0,9.0,41.0,10.0,22.0,Oui,,,1,1.0,1.0,Senegal-2010,0.16666667,0.16666667
102_0,102,0,146,70,Nurse,0,25-34,Oui,Oui,,,6-10,146.0,21.0,6.0,23.0,70.0,Questionnaire complet,Oui,22.0,Questionnaire complet,Oui,1.0,Oui,0.0,oui,Nurse,25-34,Post-Secondary,After 2000,0.0,Oui,0.0,Oui,1ere,31.264751,146.0,21.0,6.0,23.0,70.0,Questionnaire complet,Oui,21.0,Questionnaire complet,Oui,1.0,9.0,41.0,10.0,22.0,Oui,,,1,1.0,1.0,Senegal-2010,0.16666667,0.16666667
103_3,103,3,35,51,Nurse,0,45 or older,0,0,Absence approuvée,,5 or less,35.0,52.0,4.0,14.0,51.0,Questionnaire complet,Oui,52.0,Questionnaire complet,Oui,2.0,Oui,3.0,0.0,Nurse,45 or older,Secondary,After 2000,0.0,Oui,0.0,Oui,2ieme,70.64863,35.0,51.0,4.0,14.0,51.0,Questionnaire complet,Oui,52.0,Questionnaire complet,Oui,2.0,11.0,53.0,11.0,58.0,Oui,,,1,1.0,1.0,Senegal-2010,0.25,0.25
103_0,103,0,35,51,Nurse,Homme,25-34,Oui,Oui,,,5 or less,35.0,52.0,4.0,14.0,51.0,Questionnaire complet,Oui,52.0,Questionnaire complet,Oui,2.0,Oui,0.0,oui,Nurse,25-34,Post-Secondary,After 2000,0.0,0.0,0.0,0.0,1ere,70.64863,35.0,51.0,4.0,14.0,51.0,Questionnaire complet,Oui,52.0,Questionnaire complet,Oui,2.0,11.0,53.0,11.0,58.0,Oui,,,1,1.0,1.0,Senegal-2010,0.25,0.25
103_2,103,2,35,51,Nurse,0,35-44,0,Oui,,,5 or less,35.0,52.0,4.0,14.0,51.0,Questionnaire complet,Oui,52.0,Questionnaire complet,Oui,2.0,Oui,2.0,oui,Nurse,35-44,Secondary,After 2000,0.0,Oui,0.0,Oui,1ere,70.64863,35.0,51.0,4.0,14.0,51.0,Questionnaire complet,Oui,52.0,Questionnaire complet,Oui,2.0,11.0,53.0,11.0,58.0,Oui,,,1,1.0,1.0,Senegal-2010,0.25,0.25
103_1,103,1,35,51,Other,0,25-34,0,Oui,,,5 or less,35.0,52.0,4.0,14.0,51.0,Questionnaire complet,Oui,52.0,Questionnaire complet,Oui,2.0,Oui,1.0,oui,Other,25-34,Secondary,In the 1990s,0.0,Oui,0.0,Oui,1ere,70.64863,35.0,51.0,4.0,14.0,51.0,Questionnaire complet,Oui,52.0,Questionnaire complet,Oui,2.0,11.0,53.0,11.0,58.0,0.0,12.0,,1,1.0,1.0,Senegal-2010,0.25,0.25
104_1,104,1,98,94,Nurse,Homme,25-34,Oui,Oui,,,6-10,98.0,91.0,10.0,38.0,94.0,Questionnaire complet,Oui,92.0,Questionnaire complet,Oui,3.0,Oui,1.0,oui,Nurse,25-34,Post-Secondary,After 2000,0.0,Oui,0.0,Oui,1ere,36.83443,98.0,92.0,10.0,38.0,94.0,Questionnaire complet,Oui,91.0,Questionnaire complet,Oui,3.0,12.0,0.0,12.0,8.0,Oui,,,1,1.0,1.0,Senegal-2010,0.14285715,0.2857143
104_6,104,6,98,94,Nurse,0,25-34,0,0,12.0,,6-10,98.0,91.0,10.0,38.0,94.0,Questionnaire complet,Oui,92.0,Questionnaire complet,Oui,3.0,Oui,6.0,0.0,Nurse,25-34,,,,,,,2ieme,36.83443,98.0,92.0,10.0,38.0,94.0,Questionnaire complet,Oui,91.0,Questionnaire complet,Oui,3.0,12.0,0.0,12.0,8.0,0.0,Parti récupérer son salaire,,1,1.0,1.0,Senegal-2010,0.14285715,0.2857143
104_3,104,3,98,94,Other,0,Younger than 25,0,Oui,,,6-10,98.0,91.0,10.0,38.0,94.0,Questionnaire complet,Oui,92.0,Questionnaire complet,Oui,3.0,Oui,3.0,oui,Other,Younger than 25,Secondary,After 2000,0.0,Oui,0.0,Oui,1ere,36.83443,98.0,92.0,10.0,38.0,94.0,Questionnaire complet,Oui,91.0,Questionnaire complet,Oui,3.0,12.0,0.0,12.0,8.0,Oui,,,1,1.0,1.0,Senegal-2010,0.14285715,0.2857143
104_4,104,4,98,94,Other,0,Younger than 25,0,Oui,,,6-10,98.0,91.0,10.0,38.0,94.0,Questionnaire complet,Oui,92.0,Questionnaire complet,Oui,3.0,Oui,4.0,oui,Other,Younger than 25,Secondary,After 2000,0.0,Oui,0.0,Oui,1ere,36.83443,98.0,92.0,10.0,38.0,94.0,Questionnaire complet,Oui,91.0,Questionnaire complet,Oui,3.0,12.0,0.0,12.0,8.0,Oui,,,1,1.0,1.0,Senegal-2010,0.14285715,0.2857143
104_0,104,0,98,94,Nurse,0,35-44,Oui,Oui,,,6-10,98.0,91.0,10.0,38.0,94.0,Questionnaire complet,Oui,92.0,Questionnaire complet,Oui,3.0,Oui,0.0,oui,Nurse,35-44,Post-Secondary,In the 1990s,0.0,Oui,1.0,Oui,1ere,36.83443,98.0,92.0,10.0,38.0,94.0,Questionnaire complet,Oui,91.0,Questionnaire complet,Oui,3.0,12.0,0.0,12.0,8.0,Oui,,,1,1.0,1.0,Senegal-2010,0.14285715,0.2857143
104_2,104,2,98,94,Other,0,25-34,0,Oui,,,6-10,98.0,91.0,10.0,38.0,94.0,Questionnaire complet,Oui,92.0,Questionnaire complet,Oui,3.0,Oui,2.0,oui,Other,25-34,Post-Secondary,After 2000,0.0,Oui,0.0,Oui,1ere,36.83443,98.0,92.0,10.0,38.0,94.0,Questionnaire complet,Oui,91.0,Questionnaire complet,Oui,3.0,12.0,0.0,12.0,8.0,Oui,,,1,1.0,1.0,Senegal-2010,0.14285715,0.2857143
104_5,104,5,98,94,Nurse,0,45 or older,0,Oui,,,6-10,98.0,91.0,10.0,38.0,94.0,Questionnaire complet,Oui,92.0,Questionnaire complet,Oui,3.0,Oui,5.0,oui,Nurse,45 or older,Post-Secondary,Before 1990,0.0,Oui,0.0,Oui,1ere,36.83443,98.0,92.0,10.0,38.0,94.0,Questionnaire complet,Oui,91.0,Questionnaire complet,Oui,3.0,12.0,0.0,12.0,8.0,0.0,Parti récupérer son salaire,,1,1.0,1.0,Senegal-2010,0.14285715,0.2857143
105_1,105,1,1,25,Other,0,25-34,0,Oui,,,5 or less,1.0,71.0,1.0,4.0,25.0,Questionnaire complet,Oui,72.0,Questionnaire complet,Oui,3.0,Oui,1.0,oui,Other,25-34,Secondary,After 2000,0.0,Oui,0.0,Oui,1ere,21.682236,1.0,72.0,1.0,4.0,25.0,Questionnaire complet,Oui,71.0,Questionnaire complet,Oui,3.0,10.0,45.0,11.0,0.0,Oui,,,1,1.0,1.0,Senegal-2010,0.25,0.25
105_2,105,2,1,25,Other,0,25-34,0,0,Congés maladie/maternité,,5 or less,1.0,71.0,1.0,4.0,25.0,Questionnaire complet,Oui,72.0,Questionnaire complet,Oui,3.0,Oui,2.0,0.0,Other,25-34,,,,,,,1ere,21.682236,1.0,72.0,1.0,4.0,25.0,Questionnaire complet,Oui,71.0,Questionnaire complet,Oui,3.0,10.0,45.0,11.0,0.0,0.0,Congés maladie/maternité,,1,1.0,1.0,Senegal-2010,0.25,0.25
105_0,105,0,1,25,Nurse,0,45 or older,Oui,Oui,,,5 or less,1.0,71.0,1.0,4.0,25.0,Questionnaire complet,Oui,72.0,Questionnaire complet,Oui,3.0,Oui,0.0,oui,Nurse,45 or older,Post-Secondary,Before 1990,0.0,Oui,0.0,Oui,1ere,21.682236,1.0,72.0,1.0,4.0,25.0,Questionnaire complet,Oui,71.0,Questionnaire complet,Oui,3.0,10.0,45.0,11.0,0.0,Oui,,,1,1.0,1.0,Senegal-2010,0.25,0.25
105_3,105,3,1,25,Other,0,35-44,0,Oui,,,5 or less,1.0,71.0,1.0,4.0,25.0,Questionnaire complet,Oui,72.0,Questionnaire complet,Oui,3.0,Oui,3.0,oui,Other,35-44,Secondary,In the 1990s,0.0,Oui,0.0,Oui,1ere,21.682236,1.0,72.0,1.0,4.0,25.0,Questionnaire complet,Oui,71.0,Questionnaire complet,Oui,3.0,10.0,45.0,11.0,0.0,Oui,,,1,1.0,1.0,Senegal-2010,0.25,0.25
106_1,106,1,87,66,Nurse,0,25-34,0,Oui,,,5 or less,87.0,12.0,6.0,21.0,66.0,Questionnaire complet,Oui,11.0,Questionnaire complet,Oui,1.0,Oui,1.0,oui,Nurse,25-34,Secondary,After 2000,0.0,Oui,10.0,Oui,1ere,36.501774,87.0,12.0,6.0,21.0,66.0,Questionnaire complet,Oui,11.0,Questionnaire complet,Oui,1.0,9.0,0.0,10.0,30.0,Oui,,,1,1.0,1.0,Senegal-2010,0.0,0.25
106_2,106,2,87,66,Nurse,0,45 or older,0,Oui,,,5 or less,87.0,12.0,6.0,21.0,66.0,Questionnaire complet,Oui,11.0,Questionnaire complet,Oui,1.0,Oui,2.0,oui,Nurse,45 or older,Primary,After 2000,0.0,Oui,10.0,Oui,1ere,36.501774,87.0,12.0,6.0,21.0,66.0,Questionnaire complet,Oui,11.0,Questionnaire complet,Oui,1.0,9.0,0.0,10.0,30.0,0.0,Absence approuvée,,1,1.0,1.0,Senegal-2010,0.0,0.25
106_0,106,0,87,66,Nurse,0,35-44,Oui,Oui,,,5 or less,87.0,12.0,6.0,21.0,66.0,Questionnaire complet,Oui,11.0,Questionnaire complet,Oui,1.0,Oui,0.0,oui,Nurse,35-44,Post-Secondary,After 2000,0.0,Oui,0.0,Oui,1ere,36.501774,87.0,12.0,6.0,21.0,66.0,Questionnaire complet,Oui,11.0,Questionnaire complet,Oui,1.0,9.0,0.0,10.0,30.0,Oui,,,1,1.0,1.0,Senegal-2010,0.0,0.25
106_3,106,3,87,66,Other,0,25-34,0,Oui,,,5 or less,87.0,12.0,6.0,21.0,66.0,Questionnaire complet,Oui,11.0,Questionnaire complet,Oui,1.0,Oui,3.0,oui,Other,25-34,Secondary,After 2000,0.0,Oui,10.0,Oui,1ere,36.501774,87.0,12.0,6.0,21.0,66.0,Questionnaire complet,Oui,11.0,Questionnaire complet,Oui,1.0,9.0,0.0,10.0,30.0,Oui,,,1,1.0,1.0,Senegal-2010,0.0,0.25
107_2,107,2,104,35,Nurse,0,Younger than 25,Oui,Oui,,,5 or less,104.0,91.0,2.0,6.0,35.0,Questionnaire complet,Oui,92.0,Questionnaire complet,Oui,3.0,Oui,1.0,oui,Other,25-34,Primary,After 2000,39.0,Oui,40.0,Oui,1ere,46.615414,104.0,91.0,2.0,6.0,35.0,Questionnaire complet,Oui,92.0,Questionnaire complet,Oui,3.0,10.0,32.0,10.0,48.0,Oui,,,1,1.0,1.0,Senegal-2010,0.0,0.0
107_1,107,1,104,35,Other,Homme,25-34,0,Oui,,,5 or less,104.0,91.0,2.0,6.0,35.0,Questionnaire complet,Oui,92.0,Questionnaire complet,Oui,3.0,Oui,2.0,oui,Nurse,Younger than 25,Secondary,After 2000,30.0,Oui,60.0,Oui,1ere,46.615414,104.0,91.0,2.0,6.0,35.0,Questionnaire complet,Oui,92.0,Questionnaire complet,Oui,3.0,10.0,32.0,10.0,48.0,Oui,,,1,1.0,1.0,Senegal-2010,0.0,0.0
107_0,107,0,104,35,Nurse,Homme,25-34,Oui,Oui,,,5 or less,104.0,91.0,2.0,6.0,35.0,Questionnaire complet,Oui,92.0,Questionnaire complet,Oui,3.0,Oui,0.0,oui,Nurse,25-34,Post-Secondary,After 2000,2.0,Oui,0.0,Oui,1ere,46.615414,104.0,91.0,2.0,6.0,35.0,Questionnaire complet,Oui,92.0,Questionnaire complet,Oui,3.0,10.0,32.0,10.0,48.0,Oui,,,1,1.0,1.0,Senegal-2010,0.0,0.0
108_1,108,1,39,50,Nurse,0,25-34,Oui,Oui,,,5 or less,39.0,41.0,4.0,12.0,50.0,Questionnaire complet,Oui,42.0,Questionnaire complet,Oui,2.0,Oui,1.0,oui,Nurse,25-34,Post-Secondary,After 2000,0.0,Oui,0.0,Oui,1ere,95.893234,39.0,41.0,4.0,12.0,50.0,Questionnaire complet,Oui,42.0,Questionnaire complet,Oui,2.0,11.0,13.0,11.0,22.0,Oui,,,1,1.0,1.0,Senegal-2010,0.0,0.0
108_0,108,0,39,50,Nurse,Homme,35-44,Oui,Oui,,,5 or less,39.0,41.0,4.0,12.0,50.0,Questionnaire complet,Oui,42.0,Questionnaire complet,Oui,2.0,Oui,0.0,oui,Nurse,35-44,Post-Secondary,In the 1990s,0.0,Oui,0.0,Oui,1ere,95.893234,39.0,41.0,4.0,12.0,50.0,Questionnaire complet,Oui,42.0,Questionnaire complet,Oui,2.0,11.0,13.0,11.0,22.0,Oui,,,1,1.0,1.0,Senegal-2010,0.0,0.0
108_3,108,3,39,50,Other,0,Younger than 25,Oui,Oui,,,5 or less,39.0,41.0,4.0,12.0,50.0,Questionnaire complet,Oui,42.0,Questionnaire complet,Oui,2.0,Oui,3.0,oui,Other,Younger than 25,Post-Secondary,After 2000,0.0,Oui,0.0,Oui,1ere,95.893234,39.0,41.0,4.0,12.0,50.0,Questionnaire complet,Oui,42.0,Questionnaire complet,Oui,2.0,11.0,13.0,11.0,22.0,Oui,,,1,1.0,1.0,Senegal-2010,0.0,0.0
108_2,108,2,39,50,Other,Homme,25-34,Oui,Oui,,,5 or less,39.0,41.0,4.0,12.0,50.0,Questionnaire complet,Oui,42.0,Questionnaire complet,Oui,2.0,Oui,2.0,oui,Other,25-34,Post-Secondary,After 2000,0.0,Oui,0.0,Oui,1ere,95.893234,39.0,41.0,4.0,12.0,50.0,Questionnaire complet,Oui,42.0,Questionnaire complet,Oui,2.0,11.0,13.0,11.0,22.0,Oui,,,1,1.0,1.0,Senegal-2010,0.0,0.0
109_2,109,2,97,98,Other,Homme,,0,0,99.0,DEUIL,6-10,97.0,32.0,10.0,35.0,98.0,Questionnaire complet,Oui,31.0,Questionnaire complet,Oui,1.0,Oui,2.0,0.0,Other,,,,,,,,1ere,405.326,97.0,31.0,10.0,35.0,98.0,Questionnaire complet,Oui,32.0,Questionnaire complet,Oui,1.0,11.0,0.0,11.0,15.0,0.0,99.0,DEUIL,1,1.0,1.0,Senegal-2010,0.2857143,0.2857143
109_3,109,3,97,98,Other,0,25-34,0,Oui,,,6-10,97.0,32.0,10.0,35.0,98.0,Questionnaire complet,Oui,31.0,Questionnaire complet,Oui,1.0,Oui,3.0,oui,Other,25-34,Secondary,In the 1990s,0.0,Oui,2.0,Oui,1ere,405.326,97.0,31.0,10.0,35.0,98.0,Questionnaire complet,Oui,32.0,Questionnaire complet,Oui,1.0,11.0,0.0,11.0,15.0,Oui,,,1,1.0,1.0,Senegal-2010,0.2857143,0.2857143
109_5,109,5,97,98,Nurse,0,,0,0,12.0,,6-10,97.0,32.0,10.0,35.0,98.0,Questionnaire complet,Oui,31.0,Questionnaire complet,Oui,1.0,Oui,6.0,oui,Other,25-34,Post-Secondary,After 2000,1.0,Oui,10.0,Oui,1ere,405.326,97.0,31.0,10.0,35.0,98.0,Questionnaire complet,Oui,32.0,Questionnaire complet,Oui,1.0,11.0,0.0,11.0,15.0,Oui,,,1,1.0,1.0,Senegal-2010,0.2857143,0.2857143
109_4,109,4,97,98,Nurse,0,25-34,0,Oui,,,6-10,97.0,32.0,10.0,35.0,98.0,Questionnaire complet,Oui,31.0,Questionnaire complet,Oui,1.0,Oui,4.0,oui,Nurse,25-34,Secondary,After 2000,0.0,Oui,0.0,Oui,1ere,405.326,97.0,31.0,10.0,35.0,98.0,Questionnaire complet,Oui,32.0,Questionnaire complet,Oui,1.0,11.0,0.0,11.0,15.0,Oui,,,1,1.0,1.0,Senegal-2010,0.2857143,0.2857143
109_0,109,0,97,98,Nurse,Homme,45 or older,Oui,Oui,,,6-10,97.0,32.0,10.0,35.0,98.0,Questionnaire complet,Oui,31.0,Questionnaire complet,Oui,1.0,Oui,0.0,oui,Nurse,45 or older,Post-Secondary,Before 1990,0.0,Oui,0.0,Oui,1ere,405.326,97.0,31.0,10.0,35.0,98.0,Questionnaire complet,Oui,32.0,Questionnaire complet,Oui,1.0,11.0,0.0,11.0,15.0,Oui,,,1,1.0,1.0,Senegal-2010,0.2857143,0.2857143
109_1,109,1,97,98,Nurse,0,25-34,Oui,Oui,,,6-10,97.0,32.0,10.0,35.0,98.0,Questionnaire complet,Oui,31.0,Questionnaire complet,Oui,1.0,Oui,1.0,oui,Nurse,25-34,Post-Secondary,After 2000,0.0,Oui,0.0,Oui,1ere,405.326,97.0,31.0,10.0,35.0,98.0,Questionnaire complet,Oui,32.0,Questionnaire complet,Oui,1.0,11.0,0.0,11.0,15.0,Oui,,,1,1.0,1.0,Senegal-2010,0.2857143,0.2857143
