unique_id,fac_id,staff_id,m2saq1,m2saq2,m2saq3,m2saq6,m2saq8,m2saq9,m2saq10,m2saq11,m2saq12,m2saq13,m2saq14,m2saq15,m2saq16,m2saqobs,m2sbq1,m2sbq3,m2sbq5,m2sbq6,m2sbq7,m2sbq8,m2sbq9,m2sbq10,m2sbq11,m2sbq12,m2sbq13,m2sbq15,m2sbq17,has_roster,has_absentee,country,absence_rate
119_1,119,1,5 or less,5 or less,5 or less,Other,Primary,Certificate,0.0,Younger than 25,Oui,Oui,,Oui,Oui,,1.0,1.0,Other,Primary,Certificate,0.0,Younger than 25,0.0,Absence non autorisée,,,,Autre (Préciser),1,1.0,Niger-2015,1.0
12_1,12,1,5 or less,5 or less,5 or less,Other,Secondary,Advanced,Homme,25-34,Oui,Oui,,Oui,Oui,,1.0,1.0,Other,Secondary,Advanced,Homme,25-34,Oui,,Autre,Oui,After 2000,Individu,1,1.0,Niger-2015,0.0
120_1,120,1,5 or less,5 or less,5 or less,Other,Secondary,Certificate,0.0,25-34,Oui,Oui,,Oui,Oui,,1.0,1.0,Other,Secondary,Certificate,0.0,25-34,Oui,,Consultation/visite de malade,Oui,After 2000,Individu,1,1.0,Niger-2015,0.5
120_2,120,2,5 or less,5 or less,5 or less,Other,Primary,Certificate,Homme,25-34,Oui,0,Absence non autorisée,Oui,non,,2.0,2.0,Other,Primary,Certificate,Homme,25-34,0.0,Absence non autorisée,,,,Responsable,1,1.0,Niger-2015,0.5
121_1,121,1,5 or less,5 or less,5 or less,Other,Secondary,Certificate,Homme,25-34,Oui,Oui,,Oui,Oui,,1.0,1.0,Other,Secondary,Certificate,Homme,25-34,Oui,,Consultation/visite de malade,Oui,After 2000,Individu,1,1.0,Niger-2015,0.0
122_1,122,1,5 or less,5 or less,5 or less,Other,Secondary,Certificate,0.0,25-34,Oui,Oui,,Oui,Oui,,1.0,1.0,Other,Secondary,Certificate,0.0,25-34,Oui,,Consultation/visite de malade,0.0,After 2000,Individu,1,1.0,Niger-2015,0.0
123_1,123,1,5 or less,5 or less,5 or less,Other,Secondary,Certificate,Homme,25-34,Oui,Oui,,Oui,Oui,,1.0,1.0,Other,Secondary,Certificate,Homme,25-34,0.0,Maladie/maternité,,,,Autre (Préciser),1,1.0,Niger-2015,1.0
124_1,124,1,5 or less,5 or less,5 or less,Other,Secondary,Certificate,Homme,25-34,Oui,Oui,,Oui,Oui,,1.0,1.0,Other,Secondary,Certificate,Homme,25-34,0.0,Absence non autorisée,,,,Autre (Préciser),1,1.0,Niger-2015,1.0
125_1,125,1,5 or less,5 or less,5 or less,Other,Secondary,Certificate,Homme,45 or older,Oui,Oui,,Oui,Oui,,1.0,1.0,Other,Secondary,Certificate,Homme,45 or older,Oui,,Consultation/visite de malade,Oui,After 2000,Individu,1,1.0,Niger-2015,0.0
126_1,126,1,5 or less,5 or less,5 or less,Other,Secondary,Certificate,0.0,35-44,Oui,Oui,,Oui,Oui,,1.0,1.0,Other,Secondary,Certificate,0.0,35-44,0.0,Maladie/maternité,,,,Individu,1,1.0,Niger-2015,1.0
127_1,127,1,5 or less,5 or less,5 or less,Other,Secondary,Certificate,Homme,45 or older,Oui,Oui,,Oui,Oui,,1.0,1.0,Other,Secondary,Certificate,Homme,45 or older,Oui,,Consultation/visite de malade,Oui,After 2000,Individu,1,1.0,Niger-2015,0.0
129_1,129,1,5 or less,5 or less,5 or less,Other,Secondary,Certificate,Homme,35-44,Oui,Oui,,Oui,Oui,,1.0,1.0,Other,Secondary,Certificate,Homme,35-44,0.0,Absence non autorisée,,,,Individu,1,1.0,Niger-2015,1.0
13_1,13,1,5 or less,5 or less,5 or less,Nurse,Secondary,Advanced,0.0,25-34,Oui,Oui,,Oui,Oui,,1.0,1.0,Nurse,Secondary,Advanced,0.0,25-34,Oui,,Consultation/visite de malade,Oui,After 2000,Individu,1,1.0,Niger-2015,0.0
130_1,130,1,5 or less,5 or less,5 or less,Other,Post-Secondary,Certificate,Homme,35-44,Oui,Oui,,Oui,Oui,,1.0,1.0,Other,Post-Secondary,Certificate,Homme,35-44,Oui,,Consultation/visite de malade,Oui,After 2000,Individu,1,1.0,Niger-2015,0.0
131_1,131,1,5 or less,5 or less,5 or less,Other,Secondary,Certificate,0.0,35-44,Oui,Oui,,Oui,Oui,,1.0,1.0,Other,Secondary,Certificate,0.0,35-44,0.0,Absence non autorisée,,,,Autre (Préciser),1,1.0,Niger-2015,1.0
132_1,132,1,5 or less,5 or less,5 or less,Other,Secondary,Certificate,Homme,35-44,Oui,Oui,,Oui,Oui,,1.0,1.0,Other,Secondary,Certificate,Homme,35-44,Oui,,Consultation/visite de malade,Oui,After 2000,Individu,1,1.0,Niger-2015,0.0
134_1,134,1,5 or less,5 or less,5 or less,Other,Post-Secondary,Certificate,Homme,35-44,Oui,Oui,,Oui,Oui,,1.0,1.0,Other,Post-Secondary,None,Homme,35-44,Oui,,Consultation/visite de malade,Oui,After 2000,Individu,1,1.0,Niger-2015,0.0
135_1,135,1,5 or less,5 or less,5 or less,Other,Secondary,Advanced,0.0,Younger than 25,Oui,Oui,,Oui,Oui,,1.0,1.0,Other,Secondary,Advanced,0.0,Younger than 25,0.0,Autre (à préciser),,,,Collègue,1,1.0,Niger-2015,1.0
136_1,136,1,5 or less,5 or less,5 or less,Nurse,Secondary,Advanced,Homme,45 or older,Oui,Oui,,Oui,Oui,,1.0,1.0,Nurse,Secondary,Advanced,Homme,45 or older,0.0,Autre (à préciser),,,,Autre (Préciser),1,1.0,Niger-2015,1.0
136_2,136,2,5 or less,5 or less,5 or less,Nurse,Primary,Diploma,0.0,45 or older,Oui,0,Absence autorisée (permission/congé),Oui,non,,2.0,2.0,Nurse,Primary,Diploma,0.0,45 or older,0.0,Autre (à préciser),,,,Autre (Préciser),1,1.0,Niger-2015,1.0
137_2,137,2,5 or less,5 or less,5 or less,Other,Secondary,Advanced,Homme,25-34,Oui,0,Absence autorisée (permission/congé),Oui,non,,2.0,2.0,Other,Secondary,Advanced,Homme,25-34,0.0,Absence autorisée (permission/congé),,,,Responsable,1,1.0,Niger-2015,0.6666667
137_3,137,3,5 or less,5 or less,5 or less,Nurse,Secondary,Advanced,Homme,25-34,Oui,0,Absence autorisée (permission/congé),Oui,non,,3.0,3.0,Nurse,Secondary,Advanced,Homme,25-34,0.0,Absence autorisée (permission/congé),,,,Responsable,1,1.0,Niger-2015,0.6666667
137_1,137,1,5 or less,5 or less,5 or less,Nurse,Secondary,Advanced,0.0,25-34,Oui,Oui,,Oui,Oui,,1.0,1.0,Nurse,Secondary,Advanced,0.0,25-34,Oui,,Consultation/visite de malade,,After 2000,Individu,1,1.0,Niger-2015,0.6666667
138_3,138,3,6-10,6-10,5 or less,Nurse,Secondary,Advanced,0.0,35-44,Oui,Oui,,Oui,Oui,,3.0,3.0,Nurse,Secondary,Advanced,0.0,35-44,Oui,,Traitement de dossiers/élaboration de rapports,0.0,After 2000,Individu,1,1.0,Niger-2015,0.8333333
138_5,138,5,6-10,6-10,5 or less,Other,Secondary,Advanced,0.0,Younger than 25,Oui,0,"Repos de garde (pré-garde, sortie de garde)",Oui,non,,5.0,5.0,Other,Secondary,Advanced,0.0,Younger than 25,0.0,"Repos de garde (pré-garde, sortie de garde)",,,,Collègue,1,1.0,Niger-2015,0.8333333
138_1,138,1,6-10,6-10,5 or less,Doctor,Post-Secondary,Advanced,Homme,45 or older,Oui,0,"Repos de garde (pré-garde, sortie de garde)",Oui,non,,1.0,1.0,Doctor,Post-Secondary,Advanced,Homme,45 or older,0.0,"Repos de garde (pré-garde, sortie de garde)",,,,Collègue,1,1.0,Niger-2015,0.8333333
138_2,138,2,6-10,6-10,5 or less,Nurse,Secondary,Advanced,Homme,25-34,Oui,Oui,,Oui,Oui,,2.0,2.0,Nurse,Secondary,Advanced,Homme,25-34,0.0,"Repos de garde (pré-garde, sortie de garde)",,,,Collègue,1,1.0,Niger-2015,0.8333333
138_6,138,6,6-10,6-10,5 or less,Nurse,Secondary,Advanced,0.0,45 or older,Oui,0,Maladie/maternité,Oui,non,,6.0,6.0,Nurse,Secondary,Advanced,0.0,45 or older,0.0,Maladie/maternité,,,,Collègue,1,1.0,Niger-2015,0.8333333
138_4,138,4,6-10,6-10,5 or less,Other,Secondary,Advanced,0.0,25-34,Oui,Oui,,Oui,Oui,,4.0,4.0,Other,Secondary,Advanced,0.0,25-34,0.0,"Repos de garde (pré-garde, sortie de garde)",,,,Collègue,1,1.0,Niger-2015,0.8333333
139_10,139,10,11-50,11-50,Over 5,Nurse,Post-Secondary,Advanced,Homme,35-44,0,Oui,,Oui,non,,4.0,10.0,Nurse,Post-Secondary,Advanced,Homme,35-44,Oui,,Discussion avec collègues/réunion/Staff,0.0,After 2000,Individu,1,1.0,Niger-2015,0.54545456
139_6,139,6,11-50,11-50,Over 5,Nurse,Secondary,Advanced,0.0,35-44,Oui,0,Formation/séminaire/réunion,Non,non,,,,,,,,,,,,,,,1,,Niger-2015,0.54545456
139_14,139,14,11-50,11-50,Over 5,Doctor,Post-Secondary,Advanced,Homme,45 or older,Oui,0,,Oui,non,,3.0,14.0,Doctor,Post-Secondary,Advanced,Homme,45 or older,0.0,Mission officielle,,,,Collègue,1,1.0,Niger-2015,0.54545456
139_11,139,11,11-50,11-50,Over 5,Other,Secondary,Advanced,0.0,25-34,Oui,0,,Oui,non,,9.0,11.0,Other,Post-Secondary,Advanced,0.0,25-34,Oui,,Consultation/visite de malade,0.0,After 2000,Individu,1,1.0,Niger-2015,0.54545456
139_8,139,8,11-50,11-50,Over 5,Nurse,Secondary,Advanced,0.0,35-44,Oui,0,,Oui,non,,6.0,8.0,Nurse,Secondary,Advanced,0.0,35-44,0.0,"Repos de garde (pré-garde, sortie de garde)",,,,Collègue,1,1.0,Niger-2015,0.54545456
139_15,139,15,11-50,11-50,Over 5,Doctor,Post-Secondary,Advanced,Homme,25-34,Oui,0,Formation/séminaire/réunion,Non,non,,,,,,,,,,,,,,,1,,Niger-2015,0.54545456
139_4,139,4,11-50,11-50,Over 5,Nurse,Secondary,Advanced,0.0,25-34,Oui,0,,Oui,non,,8.0,4.0,Nurse,Secondary,Advanced,0.0,25-34,Oui,,Consultation/visite de malade,0.0,After 2000,Individu,1,1.0,Niger-2015,0.54545456
139_13,139,13,11-50,11-50,Over 5,Doctor,Post-Secondary,Advanced,Homme,45 or older,Oui,0,Formation/séminaire/réunion,Non,non,,,,,,,,,,,,,,,1,,Niger-2015,0.54545456
139_12,139,12,11-50,11-50,Over 5,Nurse,Primary,Diploma,Homme,45 or older,Oui,Oui,,Oui,Oui,,10.0,12.0,Nurse,Primary,Diploma,Homme,45 or older,Oui,,Discussion avec collègues/réunion/Staff,0.0,Before 1990,Individu,1,1.0,Niger-2015,0.54545456
139_1,139,1,11-50,11-50,Over 5,Doctor,Post-Secondary,Advanced,Homme,45 or older,Oui,0,,Oui,non,,1.0,1.0,Doctor,Post-Secondary,Advanced,Homme,45 or older,Oui,,Consultation/visite de malade,,Before 1990,Individu,1,1.0,Niger-2015,0.54545456
139_5,139,5,11-50,11-50,Over 5,Nurse,Secondary,Advanced,0.0,35-44,Oui,Oui,,Oui,Oui,,2.0,5.0,Nurse,Secondary,Advanced,0.0,35-44,0.0,"Repos de garde (pré-garde, sortie de garde)",,,,Collègue,1,1.0,Niger-2015,0.54545456
139_2,139,2,11-50,11-50,Over 5,Nurse,Primary,Diploma,0.0,35-44,Oui,Oui,,Non,Oui,,,,,,,,,,,,,,,1,,Niger-2015,0.54545456
139_7,139,7,11-50,11-50,Over 5,Nurse,Post-Secondary,Advanced,0.0,25-34,Oui,0,,Oui,non,,11.0,7.0,Nurse,Post-Secondary,Advanced,0.0,25-34,0.0,"Repos de garde (pré-garde, sortie de garde)",,,,Collègue,1,1.0,Niger-2015,0.54545456
139_3,139,3,11-50,11-50,Over 5,Nurse,Secondary,Advanced,0.0,25-34,Oui,Oui,,Oui,Oui,,5.0,3.0,Nurse,Secondary,Advanced,0.0,25-34,0.0,"Repos de garde (pré-garde, sortie de garde)",,,,Collègue,1,1.0,Niger-2015,0.54545456
139_9,139,9,11-50,11-50,Over 5,Nurse,Secondary,Advanced,0.0,35-44,Oui,0,,Oui,non,,7.0,9.0,Nurse,Secondary,Advanced,0.0,35-44,0.0,"Repos de garde (pré-garde, sortie de garde)",,,,Collègue,1,1.0,Niger-2015,0.54545456
139_16,139,16,11-50,11-50,Over 5,Nurse,Post-Secondary,Advanced,Homme,35-44,0,Oui,,Non,non,,,,,,,,,,,,,,,1,,Niger-2015,0.54545456
14_1,14,1,5 or less,5 or less,5 or less,Nurse,Secondary,Diploma,0.0,25-34,Oui,Oui,,Oui,Oui,,1.0,1.0,Nurse,Secondary,Diploma,0.0,25-34,Oui,,Autre,0.0,After 2000,Individu,1,1.0,Niger-2015,0.0
140_2,140,2,6-10,5 or less,5 or less,Nurse,Secondary,Advanced,0.0,25-34,Oui,0,"Repos de garde (pré-garde, sortie de garde)",Oui,non,,2.0,2.0,Nurse,Secondary,Advanced,0.0,25-34,Oui,,Discussion avec collègues/réunion/Staff,Oui,After 2000,Individu,1,1.0,Niger-2015,0.0
140_1,140,1,6-10,5 or less,5 or less,Nurse,Secondary,Advanced,0.0,45 or older,Oui,Oui,,Oui,Oui,,1.0,1.0,Nurse,Secondary,Advanced,0.0,45 or older,Oui,,Discussion avec collègues/réunion/Staff,,Before 1990,Individu,1,1.0,Niger-2015,0.0
140_4,140,4,6-10,5 or less,5 or less,Other,Primary,Diploma,Homme,45 or older,0,Oui,,Oui,non,,4.0,4.0,Other,Primary,Diploma,Homme,45 or older,Oui,,Discussion avec collègues/réunion/Staff,0.0,Before 1990,Individu,1,1.0,Niger-2015,0.0
140_3,140,3,6-10,5 or less,5 or less,Nurse,Primary,Diploma,0.0,25-34,Oui,Oui,,Oui,Oui,,3.0,3.0,Other,Primary,Certificate,0.0,25-34,Oui,,Discussion avec collègues/réunion/Staff,Oui,After 2000,Individu,1,1.0,Niger-2015,0.0
141_5,141,5,6-10,5 or less,5 or less,Other,Post-Secondary,Advanced,Homme,45 or older,0,0,"Repos de garde (pré-garde, sortie de garde)",Oui,non,,5.0,5.0,Other,Post-Secondary,Advanced,Homme,45 or older,0.0,Absence autorisée (permission/congé),,,,Responsable,1,1.0,Niger-2015,0.2
141_3,141,3,6-10,5 or less,5 or less,Nurse,Secondary,Advanced,0.0,25-34,Oui,0,"Repos de garde (pré-garde, sortie de garde)",Oui,non,,3.0,3.0,Nurse,Secondary,Advanced,0.0,25-34,Oui,,Discussion avec collègues/réunion/Staff,0.0,After 2000,Individu,1,1.0,Niger-2015,0.2
141_2,141,2,6-10,5 or less,5 or less,Nurse,Secondary,Advanced,0.0,25-34,Oui,0,"Repos de garde (pré-garde, sortie de garde)",Oui,non,,2.0,2.0,Nurse,Secondary,Advanced,0.0,25-34,Oui,,Discussion avec collègues/réunion/Staff,0.0,After 2000,Individu,1,1.0,Niger-2015,0.2
141_4,141,4,6-10,5 or less,5 or less,Nurse,Secondary,Advanced,0.0,25-34,Oui,0,"Repos de garde (pré-garde, sortie de garde)",Oui,non,,4.0,4.0,Nurse,Secondary,Advanced,0.0,25-34,Oui,,Discussion avec collègues/réunion/Staff,Oui,After 2000,Individu,1,1.0,Niger-2015,0.2
141_1,141,1,6-10,5 or less,5 or less,Doctor,Post-Secondary,Advanced,Homme,45 or older,Oui,Oui,,Oui,Oui,,1.0,1.0,Doctor,Post-Secondary,Advanced,Homme,45 or older,Oui,,Traitement de dossiers/élaboration de rapports,,In the 1990s,Individu,1,1.0,Niger-2015,0.2
142_2,142,2,11-50,6-10,5 or less,Nurse,Secondary,Advanced,0.0,25-34,Oui,Oui,,Oui,Oui,,2.0,2.0,Nurse,Secondary,Advanced,0.0,25-34,0.0,"Repos de garde (pré-garde, sortie de garde)",,,,Collègue,1,1.0,Niger-2015,0.85714287
142_1,142,1,11-50,6-10,5 or less,Nurse,Secondary,Advanced,0.0,35-44,Oui,Oui,,Oui,Oui,,1.0,1.0,Nurse,Secondary,Advanced,0.0,35-44,0.0,"Repos de garde (pré-garde, sortie de garde)",,,,Collègue,1,1.0,Niger-2015,0.85714287
142_7,142,7,11-50,6-10,5 or less,Nurse,Post-Secondary,Advanced,0.0,25-34,Oui,0,"Repos de garde (pré-garde, sortie de garde)",Oui,non,,7.0,7.0,Nurse,Post-Secondary,Advanced,0.0,25-34,0.0,"Repos de garde (pré-garde, sortie de garde)",,,,Collègue,1,1.0,Niger-2015,0.85714287
142_5,142,5,11-50,6-10,5 or less,Nurse,Secondary,Advanced,0.0,25-34,Oui,Oui,,Oui,Oui,,5.0,5.0,Nurse,Secondary,Advanced,0.0,25-34,0.0,"Repos de garde (pré-garde, sortie de garde)",,,,Collègue,1,1.0,Niger-2015,0.85714287
142_4,142,4,11-50,6-10,5 or less,Other,Secondary,Advanced,0.0,45 or older,Oui,0,"Repos de garde (pré-garde, sortie de garde)",Oui,non,,4.0,4.0,Other,Secondary,Advanced,0.0,45 or older,0.0,"Repos de garde (pré-garde, sortie de garde)",,,,Collègue,1,1.0,Niger-2015,0.85714287
142_6,142,6,11-50,6-10,5 or less,Nurse,Post-Secondary,Advanced,0.0,25-34,Oui,Oui,,Oui,Oui,,6.0,6.0,Nurse,Post-Secondary,Advanced,0.0,25-34,0.0,"Repos de garde (pré-garde, sortie de garde)",,,,Collègue,1,1.0,Niger-2015,0.85714287
142_3,142,3,11-50,6-10,5 or less,Nurse,Secondary,Advanced,0.0,25-34,Oui,0,"Repos de garde (pré-garde, sortie de garde)",Oui,non,,3.0,3.0,Nurse,Secondary,Advanced,Homme,25-34,Oui,,Discussion avec collègues/réunion/Staff,0.0,After 2000,Individu,1,1.0,Niger-2015,0.85714287
143_2,143,2,5 or less,5 or less,5 or less,Nurse,Secondary,Advanced,Homme,25-34,Oui,Oui,,Oui,Oui,,2.0,2.0,Nurse,Secondary,Advanced,Homme,25-34,0.0,"Repos de garde (pré-garde, sortie de garde)",,,,Collègue,1,1.0,Niger-2015,0.6666667
143_1,143,1,5 or less,5 or less,5 or less,Nurse,Post-Secondary,Advanced,Homme,45 or older,0,Oui,,Oui,non,,1.0,1.0,Nurse,Post-Secondary,Advanced,Homme,45 or older,0.0,Absence non autorisée,,,,Collègue,1,1.0,Niger-2015,0.6666667
143_3,143,3,5 or less,5 or less,5 or less,Nurse,Secondary,Advanced,0.0,25-34,Oui,Oui,,Oui,Oui,,3.0,3.0,Nurse,Secondary,Advanced,0.0,25-34,Oui,,Traitement de dossiers/élaboration de rapports,0.0,After 2000,Individu,1,1.0,Niger-2015,0.6666667
144_21,144,21,11-50,11-50,Over 5,Nurse,Secondary,Advanced,0.0,25-34,Oui,0,"Repos de garde (pré-garde, sortie de garde)",Oui,non,,4.0,21.0,Nurse,Secondary,Advanced,0.0,25-34,0.0,Autre (à préciser),,,,Collègue,1,1.0,Niger-2015,0.54545456
144_6,144,6,11-50,11-50,Over 5,Nurse,Secondary,Advanced,0.0,25-34,Oui,Oui,,Non,Oui,,,,,,,,,,,,,,,1,,Niger-2015,0.54545456
144_24,144,24,11-50,11-50,Over 5,Nurse,Post-Secondary,Advanced,0.0,25-34,Oui,0,"Repos de garde (pré-garde, sortie de garde)",Oui,non,,11.0,24.0,Nurse,Post-Secondary,Advanced,0.0,25-34,Oui,,Discussion avec collègues/réunion/Staff,Oui,After 2000,Individu,1,1.0,Niger-2015,0.54545456
144_3,144,3,11-50,11-50,Over 5,Other,Secondary,Advanced,Homme,25-34,0,Oui,,Oui,non,,9.0,3.0,Other,Secondary,Advanced,Homme,25-34,Oui,,Discussion avec collègues/réunion/Staff,0.0,After 2000,Individu,1,1.0,Niger-2015,0.54545456
