fac_id,staff_id,m2saq1,m2saq2,m2saq3,m2saq6,m2saq8,m2saq9,m2saq10,m2saq11,m2saq12,m2saq13,m2saq14,m2saq15,m2saq16,m2saqobs,m2sbq1,m2sbq3,m2sbq5,m2sbq6,m2sbq7,m2sbq8,m2sbq9,m2sbq10,m2sbq11,m2sbq12,m2sbq13,m2sbq15,m2sbq17
23,1,5 or less,5 or less,5 or less,Other,Primary,Certificate,Femme,Younger than 25,Oui,Oui,,Oui,Oui,,1.0,1.0,Other,Primary,Certificate,Femme,Younger than 25,Oui,,Consultation/visite de malade,Oui,After 2000,Individu
24,1,5 or less,5 or less,5 or less,Other,Secondary,Advanced,Femme,25-34,Oui,Oui,,Oui,Oui,,1.0,1.0,Other,Secondary,Advanced,Femme,25-34,Oui,,Consultation/visite de malade,Oui,After 2000,Individu
26,1,5 or less,5 or less,5 or less,Nurse,Secondary,Advanced,Femme,25-34,Oui,Oui,,Oui,Oui,,1.0,1.0,Nurse,Secondary,Advanced,Femme,25-34,Oui,,Consultation/visite de malade,Oui,After 2000,Individu
27,1,5 or less,5 or less,5 or less,Other,Primary,Certificate,Homme,45 or older,Oui,Oui,,Oui,Oui,,1.0,1.0,Other,Primary,Certificate,Homme,45 or older,Oui,,Consultation/visite de malade,Oui,After 2000,Individu
28,1,5 or less,5 or less,5 or less,Other,Primary,Certificate,Femme,45 or older,Oui,Oui,,Oui,Oui,,1.0,1.0,Other,Primary,Certificate,Femme,45 or older,Oui,,Consultation/visite de malade,Oui,After 2000,Individu
29,1,5 or less,5 or less,5 or less,Other,Secondary,Certificate,Homme,45 or older,Oui,Oui,,Oui,Oui,,1.0,1.0,Other,Secondary,Certificate,Homme,45 or older,Oui,,Consultation/visite de malade,Oui,After 2000,Individu
30,1,5 or less,5 or less,5 or less,Other,Primary,Certificate,Homme,35-44,Oui,Oui,,Oui,Oui,,1.0,1.0,Other,Primary,Certificate,Homme,35-44,Oui,,Consultation/visite de malade,Oui,After 2000,Individu
31,1,5 or less,5 or less,5 or less,Nurse,Secondary,Advanced,Femme,Younger than 25,Oui,Oui,,Oui,Oui,,1.0,1.0,Nurse,Secondary,Advanced,Homme,Younger than 25,Oui,,Consultation/visite de malade,Oui,After 2000,Individu
32,1,5 or less,5 or less,5 or less,Nurse,Primary,Diploma,Femme,25-34,Oui,Oui,,Oui,Oui,,1.0,1.0,Nurse,Primary,Diploma,Femme,25-34,Oui,,Consultation/visite de malade,Oui,After 2000,Individu
33,1,5 or less,5 or less,5 or less,Other,Primary,Certificate,Homme,35-44,Oui,Oui,,Oui,Oui,,1.0,1.0,Other,Primary,Certificate,Homme,35-44,Oui,,Autre,Oui,After 2000,Individu
34,1,5 or less,5 or less,5 or less,Other,Secondary,Certificate,Femme,Younger than 25,Oui,Oui,,Oui,Oui,,1.0,1.0,Other,Secondary,Certificate,Femme,Younger than 25,Oui,,Consultation/visite de malade,Oui,After 2000,Individu
35,1,5 or less,5 or less,5 or less,Nurse,Primary,Diploma,Femme,45 or older,Oui,Oui,,Oui,Oui,,1.0,1.0,Nurse,Primary,Diploma,Femme,45 or older,Oui,,Consultation/visite de malade,Oui,After 2000,Individu
36,1,5 or less,5 or less,5 or less,Other,Primary,Certificate,Homme,35-44,Oui,Oui,,Oui,Oui,,1.0,1.0,Other,Primary,Certificate,Homme,35-44,Oui,,Consultation/visite de malade,Oui,After 2000,Individu
37,1,5 or less,5 or less,5 or less,Other,Secondary,Advanced,Femme,25-34,Oui,Oui,,Oui,Oui,,1.0,1.0,Other,Secondary,Advanced,Femme,25-34,Oui,,Consultation/visite de malade,Oui,After 2000,Individu
38,1,5 or less,5 or less,5 or less,Other,Primary,Certificate,Homme,25-34,Oui,Oui,,Oui,Oui,,1.0,1.0,Other,Primary,Certificate,Homme,25-34,Oui,,Consultation/visite de malade,Oui,After 2000,Individu
39,1,5 or less,5 or less,5 or less,Nurse,Secondary,Diploma,Femme,25-34,Oui,Oui,,Oui,Oui,,1.0,1.0,Nurse,Secondary,Diploma,Femme,25-34,Oui,,Consultation/visite de malade,Oui,After 2000,Individu
41,1,5 or less,5 or less,5 or less,Other,Primary,Certificate,Homme,25-34,Oui,Oui,,Oui,Oui,,1.0,1.0,Other,Primary,Certificate,Homme,25-34,Oui,,Consultation/visite de malade,Oui,After 2000,Individu
42,1,5 or less,5 or less,5 or less,Nurse,Primary,Diploma,Homme,25-34,Oui,Oui,,Oui,Oui,,1.0,1.0,Nurse,Primary,Diploma,Homme,25-34,Non,Absence autorisée (permission/congé),,,,Autre (Préciser)
43,1,5 or less,5 or less,5 or less,Other,Secondary,Advanced,Femme,25-34,Oui,Non,Absence non autorisée,Oui,non,,1.0,1.0,Other,Secondary,Advanced,Femme,25-34,Non,Absence non autorisée,,,,Collègue
43,2,5 or less,5 or less,5 or less,Other,Primary,Certificate,Femme,45 or older,Oui,Oui,,Oui,Oui,,2.0,2.0,Other,Primary,Certificate,Femme,45 or older,Oui,,Consultation/visite de malade,Oui,After 2000,Individu
44,1,5 or less,5 or less,5 or less,Other,Primary,Certificate,Homme,45 or older,Oui,Oui,,Oui,Oui,,1.0,1.0,Other,Primary,Certificate,Homme,45 or older,Oui,,Consultation/visite de malade,Oui,After 2000,Individu
45,1,5 or less,5 or less,5 or less,Other,Primary,Certificate,Femme,35-44,Oui,Oui,,Oui,Oui,,1.0,1.0,Other,Primary,Certificate,Femme,35-44,Oui,,Consultation/visite de malade,Non,After 2000,Individu
46,1,5 or less,5 or less,5 or less,Other,Secondary,Certificate,Homme,45 or older,Oui,Oui,,Oui,Oui,,1.0,1.0,Other,Secondary,Certificate,Homme,45 or older,Oui,,Consultation/visite de malade,Oui,After 2000,Individu
47,1,5 or less,5 or less,5 or less,Other,Secondary,Certificate,Homme,35-44,Oui,Oui,,Oui,Oui,,1.0,1.0,Doctor,Secondary,Certificate,Homme,35-44,Oui,,Consultation/visite de malade,Non,After 2000,Individu
48,1,5 or less,5 or less,5 or less,Other,Secondary,Certificate,Homme,25-34,Oui,Oui,,Oui,Oui,,1.0,1.0,Other,Secondary,Certificate,Femme,25-34,Non,Maladie/maternité,,,,Individu
50,1,5 or less,5 or less,5 or less,Other,Primary,Certificate,Femme,Younger than 25,Oui,Oui,,Oui,Oui,,1.0,1.0,Other,Primary,Certificate,Homme,Younger than 25,Oui,,Consultation/visite de malade,Oui,After 2000,Individu
51,1,5 or less,5 or less,5 or less,Other,Secondary,Certificate,Homme,25-34,Oui,Oui,,Oui,Oui,,1.0,1.0,Doctor,Secondary,Certificate,Homme,25-34,Oui,,Consultation/visite de malade,Non,After 2000,Individu
52,1,5 or less,5 or less,5 or less,Other,Secondary,Certificate,Homme,35-44,Oui,Oui,,Oui,Oui,,1.0,1.0,Other,Secondary,Certificate,Homme,35-44,Oui,,Consultation/visite de malade,Oui,After 2000,Individu
53,1,5 or less,5 or less,5 or less,Other,Primary,Certificate,Homme,35-44,Oui,Oui,,Oui,Oui,,1.0,1.0,Other,Primary,Certificate,Homme,35-44,Oui,,Consultation/visite de malade,Non,After 2000,Individu
54,1,5 or less,5 or less,5 or less,Other,Primary,Certificate,Homme,35-44,Oui,Oui,,Oui,Oui,,1.0,1.0,Other,Primary,Certificate,Homme,35-44,Oui,,Autre,Oui,After 2000,Individu
55,1,5 or less,5 or less,5 or less,Other,Secondary,Certificate,Homme,45 or older,Oui,Oui,,Oui,Oui,,1.0,1.0,Other,Secondary,Certificate,Homme,45 or older,Oui,,Consultation/visite de malade,Oui,After 2000,Individu
57,1,5 or less,5 or less,5 or less,Other,Secondary,Certificate,Homme,25-34,Oui,Oui,,Oui,Oui,,1.0,1.0,Other,Secondary,Certificate,Homme,25-34,Non,Absence non autorisée,,,,Autre (Préciser)
58,1,5 or less,5 or less,5 or less,Other,Secondary,Certificate,Homme,25-34,Oui,Oui,,Oui,Oui,,1.0,1.0,Other,Secondary,Certificate,Homme,25-34,Oui,,Consultation/visite de malade,Oui,After 2000,Individu
59,1,5 or less,5 or less,5 or less,Other,Secondary,Certificate,Homme,35-44,Oui,Oui,,Oui,Oui,,1.0,1.0,Other,Secondary,Certificate,Homme,35-44,Oui,,Consultation/visite de malade,Non,After 2000,Individu
60,1,5 or less,5 or less,5 or less,Other,Secondary,Certificate,Homme,35-44,Oui,Oui,,Oui,Oui,,1.0,1.0,Other,Secondary,Certificate,Homme,35-44,Oui,,Consultation/visite de malade,Oui,After 2000,Individu
61,1,5 or less,5 or less,5 or less,Other,Secondary,Certificate,Homme,35-44,Oui,Oui,,Oui,Oui,,1.0,1.0,Other,Secondary,Certificate,Homme,35-44,Oui,,Consultation/visite de malade,Oui,After 2000,Individu
61,2,5 or less,5 or less,5 or less,Other,Primary,Certificate,Homme,35-44,Oui,Non,Absence autorisée (permission/congé),Oui,non,,2.0,2.0,Other,Primary,Certificate,Homme,35-44,Non,Maladie/maternité,,,,Responsable
62,1,5 or less,5 or less,5 or less,Other,Secondary,Certificate,Homme,25-34,Oui,Oui,,Oui,Oui,,1.0,1.0,Other,Secondary,Certificate,Homme,25-34,Oui,,Traitement de dossiers/élaboration de rapports,Oui,After 2000,Individu
63,1,5 or less,5 or less,5 or less,Other,Secondary,Certificate,Homme,45 or older,Oui,Oui,,Oui,Oui,,1.0,1.0,Other,Secondary,Certificate,Homme,45 or older,Oui,,Consultation/visite de malade,Oui,After 2000,Individu
64,1,5 or less,5 or less,5 or less,Other,Secondary,Certificate,Homme,35-44,Oui,Oui,,Oui,Oui,,1.0,1.0,Other,Secondary,Certificate,Homme,35-44,Oui,,Traitement de dossiers/élaboration de rapports,Oui,After 2000,Individu
65,1,5 or less,5 or less,5 or less,Nurse,Secondary,Advanced,Homme,35-44,Oui,Non,Formation/séminaire/réunion,Oui,non,,1.0,1.0,Nurse,Secondary,Advanced,Homme,35-44,Non,Mission officielle,,,,Collègue
65,2,5 or less,5 or less,5 or less,Other,Secondary,Advanced,Homme,25-34,Oui,Oui,,Oui,Oui,,2.0,2.0,Other,Secondary,Advanced,Homme,25-34,Oui,,Discussion avec collègues/réunion/Staff,Oui,After 2000,Individu
66,1,5 or less,5 or less,5 or less,Other,Secondary,Certificate,Homme,45 or older,Oui,Oui,,Oui,Oui,,1.0,1.0,Other,Secondary,Certificate,Homme,45 or older,Non,Absence non autorisée,,,,Autre (Préciser)
67,1,5 or less,5 or less,5 or less,Other,Secondary,Certificate,Homme,35-44,Oui,Oui,,Oui,Oui,,1.0,1.0,Other,Secondary,Certificate,Homme,35-44,Oui,,Consultation/visite de malade,Oui,After 2000,Individu
69,1,5 or less,5 or less,5 or less,Other,Secondary,Advanced,Femme,Younger than 25,Oui,Oui,,Oui,Oui,,1.0,1.0,Doctor,Secondary,Advanced,Femme,Younger than 25,Oui,,Consultation/visite de malade,Oui,After 2000,Individu
69,2,5 or less,5 or less,5 or less,Other,Primary,Certificate,Homme,25-34,Oui,Oui,,Oui,Oui,,2.0,2.0,Doctor,Primary,Certificate,Homme,25-34,Oui,,Consultation/visite de malade,Oui,After 2000,Individu
70,1,5 or less,5 or less,5 or less,Other,Secondary,Certificate,Homme,35-44,Oui,Oui,,Oui,Oui,,1.0,1.0,Other,Secondary,Certificate,Homme,35-44,Non,Absence non autorisée,,,,Collègue
70,2,5 or less,5 or less,5 or less,Other,Secondary,Certificate,Femme,25-34,Oui,Oui,,Oui,Oui,,2.0,2.0,Other,Secondary,Certificate,Femme,25-34,Oui,,Consultation/visite de malade,Oui,After 2000,Individu
71,1,5 or less,5 or less,5 or less,Other,Secondary,Advanced,Femme,25-34,Oui,Oui,,Oui,Oui,,1.0,1.0,Other,Secondary,Advanced,Femme,25-34,Oui,,Consultation/visite de malade,Oui,After 2000,Individu
71,2,5 or less,5 or less,5 or less,Other,Secondary,Certificate,Femme,35-44,Oui,Oui,,Oui,Oui,,2.0,2.0,Other,Secondary,Certificate,Femme,35-44,Oui,,Consultation/visite de malade,Oui,After 2000,Individu
72,1,5 or less,5 or less,5 or less,Nurse,Primary,Diploma,Homme,25-34,Oui,Oui,,Oui,Oui,,1.0,1.0,Doctor,Primary,Diploma,Homme,25-34,Oui,,Consultation/visite de malade,Oui,After 2000,Individu
72,2,5 or less,5 or less,5 or less,Other,Secondary,Certificate,Femme,35-44,Oui,Oui,,Oui,Oui,,2.0,2.0,Doctor,Secondary,Certificate,Femme,35-44,Oui,,Consultation/visite de malade,Oui,After 2000,Individu
73,1,5 or less,5 or less,5 or less,Other,Secondary,Certificate,Homme,45 or older,Oui,Oui,,Oui,Oui,,1.0,1.0,Other,Secondary,Certificate,Homme,45 or older,Oui,,Consultation/visite de malade,Oui,After 2000,Individu
74,1,5 or less,5 or less,5 or less,Other,Secondary,Certificate,Homme,35-44,Oui,Oui,,Oui,Oui,,1.0,1.0,Other,Secondary,Certificate,Homme,35-44,Oui,,Consultation/visite de malade,Non,After 2000,Individu
75,1,5 or less,5 or less,5 or less,Other,Post-Secondary,Certificate,Homme,45 or older,Oui,Oui,,Oui,Oui,,1.0,1.0,Other,Post-Secondary,Certificate,Homme,45 or older,Oui,,Consultation/visite de malade,Oui,After 2000,Individu
76,1,5 or less,5 or less,5 or less,Other,Secondary,Certificate,Homme,45 or older,Oui,Oui,,Oui,Oui,,1.0,1.0,Other,Secondary,Certificate,Homme,45 or older,Oui,,Consultation/visite de malade,Non,After 2000,Individu
77,1,11-50,6-10,Over 5,Doctor,Post-Secondary,Advanced,Femme,45 or older,Oui,Non,Absence autorisée (permission/congé),Oui,non,,1.0,1.0,Doctor,Post-Secondary,Advanced,Femme,45 or older,Non,Absence autorisée (permission/congé),,,,Collègue
77,2,11-50,6-10,Over 5,Nurse,Secondary,Advanced,Femme,25-34,Oui,Oui,,Oui,Oui,,3.0,2.0,Nurse,Secondary,Advanced,Femme,25-34,Oui,,Consultation/visite de malade,Non,After 2000,Individu
77,3,11-50,6-10,Over 5,Nurse,Secondary,Advanced,Femme,35-44,Oui,Oui,,Oui,Oui,,8.0,3.0,Nurse,Secondary,Advanced,Femme,35-44,Non,"Repos de garde (pré-garde, sortie de garde)",,,,Collègue
77,4,11-50,6-10,Over 5,Nurse,Secondary,Advanced,Femme,25-34,Oui,Non,Maladie/maternité,Oui,non,,7.0,4.0,Nurse,Secondary,Advanced,Femme,25-34,Non,Maladie/maternité,,,,Collègue
77,5,11-50,6-10,Over 5,Doctor,Post-Secondary,Advanced,Homme,35-44,Oui,Non,Absence autorisée (permission/congé),Oui,non,,5.0,5.0,Doctor,Post-Secondary,Advanced,Homme,35-44,Oui,,Consultation/visite de malade,Non,After 2000,Individu
77,6,11-50,6-10,Over 5,Doctor,Post-Secondary,Advanced,Homme,35-44,Oui,Oui,,Oui,Oui,,4.0,6.0,Doctor,Post-Secondary,Advanced,Homme,35-44,Oui,,Consultation/visite de malade,Non,After 2000,Individu
77,7,11-50,6-10,Over 5,Nurse,Post-Secondary,Advanced,Homme,25-34,Oui,Oui,,Oui,Oui,,6.0,7.0,Nurse,Post-Secondary,Advanced,Homme,25-34,Oui,,Consultation/visite de malade,Non,After 2000,Individu
77,8,11-50,6-10,Over 5,Doctor,Post-Secondary,Advanced,Homme,45 or older,Oui,Non,Maladie/maternité,Oui,non,,2.0,8.0,Doctor,Post-Secondary,Advanced,Homme,45 or older,Non,Maladie/maternité,,,,Collègue
78,1,5 or less,5 or less,5 or less,Other,Secondary,Advanced,Homme,45 or older,Oui,Oui,,Oui,Oui,,1.0,1.0,Other,Secondary,Advanced,Homme,45 or older,Oui,,Autre,Oui,After 2000,Individu
78,2,5 or less,5 or less,5 or less,Other,Secondary,Certificate,Femme,25-34,Oui,Oui,,Oui,Oui,,2.0,2.0,Other,Secondary,Certificate,Femme,25-34,Non,Absence non autorisée,,,,Responsable
79,1,5 or less,5 or less,5 or less,Other,Secondary,Certificate,Femme,35-44,Oui,Oui,,Oui,Oui,,1.0,1.0,Other,Secondary,Certificate,Femme,35-44,Oui,,Autre,Oui,After 2000,Individu
80,1,5 or less,5 or less,5 or less,Other,Secondary,Certificate,Homme,35-44,Oui,Oui,,Oui,Oui,,1.0,1.0,Other,Secondary,Certificate,Homme,35-44,Oui,,Consultation/visite de malade,Oui,After 2000,Individu
81,1,5 or less,5 or less,5 or less,Other,Secondary,Certificate,Femme,25-34,Oui,Oui,,Oui,Oui,,1.0,1.0,Other,Secondary,Certificate,Femme,25-34,Oui,,Consultation/visite de malade,Oui,After 2000,Individu
82,1,5 or less,5 or less,5 or less,Nurse,Secondary,Diploma,Femme,25-34,Oui,Oui,,Oui,Oui,,1.0,1.0,Nurse,Secondary,Diploma,Femme,25-34,Oui,,Consultation/visite de malade,Oui,After 2000,Individu
84,1,5 or less,5 or less,5 or less,Other,Secondary,Certificate,Homme,25-34,Oui,Oui,,Oui,Oui,,1.0,1.0,Other,Secondary,Certificate,Homme,25-34,Oui,,Consultation/visite de malade,Oui,After 2000,Individu
86,1,5 or less,5 or less,5 or less,Nurse,Secondary,Advanced,Homme,25-34,Oui,Oui,,Oui,Oui,,1.0,1.0,Nurse,Secondary,Advanced,Homme,25-34,Non,Formation/séminaire/réunion,,,,Autre (Préciser)
87,1,5 or less,5 or less,5 or less,Other,Primary,Advanced,Homme,35-44,Oui,Oui,,Oui,Oui,,1.0,1.0,Other,Primary,Advanced,Homme,35-44,Oui,,Consultation/visite de malade,Oui,After 2000,Individu
88,1,5 or less,5 or less,5 or less,Nurse,Secondary,Advanced,Femme,25-34,Oui,Oui,,Oui,Oui,,1.0,1.0,Nurse,Secondary,Advanced,Femme,25-34,Non,En grève,,,,Autre (Préciser)
88,2,5 or less,5 or less,5 or less,Other,Primary,Certificate,Femme,25-34,Oui,Non,Autre (à préciser),Oui,non,,2.0,2.0,Other,Primary,Certificate,Femme,25-34,Non,En grève,,,,Autre (Préciser)
89,1,5 or less,5 or less,5 or less,Other,Primary,Advanced,Homme,35-44,Oui,Oui,,Oui,Oui,,1.0,1.0,Other,Primary,Advanced,Homme,35-44,Oui,,Consultation/visite de malade,Non,After 2000,Individu
89,2,5 or less,5 or less,5 or less,Nurse,Primary,Diploma,Femme,25-34,Oui,Oui,,Oui,Oui,,2.0,2.0,Nurse,Primary,Diploma,Femme,25-34,Non,Absence autorisée (permission/congé),,,,Responsable
90,1,5 or less,5 or less,5 or less,Other,Secondary,Certificate,Homme,45 or older,Oui,Oui,,Oui,Oui,,1.0,1.0,Other,Secondary,Certificate,Homme,45 or older,Oui,,Consultation/visite de malade,Oui,After 2000,Individu
91,1,5 or less,5 or less,5 or less,Other,Primary,Certificate,Femme,25-34,Oui,Oui,,Oui,Oui,,1.0,1.0,Other,Primary,Certificate,Femme,25-34,Oui,,-9.0,Non,After 2000,Individu
92,1,5 or less,5 or less,5 or less,Other,Secondary,Advanced,Femme,25-34,Oui,Oui,,Oui,Oui,,1.0,1.0,Other,Secondary,Advanced,Femme,25-34,Non,Autre (à préciser),,,,-9.0
93,1,5 or less,5 or less,5 or less,Other,Primary,Certificate,Femme,45 or older,Oui,Oui,,Oui,Oui,,1.0,1.0,Other,Primary,Certificate,Femme,45 or older,Non,Formation/séminaire/réunion,,,,Responsable
94,1,5 or less,5 or less,5 or less,Nurse,Primary,Diploma,Femme,25-34,Oui,Oui,,Oui,Oui,,1.0,1.0,Nurse,Primary,Certificate,Femme,25-34,Oui,,Autre,Non,After 2000,Individu
95,1,5 or less,5 or less,5 or less,Other,Primary,Certificate,Femme,35-44,Oui,Oui,,Oui,Oui,,1.0,1.0,Other,Primary,Certificate,Femme,35-44,Oui,,Consultation/visite de malade,Oui,After 2000,Individu
96,1,5 or less,5 or less,5 or less,Nurse,Post-Secondary,Advanced,Homme,35-44,Oui,Oui,,Oui,Oui,,1.0,1.0,Nurse,Post-Secondary,Advanced,Homme,35-44,Non,Formation/séminaire/réunion,,,,Autre (Préciser)
96,2,5 or less,5 or less,5 or less,Nurse,Secondary,Advanced,Femme,25-34,Oui,Oui,,Oui,Oui,,2.0,2.0,Nurse,Secondary,Advanced,Femme,25-34,Oui,,,,,Individu
96,3,5 or less,5 or less,5 or less,Nurse,Primary,Certificate,Femme,35-44,Oui,Non,Formation/séminaire/réunion,Oui,non,,3.0,3.0,Nurse,Primary,Certificate,Femme,35-44,Oui,,Autre,Non,After 2000,Individu
97,1,5 or less,5 or less,5 or less,Nurse,Primary,Diploma,Homme,45 or older,Oui,Oui,,Oui,Oui,,1.0,1.0,Other,Secondary,Diploma,Femme,25-34,Oui,,Discussion avec collègues/réunion/Staff,Non,After 2000,Individu
97,2,5 or less,5 or less,5 or less,Other,Secondary,Diploma,Femme,25-34,Oui,Non,Absence autorisée (permission/congé),Oui,non,,2.0,2.0,Nurse,Primary,Certificate,Homme,45 or older,Oui,,Discussion avec collègues/réunion/Staff,Non,After 2000,Individu
98,1,5 or less,5 or less,5 or less,Other,Primary,Certificate,Homme,35-44,Oui,Oui,,Oui,Oui,,1.0,1.0,Other,Primary,Certificate,Homme,35-44,Oui,,Consultation/visite de malade,Non,After 2000,Individu
99,1,5 or less,5 or less,5 or less,Other,Primary,Certificate,Homme,45 or older,Oui,Oui,,Oui,Oui,,1.0,1.0,Other,Primary,Certificate,Homme,45 or older,Oui,,Consultation/visite de malade,Non,After 2000,Individu
100,1,5 or less,5 or less,5 or less,Nurse,Post-Secondary,Advanced,Femme,25-34,Oui,Oui,,Oui,Oui,,1.0,1.0,Nurse,Post-Secondary,Advanced,Femme,25-34,Oui,,Consultation/visite de malade,Non,After 2000,Individu
101,1,5 or less,5 or less,5 or less,Other,Secondary,Advanced,Homme,25-34,Oui,Oui,,Oui,Oui,,1.0,1.0,Other,Secondary,Advanced,Homme,25-34,Oui,,Consultation/visite de malade,Oui,After 2000,Individu
101,2,5 or less,5 or less,5 or less,Other,Secondary,Advanced,Femme,Younger than 25,Oui,Oui,,Oui,Oui,,2.0,2.0,Other,Secondary,Advanced,Femme,Younger than 25,Oui,,Consultation/visite de malade,Oui,After 2000,Individu
102,1,5 or less,5 or less,5 or less,Other,Primary,Certificate,Homme,25-34,Oui,Oui,,Oui,Oui,,1.0,1.0,Other,Primary,Certificate,Homme,25-34,Non,Absence autorisée (permission/congé),,,,Autre (Préciser)
