fac_id,h1csqa1,h1csqa2a,h1csqa2b,h1csqa2c,h1csqb1,h1csqb2,h1csqb4,h1csqb5,h1csqb9,h1csqb12,h1csqb13H,h1csqb13M,h1csqb14H,h1csqb14M,h1csqb16,h1csqb17,h1sa5,h1sa9,h1sa17,h1sa18,h1sa19,h1sa20,h1sa21,h1sa22,h1sa26,h1sa31,h1sb50,h1sb51,h1sb52,h1sb53,h1sb54,h1sb59a,h1sc59b,h1sc60a,h1sc60b,h1sc61a,h1sc61b,h1sc62a,h1sc62b,h1sc63a,h1sc63b,h1sc64a,h1sc64b,h1sc65a,h1sc65b,h1sc66a,h1sc66b,h1sc67a,h1sc67b,h1sc68a,h1sc68b,h1sc69a,h1sc69b,h1sc70a,h1sc70b,h1sc71a,h1sc71b,h1sc72a,h1sc72b,h1sc73a,h1sc73b,h1sc74a,h1sc74b,h1sc75a,h1sc75b,h1sd76,h1sd77,h1sd78,h1sd79,h1sd80,h1sd81,h1sd82,h1sd83,h1sd84,h1sd85,h1sd86,h1sd87,h1sd88,h1sd89,h1sd90,h1sd91,h1sd92,h1sd93,h1sd94,h1sd95,h1sd96,h1sd97,h1sd98,h1sd99,h1sd100,h1sd101,h1sd102,h1sd103,h1sd104,h1sd105,h1sd106,h1sd107,h1sd108,h1sd109,h1sd110,h1sd111,h1sd112,h1sd113,h1sd114,h1sd115,h1sd116,h1sd117,h1sd118,h1sd119,h1sd120,h1sd121,h1sd122,h1sd123,h1sd124,h2sa200,h2sa201,h1csqb6
79,Yes,,,,2,204,3,3,Rural,501,8.0,40.0,11.0,15.0,501.0,,Private,Health Post,Yes,No,Yes,No,No,No,50 or less,501-1000,No,Yes,No,No,No,Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),No,,No,,Yes (observed),Yes (observed),No,,No,,No,,No,,No,,No,,Yes (observed),Yes (observed),No,,Not available today,Not available today,Not available today,Not available today,At least one observed (AND non-expired),At least one observed (AND non-expired),Not available today,Not recommended at this level,At least one observed (AND non-expired),Not recommended at this level,Not recommended at this level,Not recommended at this level,Not recommended at this level,At least one observed (AND non-expired),Not recommended at this level,Not recommended at this level,Not available today,Not recommended at this level,Not recommended at this level,At least one observed (AND non-expired),At least one observed (AND non-expired),Not available today,Not recommended at this level,Not available today,Never available,Never available,At least one observed (AND non-expired),At least one observed (AND non-expired),Yes,No,No,No,Yes,Not available today,Not available today,Not available today,Not available today,Never available,"Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed",No,No,No,No,5 or less,5 or less,163.0
80,Yes,,,,2,204,3,3,Rural,501,12.0,0.0,15.0,40.0,501.0,,Public,Health Center,Yes,Yes,Yes,No,Yes,No,50 or less,Over 3000,No,Yes,No,No,No,Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (not observed),No,,Yes (observed),Yes (observed),Yes (not observed),Yes (not observed),Yes (observed),Yes (observed),Yes (not observed),Yes (not observed),No,,No,,No,,No,,No,,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Not available today,At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,Not recommended at this level,Not available today,At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,Not available today,Not recommended at this level,Never available,Not available today,At least one observed (AND non-expired),Not available today,At least one observed (AND non-expired),At least one observed (AND non-expired),Not recommended at this level,Never available,Not available today,At least one observed (AND non-expired),Yes,Yes and observed,Yes,No,Yes,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Not available today,At least one observed (AND non-expired),"Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed",No,No,"Yes,observed",No,6-10,5 or less,226.0
81,Yes,,,,2,204,3,4,Urban,501,9.0,50.0,12.0,25.0,501.0,,Public,Health Post,No,No,No,No,No,No,Over 50,2001-3000,No,Yes,No,No,No,Yes (observed),Yes (observed),No,,Yes (observed),Yes (observed),No,,Yes (observed),No,No,,No,,No,,Yes (observed),Yes (observed),No,,No,,No,,No,,No,,No,,Yes (observed),Yes (not observed),No,,At least one observed (AND non-expired),Not available today,Not available today,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,Not recommended at this level,Not recommended at this level,Not available today,Not recommended at this level,Not recommended at this level,Not recommended at this level,Never available,Never available,Never available,Never available,Not recommended at this level,Not recommended at this level,At least one observed (AND non-expired),At least one observed (AND non-expired),Not available today,Never available,Not available today,Not recommended at this level,Never available,At least one observed (AND non-expired),At least one observed (AND non-expired),No,,,,No,Not available today,Not available today,Not available today,Not available today,Not available today,"Yes,observed","Yes,observed","Yes,observed",No,"Yes,observed","Yes,observed",No,No,No,"Yes,observed",No,5 or less,5 or less,73.0
82,Yes,,,,2,204,3,5,Rural,501,12.0,15.0,14.0,45.0,501.0,,Public,Health Post,Yes,Yes,Yes,No,No,No,50 or less,1001-2000,No,No,No,No,No,Yes (observed),Yes (observed),No,,Yes (observed),Yes (observed),Yes (observed),No,No,,Yes (observed),Yes (observed),No,,No,,Yes (observed),Yes (observed),No,,No,,No,,No,,No,,No,,No,,No,,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Not available today,At least one observed (AND non-expired),Never available,Not recommended at this level,Never available,Available BUT not observed (non-expired),Not recommended at this level,Not recommended at this level,Not recommended at this level,Never available,Never available,Never available,Not recommended at this level,Never available,Not recommended at this level,Not available today,Not available today,Never available,Never available,At least one observed (AND non-expired),Not recommended at this level,Never available,Never available,At least one observed (AND non-expired),Yes,Yes and observed,Yes,No,Yes,At least one observed (AND non-expired),At least one observed (AND non-expired),Not available today,At least one observed (AND non-expired),Never available,"Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed",No,No,No,"Yes,observed",No,5 or less,5 or less,31.0
83,Yes,,,,2,204,3,5,Rural,501,8.0,30.0,11.0,50.0,501.0,,Public,Health Center,Yes,No,Yes,No,Yes,No,Over 50,Over 3000,No,No,No,No,No,Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),No,,Yes (observed),Yes (observed),No,,Yes (observed),Yes (observed),No,,Yes (observed),Yes (observed),No,,Yes (observed),Yes (observed),Yes (observed),Yes (observed),No,,No,,No,,Yes (observed),Yes (not observed),No,,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Not recommended at this level,At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,Never available,Not available today,Not available today,Not available today,Never available,Not available today,Never available,Not recommended at this level,Not available today,Not available today,Never available,Not available today,Not available today,Never available,Never available,Not available today,At least one observed (AND non-expired),Yes,Yes and observed,Yes,No,Yes,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,"Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed",No,No,"Yes,observed",No,No,6-10,5 or less,108.0
84,Yes,,,,2,205,1,1,Rural,702,8.0,27.0,11.0,50.0,701.0,,Public,Health Center,Yes,Yes,Yes,Yes,Yes,No,Over 50,Over 3000,No,No,No,No,No,Yes (observed),Yes (observed),No,,Yes (observed),Yes (observed),Yes (observed),Yes (observed),No,,Yes (observed),No,Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),No,No,,No,,Yes (observed),No,No,,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Not available today,At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,Never available,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Not available today,At least one observed (AND non-expired),Never available,Not available today,Not available today,At least one observed (AND non-expired),Never available,At least one observed (AND non-expired),Not available today,Never available,Never available,Not available today,Never available,Yes,Yes and observed,Yes,No,Yes,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,No,"Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed",No,No,"Yes,observed",No,11-50,5 or less,26.0
85,Yes,,,,2,205,1,1,Rural,703,14.0,53.0,16.0,45.0,701.0,,Public,Health Post,No,No,Yes,No,Yes,No,Over 50,0-500,No,No,No,No,No,Yes (observed),No,No,,Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),No,,No,,No,,Yes (observed),Yes (observed),No,,Yes (observed),Yes (observed),No,,No,,No,,No,,Yes (observed),Yes (observed),No,,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,Not available today,Never available,Not available today,Never available,Never available,Not available today,Never available,Never available,Never available,Never available,Not available today,Never available,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,At least one observed (AND non-expired),Never available,Never available,At least one observed (AND non-expired),At least one observed (AND non-expired),Yes,Yes and observed,Yes,No,Yes,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,"Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed",5 or less,5 or less,144.0
86,Yes,,,,2,205,1,2,Rural,702,10.0,25.0,13.0,15.0,701.0,,Public,Health Center,No,Yes,Yes,Yes,Yes,No,Over 50,Over 3000,No,No,No,No,No,Yes (observed),No,Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),No,Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),No,,Yes (observed),Yes (observed),No,,Yes (observed),Yes (observed),No,,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Not available today,At least one observed (AND non-expired),Not available today,Never available,Not available today,At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,Never available,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Not available today,Never available,Never available,At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,Never available,At least one observed (AND non-expired),At least one observed (AND non-expired),Yes,Yes and observed,Yes,No,Yes,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,"Yes,observed","Yes,observed",No,"Yes,observed","Yes,observed","Yes,observed",No,No,"Yes,observed","Yes,observed",No,11-50,5 or less,52.0
87,Yes,,,,2,205,1,4,Urban,701,14.0,0.0,17.0,23.0,701.0,,Private,Health Center,No,Yes,No,Yes,No,No,Over 50,,Yes,Yes,No,Yes,Yes,Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),No,,Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),No,,Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),No,,Yes (observed),Yes (observed),No,,Yes (not observed),Yes (observed),No,,At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Not available today,Not available today,At least one observed (AND non-expired),At least one observed (AND non-expired),Not available today,Never available,At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),No,,,,Yes,Never available,Never available,Never available,Never available,Never available,"Yes,observed",No,"Yes,observed",No,No,"Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed",No,6-10,5 or less,255.0
88,Yes,,,,2,205,1,5,Rural,703,11.0,53.0,14.0,20.0,701.0,,Public,Health Center,Yes,No,Yes,No,No,No,50 or less,Over 3000,No,No,No,No,No,Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),No,,No,,Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),No,,No,,No,,Yes (observed),,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Not available today,At least one observed (AND non-expired),Never available,At least one observed (AND non-expired),Never available,Never available,Never available,At least one observed (AND non-expired),Not available today,At least one observed (AND non-expired),Never available,Not available today,Not available today,Never available,Not available today,At least one observed (AND non-expired),Never available,At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,Never available,Not available today,At least one observed (AND non-expired),Yes,Yes and observed,Yes,No,Yes,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,"Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed",No,"Yes,observed","Yes,observed","Yes,observed",No,11-50,5 or less,194.0
89,Yes,,,,2,205,1,6,Rural,701,11.0,18.0,13.0,10.0,701.0,,Private,Health Post,Yes,No,Yes,No,No,No,Over 50,501-1000,No,No,No,No,No,Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),No,,Yes (observed),No,Yes (observed),No,No,,Yes (observed),Yes (observed),No,,No,,No,,No,,No,,No,,No,,No,,At least one observed (AND non-expired),Not available today,At least one observed (AND non-expired),Not available today,At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,Never available,At least one observed (AND non-expired),Never available,Never available,Never available,Never available,Never available,Never available,Never available,Never available,Never available,Never available,Not available today,Not available today,Never available,Never available,Not available today,Never available,Never available,Not available today,At least one observed (AND non-expired),Yes,Yes and observed,Yes,No,Yes,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,"Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed",No,No,"Yes,observed","Yes,observed",No,5 or less,5 or less,130.0
90,Yes,,,,2,205,1,6,Urban,703,9.0,15.0,11.0,20.0,701.0,,Public,Health Post,No,No,Yes,No,No,No,Over 50,2001-3000,No,No,No,No,No,Yes (observed),No,Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),No,,Yes (observed),No,Yes (observed),No,Yes (observed),No,Yes (observed),Yes (observed),Yes (observed),Yes (observed),No,,No,,Yes (observed),No,No,,No,,No,,No,,At least one observed (AND non-expired),At least one observed (AND non-expired),Not available today,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,At least one observed (AND non-expired),Never available,At least one observed (AND non-expired),Never available,Never available,Never available,Not available today,Never available,Never available,Never available,Never available,Never available,At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,Never available,At least one observed (AND non-expired),Never available,Never available,Not available today,At least one observed (AND non-expired),No,,,,Yes,Not available today,Not available today,Not available today,Not available today,Never available,"Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed",No,"Yes,observed","Yes,observed","Yes,observed",5 or less,5 or less,258.0
91,Yes,,,,2,205,1,7,Rural,701,12.0,7.0,14.0,15.0,701.0,,Private,Health Post,Yes,No,Yes,No,Yes,No,Over 50,501-1000,No,No,No,Yes,Yes,Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),No,,Yes (observed),Yes (observed),Yes (observed),Yes (observed),No,,Yes (observed),Yes (observed),No,,Yes (observed),Yes (observed),No,,No,,No,,No,,Yes (observed),Yes (observed),No,,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,Never available,At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,Not available today,Never available,At least one observed (AND non-expired),Never available,Never available,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,At least one observed (AND non-expired),Never available,Never available,At least one observed (AND non-expired),At least one observed (AND non-expired),Yes,Yes and observed,Yes,No,Yes,Not available today,Not available today,Not available today,Not available today,Never available,"Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed",No,5 or less,5 or less,83.0
92,Yes,,,,2,205,1,8,Rural,701,15.0,3.0,17.0,5.0,701.0,,Public,Health Post,No,No,Yes,No,No,No,Over 50,Over 3000,No,No,No,No,No,Yes (observed),Yes (observed),No,,Yes (observed),No,No,,No,,Yes (observed),Yes (observed),No,,No,,Yes (observed),Yes (observed),No,,No,,No,,No,,No,,No,,No,,No,,At least one observed (AND non-expired),Not available today,At least one observed (AND non-expired),At least one observed (AND non-expired),Not available today,At least one observed (AND non-expired),Never available,Never available,Never available,Never available,Never available,Never available,Never available,At least one observed (AND non-expired),Never available,Never available,Never available,Never available,Never available,At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,Never available,At least one observed (AND non-expired),Never available,Never available,At least one observed (AND non-expired),At least one observed (AND non-expired),Yes,Yes and observed,Yes,No,Yes,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,"Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed",No,No,No,No,No,5 or less,5 or less,51.0
93,Yes,,,,2,205,1,8,Rural,702,7.0,2.0,11.0,25.0,701.0,,Public,Health Post,No,No,Yes,No,No,No,Over 50,Over 3000,No,No,No,No,No,Yes (observed),No,Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),No,,No,,Yes (observed),Yes (observed),No,,No,,No,,No,,No,,No,,Yes (observed),Yes (observed),No,,At least one observed (AND non-expired),Not available today,At least one observed (AND non-expired),At least one observed (AND non-expired),Not available today,At least one observed (AND non-expired),Never available,Never available,Never available,Never available,Never available,Never available,Never available,Not available today,Not available today,Never available,Not available today,Never available,Never available,At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,Not available today,Not available today,Never available,Never available,Not available today,At least one observed (AND non-expired),Yes,Yes and observed,Yes,No,Yes,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),"Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed",No,No,No,No,No,5 or less,5 or less,287.0
94,Yes,,,,2,208,1,2,Rural,601,13.0,45.0,18.0,50.0,603.0,Questionnaire completed,Public,Health Center,No,No,No,No,Yes,No,Over 50,Over 3000,No,No,No,No,No,Yes (observed),Yes (observed),No,,Yes (observed),Yes (observed),Yes (observed),No,Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),No,,No,,Yes (observed),Yes (observed),Yes (observed),Yes (observed),No,,No,,Yes (observed),Yes (observed),No,,No,,No,,At least one observed (AND non-expired),Not available today,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,Never available,At least one observed (AND non-expired),Never available,Never available,Never available,At least one observed (AND non-expired),Not available today,Not available today,Never available,Not available today,Never available,Never available,Never available,Never available,Never available,Not available today,Not available today,Never available,Never available,At least one observed (AND non-expired),At least one observed (AND non-expired),Yes,Yes and observed,Yes,Yes,Yes,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,No,"Yes,observed",No,"Yes,observed","Yes,observed","Yes,observed",No,"Yes,observed","Yes,observed","Yes,observed",No,11-50,5 or less,132.0
95,Yes,,,,2,208,1,3,Rural,601,12.0,0.0,16.0,45.0,603.0,Questionnaire completed,Public,Health Post,No,Yes,No,No,No,No,Over 50,Over 3000,No,No,No,No,No,Yes (observed),No,Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),No,,Yes (observed),Yes (observed),No,,Yes (observed),Yes (observed),No,,Yes (observed),No,No,,No,,Yes (observed),Yes (observed),No,,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Not available today,At least one observed (AND non-expired),Not recommended at this level,Never available,Not recommended at this level,Not recommended at this level,Not recommended at this level,Not recommended at this level,Not recommended at this level,Not recommended at this level,Not recommended at this level,Not recommended at this level,Not recommended at this level,Not recommended at this level,Not recommended at this level,Not available today,At least one observed (AND non-expired),Never available,Not recommended at this level,Not available today,Not recommended at this level,Not recommended at this level,Not available today,At least one observed (AND non-expired),Yes,Yes and observed,Yes,No,Yes,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,"Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed",No,6-10,5 or less,310.0
96,Yes,,,,2,208,1,5,Rural,601,8.0,30.0,12.0,45.0,603.0,Questionnaire completed,Public,Health Post,No,Yes,No,No,No,No,50 or less,501-1000,No,No,Yes,No,No,No,,Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),No,,No,,Yes (observed),Yes (observed),No,,Yes (observed),Yes (observed),No,,No,,No,,No,,Yes (observed),Yes (observed),No,,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Not available today,Not available today,At least one observed (AND non-expired),Never available,Not available today,Never available,Not recommended at this level,Not recommended at this level,Not recommended at this level,Not recommended at this level,Never available,Never available,Not recommended at this level,Never available,Not recommended at this level,Not recommended at this level,Not available today,Not available today,Never available,Never available,At least one observed (AND non-expired),Not recommended at this level,Not recommended at this level,Never available,At least one observed (AND non-expired),Yes,Yes and observed,Yes,Yes,Yes,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,No,"Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed",No,No,"Yes,observed","Yes,observed",No,5 or less,5 or less,6.0
97,Yes,,,,2,208,1,6,Rural,603,8.0,35.0,13.0,0.0,601.0,Questionnaire completed,Public,Health Post,Yes,Yes,No,Yes,No,No,50 or less,Over 3000,No,No,Yes,No,No,No,,Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),No,,No,,No,,No,,Yes (observed),Yes (observed),No,,Yes (observed),Yes (observed),No,,No,,Yes (observed),Yes (observed),No,,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Not recommended at this level,Not recommended at this level,Not recommended at this level,Not recommended at this level,Not recommended at this level,Never available,Not recommended at this level,Not recommended at this level,Not recommended at this level,Not recommended at this level,Not recommended at this level,Not recommended at this level,Not recommended at this level,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Not recommended at this level,At least one observed (AND non-expired),Not recommended at this level,Never available,Not available today,At least one observed (AND non-expired),,Yes and observed,Yes,No,Yes,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,"Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed",4.0,"Yes,observed","Yes,observed","Yes,observed","Yes,observed",5 or less,5 or less,8.0
98,Yes,,,,2,208,1,6,Rural,603,13.0,30.0,17.0,25.0,601.0,Questionnaire completed,Private,Hospital,No,No,No,No,No,No,Over 50,Over 3000,No,Yes,No,Yes,Yes,Yes (observed),Yes (observed),Yes (observed),Yes (observed),No,,Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),No,,No,,Yes (observed),Yes (observed),No,,Never available,At least one observed (AND non-expired),Never available,Never available,At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,Never available,At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,At least one observed (AND non-expired),Never available,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,At least one observed (AND non-expired),Never available,At least one observed (AND non-expired),Never available,No,,,,,7.0,7.0,7.0,7.0,Never available,No,No,"Yes,observed",No,"Yes,observed","Yes,observed","Yes,observed",No,No,No,No,6-10,5 or less,306.0
99,Yes,,,,2,208,1,7,Rural,602,7.0,48.0,12.0,50.0,601.0,Questionnaire completed,Public,Health Post,Yes,Yes,No,No,No,No,50 or less,Over 3000,No,No,No,No,No,Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),No,,No,,Yes (observed),Yes (observed),No,,Yes (observed),Yes (observed),No,,Yes (observed),Yes (observed),No,,No,,Yes (observed),Yes (observed),No,,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Not recommended at this level,At least one observed (BUT expired),Not recommended at this level,Not recommended at this level,Not recommended at this level,Not recommended at this level,Not recommended at this level,Not recommended at this level,Not recommended at this level,Not recommended at this level,Not recommended at this level,Not recommended at this level,Not recommended at this level,At least one observed (AND non-expired),At least one observed (AND non-expired),Not recommended at this level,Not recommended at this level,At least one observed (AND non-expired),Not recommended at this level,Not recommended at this level,At least one observed (AND non-expired),At least one observed (AND non-expired),Yes,Yes and observed,Yes,No,Yes,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,"Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed",4.0,"Yes,observed","Yes,observed","Yes,observed",4.0,5 or less,5 or less,10.0
