fac_id,staff_id,h2sa203,h2sa204,h2sa205,h2sa206,h2sa207,h2sa208,h2sa208o,h2sa209,h2bID,h2b211,h2b212,h2b213,h2b214,h2b215,h2b215o,h2b216,h2b216o,h2b217
10,3,Nurse,Female,35-44,Yes,No,Not his/her shift,,Yes,,,,,,,,,,
10,4,Nurse,Female,45 or older,Yes,Yes,,,Yes,,,,,,,,,,
10,5,Nurse,Female,35-44,Yes,No,Approved absence,,Yes,,,,,,,,,,
10,6,Other,Female,35-44,Yes,No,Not his/her shift,,Yes,,,,,,,,,,
10,7,Other,Female,45 or older,Yes,Yes,,,Yes,,,,,,,,,,
10,8,Other,Female,25-34,Yes,No,Not his/her shift,,Yes,,,,,,,,,,
10,9,Nurse,Female,25-34,No,Yes,,,No,,,,,,,,,,
10,10,Other,Female,25-34,No,No,Not his/her shift,,No,,,,,,,,,,
10,11,Other,Male,25-34,No,Yes,,,No,,,,,,,,,,
10,12,Other,Male,45 or older,No,No,Official mission,,No,,,,,,,,,,
10,13,Clinical Officer,Female,25-34,Yes,Yes,,,Yes,,,,,,,,,,
11,1,Nurse,Female,45 or older,Yes,No,In training/seminar,,Yes,1.0,1.0,Nurse,Female,No,Official mission,,,,
11,2,Nurse,Female,45 or older,Yes,No,Not his/her shift,,Yes,2.0,2.0,Nurse,Female,Yes,,,Providing Consultation (face-to face patient care),,No
11,3,Nurse,Female,25-34,Yes,Yes,,,Yes,3.0,3.0,Nurse,Female,Yes,,,Reviewing or writing in cart,,No
11,4,Other,Female,25-34,Yes,No,Not his/her shift,,Yes,4.0,4.0,Other,Female,Yes,,,Providing Consultation (face-to face patient care),,No
11,5,Other,Female,25-34,Yes,Yes,,,Yes,5.0,5.0,Other,Female,Yes,,,Providing Consultation (face-to face patient care),,No
11,6,Other,Female,Younger than 25,No,No,Not his/her shift,,No,,,,,,,,,,
11,7,Other,Male,35-44,No,Yes,,,No,,,,,,,,,,
12,1,Nurse,Female,45 or older,Yes,Yes,,,Yes,1.0,1.0,Nurse,Female,Yes,,,Providing Consultation (face-to face patient care),,No
12,2,Nurse,Female,45 or older,Yes,No,Official mission,,Yes,2.0,2.0,Nurse,Female,Yes,,,Providing Consultation (face-to face patient care),,No
13,1,Nurse,Female,25-34,Yes,Yes,,,Yes,1.0,1.0,Nurse,Female,Yes,,,Other (specify),WAITING FOR PATIENTS,Yes
13,2,Other,Female,25-34,Yes,Yes,,,Yes,2.0,2.0,Other,Female,Yes,,,Other (specify),WAITING FOR PATIENTS,Yes
14,1,Nurse,Female,45 or older,Yes,Yes,,,Yes,1.0,1.0,Nurse,Female,Yes,,,Other (specify),WAITING FOR PATIENTS TO COME,Yes
14,2,Other,Female,35-44,Yes,No,Approved absence,,Yes,2.0,2.0,Other,Female,No,Other (to specify),LATE COMING,,,
15,1,Nurse,Female,35-44,Yes,Yes,,,Yes,1.0,1.0,Nurse,Female,Yes,,,Providing Consultation (face-to face patient care),,Yes
15,2,Nurse,Female,25-34,Yes,Yes,,,Yes,2.0,2.0,Nurse,Female,Yes,,,Providing Consultation (face-to face patient care),,Yes
16,1,Clinical Officer,Female,45 or older,Yes,Yes,,,Yes,1.0,1.0,Clinical Officer,Female,Yes,,,Providing Consultation (face-to face patient care),,Yes
16,2,Nurse,Male,25-34,Yes,Yes,,,Yes,2.0,2.0,Nurse,Male,No,Not his/her shift,,,,
16,3,Nurse,Female,25-34,No,Yes,,,No,3.0,3.0,Nurse,Female,Yes,,,Reviewing or writing in cart,,Yes
16,4,Other,Female,25-34,Yes,,Sick/maternity,,Yes,4.0,4.0,Other,Female,No,Sick/maternity,,,,
16,5,Nurse,Female,45 or older,No,Yes,,,No,5.0,5.0,Nurse,Female,No,Not his/her shift,,,,
16,6,Other,Female,25-34,No,No,Sick/maternity,,No,6.0,6.0,Other,Female,No,Sick/maternity,,,,
17,1,Clinical Officer,Male,35-44,Yes,Yes,,,Yes,1.0,1.0,Clinical Officer,Male,No,Official mission,,,,
17,2,Clinical Officer,Male,45 or older,Yes,No,Not his/her shift,,Yes,2.0,2.0,Clinical Officer,Male,No,In training/seminar,,,,
17,3,Other,Female,35-44,Yes,No,Not his/her shift,,Yes,3.0,3.0,Other,Female,No,In training/seminar,,,,
17,4,Nurse,Female,25-34,Yes,Yes,,,Yes,4.0,4.0,Nurse,Female,No,Not his/her shift,,,,
17,5,Nurse,Female,25-34,No,No,Not his/her shift,,No,,,,,,,,,,
17,6,Nurse,Female,Younger than 25,No,No,Not his/her shift,,No,,,,,,,,,,
17,7,Nurse,Female,25-34,Yes,No,Not his/her shift,,Yes,5.0,7.0,Nurse,Female,Yes,,,Writing a prescription,,Yes
17,8,Nurse,Female,25-34,Yes,No,Not his/her shift,,Yes,6.0,8.0,Nurse,Female,Yes,,,Looking up medical information,,Yes
17,9,Other,Female,35-44,No,No,Not approved Absence,,No,,,,,,,,,,
17,10,Other,Female,35-44,No,No,Approved absence,,No,,,,,,,,,,
17,11,Other,Female,45 or older,No,No,Not his/her shift,,No,,,,,,,,,,
17,12,Other,Female,25-34,No,No,Not his/her shift,,No,,,,,,,,,,
17,13,Other,Female,25-34,No,No,Not his/her shift,,No,,,,,,,,,,
18,1,Nurse,Female,25-34,Yes,Yes,,,Yes,1.0,1.0,Nurse,Female,Yes,,,Providing Consultation (face-to face patient care),,Yes
18,2,Nurse,Male,25-34,Yes,Yes,,,Yes,2.0,2.0,Nurse,Male,No,Approved absence,,,,
18,3,Other,Male,35-44,Yes,Yes,,,Yes,3.0,3.0,Other,Male,Yes,,,Providing Consultation (face-to face patient care),,Yes
18,4,Other,Female,25-34,Yes,Yes,,,Yes,4.0,4.0,Other,Female,No,Sick/maternity,,,,
19,1,Nurse,Male,45 or older,No,,,,No,,,,,,,,,,
19,2,Other,Male,45 or older,Yes,Yes,,,Yes,2.0,2.0,Other,Male,Yes,,,Arranging for tests or consultations,,No
19,3,Nurse,Female,25-34,Yes,No,Other (to specify),CLINICIAN HAS A SICK CHILD,Yes,1.0,3.0,Nurse,Female,Yes,,,Providing Consultation (face-to face patient care),,No
19,4,Other,Female,35-44,No,Yes,,,No,,,,,,,,,,
19,5,Other,Male,35-44,No,No,Not approved Absence,,No,,,,,,,,,,
19,6,Other,Female,45 or older,No,Yes,,,No,,,,,,,,,,
19,7,Other,Female,25-34,No,No,Approved absence,,No,,,,,,,,,,
19,8,Other,Male,35-44,No,Yes,,,No,,,,,,,,,,
20,1,Nurse,Female,25-34,Yes,Yes,,,Yes,1.0,1.0,Nurse,Female,Yes,,,Providing Consultation (face-to face patient care),,Yes
20,2,Nurse,Female,25-34,Yes,Yes,,,Yes,2.0,2.0,Nurse,Female,Yes,,,Providing Consultation (face-to face patient care),,
20,3,Other,Male,45 or older,Yes,No,Not his/her shift,,Yes,3.0,3.0,Other,Male,No,Not his/her shift,,,,
20,4,Other,Female,35-44,Yes,No,Not his/her shift,,Yes,4.0,4.0,Other,Female,Yes,,,Getting materials or equipment for consultation,,Yes
21,1,Nurse,Female,45 or older,Yes,Yes,,,Yes,1.0,1.0,Nurse,Female,Yes,,,Other (specify),WAITING FOR PATIENTS TO COME,No
21,2,Other,Female,45 or older,Yes,Yes,,,Yes,2.0,2.0,Other,Female,No,Not his/her shift,,,,
21,3,Other,Female,Younger than 25,No,Yes,,,No,,,,,,,,,,
21,4,Other,Female,25-34,No,No,Not his/her shift,,No,,,,,,,,,,
21,5,Other,Male,45 or older,No,No,Not his/her shift,,No,,,,,,,,,,
22,1,Nurse,Female,45 or older,Yes,Yes,,,Yes,1.0,1.0,Nurse,Female,Yes,,,Checking schedule,,No
22,2,Other,Female,25-34,Yes,Yes,,,Yes,2.0,2.0,Other,Female,No,Other (to specify),HAS NOT YET REPORTED FOR DUTY,,,
22,3,Other,Female,45 or older,No,Yes,,,No,,,,,,,,,,
22,4,Other,Male,45 or older,No,Yes,,,No,,,,,,,,,,
22,5,Other,Male,45 or older,No,Yes,,,No,,,,,,,,,,
23,1,Clinical Officer,Male,25-34,Yes,Yes,,,Yes,1.0,1.0,Clinical Officer,Male,No,Not his/her shift,,,,
23,2,Nurse,Female,Younger than 25,Yes,Yes,,,Yes,2.0,2.0,Nurse,Female,Yes,,,Consultation with other physician or staff,,No
23,3,Other,Female,Younger than 25,No,Yes,,,No,,,,,,,,,,
24,1,Clinical Officer,Female,25-34,Yes,Yes,,,Yes,1.0,1.0,Clinical Officer,Female,Yes,,,Other (specify),WAITING FOR PATIENTS,Yes
24,2,Nurse,Female,25-34,Yes,No,In training/seminar,,Yes,2.0,2.0,Nurse,Female,No,In training/seminar,,,,
24,3,Nurse,Female,35-44,No,No,Not his/her shift,,No,,,,,,,,,,
24,4,Nurse,Female,25-34,No,No,Approved absence,,No,,,,,,,,,,
24,5,Nurse,Female,45 or older,Yes,Yes,,,Yes,5.0,5.0,Nurse,Female,No,Not his/her shift,,,,
24,6,Nurse,Female,25-34,Yes,No,Approved absence,,Yes,6.0,6.0,Nurse,Female,No,Approved absence,,,,
24,7,Nurse,Female,25-34,Yes,No,Sick/maternity,,Yes,7.0,7.0,Nurse,Female,No,Sick/maternity,,,,
24,8,Nurse,Male,25-34,Yes,Yes,,,Yes,8.0,8.0,Nurse,Male,No,Not his/her shift,,,,
24,9,Other,Male,25-34,No,Yes,,,No,,,,,,,,,,
25,1,Nurse,Female,35-44,Yes,Yes,,,Yes,1.0,1.0,Nurse,Female,Yes,,,Arranging for tests or consultations,,Yes
25,2,Other,Female,25-34,Yes,No,In training/seminar,,Yes,2.0,2.0,Other,Female,No,In training/seminar,,,,
25,3,Other,Female,Younger than 25,Yes,No,Sick/maternity,MATERNITY LEAVE,Yes,3.0,3.0,Other,Female,No,Sick/maternity,,,,
25,4,Nurse,Female,35-44,No,Yes,,,No,,,,,,,,,,
26,1,Nurse,Female,35-44,Yes,Yes,,,Yes,1.0,1.0,Nurse,Female,Yes,,,Checking schedule,,Yes
26,2,Other,Female,35-44,Yes,No,Approved absence,,Yes,2.0,2.0,Other,Female,No,Not approved Absence,,,,
26,3,Nurse,Female,35-44,Yes,No,Sick/maternity,MATERNITY LEAVE,Yes,3.0,3.0,Nurse,Female,No,Sick/maternity,MATERNITY LEAVE,,,
27,1,Nurse,Female,25-34,Yes,Yes,,,Yes,1.0,1.0,Nurse,Female,No,Official mission,,,,
27,2,Nurse,Female,25-34,Yes,No,In training/seminar,,Yes,2.0,2.0,Nurse,Female,Yes,,,Providing Consultation (face-to face patient care),,Yes
27,3,Other,Female,35-44,Yes,No,In training/seminar,,Yes,3.0,3.0,Other,Female,No,Approved absence,,,,
27,4,Other,Female,25-34,Yes,No,Sick/maternity,,Yes,4.0,4.0,Other,Female,No,Sick/maternity,,,,
28,1,Doctor,Male,35-44,Yes,No,Approved absence,,Yes,1.0,1.0,Doctor,Male,No,Approved absence,,,,
28,2,Doctor,Male,35-44,Yes,No,Not his/her shift,,Yes,2.0,2.0,Doctor,Male,No,Not his/her shift,,,,
28,3,Doctor,Male,Younger than 25,Yes,Yes,,,Yes,3.0,3.0,Clinical Officer,Male,No,Not his/her shift,,,,
28,4,Clinical Officer,Male,Younger than 25,Yes,No,Not his/her shift,,Yes,4.0,4.0,Clinical Officer,Male,Yes,,,Providing Consultation (face-to face patient care),,No
28,5,Clinical Officer,Male,25-34,Yes,No,Doing fieldwork,,Yes,5.0,5.0,Clinical Officer,Male,No,Official mission,SCHOOL VISIT,,,
28,6,Nurse,Female,45 or older,No,Yes,,,No,,,,,,,,,,
28,7,Nurse,Female,25-34,No,Yes,,,No,,,,,,,,,,
28,8,Nurse,Female,25-34,No,No,Not his/her shift,,No,,,,,,,,,,
28,9,Other,Male,25-34,No,Yes,,,No,,,,,,,,,,
28,10,Other,Male,25-34,No,Yes,,,No,,,,,,,,,,
28,11,Other,Male,25-34,No,No,Not his/her shift,,No,,,,,,,,,,
29,1,Nurse,Female,45 or older,Yes,Yes,,,Yes,1.0,1.0,Nurse,Female,No,Official mission,,,,
29,2,Nurse,Female,35-44,Yes,Yes,,,Yes,2.0,2.0,Nurse,Female,Yes,,,Providing Consultation (face-to face patient care),,Yes
29,3,Other,Female,45 or older,No,Yes,,,No,,,,,,,,,,
29,4,Other,Female,45 or older,No,Yes,,,No,,,,,,,,,,
30,1,Nurse,Female,45 or older,Yes,Yes,,,Yes,1.0,1.0,Nurse,Female,Yes,,,Getting materials or equipment for consultation,,No
30,2,Nurse,Male,25-34,Yes,Yes,,,Yes,2.0,2.0,Doctor,Male,Yes,,,Reviewing or writing in cart,,No
30,3,Other,Female,Younger than 25,No,Yes,,,No,,,,,,,,,,
30,4,Other,Male,25-34,No,No,Not approved Absence,,No,,,,,,,,,,
31,1,Clinical Officer,Male,35-44,Yes,No,Official mission,,Yes,1.0,1.0,Clinical Officer,Male,No,In training/seminar,,,,
31,2,Nurse,Male,25-34,Yes,No,In training/seminar,,Yes,2.0,2.0,Nurse,Male,No,Not his/her shift,,,,
31,3,Nurse,Female,35-44,Yes,No,Not his/her shift,,Yes,3.0,3.0,Nurse,Female,No,In training/seminar,,,,
31,4,Nurse,Female,25-34,Yes,Yes,,,Yes,4.0,4.0,Nurse,Female,No,In training/seminar,,,,
31,5,Nurse,Female,45 or older,No,No,Not his/her shift,,No,,,,,,,,,,
31,6,Nurse,Female,25-34,No,No,In training/seminar,,No,,,,,,,,,,
31,7,Other,Female,25-34,No,No,Sick/maternity,,No,,,,,,,,,,
31,8,Nurse,Female,25-34,Yes,No,Not his/her shift,,Yes,6.0,8.0,Nurse,Female,No,In training/seminar,,,,
31,9,Other,Male,45 or older,No,No,Not approved Absence,,No,,,,,,,,,,
31,10,Other,Female,45 or older,No,No,Not his/her shift,,No,,,,,,,,,,
31,11,Nurse,Female,Younger than 25,Yes,No,In training/seminar,,Yes,5.0,11.0,Nurse,Male,No,Not his/her shift,,,,
32,1,Nurse,Female,45 or older,Yes,Yes,,,Yes,1.0,1.0,Nurse,Female,Yes,,,Providing Consultation (face-to face patient care),,No
32,2,Other,Female,25-34,Yes,No,Approved absence,,Yes,2.0,2.0,Other,Female,No,Approved absence,,,,
32,3,Other,Female,25-34,Yes,No,Sick/maternity,,Yes,3.0,3.0,Other,Female,No,In training/seminar,,,,
32,4,Nurse,Female,25-34,Yes,No,Not approved Absence,,Yes,4.0,4.0,Nurse,Female,No,Not approved Absence,,,,
33,1,Clinical Officer,Male,45 or older,Yes,Yes,,,Yes,1.0,1.0,Clinical Officer,Male,No,Official mission,,,,
33,2,Clinical Officer,Male,35-44,Yes,No,Official mission,,Yes,2.0,2.0,Clinical Officer,Male,No,Not approved Absence,,,,
33,3,Nurse,Female,25-34,Yes,No,Not his/her shift,,Yes,3.0,3.0,Nurse,Female,No,Not his/her shift,,,,
33,4,Nurse,Female,35-44,Yes,No,Not his/her shift,,Yes,4.0,4.0,Nurse,Female,No,Not approved Absence,,,,
33,5,Other,Female,35-44,Yes,Yes,,,Yes,5.0,5.0,Other,Female,No,Not approved Absence,,,,
33,6,Nurse,Female,35-44,No,No,Other (to specify),LEAVE,No,,,,,,,,,,
33,7,Nurse,Female,25-34,No,No,Sick/maternity,,No,,,,,,,,,,
33,8,Other,Female,25-34,Yes,No,Other (to specify),STUDY LEAVA.,Yes,6.0,8.0,Other,Female,No,Other (to specify),STUDY LEAVE,,,
34,1,Other,Male,45 or older,Yes,Yes,,,Yes,1.0,1.0,Other,Male,No,Official mission,,,,
34,2,Doctor,Male,25-34,Yes,No,Not his/her shift,,Yes,2.0,2.0,Doctor,Male,No,Not his/her shift,,,,
34,3,Clinical Officer,Male,25-34,Yes,No,Not his/her shift,,Yes,3.0,3.0,Clinical Officer,Male,No,Not his/her shift,,,,
34,4,Other,Female,35-44,Yes,No,Not his/her shift,,Yes,4.0,4.0,Other,Female,No,Not his/her shift,,,,
34,5,Nurse,Female,Younger than 25,Yes,No,Not his/her shift,,Yes,5.0,5.0,Nurse,Female,Yes,,,Providing Consultation (face-to face patient care),,Yes
34,6,Other,Male,25-34,No,No,Not his/her shift,,No,,,,,,,,,,
34,7,Other,Male,35-44,No,Yes,,,No,,,,,,,,,,
34,8,Other,Male,Younger than 25,Yes,Yes,,,Yes,6.0,8.0,Other,Male,Yes,,,Providing Consultation (face-to face patient care),,No
34,9,Other,Female,25-34,No,No,Not approved Absence,,No,,,,,,,,,,
34,10,Other,Female,25-34,No,No,Not approved Absence,,No,,,,,,,,,,
35,1,Clinical Officer,Male,Younger than 25,Yes,Yes,,,Yes,1.0,1.0,Clinical Officer,Male,Yes,,,Getting materials or equipment for consultation,,Yes
35,2,Clinical Officer,Male,25-34,Yes,No,Not his/her shift,,Yes,2.0,2.0,Clinical Officer,Male,No,Not his/her shift,,,,
35,3,Other,Male,25-34,No,Yes,,,No,,,,,,,,,,
35,4,Other,Male,25-34,Yes,No,Not approved Absence,,Yes,,4.0,Other,Male,No,Not his/her shift,,,,
35,5,Nurse,Female,25-34,No,Yes,,,No,,,,,,,,,,
35,6,Other,Male,25-34,No,No,Approved absence,,No,,,,,,,,,,
36,1,Clinical Officer,Male,45 or older,Yes,Yes,,,Yes,1.0,1.0,Clinical Officer,Male,No,Official mission,,,,
36,2,Nurse,Female,25-34,Yes,Yes,,,Yes,2.0,2.0,Nurse,Female,No,Not approved Absence,,,,
36,3,Nurse,Female,25-34,Yes,Yes,,,Yes,3.0,3.0,Nurse,Female,No,Not his/her shift,,,,
36,4,Nurse,Female,25-34,Yes,No,Not his/her shift,,Yes,4.0,4.0,Nurse,Female,No,Not approved Absence,,,,
36,5,Nurse,Female,35-44,Yes,No,Not his/her shift,,Yes,5.0,5.0,Nurse,Female,No,Not his/her shift,,,,
36,6,Nurse,Female,35-44,No,No,Not his/her shift,,No,,,,,,,,,,
36,7,Nurse,Female,25-34,No,Yes,,,No,,,,,,,,,,
36,8,Other,Female,35-44,No,No,Approved absence,,No,,,,,,,,,,
36,9,Other,Female,25-34,No,Yes,,,No,,,,,,,,,,
36,10,Other,Female,25-34,No,Yes,,,No,,,,,,,,,,
36,11,Clinical Officer,Male,35-44,Yes,No,Not his/her shift,,Yes,6.0,11.0,Clinical Officer,Male,No,Not approved Absence,,,,
37,1,Clinical Officer,Male,25-34,Yes,Yes,,,Yes,1.0,1.0,Clinical Officer,Male,No,Not approved Absence,,,,
37,2,Clinical Officer,Female,25-34,Yes,No,Sick/maternity,,Yes,2.0,2.0,Clinical Officer,Female,No,Not approved Absence,,,,
37,3,Nurse,Female,35-44,Yes,No,Not his/her shift,,Yes,3.0,3.0,Nurse,Female,No,In training/seminar,,,,
37,4,Nurse,Female,35-44,No,Yes,,,No,,,,,,,,,,
37,5,Nurse,Female,25-34,Yes,Yes,,,Yes,4.0,5.0,Nurse,Female,No,Not his/her shift,,,,
37,6,Nurse,Male,25-34,Yes,Yes,,,Yes,5.0,6.0,Nurse,Male,No,Not his/her shift,,,,
37,7,Nurse,Female,25-34,Yes,Yes,,,Yes,6.0,7.0,Nurse,Female,Yes,,,Checking schedule,,No
37,8,Nurse,Female,25-34,No,Yes,,,No,,,,,,,,,,
37,9,Other,Female,25-34,No,No,Sick/maternity,,No,,,,,,,,,,
37,10,Other,Female,25-34,No,No,Not his/her shift,,No,,,,,,,,,,
37,11,Other,Female,25-34,No,Yes,,,No,,,,,,,,,,
38,1,Nurse,Female,25-34,Yes,No,Approved absence,,Yes,1.0,1.0,Other,Female,No,Approved absence,STUDY LEAVE,,,
38,2,Other,Female,35-44,Yes,Yes,,,Yes,2.0,2.0,Other,Female,No,,,,,
38,3,Other,Female,35-44,Yes,No,In training/seminar,,Yes,3.0,3.0,Other,Female,Yes,,,,,Yes
39,1,Clinical Officer,Male,25-34,Yes,Yes,,,Yes,1.0,1.0,Clinical Officer,Male,Yes,,,Getting materials or equipment for consultation,,Yes
39,2,Clinical Officer,Male,25-34,Yes,No,Not his/her shift,,Yes,2.0,2.0,Clinical Officer,Male,No,Not his/her shift,,,,
39,3,Nurse,Female,35-44,Yes,No,Not his/her shift,,Yes,3.0,3.0,Nurse,Female,Yes,,,Providing Consultation (face-to face patient care),,Yes
39,4,Nurse,Female,Younger than 25,Yes,Yes,,,Yes,4.0,4.0,Nurse,Female,No,Not his/her shift,,,,
39,5,Other,Female,25-34,No,Yes,,,No,,,,,,,,,,
39,6,Other,Female,45 or older,No,Yes,,,No,,,,,,,,,,
40,1,Nurse,Male,Younger than 25,Yes,Yes,,,Yes,1.0,1.0,Nurse,Male,Yes,,,Reviewing or writing in cart,,Yes
40,2,Nurse,Male,25-34,Yes,No,Not his/her shift,,Yes,2.0,2.0,Nurse,Male,No,Not his/her shift,,,,
40,3,Nurse,Female,25-34,No,Yes,,,No,,,,,,,,,,
40,4,Clinical Officer,Male,35-44,Yes,No,Not his/her shift,,Yes,4.0,4.0,Clinical Officer,,,,,,,
40,5,Other,Female,25-34,No,Yes,,,No,,,,,,,,,,
40,6,Other,Male,25-34,No,Yes,,,No,,,,,,,,,,
41,1,Nurse,Male,35-44,Yes,Yes,,,Yes,1.0,1.0,Nurse,Female,No,In training/seminar,,,,
41,2,Nurse,Male,25-34,Yes,No,In training/seminar,,Yes,2.0,2.0,Nurse,Female,No,Official mission,,,,
41,3,Other,Male,35-44,Yes,Yes,,,Yes,3.0,3.0,Other,Female,No,In training/seminar,,,,
41,4,Other,Male,25-34,Yes,No,In training/seminar,,Yes,4.0,4.0,Other,Female,Yes,,,Immunizing children,,Yes
42,1,Clinical Officer,Male,25-34,Yes,Yes,,,Yes,1.0,1.0,Clinical Officer,Male,No,,,Arranging for tests or consultations,,
42,2,Clinical Officer,Male,25-34,Yes,No,Not his/her shift,,Yes,2.0,2.0,Clinical Officer,Male,No,,,Waiting for patient to undress,,
42,3,Nurse,Male,25-34,Yes,Yes,,,Yes,3.0,3.0,Nurse,Male,No,,,Completing encounter form or billing sheet,,
42,4,Nurse,Female,25-34,No,Yes,,,No,,,,,,,,,,
42,5,Nurse,Female,25-34,No,No,Not his/her shift,,No,,,,,,,,,,
42,6,Nurse,Female,Younger than 25,No,No,Not his/her shift,,No,,,,,,,,,,
42,7,Nurse,Female,25-34,No,No,Not his/her shift,,No,,,,,,,,,,
